item,category,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
가평군 - 당해년 총인구＜br＞(A),Statistics,56211.0,55725.0,55415.0,55252.0,55370.0,55540.0,56462.0,57984.0,58540.0,59916.0,60356.0,61788.0,62037.0,62290.0,63085.0,63517.0,64016.0,63936.0,63462.0,63380.0,63268.0,63235.0,63488.0
가평군 - 인구증가율＜br＞{(A-B)÷B}×100,Statistics,-0.08,-0.86,-0.56,-0.29,0.21,0.31,1.66,2.7,0.96,2.35,0.73,2.37,0.4,0.41,1.28,0.68,0.79,-0.12,-0.74,-0.13,-0.18,-0.05,0.4
가평군 - 전년 총인구＜br＞(B),Statistics,56255.0,56211.0,55725.0,55415.0,55252.0,55370.0,55540.0,56462.0,57984.0,58540.0,59916.0,60356.0,61788.0,62037.0,62290.0,63085.0,63517.0,64016.0,63936.0,63462.0,63380.0,63268.0,63235.0
강남구 - 당해년 총인구＜br＞(A),Statistics,546038.0,540813.0,536031.0,539333.0,547775.0,564658.0,569176.0,565624.0,569499.0,577070.0,573011.0,569997.0,569152.0,583446.0,581760.0,572140.0,561052.0,547453.0,550209.0,544055.0,537800.0,534103.0,550282.0
강남구 - 인구증가율＜br＞{(A-B)÷B}×100,Statistics,-1.7,-0.96,-0.88,0.62,1.57,3.08,0.8,-0.62,0.69,1.33,-0.7,-0.53,-0.15,2.51,-0.29,-1.65,-1.94,-2.42,0.5,-1.12,-1.15,-0.69,3.03
강남구 - 전년 총인구＜br＞(B),Statistics,555493.0,546038.0,540813.0,536031.0,539333.0,547775.0,564658.0,569176.0,565624.0,569499.0,577070.0,573011.0,569997.0,569152.0,583446.0,581760.0,572140.0,561052.0,547453.0,550209.0,544055.0,537800.0,534103.0
강동구 - 당해년 총인구＜br＞(A),Statistics,490585.0,483004.0,479270.0,473411.0,466664.0,465203.0,469021.0,473973.0,489655.0,496939.0,500516.0,492728.0,487969.0,481332.0,463321.0,448471.0,440359.0,431920.0,440390.0,463998.0,466472.0,464037.0,463318.0
강동구 - 인구증가율＜br＞{(A-B)÷B}×100,Statistics,-1.44,-1.55,-0.77,-1.22,-1.43,-0.31,0.82,1.06,3.31,1.49,0.72,-1.56,-0.97,-1.36,-3.74,-3.21,-1.81,-1.92,1.96,5.36,0.53,-0.52,-0.15
강동구 - 전년 총인구＜br＞(B),Statistics,497753.0,490585.0,483004.0,479270.0,473411.0,466664.0,465203.0,469021.0,473973.0,489655.0,496939.0,500516.0,492728.0,487969.0,481332.0,463321.0,448471.0,440359.0,431920.0,440390.0,463998.0,466472.0,464037.0
강릉시 - 당해년 총인구＜br＞(A),Statistics,232664.0,230714.0,230080.0,228325.0,225595.0,223499.0,222100.0,220097.0,219067.0,220121.0,219152.0,219274.0,218369.0,217464.0,216330.0,215721.0,215856.0,215239.0,215911.0,215603.0,215322.0,214011.0,212818.0
강릉시 - 인구증가율＜br＞{(A-B)÷B}×100,Statistics,-0.49,-0.84,-0.27,-0.76,-1.2,-0.93,-0.63,-0.9,-0.47,0.48,-0.44,0.06,-0.41,-0.41,-0.52,-0.28,0.06,-0.29,0.31,-0.14,-0.13,-0.61,-0.56
강릉시 - 전년 총인구＜br＞(B),Statistics,233812.0,232664.0,230714.0,230080.0,228325.0,225595.0,223499.0,222100.0,220097.0,219067.0,220121.0,219152.0,219274.0,218369.0,217464.0,216330.0,215721.0,215856.0,215239.0,215911.0,215603.0,215322.0,214011.0
강북구 - 당해년 총인구＜br＞(A),Statistics,352317.0,362906.0,362094.0,362275.0,355334.0,351624.0,348702.0,345754.0,343912.0,350007.0,348742.0,346493.0,341921.0,338410.0,334426.0,330704.0,328002.0,322915.0,317695.0,311569.0,302563.0,297702.0,292977.0
강북구 - 인구증가율＜br＞{(A-B)÷B}×100,Statistics,-0.13,3.01,-0.22,0.05,-1.92,-1.04,-0.83,-0.85,-0.53,1.77,-0.36,-0.64,-1.32,-1.03,-1.18,-1.11,-0.82,-1.55,-1.62,-1.93,-2.89,-1.61,-1.59
강북구 - 전년 총인구＜br＞(B),Statistics,352772.0,352317.0,362906.0,362094.0,362275.0,355334.0,351624.0,348702.0,345754.0,343912.0,350007.0,348742.0,346493.0,341921.0,338410.0,334426.0,330704.0,328002.0,322915.0,317695.0,311569.0,302563.0,297702.0
강서구 - 당해년 총인구＜br＞(A),Statistics,523542.0,530169.0,539673.0,544762.0,557373.0,559845.0,566495.0,583545.0,579196.0,580506.0,575849.0,573794.0,575236.0,591653.0,595691.0,602104.0,608255.0,603611.0,598273.0,585901.0,579768.0,574638.0,568826.0
강서구 - 인구증가율＜br＞{(A-B)÷B}×100,Statistics,0.11,1.27,1.79,0.94,2.31,0.44,1.19,3.01,-0.75,0.23,-0.8,-0.36,0.25,2.85,0.68,1.08,1.02,-0.76,-0.88,-2.07,-1.05,-0.88,-1.01
강서구 - 전년 총인구＜br＞(B),Statistics,522962.0,523542.0,530169.0,539673.0,544762.0,557373.0,559845.0,566495.0,583545.0,579196.0,580506.0,575849.0,573794.0,575236.0,591653.0,595691.0,602104.0,608255.0,603611.0,598273.0,585901.0,579768.0,574638.0
강원특별자치도 - 당해년 총인구＜br＞(A),Statistics,1556904.0,1543665.0,1533331.0,1528640.0,1521099.0,1515672.0,1515800.0,1521467.0,1525542.0,1543555.0,1549780.0,1551531.0,1555672.0,1558885.0,1564615.0,1566639.0,1567091.0,1561313.0,1560571.0,1560172.0,1555876.0,1556970.0,1551291.0
강원특별자치도 - 인구증가율＜br＞{(A-B)÷B}×100,Statistics,-0.14,-0.85,-0.67,-0.31,-0.49,-0.36,0.01,0.37,0.27,1.18,0.4,0.11,0.27,0.21,0.37,0.13,0.03,-0.37,-0.05,-0.03,-0.28,0.07,-0.36
강원특별자치도 - 전년 총인구＜br＞(B),Statistics,1559042.0,1556904.0,1543665.0,1533331.0,1528640.0,1521099.0,1515672.0,1515800.0,1521467.0,1525542.0,1543555.0,1549780.0,1551531.0,1555672.0,1558885.0,1564615.0,1566639.0,1567091.0,1561313.0,1560571.0,1560172.0,1555876.0,1556970.0
강진군 - 당해년 총인구＜br＞(A),Statistics,50925.0,46475.0,44862.0,43691.0,42828.0,42109.0,41575.0,41389.0,41428.0,41910.0,41899.0,40554.0,40429.0,40256.0,39168.0,38161.0,37307.0,36598.0,35742.0,35042.0,34174.0,33681.0,33292.0
강진군 - 인구증가율＜br＞{(A-B)÷B}×100,Statistics,3.27,-8.74,-3.47,-2.61,-1.98,-1.68,-1.27,-0.45,0.09,1.16,-0.03,-3.21,-0.31,-0.43,-2.7,-2.57,-2.24,-1.9,-2.34,-1.96,-2.48,-1.44,-1.15
강진군 - 전년 총인구＜br＞(B),Statistics,49313.0,50925.0,46475.0,44862.0,43691.0,42828.0,42109.0,41575.0,41389.0,41428.0,41910.0,41899.0,40554.0,40429.0,40256.0,39168.0,38161.0,37307.0,36598.0,35742.0,35042.0,34174.0,33681.0
강화군 - 당해년 총인구＜br＞(A),Statistics,67067.0,65876.0,65319.0,65385.0,65625.0,65839.0,66897.0,67871.0,67597.0,67668.0,67339.0,67358.0,67358.0,67775.0,68413.0,68785.0,69543.0,69726.0,70037.0,70025.0,70456.0,70671.0,70034.0
강화군 - 인구증가율＜br＞{(A-B)÷B}×100,Statistics,-0.24,-1.78,-0.85,0.1,0.37,0.33,1.61,1.46,-0.4,0.11,-0.49,0.03,0.0,0.62,0.94,0.54,1.1,0.26,0.45,-0.02,0.62,0.31,-0.9
강화군 - 전년 총인구＜br＞(B),Statistics,67225.0,67067.0,65876.0,65319.0,65385.0,65625.0,65839.0,66897.0,67871.0,67597.0,67668.0,67339.0,67358.0,67358.0,67775.0,68413.0,68785.0,69543.0,69726.0,70037.0,70025.0,70456.0,70671.0
거제시 - 당해년 총인구＜br＞(A),Statistics,180496.0,183897.0,188850.0,193434.0,199483.0,205821.0,213638.0,224855.0,233589.0,236435.0,241711.0,245972.0,253349.0,262011.0,270879.0,271361.0,263162.0,257989.0,256578.0,252395.0,246620.0,242523.0,245811.0
거제시 - 인구증가율＜br＞{(A-B)÷B}×100,Statistics,2.54,1.88,2.69,2.43,3.13,3.18,3.8,5.25,3.88,1.22,2.23,1.76,3.0,3.42,3.38,0.18,-3.02,-1.97,-0.55,-1.63,-2.29,-1.66,1.36
거제시 - 전년 총인구＜br＞(B),Statistics,176028.0,180496.0,183897.0,188850.0,193434.0,199483.0,205821.0,213638.0,224855.0,233589.0,236435.0,241711.0,245972.0,253349.0,262011.0,270879.0,271361.0,263162.0,257989.0,256578.0,252395.0,246620.0,242523.0
