item,category,2020,2021,2022,2023
가평군 - 4년전 총인구,Statistics,59391.0,59548.0,59957.0,59823.0
가평군 - 5년간 연평균 인구증감률,Statistics,0.4,0.1,-0.1,0.0
가평군 - 당해년 총인구,Statistics,60233.0,59714.0,59755.0,59893.0
강남구 - 4년전 총인구,Statistics,532469.0,522514.0,507810.0,509199.0
강남구 - 5년간 연평균 인구증감률,Statistics,-1.2,-0.9,-0.4,0.1
강남구 - 당해년 총인구,Statistics,508135.0,503019.0,500149.0,511084.0
강동구 - 4년전 총인구,Statistics,429416.0,423978.0,414231.0,415287.0
강동구 - 5년간 연평균 인구증감률,Statistics,0.9,1.6,2.0,1.8
강동구 - 당해년 총인구,Statistics,444434.0,451099.0,448655.0,446561.0
강릉시 - 4년전 총인구,Statistics,215977.0,215914.0,215528.0,216357.0
강릉시 - 5년간 연평균 인구증감률,Statistics,0.1,0.1,0.0,-0.3
강릉시 - 당해년 총인구,Statistics,216542.0,216560.0,215128.0,213786.0
강북구 - 4년전 총인구,Statistics,316212.0,313698.0,309138.0,303871.0
강북구 - 5년간 연평균 인구증감률,Statistics,-1.3,-1.7,-1.8,-1.7
강북구 - 당해년 총인구,Statistics,299535.0,292611.0,287788.0,284155.0
강서구 - 4년전 총인구,Statistics,574287.0,581675.0,578539.0,574097.0
강서구 - 5년간 연평균 인구증감률,Statistics,-0.4,-1.0,-1.0,-1.1
강서구 - 당해년 총인구,Statistics,564854.0,559837.0,555999.0,549557.0
강원특별자치도 - 4년전 총인구,Statistics,1521751.0,1521386.0,1520391.0,1520127.0
강원특별자치도 - 5년간 연평균 인구증감률,Statistics,0.0,0.0,0.1,0.1
강원특별자치도 - 당해년 총인구,Statistics,1521763.0,1521890.0,1528037.0,1528014.0
강진군 - 4년전 총인구,Statistics,34102.0,33637.0,33298.0,32805.0
강진군 - 5년간 연평균 인구증감률,Statistics,-1.0,-1.3,-1.4,-1.2
강진군 - 당해년 총인구,Statistics,32778.0,31941.0,31476.0,31266.0
강화군 - 4년전 총인구,Statistics,62741.0,63737.0,64432.0,65235.0
강화군 - 5년간 연평균 인구증감률,Statistics,1.3,0.8,0.8,0.4
강화군 - 당해년 총인구,Statistics,66020.0,65834.0,66420.0,66246.0
거제시 - 4년전 총인구,Statistics,262986.0,257847.0,252889.0,251226.0
거제시 - 5년간 연평균 인구증감률,Statistics,-1.6,-1.5,-1.6,-1.3
거제시 - 당해년 총인구,Statistics,246965.0,242426.0,236686.0,238671.0
거창군 - 4년전 총인구,Statistics,60658.0,60083.0,60020.0,59888.0
거창군 - 5년간 연평균 인구증감률,Statistics,-0.4,-0.4,-0.6,-0.5
거창군 - 당해년 총인구,Statistics,59595.0,59238.0,58702.0,58588.0
경기도 - 4년전 총인구,Statistics,12671956.0,12851601.0,13103188.0,13300900.0
경기도 - 5년간 연평균 인구증감률,Statistics,1.6,1.5,1.2,1.0
경기도 - 당해년 총인구,Statistics,13511676.0,13652529.0,13717827.0,13815367.0
경산시 - 4년전 총인구,Statistics,279751.0,282626.0,284517.0,290088.0
경산시 - 5년간 연평균 인구증감률,Statistics,0.4,0.9,1.0,0.5
경산시 - 당해년 총인구,Statistics,283733.0,293418.0,295543.0,296453.0
경상남도 - 4년전 총인구,Statistics,3339633.0,3345293.0,3350350.0,3347209.0
경상남도 - 5년간 연평균 인구증감률,Statistics,0.0,-0.3,-0.5,-0.6
경상남도 - 당해년 총인구,Statistics,3333056.0,3305931.0,3280829.0,3271148.0
경상북도 - 4년전 총인구,Statistics,2682169.0,2677058.0,2672902.0,2668154.0
경상북도 - 5년간 연평균 인구증감률,Statistics,-0.4,-0.4,-0.5,-0.7
경상북도 - 당해년 총인구,Statistics,2644757.0,2635314.0,2620373.0,2589880.0
경주시 - 4년전 총인구,Statistics,262769.0,262264.0,264282.0,264314.0
경주시 - 5년간 연평균 인구증감률,Statistics,-0.1,-0.1,-0.4,-0.5
경주시 - 당해년 총인구,Statistics,261778.0,261102.0,259674.0,259505.0
계룡시 - 4년전 총인구,Statistics,40576.0,41858.0,41557.0,41153.0
계룡시 - 5년간 연평균 인구증감률,Statistics,0.2,-0.3,0.5,2.2
계룡시 - 당해년 총인구,Statistics,40854.0,41415.0,42416.0,44822.0
계양구 - 4년전 총인구,Statistics,323196.0,318104.0,307598.0,298912.0
계양구 - 5년간 연평균 인구증감률,Statistics,-2.4,-2.2,-1.6,-1.6
계양구 - 당해년 총인구,Statistics,292852.0,290967.0,288122.0,279818.0
고령군 - 4년전 총인구,Statistics,33417.0,33094.0,32660.0,32191.0
고령군 - 5년간 연평균 인구증감률,Statistics,-1.5,-2.1,-2.0,-1.3
고령군 - 당해년 총인구,Statistics,31419.0,30399.0,30142.0,30518.0
고성군 - 4년전 총인구,Statistics,28984.0,28621.0,28127.0,27144.0
고성군 - 5년간 연평균 인구증감률,Statistics,-2.1,-1.8,-0.9,0.6
고성군 - 당해년 총인구,Statistics,26572.0,26650.0,27127.0,27811.0
고양시 - 4년전 총인구,Statistics,999098.0,1005102.0,1006992.0,1024645.0
고양시 - 5년간 연평균 인구증감률,Statistics,1.1,1.1,0.9,0.6
고양시 - 당해년 총인구,Statistics,1045497.0,1049513.0,1044242.0,1047592.0
고창군 - 4년전 총인구,Statistics,55326.0,54947.0,54425.0,53260.0
고창군 - 5년간 연평균 인구증감률,Statistics,-1.3,-1.8,-1.7,-1.2
고창군 - 당해년 총인구,Statistics,52608.0,51180.0,50784.0,50731.0
고흥군 - 4년전 총인구,Statistics,61690.0,60984.0,60664.0,60332.0
고흥군 - 5년간 연평균 인구증감률,Statistics,-0.7,-0.9,-0.8,-0.7
고흥군 - 당해년 총인구,Statistics,60045.0,58873.0,58630.0,58735.0
곡성군 - 4년전 총인구,Statistics,28718.0,28768.0,28116.0,27858.0
곡성군 - 5년간 연평균 인구증감률,Statistics,-1.2,-1.8,-1.5,-1.5
곡성군 - 당해년 총인구,Statistics,27349.0,26781.0,26454.0,26273.0
공주시 - 4년전 총인구,Statistics,112928.0,111017.0,110119.0,109877.0
공주시 - 5년간 연평균 인구증감률,Statistics,-1.0,-0.9,-0.9,-1.0
공주시 - 당해년 총인구,Statistics,108333.0,106915.0,106038.0,105498.0
과천시 - 4년전 총인구,Statistics,60923.0,53583.0,53740.0,53830.0
과천시 - 5년간 연평균 인구증감률,Statistics,-1.2,5.3,8.1,9.3
과천시 - 당해년 총인구,Statistics,58018.0,65880.0,73406.0,76824.0
관악구 - 4년전 총인구,Statistics,515648.0,511222.0,510303.0,507828.0
