item,category,2016,2017,2018,2019,2020,2021,2022,2023
가평군 - 65세이상인구,Statistics,12772.0,13262.0,13809.0,14374.0,15194.0,15926.0,16732.0,17612.0
가평군 - 고령인구비율,Statistics,21.5,22.3,23.0,24.0,25.2,26.7,28.0,29.4
가평군 - 전체인구,Statistics,59391.0,59548.0,59957.0,59823.0,60233.0,59714.0,59755.0,59893.0
강남구 - 65세이상인구,Statistics,58745.0,61706.0,63169.0,66790.0,70286.0,74564.0,79057.0,83321.0
강남구 - 고령인구비율,Statistics,11.0,11.8,12.4,13.1,13.8,14.8,15.8,16.3
강남구 - 전체인구,Statistics,532469.0,522514.0,507810.0,509199.0,508135.0,503019.0,500149.0,511084.0
강동구 - 65세이상인구,Statistics,51399.0,54479.0,56971.0,60737.0,67500.0,72651.0,77547.0,81890.0
강동구 - 고령인구비율,Statistics,12.0,12.8,13.8,14.6,15.2,16.1,17.3,18.3
강동구 - 전체인구,Statistics,429416.0,423978.0,414231.0,415287.0,444434.0,451099.0,448655.0,446561.0
강릉시 - 65세이상인구,Statistics,36928.0,38975.0,40281.0,42072.0,44221.0,46318.0,48588.0,50763.0
강릉시 - 고령인구비율,Statistics,17.1,18.1,18.7,19.4,20.4,21.4,22.6,23.7
강릉시 - 전체인구,Statistics,215977.0,215914.0,215528.0,216357.0,216542.0,216560.0,215128.0,213786.0
강북구 - 65세이상인구,Statistics,51866.0,54286.0,55754.0,57789.0,60476.0,62657.0,64703.0,67147.0
강북구 - 고령인구비율,Statistics,16.4,17.3,18.0,19.0,20.2,21.4,22.5,23.6
강북구 - 전체인구,Statistics,316212.0,313698.0,309138.0,303871.0,299535.0,292611.0,287788.0,284155.0
강서구 - 65세이상인구,Statistics,68423.0,73306.0,76645.0,80783.0,85588.0,90109.0,95119.0,100013.0
강서구 - 고령인구비율,Statistics,11.9,12.6,13.2,14.1,15.2,16.1,17.1,18.2
강서구 - 전체인구,Statistics,574287.0,581675.0,578539.0,574097.0,564854.0,559837.0,555999.0,549557.0
강원특별자치도 - 65세이상인구,Statistics,258392.0,271493.0,280036.0,292473.0,308977.0,324129.0,341042.0,357924.0
강원특별자치도 - 고령인구비율,Statistics,17.0,17.8,18.4,19.2,20.3,21.3,22.3,23.4
강원특별자치도 - 전체인구,Statistics,1521751.0,1521386.0,1520391.0,1520127.0,1521763.0,1521890.0,1528037.0,1528014.0
강진군 - 65세이상인구,Statistics,10790.0,10976.0,11008.0,11020.0,11278.0,11466.0,11599.0,11826.0
강진군 - 고령인구비율,Statistics,31.6,32.6,33.1,33.6,34.4,35.9,36.9,37.8
강진군 - 전체인구,Statistics,34102.0,33637.0,33298.0,32805.0,32778.0,31941.0,31476.0,31266.0
강화군 - 65세이상인구,Statistics,18412.0,19161.0,19931.0,20649.0,21836.0,22608.0,23405.0,24451.0
강화군 - 고령인구비율,Statistics,29.3,30.1,30.9,31.7,33.1,34.3,35.2,36.9
강화군 - 전체인구,Statistics,62741.0,63737.0,64432.0,65235.0,66020.0,65834.0,66420.0,66246.0
거제시 - 65세이상인구,Statistics,20318.0,21602.0,22755.0,24073.0,25792.0,28126.0,30386.0,32877.0
거제시 - 고령인구비율,Statistics,7.7,8.4,9.0,9.6,10.4,11.6,12.8,13.8
거제시 - 전체인구,Statistics,262986.0,257847.0,252889.0,251226.0,246965.0,242426.0,236686.0,238671.0
거창군 - 65세이상인구,Statistics,14933.0,15354.0,15604.0,15983.0,16470.0,16921.0,17435.0,17883.0
거창군 - 고령인구비율,Statistics,24.6,25.6,26.0,26.7,27.6,28.6,29.7,30.5
거창군 - 전체인구,Statistics,60658.0,60083.0,60020.0,59888.0,59595.0,59238.0,58702.0,58588.0
경기도 - 65세이상인구,Statistics,1359257.0,1445711.0,1529871.0,1629860.0,1758085.0,1874756.0,1991097.0,2122758.0
경기도 - 고령인구비율,Statistics,10.7,11.2,11.7,12.3,13.0,13.7,14.5,15.4
경기도 - 전체인구,Statistics,12671956.0,12851601.0,13103188.0,13300900.0,13511676.0,13652529.0,13717827.0,13815367.0
경산시 - 65세이상인구,Statistics,36365.0,38236.0,39888.0,41971.0,44437.0,47447.0,49805.0,52051.0
경산시 - 고령인구비율,Statistics,13.0,13.5,14.0,14.5,15.7,16.2,16.9,17.6
경산시 - 전체인구,Statistics,279751.0,282626.0,284517.0,290088.0,283733.0,293418.0,295543.0,296453.0
경상남도 - 65세이상인구,Statistics,466946.0,490474.0,508948.0,532585.0,564903.0,593701.0,623960.0,654605.0
경상남도 - 고령인구비율,Statistics,14.0,14.7,15.2,15.9,16.9,18.0,19.0,20.0
경상남도 - 전체인구,Statistics,3339633.0,3345293.0,3350350.0,3347209.0,3333056.0,3305931.0,3280829.0,3271148.0
경상북도 - 65세이상인구,Statistics,479044.0,498824.0,514469.0,533578.0,557654.0,581109.0,603321.0,615461.0
경상북도 - 고령인구비율,Statistics,17.9,18.6,19.2,20.0,21.1,22.1,23.0,23.8
경상북도 - 전체인구,Statistics,2682169.0,2677058.0,2672902.0,2668154.0,2644757.0,2635314.0,2620373.0,2589880.0
경주시 - 65세이상인구,Statistics,47444.0,49286.0,51011.0,53055.0,55398.0,57859.0,60140.0,62515.0
경주시 - 고령인구비율,Statistics,18.1,18.8,19.3,20.1,21.2,22.2,23.2,24.1
경주시 - 전체인구,Statistics,262769.0,262264.0,264282.0,264314.0,261778.0,261102.0,259674.0,259505.0
계룡시 - 65세이상인구,Statistics,3767.0,4072.0,4366.0,4681.0,5020.0,5455.0,5918.0,6486.0
계룡시 - 고령인구비율,Statistics,9.3,9.7,10.5,11.4,12.3,13.2,14.0,14.5
계룡시 - 전체인구,Statistics,40576.0,41858.0,41557.0,41153.0,40854.0,41415.0,42416.0,44822.0
계양구 - 65세이상인구,Statistics,29655.0,31501.0,32991.0,34917.0,37711.0,40628.0,43800.0,47148.0
계양구 - 고령인구비율,Statistics,9.2,9.9,10.7,11.7,12.9,14.0,15.2,16.8
계양구 - 전체인구,Statistics,323196.0,318104.0,307598.0,298912.0,292852.0,290967.0,288122.0,279818.0
고령군 - 65세이상인구,Statistics,8515.0,8887.0,8992.0,9210.0,9423.0,9593.0,9893.0,10143.0
고령군 - 고령인구비율,Statistics,25.5,26.9,27.5,28.6,30.0,31.6,32.8,33.2
고령군 - 전체인구,Statistics,33417.0,33094.0,32660.0,32191.0,31419.0,30399.0,30142.0,30518.0
고성군 - 65세이상인구,Statistics,6727.0,6906.0,7014.0,7212.0,7573.0,7798.0,8089.0,8408.0
고성군 - 고령인구비율,Statistics,23.2,24.1,24.9,26.6,28.5,29.3,29.8,30.2
고성군 - 전체인구,Statistics,28984.0,28621.0,28127.0,27144.0,26572.0,26650.0,27127.0,27811.0
고양시 - 65세이상인구,Statistics,112928.0,118674.0,124493.0,132661.0,144331.0,152791.0,161660.0,172076.0
고양시 - 고령인구비율,Statistics,11.3,11.8,12.4,12.9,13.8,14.6,15.5,16.4
고양시 - 전체인구,Statistics,999098.0,1005102.0,1006992.0,1024645.0,1045497.0,1049513.0,1044242.0,1047592.0
