item,category,2016,2017,2018,2019,2020,2021,2022,2023
가평군 - 전체인구 - 청년인구비율,Statistics,59391.0,59548.0,59957.0,59823.0,60233.0,59714.0,59755.0,59893.0
가평군 - 청년여성비율(19~39세) - 청년인구비율,Statistics,9.8,9.7,9.6,9.4,9.0,8.4,8.1,8.0
가평군 - 청년여성인구(19~39세) - 청년인구비율,Statistics,5827.0,5787.0,5731.0,5647.0,5439.0,5039.0,4849.0,4820.0
가평군 - 청년인구(19~34세) - 청년인구비율,Statistics,9508.0,9349.0,9343.0,9184.0,9184.0,8832.0,8559.0,8474.0
가평군 - 청년인구(19~39세) - 청년인구비율,Statistics,12845.0,12722.0,12666.0,12434.0,12200.0,11611.0,11203.0,11100.0
가평군 - 청년인구비율(19~34세) - 청년인구비율,Statistics,16.0,15.7,15.6,15.4,15.2,14.8,14.3,14.1
가평군 - 청년인구비율(19~39세) - 청년인구비율,Statistics,21.6,21.4,21.1,20.8,20.3,19.4,18.7,18.5
강남구 - 전체인구 - 청년인구비율,Statistics,532469.0,522514.0,507810.0,509199.0,508135.0,503019.0,500149.0,511084.0
강남구 - 청년여성비율(19~39세) - 청년인구비율,Statistics,17.1,16.7,16.4,16.1,16.0,15.2,14.7,14.5
강남구 - 청년여성인구(19~39세) - 청년인구비율,Statistics,90901.0,87211.0,83135.0,82152.0,81294.0,76575.0,73392.0,74240.0
강남구 - 청년인구(19~34세) - 청년인구비율,Statistics,125606.0,119529.0,113449.0,113156.0,112953.0,106807.0,103452.0,104461.0
강남구 - 청년인구(19~39세) - 청년인구비율,Statistics,171233.0,164817.0,157492.0,155767.0,153249.0,144303.0,138790.0,140143.0
강남구 - 청년인구비율(19~34세) - 청년인구비율,Statistics,23.6,22.9,22.3,22.2,22.2,21.2,20.7,20.4
강남구 - 청년인구비율(19~39세) - 청년인구비율,Statistics,32.2,31.5,31.0,30.6,30.2,28.7,27.7,27.4
강동구 - 전체인구 - 청년인구비율,Statistics,429416.0,423978.0,414231.0,415287.0,444434.0,451099.0,448655.0,446561.0
강동구 - 청년여성비율(19~39세) - 청년인구비율,Statistics,15.1,15.0,14.8,14.8,15.0,14.8,14.4,14.2
강동구 - 청년여성인구(19~39세) - 청년인구비율,Statistics,64683.0,63509.0,61477.0,61347.0,66776.0,66854.0,64575.0,63223.0
강동구 - 청년인구(19~34세) - 청년인구비율,Statistics,96690.0,92952.0,89011.0,88881.0,95670.0,95700.0,92856.0,91296.0
강동구 - 청년인구(19~39세) - 청년인구비율,Statistics,131865.0,129041.0,124428.0,123537.0,132482.0,131693.0,126711.0,123805.0
강동구 - 청년인구비율(19~34세) - 청년인구비율,Statistics,22.5,21.9,21.5,21.4,21.5,21.2,20.7,20.4
강동구 - 청년인구비율(19~39세) - 청년인구비율,Statistics,30.7,30.4,30.0,29.7,29.8,29.2,28.2,27.7
