item,category,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
가평군 - 계,Statistics,53722.0,53925.0,54061.0,55005.0,56203.0,56613.0,56334.0,56386.0,56111.0,56045.0,55506.0,55060.0,54845.0,54861.0,54855.0,55698.0,57108.0,57564.0,58890.0,59358.0,60794.0,61017.0,61213.0,62008.0,62448.0,62973.0,62918.0,62415.0,62377.0,62264.0,62150.0,62302.0,62527.0
가평군 - 남,Statistics,27118.0,27210.0,27372.0,27916.0,28588.0,28774.0,28694.0,28790.0,28632.0,28602.0,28313.0,28172.0,28035.0,28087.0,28077.0,28471.0,29191.0,29475.0,30214.0,30510.0,31298.0,31284.0,31370.0,31774.0,31981.0,32276.0,32288.0,32042.0,32156.0,32129.0,32102.0,32137.0,32194.0
가평군 - 여,Statistics,26604.0,26715.0,26689.0,27089.0,27615.0,27839.0,27640.0,27596.0,27479.0,27443.0,27193.0,26888.0,26810.0,26774.0,26778.0,27227.0,27917.0,28089.0,28676.0,28848.0,29496.0,29733.0,29843.0,30234.0,30467.0,30697.0,30630.0,30373.0,30221.0,30135.0,30048.0,30165.0,30333.0
강남구 - 계,Statistics,556120.0,562792.0,568498.0,554573.0,552768.0,550803.0,550387.0,552293.0,550343.0,540640.0,535138.0,528977.0,531517.0,540909.0,556964.0,560958.0,557832.0,562138.0,570095.0,565710.0,564197.0,563599.0,578114.0,576495.0,567115.0,556164.0,542364.0,545169.0,539231.0,533042.0,529102.0,544873.0,557345.0
강남구 - 남,Statistics,276432.0,279362.0,281909.0,275106.0,273817.0,272129.0,271238.0,271269.0,270296.0,264593.0,261641.0,257776.0,258371.0,262628.0,269857.0,270925.0,268963.0,270720.0,274303.0,271991.0,270970.0,270601.0,277267.0,276425.0,271604.0,266442.0,259611.0,260806.0,257999.0,255047.0,253072.0,260520.0,266412.0
강남구 - 여,Statistics,279688.0,283430.0,286589.0,279467.0,278951.0,278674.0,279149.0,281024.0,280047.0,276047.0,273497.0,271201.0,273146.0,278281.0,287107.0,290033.0,288869.0,291418.0,295792.0,293719.0,293227.0,292998.0,300847.0,300070.0,295511.0,289722.0,282753.0,284363.0,281232.0,277995.0,276030.0,284353.0,290933.0
강동구 - 계,Statistics,548060.0,534922.0,520044.0,505664.0,496613.0,492850.0,488585.0,490520.0,496549.0,489241.0,481470.0,477230.0,471145.0,464059.0,461760.0,464546.0,469024.0,484745.0,491871.0,495138.0,487905.0,483379.0,476597.0,458658.0,444168.0,436223.0,427573.0,436067.0,459970.0,462664.0,460067.0,459167.0,476942.0
강동구 - 남,Statistics,276497.0,270148.0,262654.0,255525.0,250959.0,248852.0,246330.0,247430.0,250541.0,247208.0,243391.0,241000.0,237408.0,233352.0,232102.0,233223.0,235333.0,243001.0,246492.0,247973.0,244172.0,241503.0,237816.0,228709.0,221118.0,216777.0,211816.0,215335.0,226216.0,227002.0,225221.0,224423.0,232862.0
강동구 - 여,Statistics,271563.0,264774.0,257390.0,250139.0,245654.0,243998.0,242255.0,243090.0,246008.0,242033.0,238079.0,236230.0,233737.0,230707.0,229658.0,231323.0,233691.0,241744.0,245379.0,247165.0,243733.0,241876.0,238781.0,229949.0,223050.0,219446.0,215757.0,220732.0,233754.0,235662.0,234846.0,234744.0,244080.0
강릉시 - 계,Statistics,151768.0,153624.0,155510.0,223539.0,224111.0,225528.0,229449.0,232067.0,233121.0,231943.0,229869.0,229073.0,227259.0,224391.0,222016.0,220484.0,218399.0,217464.0,218503.0,217571.0,217741.0,216806.0,215807.0,214560.0,213846.0,213952.0,212957.0,213442.0,213321.0,212965.0,211381.0,209439.0,207731.0
