item,category,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
가평군 - 남녀성비＜br＞(A÷B×100),Statistics,104.2,104.2,104.1,104.8,104.6,104.9,104.9,104.6,104.6,104.9,105.4,105.8,106.1,105.2,105.1,105.1,105.0,105.1,105.4,105.5,106.4,106.6,106.8,106.5,106.1
가평군 - 남자인구수＜br＞(A),Statistics,28632.0,28602.0,28313.0,28172.0,28035.0,28087.0,28077.0,28471.0,29191.0,29475.0,30214.0,30510.0,31298.0,31284.0,31370.0,31774.0,31981.0,32276.0,32288.0,32042.0,32156.0,32129.0,32102.0,32137.0,32194.0
가평군 - 여자인구수＜br＞(B),Statistics,27479.0,27443.0,27193.0,26888.0,26810.0,26774.0,26778.0,27227.0,27917.0,28089.0,28676.0,28848.0,29496.0,29733.0,29843.0,30234.0,30467.0,30697.0,30630.0,30373.0,30221.0,30135.0,30048.0,30165.0,30333.0
강남구 - 남녀성비＜br＞(A÷B×100),Statistics,96.5,95.9,95.7,95.0,94.6,94.4,94.0,93.4,93.1,92.9,92.7,92.6,92.4,92.4,92.2,92.1,91.9,92.0,91.8,91.7,91.7,91.7,91.7,91.6,91.6
강남구 - 남자인구수＜br＞(A),Statistics,270296.0,264593.0,261641.0,257776.0,258371.0,262628.0,269857.0,270925.0,268963.0,270720.0,274303.0,271991.0,270970.0,270601.0,277267.0,276425.0,271604.0,266442.0,259611.0,260806.0,257999.0,255047.0,253072.0,260520.0,266412.0
강남구 - 여자인구수＜br＞(B),Statistics,280047.0,276047.0,273497.0,271201.0,273146.0,278281.0,287107.0,290033.0,288869.0,291418.0,295792.0,293719.0,293227.0,292998.0,300847.0,300070.0,295511.0,289722.0,282753.0,284363.0,281232.0,277995.0,276030.0,284353.0,290933.0
강동구 - 남녀성비＜br＞(A÷B×100),Statistics,101.8,102.1,102.2,102.0,101.6,101.1,101.1,100.8,100.7,100.5,100.5,100.3,100.2,99.8,99.6,99.5,99.1,98.8,98.2,97.6,96.8,96.3,95.9,95.6,95.4
강동구 - 남자인구수＜br＞(A),Statistics,250541.0,247208.0,243391.0,241000.0,237408.0,233352.0,232102.0,233223.0,235333.0,243001.0,246492.0,247973.0,244172.0,241503.0,237816.0,228709.0,221118.0,216777.0,211816.0,215335.0,226216.0,227002.0,225221.0,224423.0,232862.0
강동구 - 여자인구수＜br＞(B),Statistics,246008.0,242033.0,238079.0,236230.0,233737.0,230707.0,229658.0,231323.0,233691.0,241744.0,245379.0,247165.0,243733.0,241876.0,238781.0,229949.0,223050.0,219446.0,215757.0,220732.0,233754.0,235662.0,234846.0,234744.0,244080.0
강릉시 - 남녀성비＜br＞(A÷B×100),Statistics,99.6,99.5,99.4,99.5,99.4,99.2,99.3,99.4,99.3,98.9,98.8,99.1,99.0,98.7,98.6,98.6,98.7,98.7,98.5,98.5,98.4,98.5,98.4,98.2,98.1
강릉시 - 남자인구수＜br＞(A),Statistics,116331.0,115662.0,114579.0,114231.0,113261.0,111728.0,110622.0,109916.0,108842.0,108146.0,108613.0,108294.0,108318.0,107689.0,107149.0,106545.0,106231.0,106286.0,105697.0,105893.0,105794.0,105667.0,104845.0,103759.0,102890.0
강릉시 - 여자인구수＜br＞(B),Statistics,116790.0,116281.0,115290.0,114842.0,113998.0,112663.0,111394.0,110568.0,109557.0,109318.0,109890.0,109277.0,109423.0,109117.0,108658.0,108015.0,107615.0,107666.0,107260.0,107549.0,107527.0,107298.0,106536.0,105680.0,104841.0
강북구 - 남녀성비＜br＞(A÷B×100),Statistics,99.8,99.9,99.9,99.4,99.1,99.0,98.9,98.8,98.5,98.6,98.7,98.1,98.0,97.7,97.3,97.1,96.7,96.0,95.7,95.3,95.1,94.9,94.4,93.9,93.2
강북구 - 남자인구수＜br＞(A),Statistics,175860.0,175613.0,180859.0,179773.0,179484.0,175723.0,173510.0,171730.0,169887.0,168998.0,172109.0,170906.0,169866.0,167342.0,165223.0,162967.0,160861.0,158918.0,156071.0,153235.0,150143.0,145705.0,142567.0,139514.0,136789.0
강북구 - 여자인구수＜br＞(B),Statistics,176135.0,175791.0,181037.0,180890.0,181041.0,177537.0,175480.0,173748.0,172387.0,171369.0,174411.0,174148.0,173291.0,171365.0,169802.0,167906.0,166334.0,165561.0,163093.0,160719.0,157912.0,153477.0,151093.0,148599.0,146808.0
강서구 - 남녀성비＜br＞(A÷B×100),Statistics,98.9,98.8,98.5,98.5,98.2,98.1,97.9,97.7,97.5,97.3,97.4,97.0,96.7,96.3,96.0,95.6,95.2,94.9,94.5,93.9,93.3,92.7,92.3,92.0,91.8
강서구 - 남자인구수＜br＞(A),Statistics,259235.0,259108.0,262185.0,266490.0,268424.0,274159.0,274528.0,276977.0,284817.0,282529.0,283248.0,280274.0,278969.0,279207.0,286644.0,287947.0,290478.0,292989.0,290079.0,286563.0,280034.0,276292.0,273203.0,269822.0,266237.0
강서구 - 여자인구수＜br＞(B),Statistics,261996.0,262381.0,266136.0,270513.0,273247.0,279501.0,280417.0,283447.0,292031.0,290307.0,290879.0,288798.0,288462.0,289863.0,298516.0,301127.0,305007.0,308702.0,306870.0,305233.0,300151.0,298023.0,295963.0,293236.0,289934.0
강원특별자치도 - 남녀성비＜br＞(A÷B×100),Statistics,101.0,100.7,100.7,101.0,101.1,101.1,101.1,101.1,101.3,101.3,101.3,101.3,101.3,101.4,101.5,101.7,101.5,101.4,101.3,101.2,101.3,101.3,101.2,101.2,101.1
강원특별자치도 - 남자인구수＜br＞(A),Statistics,781133.0,778766.0,771945.0,767294.0,764803.0,760642.0,756894.0,756184.0,759282.0,761270.0,769807.0,773278.0,774273.0,776498.0,778007.0,781434.0,781146.0,780635.0,776456.0,775386.0,776505.0,774332.0,772947.0,768449.0,763025.0
강원특별자치도 - 여자인구수＜br＞(B),Statistics,773555.0,773641.0,766775.0,759740.0,756572.0,752468.0,748526.0,747622.0,749293.0,751600.0,760011.0,763170.0,764357.0,765765.0,766435.0,768073.0,769660.0,769507.0,766596.0,766116.0,766335.0,764160.0,763551.0,759358.0,754741.0
강진군 - 남녀성비＜br＞(A÷B×100),Statistics,94.2,92.3,93.5,93.4,93.1,92.6,91.9,91.5,91.0,90.9,90.5,90.3,91.2,91.3,91.3,91.4,92.4,92.7,92.3,92.4,93.5,94.0,94.6,95.1,96.0
강진군 - 남자인구수＜br＞(A),Statistics,23898.0,24404.0,22412.0,21607.0,20993.0,20530.0,20086.0,19753.0,19606.0,19603.0,19778.0,19744.0,19192.0,19123.0,19021.0,18507.0,18127.0,17731.0,17350.0,16944.0,16715.0,16359.0,16128.0,15949.0,15766.0
강진군 - 여자인구수＜br＞(B),Statistics,25356.0,26442.0,23969.0,23136.0,22557.0,22166.0,21852.0,21599.0,21547.0,21561.0,21846.0,21855.0,21049.0,20956.0,20840.0,20251.0,19626.0,19137.0,18794.0,18342.0,17882.0,17394.0,17049.0,16773.0,16423.0
강화군 - 남녀성비＜br＞(A÷B×100),Statistics,99.4,99.3,98.9,99.3,99.7,99.3,99.2,99.5,99.7,99.9,99.8,100.0,100.2,100.9,100.6,100.5,101.0,100.8,100.6,100.4,100.2,100.1,100.1,100.4,100.0
강화군 - 남자인구수＜br＞(A),Statistics,33441.0,33315.0,32667.0,32409.0,32511.0,32576.0,32631.0,33154.0,33650.0,33504.0,33526.0,33388.0,33415.0,33520.0,33657.0,33916.0,34170.0,34509.0,34546.0,34665.0,34644.0,34868.0,34918.0,34566.0,34707.0
