item,category,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
가평군 - 도로포장률＜br＞(A÷B×100),Statistics,98.7,98.7,98.6,98.7,98.7,98.7,98.7,98.7,98.7,98.7
가평군 - 전체개통도＜br＞(B),Statistics,351629.0,351629.0,346926.0,350826.0,350826.0,351316.0,355953.0,355953.0,355953.0,355953.0
가평군 - 포장도로＜br＞(A),Statistics,346929.0,346929.0,342226.0,346126.0,346126.0,346616.0,351253.0,351253.0,351253.0,351253.0
강남구 - 도로포장률＜br＞(A÷B×100),Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
강남구 - 전체개통도＜br＞(B),Statistics,433173.0,433187.0,433716.0,433716.0,434066.0,434066.0,434066.0,441673.0,441673.0,441673.0
강남구 - 포장도로＜br＞(A),Statistics,433173.0,433187.0,433716.0,433716.0,434066.0,434066.0,434066.0,441673.0,441673.0,441673.0
강동구 - 도로포장률＜br＞(A÷B×100),Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
강동구 - 전체개통도＜br＞(B),Statistics,286516.0,286782.0,289924.0,289924.0,290049.0,290049.0,290189.0,290189.0,290189.0,290189.0
강동구 - 포장도로＜br＞(A),Statistics,286516.0,286782.0,289924.0,289924.0,290049.0,290049.0,290189.0,290189.0,290189.0,290189.0
강릉시 - 도로포장률＜br＞(A÷B×100),Statistics,91.7,91.7,91.7,93.7,93.7,93.7,93.7,93.7,93.6,93.6
강릉시 - 전체개통도＜br＞(B),Statistics,714137.0,716184.0,715339.0,733844.0,740646.0,736906.0,740075.0,740885.0,728507.0,730700.0
강릉시 - 포장도로＜br＞(A),Statistics,654643.0,656690.0,655845.0,687807.0,693929.0,690459.0,693628.0,694438.0,682060.0,684253.0
강북구 - 도로포장률＜br＞(A÷B×100),Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
강북구 - 전체개통도＜br＞(B),Statistics,226714.0,226714.0,226714.0,226714.0,226714.0,227896.0,227896.0,228455.0,228455.0,228455.0
강북구 - 포장도로＜br＞(A),Statistics,226714.0,226714.0,226714.0,226714.0,226714.0,227896.0,227896.0,228455.0,228455.0,228455.0
강서구 - 도로포장률＜br＞(A÷B×100),Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
강서구 - 전체개통도＜br＞(B),Statistics,380606.0,380604.0,385164.0,385164.0,385177.0,410852.0,410852.0,411452.0,411452.0,411452.0
강서구 - 포장도로＜br＞(A),Statistics,380606.0,380604.0,385164.0,385164.0,385177.0,410852.0,410852.0,411452.0,411452.0,411452.0
강원특별자치도 - 도로포장률＜br＞(A÷B×100),Statistics,85.8,86.0,86.2,87.6,88.4,89.9,90.3,91.1,92.0,92.0
강원특별자치도 - 전체개통도＜br＞(B),Statistics,8523315.0,8555676.0,8639679.0,8808023.0,8766448.0,8819167.0,8795238.0,8730443.0,8671593.0,8706668.0
강원특별자치도 - 포장도로＜br＞(A),Statistics,7310161.0,7356626.0,7447050.0,7712073.0,7752488.0,7925333.0,7937954.0,7949339.0,7974575.0,8009650.0
강진군 - 도로포장률＜br＞(A÷B×100),Statistics,96.2,96.2,96.2,96.2,95.2,95.2,95.2,96.6,95.2,95.2
강진군 - 전체개통도＜br＞(B),Statistics,278053.0,278053.0,278053.0,278053.0,277753.0,277753.0,277753.0,276454.0,278473.0,278473.0
강진군 - 포장도로＜br＞(A),Statistics,267567.0,267567.0,267567.0,267567.0,264453.0,264453.0,264453.0,267054.0,265173.0,265173.0
강화군 - 도로포장률＜br＞(A÷B×100),Statistics,72.2,72.2,72.9,77.0,77.5,82.7,82.9,82.9,82.9,82.9
강화군 - 전체개통도＜br＞(B),Statistics,291516.0,291516.0,298858.0,352398.0,364273.0,376170.0,376642.0,376642.0,376642.0,378652.0
강화군 - 포장도로＜br＞(A),Statistics,210416.0,210416.0,217758.0,271298.0,282332.0,311155.0,312067.0,312067.0,312067.0,314077.0
거제시 - 도로포장률＜br＞(A÷B×100),Statistics,98.7,98.7,99.1,99.2,99.2,99.2,99.0,99.0,99.0,99.0
거제시 - 전체개통도＜br＞(B),Statistics,506667.0,507552.0,527011.0,540838.0,547676.0,549383.0,564977.0,566582.0,584482.0,585105.0
거제시 - 포장도로＜br＞(A),Statistics,500247.0,501132.0,522491.0,536318.0,543156.0,544863.0,559257.0,560862.0,578762.0,579385.0
거창군 - 도로포장률＜br＞(A÷B×100),Statistics,85.8,85.8,85.8,85.8,87.3,88.5,88.5,88.6,88.6,88.9
거창군 - 전체개통도＜br＞(B),Statistics,409544.0,407484.0,407484.0,407484.0,408234.0,406734.0,406734.0,433194.0,433194.0,443226.0
거창군 - 포장도로＜br＞(A),Statistics,351492.0,349432.0,349432.0,349432.0,356242.0,359842.0,359842.0,383802.0,383802.0,393834.0
경기도 - 도로포장률＜br＞(A÷B×100),Statistics,97.5,97.6,97.7,98.1,98.1,98.1,98.3,98.4,98.4,98.6
경기도 - 전체개통도＜br＞(B),Statistics,11870549.0,11935455.0,12217097.0,12610761.0,12942191.0,12936569.0,13635499.0,13753818.0,13844585.0,14966384.0
경기도 - 포장도로＜br＞(A),Statistics,11569560.0,11645036.0,11939159.0,12374405.0,12697605.0,12690065.0,13400245.0,13530580.0,13627563.0,14750859.0
경산시 - 도로포장률＜br＞(A÷B×100),Statistics,59.9,60.0,60.2,60.6,62.0,62.1,62.3,62.7,62.7,62.8
경산시 - 전체개통도＜br＞(B),Statistics,947137.0,947561.0,947482.0,947435.0,938546.0,938246.0,938246.0,935024.0,935024.0,935024.0
경산시 - 포장도로＜br＞(A),Statistics,566981.0,568250.0,570657.0,574448.0,582273.0,582965.0,584141.0,585832.0,586424.0,587494.0
경상남도 - 도로포장률＜br＞(A÷B×100),Statistics,89.8,89.9,89.9,90.1,91.0,91.0,92.6,93.2,93.2,93.4
경상남도 - 전체개통도＜br＞(B),Statistics,10771186.0,10628924.0,10813761.0,10858508.0,10920877.0,11095453.0,11200641.0,11233090.0,11304542.0,11361677.0
경상남도 - 포장도로＜br＞(A),Statistics,9671285.0,9551865.0,9717114.0,9788709.0,9942722.0,10100626.0,10377377.0,10473683.0,10530289.0,10608017.0
경상북도 - 도로포장률＜br＞(A÷B×100),Statistics,85.5,86.2,87.0,87.5,87.9,88.1,89.0,91.3,91.4,91.4
경상북도 - 전체개통도＜br＞(B),Statistics,11435938.0,11866235.0,12088856.0,12253934.0,12279716.0,12387406.0,12426266.0,12564231.0,12641367.0,12404660.0
경상북도 - 포장도로＜br＞(A),Statistics,9780752.0,10224434.0,10516254.0,10728103.0,10793384.0,10919427.0,11062487.0,11470138.0,11552026.0,11333689.0
경주시 - 도로포장률＜br＞(A÷B×100),Statistics,89.5,89.6,90.4,90.7,90.7,90.9,91.0,92.7,93.0,93.5
경주시 - 전체개통도＜br＞(B),Statistics,833493.0,844528.0,856218.0,873168.0,861529.0,865924.0,866114.0,868782.0,922370.0,992220.0
경주시 - 포장도로＜br＞(A),Statistics,745583.0,756618.0,773818.0,792268.0,781677.0,787052.0,788056.0,805661.0,857576.0,927396.0
계룡시 - 도로포장률＜br＞(A÷B×100),Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
계룡시 - 전체개통도＜br＞(B),Statistics,122206.0,122206.0,122206.0,122206.0,122206.0,122206.0,132616.0,133856.0,133856.0,133856.0
계룡시 - 포장도로＜br＞(A),Statistics,122206.0,122206.0,122206.0,122206.0,122206.0,122206.0,132616.0,133856.0,133856.0,133856.0
계양구 - 도로포장률＜br＞(A÷B×100),Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
계양구 - 전체개통도＜br＞(B),Statistics,203744.0,204793.0,206867.0,207406.0,207882.0,213037.0,213518.0,213739.0,226172.0,226172.0
계양구 - 포장도로＜br＞(A),Statistics,203744.0,204793.0,206867.0,207406.0,207882.0,213037.0,213518.0,213739.0,226172.0,226172.0
고령군 - 도로포장률＜br＞(A÷B×100),Statistics,89.2,89.2,89.2,96.8,96.8,97.3,97.3,100.0,100.0,100.0
