item,category,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
가평군 - 1인당 자동차등록대수＜br＞(A÷B),Statistics,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6
가평군 - 자동차등록대수＜br＞(A),Statistics,17558.0,18133.0,18913.0,19791.0,21150.0,21876.0,22687.0,23408.0,24351.0,24957.0,25749.0,27063.0,28448.0,29426.0,30414.0,30759.0,31540.0,32423.0,33293.0,34070.0,34587.0
가평군 - 주민등록인구＜br＞(B),Statistics,54845.0,54861.0,54855.0,55698.0,57108.0,57564.0,58890.0,59358.0,60794.0,61017.0,61213.0,62008.0,62448.0,62973.0,62918.0,62415.0,62377.0,62264.0,62150.0,62302.0,62527.0
강남구 - 1인당 자동차등록대수＜br＞(A÷B),Statistics,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5
강남구 - 자동차등록대수＜br＞(A),Statistics,221950.0,229424.0,237278.0,242890.0,243965.0,245031.0,254098.0,246455.0,237373.0,235143.0,240693.0,244787.0,242348.0,238311.0,235314.0,235415.0,236216.0,239643.0,248320.0,253856.0,254871.0
강남구 - 주민등록인구＜br＞(B),Statistics,531517.0,540909.0,556964.0,560958.0,557832.0,562138.0,570095.0,565710.0,564197.0,563599.0,578114.0,576495.0,567115.0,556164.0,542364.0,545169.0,539231.0,533042.0,529102.0,544873.0,557345.0
강동구 - 1인당 자동차등록대수＜br＞(A÷B),Statistics,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
강동구 - 자동차등록대수＜br＞(A),Statistics,128155.0,127229.0,127814.0,129205.0,130144.0,137037.0,139536.0,142150.0,139876.0,139728.0,139920.0,137662.0,136210.0,136558.0,135420.0,139549.0,149866.0,152178.0,153186.0,154020.0,160983.0
강동구 - 주민등록인구＜br＞(B),Statistics,471145.0,464059.0,461760.0,464546.0,469024.0,484745.0,491871.0,495138.0,487905.0,483379.0,476597.0,458658.0,444168.0,436223.0,427573.0,436067.0,459970.0,462664.0,460067.0,459167.0,476942.0
강릉시 - 1인당 자동차등록대수＜br＞(A÷B),Statistics,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6
강릉시 - 자동차등록대수＜br＞(A),Statistics,81148.0,81785.0,82887.0,84457.0,85173.0,87081.0,89027.0,90246.0,91581.0,93252.0,95579.0,98432.0,101698.0,104693.0,106929.0,109166.0,112396.0,115046.0,117792.0,119692.0,120690.0
강릉시 - 주민등록인구＜br＞(B),Statistics,227259.0,224391.0,222016.0,220484.0,218399.0,217464.0,218503.0,217571.0,217741.0,216806.0,215807.0,214560.0,213846.0,213952.0,212957.0,213442.0,213321.0,212965.0,211381.0,209439.0,207731.0
강북구 - 1인당 자동차등록대수＜br＞(A÷B),Statistics,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3
강북구 - 자동차등록대수＜br＞(A),Statistics,73459.0,72005.0,71992.0,71675.0,71402.0,71940.0,73805.0,74135.0,74722.0,74397.0,74554.0,75760.0,76844.0,77820.0,77365.0,76364.0,75679.0,75337.0,75180.0,74549.0,73728.0
강북구 - 주민등록인구＜br＞(B),Statistics,360525.0,353260.0,348990.0,345478.0,342274.0,340367.0,346520.0,345054.0,343157.0,338707.0,335025.0,330873.0,327195.0,324479.0,319164.0,313954.0,308055.0,299182.0,293660.0,288113.0,283597.0
강서구 - 1인당 자동차등록대수＜br＞(A÷B),Statistics,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4
강서구 - 자동차등록대수＜br＞(A),Statistics,150614.0,158055.0,162512.0,166896.0,172385.0,175261.0,180998.0,179155.0,176671.0,175911.0,185303.0,191072.0,196164.0,202063.0,204466.0,204675.0,205054.0,205058.0,207536.0,205821.0,203720.0
강서구 - 주민등록인구＜br＞(B),Statistics,541671.0,553660.0,554945.0,560424.0,576848.0,572836.0,574127.0,569072.0,567431.0,569070.0,585160.0,589074.0,595485.0,601691.0,596949.0,591796.0,580185.0,574315.0,569166.0,563058.0,556171.0
강원특별자치도 - 1인당 자동차등록대수＜br＞(A÷B),Statistics,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6
