item,category,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
가평군 - 보급률,Statistics,63.2,63.4,63.5,65.6,66.3,68.4,70.4,72.0,73.4,75.5,77.0,78.8,80.2,81.6,81.7,51.6,54.1,54.8,54.7
강릉시 - 보급률,Statistics,89.0,90.0,89.8,90.3,90.7,91.1,92.1,93.4,93.8,93.8,94.3,94.7,94.7,95.1,95.8,95.1,95.5,96.1,96.6
강원특별자치도 - 보급률,Statistics,83.7,84.3,84.6,85.5,86.1,86.5,87.5,87.9,88.6,88.8,89.6,90.5,91.0,92.1,92.4,93.0,93.3,93.9,94.1
강진군 - 보급률,Statistics,40.0,40.6,41.3,41.9,42.4,46.6,50.6,51.6,54.5,57.6,58.7,60.9,63.1,65.7,66.9,70.7,73.4,77.4,78.0
거제시 - 보급률,Statistics,87.6,88.7,88.9,90.9,92.6,93.2,93.7,94.8,96.6,96.6,96.8,96.9,96.9,97.1,97.4,97.5,98.1,98.0,98.0
거창군 - 보급률,Statistics,60.2,62.4,62.1,62.2,62.5,62.6,67.6,68.3,73.7,74.5,74.6,74.9,77.4,76.8,77.1,79.0,80.4,78.0,78.5
경기 여주군 - 보급률,Statistics,48.8,59.4,60.9,62.9,67.0,68.5,71.8,75.2,,,,,,,,,,,
경기도 - 보급률,Statistics,91.7,92.3,93.4,94.4,95.3,95.7,96.4,96.9,97.5,97.6,97.9,98.0,98.3,98.5,98.6,98.6,98.6,98.7,98.8
경남 마산시 - 보급률,Statistics,95.2,95.0,95.3,95.6,95.9,,,,,,,,,,,,,,
경남 진해시 - 보급률,Statistics,95.5,97.2,97.6,98.5,98.7,,,,,,,,,,,,,,
경남 창원시 - 보급률,Statistics,93.1,93.5,94.3,94.5,95.1,,,,,,,,,,,,,,
경산시 - 보급률,Statistics,91.0,91.5,95.8,95.3,96.9,98.3,97.7,98.1,98.8,98.9,98.9,98.9,99.2,99.3,99.3,99.3,99.3,99.2,99.3
경상남도 - 보급률,Statistics,82.6,84.1,84.9,85.9,87.2,88.8,89.7,90.4,91.7,92.4,93.1,93.6,94.0,94.4,94.7,95.1,95.5,95.7,95.9
경상북도 - 보급률,Statistics,77.7,78.7,80.7,82.3,83.5,84.9,85.7,87.2,88.5,89.4,90.2,90.5,91.5,92.6,92.9,93.5,94.1,94.8,95.2
경주시 - 보급률,Statistics,75.3,76.1,80.6,84.8,85.6,86.5,87.8,88.5,89.1,89.7,90.5,87.3,91.8,95.5,93.8,93.9,94.0,95.5,95.5
계룡시 - 보급률,Statistics,90.9,92.8,92.9,94.1,95.9,96.4,96.1,96.0,96.0,96.0,96.4,96.0,97.0,97.0,96.9,96.9,97.9,99.1,99.3
고령군 - 보급률,Statistics,61.7,61.7,63.1,66.2,76.6,82.5,82.7,84.8,86.4,88.9,90.7,92.0,93.6,96.3,97.3,98.7,99.1,99.2,99.7
고성군 - 보급률,Statistics,81.6,81.7,84.6,81.3,86.1,87.9,88.8,81.6,81.6,83.2,83.6,83.2,84.2,85.1,86.1,90.8,89.9,91.2,91.3
고양시 - 보급률,Statistics,96.5,96.5,96.6,98.0,98.6,98.8,99.1,99.2,99.3,99.5,99.6,99.7,99.7,99.7,99.7,99.7,99.8,99.8,99.8
고창군 - 보급률,Statistics,58.0,65.4,72.0,88.1,94.3,96.3,97.7,98.2,97.8,98.9,99.1,99.5,99.6,99.6,99.6,99.6,99.7,99.9,99.9
고흥군 - 보급률,Statistics,40.7,42.7,43.8,45.6,51.2,59.8,60.7,61.6,65.1,65.9,68.5,68.6,73.1,76.7,75.8,78.0,79.8,78.4,78.4
곡성군 - 보급률,Statistics,42.0,44.1,49.8,52.3,58.8,67.6,70.2,74.2,74.5,77.9,78.3,77.9,79.0,81.3,85.7,86.3,87.8,90.2,90.6
공주시 - 보급률,Statistics,62.4,63.1,64.4,65.1,66.0,69.7,72.2,75.5,73.0,72.4,77.5,81.5,82.8,82.7,85.8,88.0,89.5,89.6,87.8
과천시 - 보급률,Statistics,98.0,97.4,99.0,99.8,99.4,99.2,99.2,99.0,99.5,99.7,99.7,98.5,98.4,98.4,98.5,98.6,99.1,99.0,99.0
광명시 - 보급률,Statistics,99.7,99.8,99.8,99.8,99.8,99.8,99.8,99.8,100.0,100.0,100.0,100.0,100.0,99.9,99.9,99.9,99.9,99.9,99.9
광양시 - 보급률,Statistics,72.7,73.3,75.8,76.6,78.4,81.0,81.8,83.7,84.9,85.4,85.5,86.8,87.1,87.8,88.3,88.7,89.5,90.1,90.5
광주광역시 - 보급률,Statistics,97.9,97.9,97.9,98.0,98.5,99.4,99.5,99.5,99.6,99.6,99.8,99.8,99.9,99.9,99.9,99.9,99.9,99.9,100.0
광주시 - 보급률,Statistics,85.1,85.1,86.8,87.2,87.4,82.4,83.7,84.9,86.3,87.5,88.9,89.1,94.8,91.1,91.7,92.5,93.0,94.0,94.2
괴산군 - 보급률,Statistics,36.0,36.8,37.6,40.6,46.1,48.3,51.3,52.2,56.7,57.3,58.3,59.5,63.1,66.1,70.3,64.6,63.3,61.8,66.3
구례군 - 보급률,Statistics,53.2,53.9,55.1,57.5,58.2,54.8,57.5,58.0,62.2,58.1,58.3,58.5,73.9,72.2,73.9,78.6,82.6,89.7,90.0
구리시 - 보급률,Statistics,99.7,99.9,99.9,99.9,100.0,99.9,99.9,100.0,100.0,99.9,99.9,99.9,99.9,99.9,99.9,100.0,100.0,100.0,100.0
구미시 - 보급률,Statistics,95.2,95.6,96.3,96.7,97.5,97.9,98.1,98.1,98.6,98.9,99.1,99.6,99.7,99.9,99.9,99.9,99.8,99.8,99.8
군산시 - 보급률,Statistics,88.9,90.5,92.2,91.1,92.2,92.6,92.9,93.1,95.6,98.2,98.2,98.5,98.6,98.9,99.0,99.1,99.2,99.0,99.0
군위군 - 보급률,Statistics,46.3,50.2,48.6,56.7,60.4,74.0,68.7,65.6,74.9,70.3,72.0,72.7,73.5,74.7,76.1,87.7,92.0,92.7,
군포시 - 보급률,Statistics,99.9,99.9,99.9,100.0,100.0,100.0,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
금산군 - 보급률,Statistics,56.5,56.6,58.0,58.3,58.9,60.6,61.7,66.5,70.7,73.3,76.0,78.0,78.6,79.2,80.1,80.4,83.8,85.0,86.3
김제시 - 보급률,Statistics,71.4,73.6,76.1,79.5,83.0,87.6,84.6,86.3,89.6,99.7,99.7,94.7,99.9,100.0,100.0,100.0,100.0,100.0,100.0
김천시 - 보급률,Statistics,68.9,71.4,75.5,76.2,78.0,78.9,79.8,81.1,83.7,84.3,85.8,86.9,87.7,88.0,87.9,88.5,89.3,89.4,89.4
김포시 - 보급률,Statistics,69.2,69.1,71.2,74.1,76.5,78.9,84.3,88.3,91.1,91.6,92.7,94.1,94.5,94.9,95.1,96.2,96.5,96.6,97.0
김해시 - 보급률,Statistics,89.9,91.3,91.9,92.5,93.3,94.0,94.5,95.6,96.8,97.1,97.4,97.7,97.9,98.1,98.3,98.5,98.6,98.6,98.6
나주시 - 보급률,Statistics,50.4,51.8,50.9,67.5,68.9,69.3,70.3,74.5,77.3,78.6,80.3,80.5,81.6,82.8,83.1,85.0,86.0,87.5,86.2
남양주시 - 보급률,Statistics,84.9,85.4,96.0,96.0,96.0,96.1,96.4,96.7,99.9,100.0,100.0,96.7,96.9,97.1,97.2,97.2,97.7,98.1,97.9
남원시 - 보급률,Statistics,62.8,64.4,67.0,71.7,75.1,77.0,79.4,81.2,82.6,85.2,86.5,88.1,90.9,92.0,92.9,93.5,94.7,95.2,94.7
남해군 - 보급률,Statistics,40.4,42.5,43.6,44.4,47.0,48.7,54.4,56.4,59.5,62.3,65.4,66.1,67.4,69.5,73.7,76.1,77.9,81.2,83.9
논산시 - 보급률,Statistics,54.8,56.0,56.8,58.3,59.1,62.6,63.0,64.0,76.7,77.1,77.9,78.9,79.9,82.0,83.4,87.0,93.3,87.9,89.8
단양군 - 보급률,Statistics,64.4,63.4,62.4,62.1,63.3,66.3,69.7,70.6,71.5,70.0,72.3,74.4,76.2,74.0,75.3,77.2,77.2,78.0,80.5
담양군 - 보급률,Statistics,32.9,33.9,38.3,38.9,44.8,57.3,57.4,71.9,72.5,75.4,77.2,78.0,78.8,78.9,79.0,83.1,85.1,85.2,85.3
당진시 - 보급률,Statistics,,,,,,,,72.1,75.0,76.4,77.0,77.8,79.0,82.5,86.1,86.9,90.6,93.0,93.4
대구광역시 - 보급률,Statistics,99.6,99.6,99.7,99.7,99.8,99.8,99.8,99.9,99.9,99.9,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9
대전광역시 - 보급률,Statistics,98.8,99.0,99.2,99.4,99.5,99.6,99.7,99.7,99.8,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,100.0
동두천시 - 보급률,Statistics,91.9,96.5,96.6,96.7,96.8,96.9,99.0,99.0,99.0,99.1,99.3,99.4,98.5,98.5,98.5,97.7,97.7,98.1,98.4
동해시 - 보급률,Statistics,97.6,97.7,97.7,97.8,97.8,98.3,98.8,98.8,98.8,98.9,99.0,99.0,99.2,99.2,99.6,99.6,99.6,99.6,99.6
목포시 - 보급률,Statistics,99.5,99.6,99.6,99.6,99.6,99.7,99.7,99.8,99.7,99.7,99.8,99.8,99.8,99.8,99.8,99.7,99.8,99.8,100.0
무안군 - 보급률,Statistics,29.5,30.2,40.4,43.4,50.1,54.8,65.4,70.0,79.0,86.4,92.4,98.3,98.6,98.7,98.7,99.7,100.0,99.9,100.0
무주군 - 보급률,Statistics,55.1,56.4,58.2,63.8,66.9,68.8,70.0,68.5,74.0,74.6,73.9,79.1,79.3,81.0,82.6,84.3,86.7,87.0,87.1
문경시 - 보급률,Statistics,80.4,81.0,82.0,82.3,87.8,87.8,88.2,87.7,87.6,89.0,89.4,92.8,93.3,93.3,94.3,94.3,90.8,94.1,92.0
밀양시 - 보급률,Statistics,55.3,60.5,62.5,63.6,67.3,68.9,70.6,71.1,74.5,77.2,78.8,79.2,81.8,81.6,85.4,86.4,87.4,88.1,89.2
보령시 - 보급률,Statistics,62.4,64.1,64.4,65.6,70.1,70.4,72.0,74.3,75.8,77.6,78.5,80.3,82.2,84.1,86.2,89.3,89.5,89.5,89.9
보성군 - 보급률,Statistics,42.5,45.2,49.9,50.6,50.6,50.5,52.2,53.8,55.2,55.8,56.0,56.0,57.0,59.3,60.3,61.4,62.8,65.4,65.3
보은군 - 보급률,Statistics,40.4,42.5,43.7,44.1,44.2,44.3,44.4,45.1,46.6,46.7,47.7,50.9,52.6,52.3,53.2,53.5,54.9,57.1,58.7
봉화군 - 보급률,Statistics,39.5,38.7,39.4,45.5,45.5,45.9,46.7,50.0,55.3,56.2,62.6,63.9,65.9,67.4,68.8,69.0,70.9,71.4,72.1
부산광역시 - 보급률,Statistics,99.3,99.5,99.6,99.8,99.9,99.9,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.7,99.8,99.8,99.8
부안군 - 보급률,Statistics,97.3,97.6,97.0,97.7,97.7,97.9,99.1,98.7,99.1,99.1,99.9,99.9,99.9,99.9,99.8,99.9,99.8,99.8,99.9
부여군 - 보급률,Statistics,51.7,45.9,55.1,56.5,57.4,67.8,70.8,70.6,67.0,68.7,69.9,61.9,76.3,82.4,83.1,87.0,88.4,88.9,91.4
부천시 - 보급률,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
사천시 - 보급률,Statistics,86.4,87.0,89.9,92.0,92.5,92.8,93.5,93.6,93.8,94.3,94.9,95.6,95.6,96.3,96.6,96.9,97.4,97.8,98.1
산청군 - 보급률,Statistics,29.0,31.4,32.1,32.9,33.3,38.3,42.0,41.4,45.4,45.6,45.6,46.7,46.8,48.3,47.1,47.6,50.0,55.3,54.9
삼척시 - 보급률,Statistics,83.8,83.7,83.9,85.9,86.3,86.8,87.3,87.8,87.9,85.5,88.2,89.5,92.0,91.4,91.2,91.1,91.1,90.2,90.8
상주시 - 보급률,Statistics,62.6,63.3,64.6,65.7,66.0,67.5,67.5,69.8,76.8,75.6,73.9,72.5,72.5,75.1,74.4,75.5,79.2,79.1,79.6
서산시 - 보급률,Statistics,56.7,59.7,64.6,68.9,75.5,81.3,82.2,85.4,87.1,89.1,89.7,91.7,94.0,96.4,96.9,98.2,98.6,98.6,98.6
서울특별시 - 보급률,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
서천군 - 보급률,Statistics,49.2,52.5,55.1,56.4,60.6,63.1,66.1,68.2,73.4,73.8,75.0,76.5,79.4,82.0,83.8,86.9,87.8,89.6,90.2
성남시 - 보급률,Statistics,99.9,99.8,100.0,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,100.0,100.0,100.0,100.0,100.0,100.0
성주군 - 보급률,Statistics,29.1,29.4,30.5,31.4,33.7,37.7,41.1,49.5,59.7,67.7,73.3,71.8,72.6,73.9,76.6,80.0,81.9,85.1,86.1
세종특별자치시 - 보급률,Statistics,,,,,,,,71.4,78.0,82.3,87.7,90.0,93.1,95.6,96.8,97.9,98.7,99.7,99.8
속초시 - 보급률,Statistics,99.1,99.1,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.7,99.8,99.7,99.7,99.6,99.6,99.7,99.7,99.6,99.6
수원시 - 보급률,Statistics,99.6,99.6,99.8,99.8,99.9,99.7,99.9,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
순창군 - 보급률,Statistics,35.8,42.4,45.6,47.4,52.8,55.2,57.8,62.3,63.3,65.2,69.1,72.7,76.9,79.4,81.6,83.2,85.1,85.5,88.1
순천시 - 보급률,Statistics,86.0,87.2,87.9,88.5,89.3,90.2,91.1,92.0,93.0,94.2,94.8,95.6,96.0,96.5,96.7,97.6,97.5,97.8,98.0
시흥시 - 보급률,Statistics,99.0,99.5,99.3,99.3,99.5,99.6,99.7,99.8,99.8,99.8,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
신안군 - 보급률,Statistics,35.0,44.6,53.1,59.9,77.0,77.3,77.7,87.8,87.3,88.5,89.0,90.1,89.8,89.9,89.8,89.9,89.9,90.3,90.9
아산시 - 보급률,Statistics,67.0,72.4,79.3,81.0,83.3,87.2,87.7,91.2,92.0,93.6,94.7,95.9,96.7,97.0,97.5,97.6,97.7,97.7,97.7
안동시 - 보급률,Statistics,78.8,80.5,81.2,82.3,82.6,83.9,84.5,88.8,89.5,90.7,91.0,91.4,91.5,91.6,92.9,93.1,93.2,96.2,96.5
안산시 - 보급률,Statistics,99.2,99.3,99.6,99.6,99.6,99.6,99.6,99.7,99.8,99.8,99.8,99.9,99.9,99.9,99.8,99.8,99.8,99.9,99.9
안성시 - 보급률,Statistics,68.8,75.0,80.4,82.8,87.8,88.6,88.8,89.9,89.8,90.1,91.2,92.0,92.0,92.4,92.9,93.0,93.1,93.6,93.7
안양시 - 보급률,Statistics,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
양구군 - 보급률,Statistics,69.9,71.8,72.4,73.0,74.2,76.0,76.0,76.3,77.3,78.7,79.8,80.8,83.1,81.9,81.3,81.1,80.7,87.9,82.0
양산시 - 보급률,Statistics,78.9,81.3,82.4,83.1,85.2,88.2,90.0,90.6,91.5,93.6,95.4,96.9,98.2,98.4,98.4,98.4,98.4,98.5,98.5
양양군 - 보급률,Statistics,72.1,74.8,74.8,76.6,79.0,79.1,81.4,83.7,85.6,86.5,87.0,87.8,89.8,91.7,92.1,92.8,92.8,93.4,93.6
양주시 - 보급률,Statistics,81.4,82.2,84.1,86.3,90.0,93.8,93.3,94.1,96.5,97.0,97.4,97.5,97.7,97.9,98.1,98.1,98.2,98.2,98.6
양평군 - 보급률,Statistics,37.1,37.6,37.8,39.3,42.6,49.7,52.0,55.0,64.0,64.1,65.6,71.0,73.6,77.0,79.4,80.8,81.3,81.4,81.7
여수시 - 보급률,Statistics,83.6,84.5,87.3,75.3,83.1,83.2,83.6,84.7,84.8,85.4,91.2,91.5,92.4,93.1,94.8,95.5,96.0,96.1,98.7
여주시 - 보급률,Statistics,,,,,,,,,81.5,83.6,85.6,86.2,86.8,88.4,89.5,90.7,91.5,92.1,93.7
연천군 - 보급률,Statistics,90.6,90.8,90.7,90.7,91.1,91.2,91.9,92.0,93.0,93.0,94.3,94.0,94.0,97.6,98.0,98.0,97.9,98.0,98.8
영광군 - 보급률,Statistics,62.6,66.9,72.9,75.7,81.6,84.8,87.8,89.5,90.3,91.5,91.5,91.6,93.6,94.0,95.0,96.0,96.2,96.4,96.5
영덕군 - 보급률,Statistics,81.5,81.8,83.5,83.8,84.3,84.5,87.3,87.5,88.0,88.6,88.5,90.2,89.9,93.0,94.0,95.0,96.7,96.6,96.6
영동군 - 보급률,Statistics,67.5,69.9,70.4,72.3,73.8,74.7,75.8,76.0,76.2,75.7,77.0,79.0,78.3,78.6,79.9,80.4,83.3,84.2,87.5
영암군 - 보급률,Statistics,59.9,61.8,64.6,66.5,71.6,73.9,75.6,77.0,80.6,80.7,81.5,83.5,85.7,86.6,88.9,92.1,93.8,93.7,95.2
영양군 - 보급률,Statistics,47.1,53.2,52.1,53.9,63.6,70.5,74.8,78.0,80.8,87.9,89.9,89.8,87.5,89.2,90.6,90.9,90.9,93.0,93.0
영월군 - 보급률,Statistics,71.6,72.2,71.7,74.8,74.0,74.1,78.7,74.2,74.4,80.2,80.6,76.1,78.2,78.1,77.3,78.8,78.7,80.1,80.6
영주시 - 보급률,Statistics,79.3,79.6,80.0,80.5,81.2,81.6,82.6,85.0,86.7,87.2,87.6,87.7,88.1,88.4,89.3,89.6,90.3,90.7,91.6
영천시 - 보급률,Statistics,75.6,77.8,79.8,80.5,82.3,84.1,85.3,89.6,91.6,93.0,93.3,94.5,95.0,95.8,95.6,95.8,97.1,97.3,98.0
예산군 - 보급률,Statistics,47.0,47.7,48.3,49.2,50.3,51.2,51.9,54.6,57.6,59.7,62.5,66.8,68.3,69.5,74.2,79.2,79.4,80.1,82.3
예천군 - 보급률,Statistics,48.7,53.5,56.3,57.4,58.4,61.0,62.1,69.3,73.0,74.3,77.9,80.8,83.5,86.4,89.0,90.4,91.8,92.3,92.5
오산시 - 보급률,Statistics,98.8,97.4,99.0,99.2,99.6,99.6,99.7,99.7,99.7,99.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
옥천군 - 보급률,Statistics,73.2,76.0,76.6,81.2,80.3,81.9,79.7,82.7,83.7,83.8,84.0,85.1,85.7,86.9,88.5,89.2,89.9,90.0,90.3
완도군 - 보급률,Statistics,65.8,66.8,68.9,72.1,76.3,77.8,77.9,77.9,94.6,96.2,96.4,96.7,96.4,96.4,97.3,96.8,96.7,96.9,97.4
완주군 - 보급률,Statistics,29.6,31.2,33.4,46.0,55.0,58.0,68.8,70.1,71.4,72.5,76.4,76.5,77.4,80.3,83.1,85.9,87.6,88.0,89.3
용인시 - 보급률,Statistics,92.5,93.4,93.9,93.9,95.2,95.3,98.0,98.4,99.6,98.4,98.5,98.8,98.9,99.1,99.2,99.4,99.5,99.4,99.4
울릉군 - 보급률,Statistics,83.7,83.8,83.9,84.3,84.5,85.1,83.1,83.6,85.1,86.3,86.0,84.9,84.3,89.4,91.3,91.5,92.3,93.0,93.4
울산광역시 - 보급률,Statistics,92.4,93.0,93.5,95.4,96.5,96.6,97.4,97.5,97.8,98.0,98.1,98.2,98.3,98.5,98.7,98.8,98.8,99.4,99.3
