item,category,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
가평군 - 보급률,Statistics,61.5,61.4,64.9,69.8,70.5,71.3,72.1,72.6,74.0,75.9,76.7,78.2,78.9,80.3,81.2,82.5,82.8,85.0,87.3
강남구 - 보급률,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
강동구 - 보급률,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
강릉시 - 보급률,Statistics,85.0,85.1,86.8,87.3,87.2,87.7,87.9,87.8,87.8,89.2,91.1,91.5,91.6,91.8,91.8,92.3,92.3,93.3,93.0
강북구 - 보급률,Statistics,99.3,99.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
강서구 - 보급률,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
강원특별자치도 - 보급률,Statistics,65.7,70.4,75.3,76.4,77.0,81.3,83.1,84.1,85.0,85.6,86.0,87.1,87.1,87.9,89.2,89.6,90.1,91.3,91.5
강진군 - 보급률,Statistics,41.8,44.9,45.9,47.2,55.1,55.6,56.0,56.0,56.1,56.8,56.9,60.3,64.7,65.0,66.7,67.6,68.6,71.7,71.5
강화군 - 보급률,Statistics,41.2,41.6,39.5,100.0,44.6,43.8,45.2,45.2,45.2,45.4,45.9,48.4,30.9,31.3,34.3,36.6,37.0,37.2,39.2
거제시 - 보급률,Statistics,77.8,78.2,79.0,80.4,80.9,80.8,82.7,81.3,81.4,82.5,82.6,85.9,82.7,83.0,85.1,86.3,86.2,86.8,90.7
거창군 - 보급률,Statistics,61.9,62.7,63.0,64.5,64.7,66.1,78.7,79.3,79.9,80.8,81.0,81.0,81.6,82.8,83.2,84.1,84.2,83.2,89.6
경기 여주군 - 보급률,Statistics,40.3,50.3,52.3,52.3,53.1,56.3,62.0,63.3,,,,,,,,,,,
경기도 - 보급률,Statistics,82.2,84.5,85.8,88.1,89.9,90.6,91.3,92.7,93.4,93.7,94.0,94.2,94.5,94.6,94.9,95.1,95.4,95.9,96.4
경남 마산시 - 보급률,Statistics,91.8,92.0,93.0,93.1,93.0,,,,,,,,,,,,,,
경남 진해시 - 보급률,Statistics,89.0,89.6,91.6,91.0,91.8,,,,,,,,,,,,,,
경남 창원시 - 보급률,Statistics,90.7,93.4,93.5,96.5,96.7,,,,,,,,,,,,,,
경산시 - 보급률,Statistics,85.6,86.1,86.9,87.2,87.2,87.6,88.7,89.5,90.1,90.7,91.3,91.3,93.2,93.2,92.4,92.9,92.9,92.6,93.1
경상남도 - 보급률,Statistics,76.7,78.1,80.9,81.9,82.7,83.6,85.3,85.7,86.9,88.1,88.6,89.4,90.5,91.0,91.6,92.3,92.5,92.8,93.3
경상북도 - 보급률,Statistics,60.7,63.2,68.8,69.8,71.9,72.3,74.4,75.9,77.1,78.7,79.3,80.4,81.5,82.0,82.8,83.5,83.9,84.5,85.5
경주시 - 보급률,Statistics,77.0,77.1,78.2,84.5,85.1,85.1,85.4,86.2,86.6,90.2,90.4,90.8,93.1,94.5,94.3,94.4,94.6,94.7,94.5
계룡시 - 보급률,Statistics,93.5,93.6,94.5,95.0,95.2,95.3,95.3,94.3,94.7,94.7,95.8,96.0,96.0,97.1,96.7,97.3,97.3,96.9,97.1
계양구 - 보급률,Statistics,97.0,97.1,97.6,97.6,98.6,99.7,99.7,99.7,99.5,99.5,99.5,99.2,99.2,99.2,99.3,99.3,99.1,99.1,100.0
고령군 - 보급률,Statistics,30.7,31.0,31.0,30.9,33.4,56.8,55.9,56.1,57.7,59.7,59.7,60.3,62.3,62.4,63.4,63.6,63.9,63.9,65.8
고성군 - 보급률,Statistics,44.2,44.0,43.0,43.1,43.3,88.2,88.3,87.0,87.1,91.7,86.2,85.7,86.9,86.1,88.2,88.4,88.8,88.9,89.1
고양시 - 보급률,Statistics,85.1,89.3,89.4,88.3,89.3,89.4,89.9,90.0,90.1,90.6,91.0,92.1,92.8,93.8,92.7,92.8,93.0,94.7,96.9
고창군 - 보급률,Statistics,31.9,32.5,36.6,42.4,44.6,47.5,55.4,54.5,59.3,60.7,63.4,65.5,66.3,67.0,73.0,74.7,76.0,77.6,79.4
고흥군 - 보급률,Statistics,32.2,33.3,34.4,35.7,36.4,41.5,43.1,43.7,44.4,49.9,52.5,57.5,57.3,56.8,57.6,59.3,58.5,67.1,71.8
곡성군 - 보급률,Statistics,35.4,56.8,58.5,58.6,63.2,65.0,65.4,66.7,68.2,67.5,74.7,77.5,80.6,81.4,82.7,82.3,83.4,83.1,77.0
공주시 - 보급률,Statistics,59.5,60.3,63.4,62.2,62.7,62.6,63.2,67.3,69.7,67.8,68.3,69.4,69.2,72.1,73.8,76.5,79.1,79.4,82.7
과천시 - 보급률,Statistics,97.2,98.0,97.8,97.7,98.3,98.5,98.5,98.5,98.4,98.5,98.5,98.5,98.5,98.5,98.5,98.6,98.7,98.8,98.8
관악구 - 보급률,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
광명시 - 보급률,Statistics,98.3,98.8,98.8,98.8,98.6,98.7,98.7,98.6,98.7,98.5,98.5,98.7,98.8,98.9,99.6,99.2,98.7,98.9,98.7
광산구 - 보급률,Statistics,95.1,95.3,96.0,95.5,95.9,96.4,96.4,96.8,97.1,96.7,96.8,96.9,96.8,95.7,97.8,97.9,97.9,98.5,98.5
광양시 - 보급률,Statistics,87.4,87.8,89.6,90.5,90.9,91.1,91.3,91.6,92.1,92.3,92.7,92.7,93.5,94.0,97.9,97.6,98.0,98.0,98.0
광주광역시 - 보급률,Statistics,98.0,98.0,98.0,98.0,97.9,98.1,98.1,98.4,98.6,98.6,98.6,98.7,98.6,98.4,99.0,98.9,98.9,99.0,99.0
광주시 - 보급률,Statistics,88.7,89.2,89.2,89.9,90.0,90.0,91.0,92.0,92.3,92.2,94.3,94.3,94.3,94.5,96.1,96.1,96.8,97.3,96.7
광진구 - 보급률,Statistics,99.3,99.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
괴산군 - 보급률,Statistics,31.5,31.5,31.0,33.0,33.3,38.0,40.5,43.1,42.6,43.4,47.9,47.8,48.5,50.4,49.5,49.6,49.6,50.8,52.5
구례군 - 보급률,Statistics,62.1,67.0,69.7,72.3,88.0,87.4,86.6,87.4,88.6,88.9,88.9,89.2,89.3,90.5,90.3,93.4,95.7,95.6,95.6
구로구 - 보급률,Statistics,99.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
구리시 - 보급률,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.6,99.7,99.6,99.6,99.6,99.6,99.6
구미시 - 보급률,Statistics,82.5,84.4,93.0,93.5,93.5,94.2,96.7,97.4,97.8,98.0,98.0,98.1,97.9,98.0,98.4,98.5,98.5,98.5,98.4
군산시 - 보급률,Statistics,81.9,82.1,82.4,86.3,88.6,88.6,89.8,92.1,92.1,92.1,92.4,92.6,88.9,93.3,90.8,91.4,92.1,92.2,92.1
군위군 - 보급률,Statistics,,,,,4.8,8.6,9.1,9.5,17.1,41.5,38.0,37.9,38.1,35.5,37.9,45.6,49.8,50.3,50.0
군포시 - 보급률,Statistics,97.7,97.7,97.6,96.6,99.7,99.7,99.7,99.7,99.8,99.8,99.8,99.7,99.7,99.8,99.8,99.8,99.8,99.8,99.8
금산군 - 보급률,Statistics,39.8,41.9,46.7,47.0,48.0,49.3,68.1,68.9,70.4,71.0,74.1,76.0,77.2,78.0,78.7,80.1,81.0,81.0,81.5
금정구 - 보급률,Statistics,98.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
금천구 - 보급률,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
기장군 - 보급률,Statistics,2.5,66.7,66.9,78.9,84.6,86.6,87.2,87.5,89.6,89.5,91.0,90.2,90.1,90.3,91.8,91.9,96.4,96.5,97.1
김제시 - 보급률,Statistics,38.8,39.3,40.2,47.7,48.3,48.8,56.8,57.2,57.1,58.6,58.7,59.8,61.8,62.7,65.1,66.3,65.6,67.4,68.8
김천시 - 보급률,Statistics,60.9,60.9,61.5,63.1,64.7,68.1,70.1,70.9,71.3,72.6,76.8,79.0,80.0,81.9,84.7,84.9,85.0,85.0,87.0
김포시 - 보급률,Statistics,61.5,61.0,60.4,59.2,59.2,56.4,65.6,76.1,83.0,84.2,83.9,84.4,87.2,88.2,90.1,91.2,91.4,91.6,91.9
김해시 - 보급률,Statistics,88.8,89.4,91.3,90.2,90.5,90.6,94.0,94.3,94.8,95.1,95.5,96.6,99.5,99.5,99.5,99.6,99.6,99.6,99.7
나주시 - 보급률,Statistics,46.3,47.7,51.0,48.5,52.8,52.3,53.0,58.1,58.8,60.7,66.9,68.2,72.1,77.4,78.7,79.3,80.0,82.7,82.4
남구 - 보급률,Statistics,87.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
남동구 - 보급률,Statistics,99.7,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.2,99.2,99.2,99.2,99.2,98.5,99.2,99.2
남양주시 - 보급률,Statistics,86.3,86.3,86.3,87.6,88.0,92.0,92.0,95.1,95.6,95.7,96.2,97.3,95.8,96.6,96.6,95.9,96.0,96.0,96.9
남원시 - 보급률,Statistics,63.5,68.0,70.7,79.1,79.2,79.3,79.4,79.5,79.6,79.4,79.5,80.1,80.8,81.6,81.0,81.8,89.4,89.4,88.8
남해군 - 보급률,Statistics,37.8,40.6,40.2,44.7,55.3,59.0,58.9,65.8,65.9,67.4,73.3,74.9,77.9,80.0,80.0,81.0,81.2,85.2,85.0
노원구 - 보급률,Statistics,99.3,99.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
논산시 - 보급률,Statistics,33.0,35.7,46.2,46.7,47.7,49.4,50.6,52.4,52.7,60.3,62.0,65.7,66.8,73.1,72.8,74.5,77.4,78.1,78.2
단양군 - 보급률,Statistics,44.7,47.9,48.2,48.8,48.3,55.7,71.3,70.8,70.7,72.8,73.2,74.2,75.3,76.9,78.1,77.6,77.4,77.7,77.7
달서구 - 보급률,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
달성군 - 보급률,Statistics,58.8,65.3,67.5,68.7,76.9,78.0,79.6,81.6,81.9,81.9,82.5,85.0,87.5,89.6,91.1,91.4,92.1,92.1,92.4
담양군 - 보급률,Statistics,37.1,36.1,37.0,39.7,35.7,39.5,56.5,60.3,63.8,71.1,73.2,73.3,73.4,73.4,78.1,78.1,78.0,77.9,79.0
당진시 - 보급률,Statistics,,,,,,,,60.2,60.9,61.1,61.5,62.4,63.4,64.4,66.1,67.3,69.6,72.1,74.1
대구광역시 - 보급률,Statistics,97.0,97.4,97.5,97.5,98.0,98.0,98.2,98.3,98.3,98.3,98.3,98.3,98.4,98.7,98.8,98.8,98.9,98.9,98.4
대덕구 - 보급률,Statistics,94.7,96.0,95.9,97.2,97.2,97.5,97.7,97.7,97.7,97.7,97.7,99.6,99.6,99.6,99.6,99.6,99.6,98.6,98.6
대전광역시 - 보급률,Statistics,95.9,96.1,96.1,97.1,97.1,97.3,97.4,97.4,97.4,97.4,97.4,97.6,97.5,97.8,97.8,98.0,98.1,98.0,98.0
도봉구 - 보급률,Statistics,99.3,99.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
동구 - 보급률,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
동대문구 - 보급률,Statistics,99.3,99.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
동두천시 - 보급률,Statistics,95.9,95.9,95.9,95.9,96.1,96.1,96.1,96.1,96.1,97.1,97.8,99.0,98.9,98.9,98.9,98.9,98.9,99.4,99.7
동래구 - 보급률,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
동작구 - 보급률,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
동해시 - 보급률,Statistics,,,91.1,92.1,93.4,95.1,95.6,95.5,95.5,98.0,98.1,98.1,97.8,98.4,98.4,98.4,98.4,98.4,98.4
마포구 - 보급률,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
