item,category,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
강원특별자치도 - 개소,Statistics,649.0,663.0,670.0,675.0,722.0,755.0,777.0,790.0,814.0,840.0,919.0,921.0,985.0,1065.0,1053.0,1177.0,,,
강원특별자치도 - 면수,Statistics,55531.0,54102.0,53571.0,54058.0,54551.0,54323.0,56919.0,58025.0,63468.0,66446.0,68009.0,68445.0,71480.0,74676.0,72638.0,76263.0,,,
경기도 - 개소,Statistics,6398.0,3334.0,3603.0,3016.0,2835.0,2593.0,2645.0,2700.0,2804.0,6041.0,2954.0,2616.0,2977.0,2995.0,3053.0,2947.0,3026.0,3253.0,3217.0
경기도 - 면수,Statistics,238395.0,237671.0,261924.0,259001.0,198847.0,198681.0,205735.0,189875.0,206046.0,227319.0,209345.0,187159.0,209389.0,216720.0,202279.0,202526.0,213477.0,219876.0,227700.0
경상남도 - 개소,Statistics,2013.0,2098.0,2143.0,1963.0,2065.0,2265.0,2195.0,2226.0,2343.0,2358.0,2399.0,2378.0,2375.0,2380.0,2527.0,2601.0,,,
경상남도 - 면수,Statistics,103857.0,90381.0,94798.0,96122.0,99826.0,105707.0,98194.0,97923.0,100126.0,101711.0,109076.0,102538.0,111816.0,112578.0,113446.0,118349.0,,,
경상북도 - 개소,Statistics,4175.0,4056.0,4042.0,1476.0,1492.0,1580.0,2534.0,1570.0,1327.0,1200.0,1150.0,1109.0,1381.0,1345.0,1451.0,1361.0,1699.0,1511.0,2077.0
경상북도 - 면수,Statistics,80623.0,80195.0,77832.0,63595.0,64564.0,69388.0,68582.0,68769.0,67963.0,67917.0,70698.0,65124.0,64323.0,74978.0,78413.0,73638.0,85872.0,80621.0,94753.0
광주광역시 - 개소,Statistics,555.0,602.0,589.0,605.0,620.0,632.0,639.0,658.0,684.0,709.0,749.0,841.0,875.0,897.0,740.0,728.0,,,
광주광역시 - 면수,Statistics,19997.0,26717.0,26654.0,27218.0,27821.0,28136.0,29038.0,30059.0,30301.0,29494.0,34931.0,36373.0,38000.0,36445.0,28225.0,30188.0,,,
대구광역시 - 개소,Statistics,957.0,1010.0,1066.0,1121.0,1135.0,1180.0,685.0,694.0,709.0,712.0,714.0,722.0,725.0,725.0,713.0,727.0,,,
대구광역시 - 면수,Statistics,36488.0,38337.0,39425.0,40876.0,39616.0,41118.0,29718.0,30300.0,31260.0,31218.0,31318.0,31675.0,31580.0,31580.0,31408.0,29657.0,,,
대전광역시 - 개소,Statistics,459.0,460.0,459.0,486.0,515.0,341.0,358.0,380.0,390.0,397.0,494.0,425.0,430.0,445.0,522.0,516.0,527.0,548.0,
대전광역시 - 면수,Statistics,23758.0,24135.0,25375.0,26792.0,27779.0,23168.0,23480.0,25128.0,26004.0,23048.0,29066.0,24915.0,24149.0,24712.0,27585.0,27088.0,27259.0,28028.0,
부산광역시 - 개소,Statistics,3367.0,3787.0,4021.0,3563.0,3695.0,3650.0,3483.0,3894.0,3405.0,3266.0,3238.0,3379.0,3665.0,3834.0,3749.0,3764.0,,,
