item,category,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
가평군 - 사업체수,Statistics,,,,,,,,,,,6482.0,6818.0,6932.0
강남구 - 사업체수,Statistics,,,,,,,,,,,72511.0,71373.0,71027.0
강동구 - 사업체수,Statistics,,,,,,,,,,,29952.0,29772.0,29080.0
강릉시 - 사업체수,Statistics,,,,,,,,,,,20518.0,20875.0,21347.0
강북구 - 사업체수,Statistics,,,,,,,,,,,18928.0,18918.0,19014.0
강서구 - 사업체수,Statistics,,,,,,,,,,,36556.0,38524.0,39458.0
강원특별자치도 - 사업체수,Statistics,116705.0,117150.0,117569.0,118266.0,121273.0,125192.0,129403.0,133314.0,133517.0,136452.0,140058.0,143475.0,146815.0
강진군 - 사업체수,Statistics,,,,,,,,,,,3208.0,3295.0,3462.0
강화군 - 사업체수,Statistics,,,,,,,,,,,5534.0,5745.0,6026.0
거제시 - 사업체수,Statistics,,,,,,,,,,,15765.0,16126.0,16408.0
거창군 - 사업체수,Statistics,,,,,,,,,,,4823.0,4911.0,5028.0
경기도 - 사업체수,Statistics,640490.0,651427.0,660007.0,687021.0,720850.0,751107.0,773215.0,810259.0,827983.0,856162.0,878275.0,909032.0,934349.0
경산시 - 사업체수,Statistics,,,,,,,,,,,19735.0,20576.0,21183.0
경상남도 - 사업체수,Statistics,216280.0,218683.0,221507.0,224640.0,230794.0,242121.0,248911.0,258710.0,262947.0,268902.0,274490.0,281685.0,286752.0
경상북도 - 사업체수,Statistics,183388.0,183406.0,184151.0,186690.0,193361.0,199544.0,205730.0,213809.0,218795.0,222536.0,226079.0,232030.0,236807.0
경주시 - 사업체수,Statistics,,,,,,,,,,,24266.0,25188.0,26067.0
계룡시 - 사업체수,Statistics,,,,,,,,,,,2271.0,2329.0,2438.0
계양구 - 사업체수,Statistics,,,,,,,,,,,18109.0,18521.0,18712.0
고령군 - 사업체수,Statistics,,,,,,,,,,,3939.0,4025.0,4137.0
고성군 - 사업체수,Statistics,,,,,,,,,,,2878.0,2971.0,3070.0
고양시 - 사업체수,Statistics,,,,,,,,,,,66621.0,69255.0,69687.0
고창군 - 사업체수,Statistics,,,,,,,,,,,5290.0,5367.0,5502.0
고흥군 - 사업체수,Statistics,,,,,,,,,,,5144.0,5233.0,5309.0
곡성군 - 사업체수,Statistics,,,,,,,,,,,2038.0,2104.0,2202.0
공주시 - 사업체수,Statistics,,,,,,,,,,,8983.0,9215.0,9459.0
과천시 - 사업체수,Statistics,,,,,,,,,,,3628.0,3675.0,3697.0
관악구 - 사업체수,Statistics,,,,,,,,,,,26374.0,26105.0,25505.0
광명시 - 사업체수,Statistics,,,,,,,,,,,19114.0,18990.0,18577.0
광산구 - 사업체수,Statistics,,,,,,,,,,,28579.0,29795.0,32061.0
광양시 - 사업체수,Statistics,,,,,,,,,,,11925.0,12231.0,12712.0
광주광역시 - 사업체수,Statistics,97111.0,97511.0,99148.0,99976.0,102386.0,105931.0,108808.0,111285.0,113424.0,116046.0,118409.0,119617.0,123706.0
광주시 - 사업체수,Statistics,,,,,,,,,,,26597.0,27420.0,28195.0
광진구 - 사업체수,Statistics,,,,,,,,,,,24688.0,24535.0,24445.0
괴산군 - 사업체수,Statistics,,,,,,,,,,,2818.0,2901.0,3024.0
구례군 - 사업체수,Statistics,,,,,,,,,,,2251.0,2332.0,2381.0
구로구 - 사업체수,Statistics,,,,,,,,,,,38405.0,38553.0,38756.0
구리시 - 사업체수,Statistics,,,,,,,,,,,14201.0,14648.0,14826.0
구미시 - 사업체수,Statistics,,,,,,,,,,,34719.0,35624.0,36282.0
군산시 - 사업체수,Statistics,,,,,,,,,,,22174.0,22283.0,22440.0
군위군 - 사업체수,Statistics,,,,,,,,,,,1874.0,1920.0,1976.0
군포시 - 사업체수,Statistics,,,,,,,,,,,17286.0,17736.0,17973.0
금산군 - 사업체수,Statistics,,,,,,,,,,,5803.0,5896.0,6054.0
