item,category,2021,2022,2023
가평군 - 사업체수,Statistics,9289.0,9658.0,9945.0
강남구 - 사업체수,Statistics,110007.0,107804.0,104299.0
강동구 - 사업체수,Statistics,41660.0,43157.0,43358.0
강릉시 - 사업체수,Statistics,29034.0,29280.0,30009.0
강북구 - 사업체수,Statistics,26385.0,26114.0,26310.0
강서구 - 사업체수,Statistics,58806.0,59660.0,59969.0
강원특별자치도 - 사업체수,Statistics,200365.0,203375.0,209314.0
강진군 - 사업체수,Statistics,5615.0,5579.0,5876.0
강화군 - 사업체수,Statistics,9256.0,9318.0,9514.0
거제시 - 사업체수,Statistics,21513.0,21635.0,21666.0
거창군 - 사업체수,Statistics,7666.0,7579.0,7977.0
경기도 - 사업체수,Statistics,1481054.0,1514951.0,1562116.0
경산시 - 사업체수,Statistics,30358.0,30880.0,31082.0
경상남도 - 사업체수,Statistics,392614.0,397699.0,399164.0
경상북도 - 사업체수,Statistics,328657.0,333276.0,336555.0
경주시 - 사업체수,Statistics,33379.0,33870.0,34503.0
계룡시 - 사업체수,Statistics,3307.0,3397.0,3607.0
계양구 - 사업체수,Statistics,27913.0,28068.0,28286.0
고령군 - 사업체수,Statistics,5610.0,5831.0,5936.0
고성군 - 사업체수,Statistics,4365.0,4426.0,4683.0
고양시 - 사업체수,Statistics,110660.0,111401.0,116028.0
고창군 - 사업체수,Statistics,7374.0,7746.0,8262.0
고흥군 - 사업체수,Statistics,7933.0,7681.0,8237.0
곡성군 - 사업체수,Statistics,3716.0,3721.0,3899.0
공주시 - 사업체수,Statistics,14691.0,14751.0,15401.0
과천시 - 사업체수,Statistics,6039.0,6218.0,6714.0
관악구 - 사업체수,Statistics,37915.0,36814.0,37689.0
광명시 - 사업체수,Statistics,26653.0,26394.0,26604.0
광산구 - 사업체수,Statistics,48342.0,49342.0,49603.0
광양시 - 사업체수,Statistics,18979.0,19504.0,19613.0
광주광역시 - 사업체수,Statistics,170973.0,170894.0,173424.0
광주시 - 사업체수,Statistics,46834.0,48726.0,49927.0
광진구 - 사업체수,Statistics,33706.0,33325.0,33384.0
괴산군 - 사업체수,Statistics,4932.0,4934.0,5231.0
구례군 - 사업체수,Statistics,3233.0,3281.0,3462.0
구로구 - 사업체수,Statistics,52791.0,52988.0,51955.0
구리시 - 사업체수,Statistics,21325.0,21435.0,22121.0
구미시 - 사업체수,Statistics,46926.0,47547.0,47515.0
군산시 - 사업체수,Statistics,33592.0,32870.0,33811.0
군위군 - 사업체수,Statistics,3321.0,3438.0,3432.0
군포시 - 사업체수,Statistics,26843.0,28217.0,28071.0
금산군 - 사업체수,Statistics,9474.0,9507.0,9728.0
금정구 - 사업체수,Statistics,26714.0,26544.0,26080.0
금천구 - 사업체수,Statistics,47964.0,48438.0,47935.0
