item,category,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
가평군 - 사업체수＜br＞(A),Statistics,,,,,,,,,,,6482.0,6818.0,6932.0
가평군 - 인구천명당 사업체수＜br＞(A÷B×1000),Statistics,,,,,,,,,,,102.9,108.4,111.1
가평군 - 주민등록인구＜br＞(B),Statistics,,,,,,,,,,,62973.0,62918.0,62415.0
강남구 - 사업체수＜br＞(A),Statistics,,,,,,,,,,,72511.0,71373.0,71027.0
강남구 - 인구천명당 사업체수＜br＞(A÷B×1000),Statistics,,,,,,,,,,,130.4,131.6,130.3
강남구 - 주민등록인구＜br＞(B),Statistics,,,,,,,,,,,556164.0,542364.0,545169.0
강동구 - 사업체수＜br＞(A),Statistics,,,,,,,,,,,29952.0,29772.0,29080.0
강동구 - 인구천명당 사업체수＜br＞(A÷B×1000),Statistics,,,,,,,,,,,68.7,69.6,66.7
강동구 - 주민등록인구＜br＞(B),Statistics,,,,,,,,,,,436223.0,427573.0,436067.0
강릉시 - 사업체수＜br＞(A),Statistics,,,,,,,,,,,20518.0,20875.0,21347.0
강릉시 - 인구천명당 사업체수＜br＞(A÷B×1000),Statistics,,,,,,,,,,,95.9,98.0,100.0
강릉시 - 주민등록인구＜br＞(B),Statistics,,,,,,,,,,,213952.0,212957.0,213442.0
강북구 - 사업체수＜br＞(A),Statistics,,,,,,,,,,,18928.0,18918.0,19014.0
강북구 - 인구천명당 사업체수＜br＞(A÷B×1000),Statistics,,,,,,,,,,,58.3,59.3,60.6
강북구 - 주민등록인구＜br＞(B),Statistics,,,,,,,,,,,324479.0,319164.0,313954.0
강서구 - 사업체수＜br＞(A),Statistics,,,,,,,,,,,36556.0,38524.0,39458.0
강서구 - 인구천명당 사업체수＜br＞(A÷B×1000),Statistics,,,,,,,,,,,60.8,64.5,66.7
강서구 - 주민등록인구＜br＞(B),Statistics,,,,,,,,,,,601691.0,596949.0,591796.0
강원특별자치도 - 사업체수＜br＞(A),Statistics,116705.0,117150.0,117569.0,118266.0,121273.0,125192.0,129403.0,133314.0,133517.0,136452.0,140058.0,143475.0,146815.0
강원특별자치도 - 인구천명당 사업체수＜br＞(A÷B×1000),Statistics,77.6,77.7,77.7,77.3,78.9,81.4,83.9,86.3,86.2,88.0,90.4,93.0,95.2
강원특별자치도 - 주민등록인구＜br＞(B),Statistics,1503806.0,1508575.0,1512870.0,1529818.0,1536448.0,1538630.0,1542263.0,1544442.0,1549507.0,1550806.0,1550142.0,1543052.0,1541502.0
강진군 - 사업체수＜br＞(A),Statistics,,,,,,,,,,,3208.0,3295.0,3462.0
강진군 - 인구천명당 사업체수＜br＞(A÷B×1000),Statistics,,,,,,,,,,,87.0,91.2,98.1
강진군 - 주민등록인구＜br＞(B),Statistics,,,,,,,,,,,36868.0,36144.0,35286.0
강화군 - 사업체수＜br＞(A),Statistics,,,,,,,,,,,5534.0,5745.0,6026.0
강화군 - 인구천명당 사업체수＜br＞(A÷B×1000),Statistics,,,,,,,,,,,80.5,83.4,87.1
강화군 - 주민등록인구＜br＞(B),Statistics,,,,,,,,,,,68754.0,68896.0,69178.0
거제시 - 사업체수＜br＞(A),Statistics,,,,,,,,,,,15765.0,16126.0,16408.0
거제시 - 인구천명당 사업체수＜br＞(A÷B×1000),Statistics,,,,,,,,,,,62.0,64.4,66.1
거제시 - 주민등록인구＜br＞(B),Statistics,,,,,,,,,,,254073.0,250516.0,248276.0
거창군 - 사업체수＜br＞(A),Statistics,,,,,,,,,,,4823.0,4911.0,5028.0
거창군 - 인구천명당 사업체수＜br＞(A÷B×1000),Statistics,,,,,,,,,,,76.8,78.6,80.9
거창군 - 주민등록인구＜br＞(B),Statistics,,,,,,,,,,,62763.0,62455.0,62179.0
경기도 - 사업체수＜br＞(A),Statistics,640490.0,651427.0,660007.0,687021.0,720850.0,751107.0,773215.0,810259.0,827983.0,856162.0,878275.0,909032.0,934349.0
경기도 - 인구천명당 사업체수＜br＞(A÷B×1000),Statistics,57.7,57.7,57.6,58.3,60.4,62.1,63.2,65.6,66.1,67.3,68.2,69.5,70.6
경기도 - 주민등록인구＜br＞(B),Statistics,11106211.0,11292264.0,11460610.0,11786622.0,11937415.0,12093299.0,12234630.0,12357830.0,12522606.0,12716780.0,12873895.0,13077153.0,13239666.0
경산시 - 사업체수＜br＞(A),Statistics,,,,,,,,,,,19735.0,20576.0,21183.0
경산시 - 인구천명당 사업체수＜br＞(A÷B×1000),Statistics,,,,,,,,,,,76.1,78.8,80.5
