item,category,2021,2022,2023
가평군 - 사업체수(A),Statistics,9289.0,9658.0,9945.0
가평군 - 인구천명당 사업체수(A÷B×1000),Statistics,149.2,155.4,159.6
가평군 - 주민등록인구(B),Statistics,62264.0,62150.0,62302.0
강남구 - 사업체수(A),Statistics,110007.0,107804.0,104299.0
강남구 - 인구천명당 사업체수(A÷B×1000),Statistics,206.4,203.7,191.4
강남구 - 주민등록인구(B),Statistics,533042.0,529102.0,544873.0
강동구 - 사업체수(A),Statistics,41660.0,43157.0,43358.0
강동구 - 인구천명당 사업체수(A÷B×1000),Statistics,90.0,93.8,94.4
강동구 - 주민등록인구(B),Statistics,462664.0,460067.0,459167.0
강릉시 - 사업체수(A),Statistics,29034.0,29280.0,30009.0
강릉시 - 인구천명당 사업체수(A÷B×1000),Statistics,136.3,138.5,143.3
강릉시 - 주민등록인구(B),Statistics,212965.0,211381.0,209439.0
강북구 - 사업체수(A),Statistics,26385.0,26114.0,26310.0
강북구 - 인구천명당 사업체수(A÷B×1000),Statistics,88.2,88.9,91.3
강북구 - 주민등록인구(B),Statistics,299182.0,293660.0,288113.0
강서구 - 사업체수(A),Statistics,58806.0,59660.0,59969.0
강서구 - 인구천명당 사업체수(A÷B×1000),Statistics,102.4,104.8,106.5
강서구 - 주민등록인구(B),Statistics,574315.0,569166.0,563058.0
강원특별자치도 - 사업체수(A),Statistics,200365.0,203375.0,209314.0
강원특별자치도 - 인구천명당 사업체수(A÷B×1000),Statistics,130.2,132.4,137.0
강원특별자치도 - 주민등록인구(B),Statistics,1538492.0,1536498.0,1527807.0
강진군 - 사업체수(A),Statistics,5615.0,5579.0,5876.0
강진군 - 인구천명당 사업체수(A÷B×1000),Statistics,166.4,168.2,179.6
강진군 - 주민등록인구(B),Statistics,33753.0,33177.0,32722.0
강화군 - 사업체수(A),Statistics,9256.0,9318.0,9514.0
강화군 - 인구천명당 사업체수(A÷B×1000),Statistics,132.8,133.5,137.9
강화군 - 주민등록인구(B),Statistics,69693.0,69803.0,69005.0
거제시 - 사업체수(A),Statistics,21513.0,21635.0,21666.0
거제시 - 인구천명당 사업체수(A÷B×1000),Statistics,89.2,91.4,92.6
거제시 - 주민등록인구(B),Statistics,241216.0,236662.0,234038.0
거창군 - 사업체수(A),Statistics,7666.0,7579.0,7977.0
거창군 - 인구천명당 사업체수(A÷B×1000),Statistics,125.5,125.5,132.8
거창군 - 주민등록인구(B),Statistics,61073.0,60387.0,60047.0
경기도 - 사업체수(A),Statistics,1481054.0,1514951.0,1562116.0
경기도 - 인구천명당 사업체수(A÷B×1000),Statistics,109.2,111.5,114.6
경기도 - 주민등록인구(B),Statistics,13565450.0,13589432.0,13630821.0
경산시 - 사업체수(A),Statistics,30358.0,30880.0,31082.0
경산시 - 인구천명당 사업체수(A÷B×1000),Statistics,113.1,115.3,116.8
경산시 - 주민등록인구(B),Statistics,268369.0,267725.0,266205.0
경상남도 - 사업체수(A),Statistics,392614.0,397699.0,399164.0
경상남도 - 인구천명당 사업체수(A÷B×1000),Statistics,118.5,121.2,122.8
경상남도 - 주민등록인구(B),Statistics,3314183.0,3280493.0,3251158.0
경상북도 - 사업체수(A),Statistics,328657.0,333276.0,336555.0
경상북도 - 인구천명당 사업체수(A÷B×1000),Statistics,125.1,128.2,131.8
경상북도 - 주민등록인구(B),Statistics,2626609.0,2600492.0,2554324.0
경주시 - 사업체수(A),Statistics,33379.0,33870.0,34503.0
경주시 - 인구천명당 사업체수(A÷B×1000),Statistics,132.5,135.7,139.4
경주시 - 주민등록인구(B),Statistics,251889.0,249607.0,247489.0
계룡시 - 사업체수(A),Statistics,3307.0,3397.0,3607.0
계룡시 - 인구천명당 사업체수(A÷B×1000),Statistics,76.3,76.4,77.3
계룡시 - 주민등록인구(B),Statistics,43331.0,44475.0,46667.0
계양구 - 사업체수(A),Statistics,27913.0,28068.0,28286.0
계양구 - 인구천명당 사업체수(A÷B×1000),Statistics,94.4,97.2,100.9
계양구 - 주민등록인구(B),Statistics,295696.0,288856.0,280266.0
고령군 - 사업체수(A),Statistics,5610.0,5831.0,5936.0
고령군 - 인구천명당 사업체수(A÷B×1000),Statistics,183.2,192.1,197.0
고령군 - 주민등록인구(B),Statistics,30626.0,30353.0,30139.0
고성군 - 사업체수(A),Statistics,4365.0,4426.0,4683.0
고성군 - 인구천명당 사업체수(A÷B×1000),Statistics,160.2,162.3,171.5
고성군 - 주민등록인구(B),Statistics,27249.0,27274.0,27305.0
고양시 - 사업체수(A),Statistics,110660.0,111401.0,116028.0
고양시 - 인구천명당 사업체수(A÷B×1000),Statistics,102.5,103.5,107.9
고양시 - 주민등록인구(B),Statistics,1079353.0,1076535.0,1074907.0
고창군 - 사업체수(A),Statistics,7374.0,7746.0,8262.0
고창군 - 인구천명당 사업체수(A÷B×1000),Statistics,138.1,148.0,159.7
고창군 - 주민등록인구(B),Statistics,53386.0,52338.0,51750.0
고흥군 - 사업체수(A),Statistics,7933.0,7681.0,8237.0
고흥군 - 인구천명당 사업체수(A÷B×1000),Statistics,126.4,124.1,134.8
고흥군 - 주민등록인구(B),Statistics,62762.0,61880.0,61113.0
곡성군 - 사업체수(A),Statistics,3716.0,3721.0,3899.0
곡성군 - 인구천명당 사업체수(A÷B×1000),Statistics,135.0,137.5,144.9
곡성군 - 주민등록인구(B),Statistics,27535.0,27060.0,26905.0
공주시 - 사업체수(A),Statistics,14691.0,14751.0,15401.0
공주시 - 인구천명당 사업체수(A÷B×1000),Statistics,142.4,143.8,150.8
공주시 - 주민등록인구(B),Statistics,103145.0,102571.0,102104.0
과천시 - 사업체수(A),Statistics,6039.0,6218.0,6714.0
과천시 - 인구천명당 사업체수(A÷B×1000),Statistics,82.3,79.6,82.9
과천시 - 주민등록인구(B),Statistics,73345.0,78137.0,81000.0
관악구 - 사업체수(A),Statistics,37915.0,36814.0,37689.0
관악구 - 인구천명당 사업체수(A÷B×1000),Statistics,78.1,75.6,78.2
관악구 - 주민등록인구(B),Statistics,485699.0,486752.0,481956.0
광명시 - 사업체수(A),Statistics,26653.0,26394.0,26604.0
광명시 - 인구천명당 사업체수(A÷B×1000),Statistics,91.0,91.7,94.9
광명시 - 주민등록인구(B),Statistics,292893.0,287945.0,280197.0
광산구 - 사업체수(A),Statistics,48342.0,49342.0,49603.0
광산구 - 인구천명당 사업체수(A÷B×1000),Statistics,119.6,123.2,125.0
광산구 - 주민등록인구(B),Statistics,404221.0,400654.0,396741.0
광양시 - 사업체수(A),Statistics,18979.0,19504.0,19613.0
광양시 - 인구천명당 사업체수(A÷B×1000),Statistics,126.1,128.2,128.5
광양시 - 주민등록인구(B),Statistics,150531.0,152168.0,152666.0
광주광역시 - 사업체수(A),Statistics,170973.0,170894.0,173424.0
광주광역시 - 인구천명당 사업체수(A÷B×1000),Statistics,118.6,119.4,122.2
광주광역시 - 주민등록인구(B),Statistics,1441611.0,1431050.0,1419237.0
광주시 - 사업체수(A),Statistics,46834.0,48726.0,49927.0
광주시 - 인구천명당 사업체수(A÷B×1000),Statistics,120.9,124.5,127.6
광주시 - 주민등록인구(B),Statistics,387289.0,391462.0,391377.0
광진구 - 사업체수(A),Statistics,33706.0,33325.0,33384.0
광진구 - 인구천명당 사업체수(A÷B×1000),Statistics,99.1,98.8,99.5
광진구 - 주민등록인구(B),Statistics,339996.0,337416.0,335554.0
괴산군 - 사업체수(A),Statistics,4932.0,4934.0,5231.0
괴산군 - 인구천명당 사업체수(A÷B×1000),Statistics,129.4,133.2,143.0
괴산군 - 주민등록인구(B),Statistics,38122.0,37055.0,36590.0
구례군 - 사업체수(A),Statistics,3233.0,3281.0,3462.0
구례군 - 인구천명당 사업체수(A÷B×1000),Statistics,128.1,133.1,142.4
구례군 - 주민등록인구(B),Statistics,25235.0,24655.0,24314.0
구로구 - 사업체수(A),Statistics,52791.0,52988.0,51955.0
구로구 - 인구천명당 사업체수(A÷B×1000),Statistics,133.1,134.0,132.4
구로구 - 주민등록인구(B),Statistics,396754.0,395315.0,392405.0
구리시 - 사업체수(A),Statistics,21325.0,21435.0,22121.0
구리시 - 인구천명당 사업체수(A÷B×1000),Statistics,111.1,113.6,118.2
구리시 - 주민등록인구(B),Statistics,191948.0,188701.0,187093.0
구미시 - 사업체수(A),Statistics,46926.0,47547.0,47515.0
구미시 - 인구천명당 사업체수(A÷B×1000),Statistics,113.7,116.5,117.2
구미시 - 주민등록인구(B),Statistics,412581.0,408110.0,405506.0
군산시 - 사업체수(A),Statistics,33592.0,32870.0,33811.0
군산시 - 인구천명당 사업체수(A÷B×1000),Statistics,126.6,125.2,130.1
군산시 - 주민등록인구(B),Statistics,265304.0,262467.0,259980.0
군위군 - 사업체수(A),Statistics,3321.0,3438.0,3432.0
군위군 - 인구천명당 사업체수(A÷B×1000),Statistics,144.7,147.3,149.3
군위군 - 주민등록인구(B),Statistics,22945.0,23340.0,22988.0
군포시 - 사업체수(A),Statistics,26843.0,28217.0,28071.0
군포시 - 인구천명당 사업체수(A÷B×1000),Statistics,100.0,106.0,107.5
군포시 - 주민등록인구(B),Statistics,268535.0,266213.0,261229.0
금산군 - 사업체수(A),Statistics,9474.0,9507.0,9728.0
금산군 - 인구천명당 사업체수(A÷B×1000),Statistics,187.7,189.8,194.2
금산군 - 주민등록인구(B),Statistics,50477.0,50092.0,50093.0
금정구 - 사업체수(A),Statistics,26714.0,26544.0,26080.0
금정구 - 인구천명당 사업체수(A÷B×1000),Statistics,117.1,120.0,121.0
금정구 - 주민등록인구(B),Statistics,228049.0,221256.0,215590.0
금천구 - 사업체수(A),Statistics,47964.0,48438.0,47935.0
금천구 - 인구천명당 사업체수(A÷B×1000),Statistics,207.8,210.9,210.7
금천구 - 주민등록인구(B),Statistics,230811.0,229642.0,227481.0
