item,category,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
가평군 - 인구천명당 종사자수＜br＞(A÷B×1000),Statistics,,,,,,,,,,,412.7,440.7,454.7
가평군 - 종사자수＜br＞(A),Statistics,,,,,,,,,,,25992.0,27728.0,28377.0
가평군 - 주민등록인구＜br＞(B),Statistics,,,,,,,,,,,62973.0,62918.0,62415.0
강남구 - 인구천명당 종사자수＜br＞(A÷B×1000),Statistics,,,,,,,,,,,1220.9,1279.8,1281.9
강남구 - 종사자수＜br＞(A),Statistics,,,,,,,,,,,679047.0,694136.0,698840.0
강남구 - 주민등록인구＜br＞(B),Statistics,,,,,,,,,,,556164.0,542364.0,545169.0
강동구 - 인구천명당 종사자수＜br＞(A÷B×1000),Statistics,,,,,,,,,,,335.9,341.4,325.1
강동구 - 종사자수＜br＞(A),Statistics,,,,,,,,,,,146512.0,145990.0,141770.0
강동구 - 주민등록인구＜br＞(B),Statistics,,,,,,,,,,,436223.0,427573.0,436067.0
강릉시 - 인구천명당 종사자수＜br＞(A÷B×1000),Statistics,,,,,,,,,,,407.3,415.3,433.7
강릉시 - 종사자수＜br＞(A),Statistics,,,,,,,,,,,87148.0,88448.0,92567.0
강릉시 - 주민등록인구＜br＞(B),Statistics,,,,,,,,,,,213952.0,212957.0,213442.0
강북구 - 인구천명당 종사자수＜br＞(A÷B×1000),Statistics,,,,,,,,,,,221.1,226.9,235.4
강북구 - 종사자수＜br＞(A),Statistics,,,,,,,,,,,71752.0,72418.0,73904.0
강북구 - 주민등록인구＜br＞(B),Statistics,,,,,,,,,,,324479.0,319164.0,313954.0
강서구 - 인구천명당 종사자수＜br＞(A÷B×1000),Statistics,,,,,,,,,,,389.6,415.8,435.1
강서구 - 종사자수＜br＞(A),Statistics,,,,,,,,,,,234394.0,248204.0,257494.0
강서구 - 주민등록인구＜br＞(B),Statistics,,,,,,,,,,,601691.0,596949.0,591796.0
강원특별자치도 - 인구천명당 종사자수＜br＞(A÷B×1000),Statistics,298.0,309.3,316.7,320.4,326.9,338.3,357.4,366.2,374.5,384.8,397.5,414.3,434.8
강원특별자치도 - 종사자수＜br＞(A),Statistics,448200.0,466538.0,479165.0,490109.0,502315.0,520560.0,551182.0,565568.0,580331.0,596710.0,616250.0,639277.0,670247.0
강원특별자치도 - 주민등록인구＜br＞(B),Statistics,1503806.0,1508575.0,1512870.0,1529818.0,1536448.0,1538630.0,1542263.0,1544442.0,1549507.0,1550806.0,1550142.0,1543052.0,1541502.0
강진군 - 인구천명당 종사자수＜br＞(A÷B×1000),Statistics,,,,,,,,,,,324.1,328.5,362.6
강진군 - 종사자수＜br＞(A),Statistics,,,,,,,,,,,11950.0,11872.0,12796.0
강진군 - 주민등록인구＜br＞(B),Statistics,,,,,,,,,,,36868.0,36144.0,35286.0
강화군 - 인구천명당 종사자수＜br＞(A÷B×1000),Statistics,,,,,,,,,,,278.8,298.7,317.0
강화군 - 종사자수＜br＞(A),Statistics,,,,,,,,,,,19166.0,20579.0,21929.0
강화군 - 주민등록인구＜br＞(B),Statistics,,,,,,,,,,,68754.0,68896.0,69178.0
거제시 - 인구천명당 종사자수＜br＞(A÷B×1000),Statistics,,,,,,,,,,,464.5,434.7,463.0
거제시 - 종사자수＜br＞(A),Statistics,,,,,,,,,,,118008.0,108897.0,114948.0
거제시 - 주민등록인구＜br＞(B),Statistics,,,,,,,,,,,254073.0,250516.0,248276.0
거창군 - 인구천명당 종사자수＜br＞(A÷B×1000),Statistics,,,,,,,,,,,314.8,326.5,344.8
거창군 - 종사자수＜br＞(A),Statistics,,,,,,,,,,,19757.0,20391.0,21437.0
거창군 - 주민등록인구＜br＞(B),Statistics,,,,,,,,,,,62763.0,62455.0,62179.0
경기도 - 인구천명당 종사자수＜br＞(A÷B×1000),Statistics,300.3,304.5,310.5,318.1,328.4,334.2,348.1,361.9,371.3,377.7,384.8,395.7,400.5
경기도 - 종사자수＜br＞(A),Statistics,3334921.0,3438529.0,3558618.0,3749124.0,3920313.0,4041398.0,4259184.0,4471751.0,4650266.0,4802589.0,4953790.0,5174364.0,5302740.0
경기도 - 주민등록인구＜br＞(B),Statistics,11106211.0,11292264.0,11460610.0,11786622.0,11937415.0,12093299.0,12234630.0,12357830.0,12522606.0,12716780.0,12873895.0,13077153.0,13239666.0
경산시 - 인구천명당 종사자수＜br＞(A÷B×1000),Statistics,,,,,,,,,,,414.1,418.8,430.9
경산시 - 종사자수＜br＞(A),Statistics,,,,,,,,,,,107463.0,109338.0,113406.0
경산시 - 주민등록인구＜br＞(B),Statistics,,,,,,,,,,,259485.0,261093.0,263185.0
