item,category,2021,2022,2023
가평군 - 인구천명당 종사자수(A÷B×1000),Statistics,482.0,505.2,515.5
가평군 - 종사자수(A),Statistics,30014.0,31400.0,32117.0
가평군 - 주민등록인구(B),Statistics,62264.0,62150.0,62302.0
강남구 - 인구천명당 종사자수(A÷B×1000),Statistics,1503.5,1517.5,1417.9
강남구 - 종사자수(A),Statistics,801419.0,802907.0,772567.0
강남구 - 주민등록인구(B),Statistics,533042.0,529102.0,544873.0
강동구 - 인구천명당 종사자수(A÷B×1000),Statistics,340.3,358.3,354.4
강동구 - 종사자수(A),Statistics,157465.0,164833.0,162732.0
강동구 - 주민등록인구(B),Statistics,462664.0,460067.0,459167.0
강릉시 - 인구천명당 종사자수(A÷B×1000),Statistics,464.8,473.3,485.4
강릉시 - 종사자수(A),Statistics,98995.0,100057.0,101653.0
강릉시 - 주민등록인구(B),Statistics,212965.0,211381.0,209439.0
강북구 - 인구천명당 종사자수(A÷B×1000),Statistics,268.1,271.9,270.0
강북구 - 종사자수(A),Statistics,80222.0,79859.0,77797.0
강북구 - 주민등록인구(B),Statistics,299182.0,293660.0,288113.0
강서구 - 인구천명당 종사자수(A÷B×1000),Statistics,505.8,525.9,544.6
강서구 - 종사자수(A),Statistics,290473.0,299324.0,306659.0
강서구 - 주민등록인구(B),Statistics,574315.0,569166.0,563058.0
강원특별자치도 - 인구천명당 종사자수(A÷B×1000),Statistics,464.3,473.5,483.2
강원특별자치도 - 종사자수(A),Statistics,714310.0,727557.0,738221.0
강원특별자치도 - 주민등록인구(B),Statistics,1538492.0,1536498.0,1527807.0
강진군 - 인구천명당 종사자수(A÷B×1000),Statistics,430.5,445.3,487.7
강진군 - 종사자수(A),Statistics,14529.0,14774.0,15959.0
강진군 - 주민등록인구(B),Statistics,33753.0,33177.0,32722.0
강화군 - 인구천명당 종사자수(A÷B×1000),Statistics,376.6,368.7,380.6
강화군 - 종사자수(A),Statistics,26249.0,25735.0,26261.0
강화군 - 주민등록인구(B),Statistics,69693.0,69803.0,69005.0
거제시 - 인구천명당 종사자수(A÷B×1000),Statistics,434.3,453.8,469.0
거제시 - 종사자수(A),Statistics,104753.0,107388.0,109755.0
거제시 - 주민등록인구(B),Statistics,241216.0,236662.0,234038.0
거창군 - 인구천명당 종사자수(A÷B×1000),Statistics,389.8,393.3,404.4
거창군 - 종사자수(A),Statistics,23806.0,23748.0,24284.0
거창군 - 주민등록인구(B),Statistics,61073.0,60387.0,60047.0
경기도 - 인구천명당 종사자수(A÷B×1000),Statistics,441.9,449.1,453.9
경기도 - 종사자수(A),Statistics,5994570.0,6103213.0,6187581.0
