item,category,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
(구)강서구 - 지가변동률,Statistics,2.0,3.29,11.1,2.01,3.44,1.17,-0.38,-0.79,,,,,,,,,,
(구)광산구 - 지가변동률,Statistics,,9.11,17.82,10.97,4.99,0.13,-0.37,-0.34,,,,,,,,,,
(구)광주직할시 - 지가변동률,Statistics,0.98,10.41,19.83,8.34,4.69,0.49,-0.21,-0.2,,,,,,,,,,
(구)금정구 - 지가변동률,Statistics,,8.98,9.07,3.27,5.48,0.06,-0.32,-0.11,,,,,,,,,,
(구)남구 - 지가변동률,Statistics,3.58,12.57,5.9,3.19,3.79,0.07,-0.38,-0.05,-0.11,-0.03,0.0,,,,,,,
(구)남동구 - 지가변동률,Statistics,,3.05,9.64,15.86,8.24,0.1,0.0,0.17,,,,,,,,,,
(구)남제주군 - 지가변동률,Statistics,0.49,4.83,32.42,2.35,0.07,0.66,-0.06,-0.37,-0.33,0.0,0.08,-0.04,1.06,-0.42,-0.28,0.51,0.68,0.26
(구)달서구 - 지가변동률,Statistics,,5.57,7.69,6.28,4.4,0.14,-0.08,0.08,,,,,,,,,,
(구)대구직할시 - 지가변동률,Statistics,1.69,6.49,11.79,6.34,6.17,0.11,-0.21,0.3,,,,,,,,,,
(구)대전시 - 지가변동률,Statistics,0.28,1.93,,,,,,,,,,,,,,,,
(구)대전시 동구 - 지가변동률,Statistics,0.63,1.19,,,,,,,,,,,,,,,,
(구)대전시 서구 - 지가변동률,Statistics,,2.82,,,,,,,,,,,,,,,,
(구)대전시 중구 - 지가변동률,Statistics,0.15,1.87,,,,,,,,,,,,,,,,
(구)대전직할시 - 지가변동률,Statistics,,,6.17,2.31,8.45,0.06,-0.03,0.01,,,,,,,,,,
(구)동구 - 지가변동률,Statistics,3.94,5.13,6.42,2.9,5.04,0.27,-0.02,-0.51,-0.14,0.03,0.0,,,,,,,
(구)동래구 - 지가변동률,Statistics,2.52,9.93,5.65,4.43,3.99,0.19,-0.06,-0.62,,,,,,,,,,
(구)마산시 - 지가변동률,Statistics,3.14,6.69,7.67,2.37,3.29,1.03,-0.23,-0.59,0.13,0.13,-0.17,-0.07,-0.1,0.5,0.26,0.9,0.48,0.68
(구)마산시합포구 - 지가변동률,Statistics,,,,,3.1,1.3,-0.27,-0.58,0.17,0.21,-0.37,-0.11,-0.25,0.48,,,,
(구)마산시회원구 - 지가변동률,Statistics,,,,,3.57,0.61,-0.19,-0.6,0.08,0.03,0.1,-0.02,0.08,0.51,,,,
(구)부산직할시 - 지가변동률,Statistics,2.98,7.4,7.1,2.98,4.74,0.26,-0.24,-0.31,,,,,,,,,,
(구)부산진구 - 지가변동률,Statistics,2.12,6.69,6.27,3.23,6.27,0.12,-0.01,-0.17,,,,,,,,,,
(구)북구 - 지가변동률,Statistics,4.05,3.27,8.63,1.51,3.4,0.28,-0.18,-0.27,,,,,,,,,,
(구)북제주군 - 지가변동률,Statistics,0.42,3.82,30.1,3.29,1.5,0.54,-0.12,-0.42,-0.22,0.0,0.25,-0.01,1.26,0.06,-0.27,2.67,0.55,0.57
(구)사하구 - 지가변동률,Statistics,3.39,5.52,8.67,3.4,5.69,0.23,-0.37,-0.28,,,,,,,,,,
(구)상당구 - 지가변동률,Statistics,,,,,,,,,-0.11,-0.21,0.25,0.07,0.69,0.54,0.12,5.97,0.95,1.2
(구)서구 - 지가변동률,Statistics,2.95,4.2,5.72,3.38,5.46,0.57,-0.01,-0.61,,,,,,,,,,
