item,category,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
가평군 - 재정자주도(세입과목개편전),Statistics,67.8,66.0,64.3,61.2,67.4,64.8,69.7,69.6,65.5,69.4,71.4,72.4,71.4,69.2,70.8,67.4,70.3,70.0,68.9,66.5,70.4,67.4,65.1,63.6
가평군 - 재정자주도(세입과목개편후),Statistics,,,,,,,,,,,,,61.5,62.0,63.6,61.0,64.4,64.7,68.9,66.5,70.4,67.3,58.9,57.7
강남구 - 재정자주도(세입과목개편전),Statistics,87.7,87.6,91.4,91.0,90.2,89.2,89.2,91.4,89.3,84.8,82.2,77.5,71.9,67.6,66.4,68.9,69.5,67.6,69.2,71.7,71.5,71.1,67.2,68.0
강남구 - 재정자주도(세입과목개편후),Statistics,,,,,,,,,,,,,65.9,61.4,61.3,59.4,54.8,55.8,53.6,56.0,60.9,62.1,58.0,56.6
강동구 - 재정자주도(세입과목개편전),Statistics,43.3,41.3,41.2,87.6,84.8,83.2,79.6,79.7,75.9,71.9,68.0,61.3,56.2,53.8,54.5,57.0,56.1,59.7,54.0,53.2,51.5,51.3,48.3,48.1
강동구 - 재정자주도(세입과목개편후),Statistics,,,,,,,,,,,,,51.6,50.8,51.7,52.3,53.5,40.8,48.8,47.5,46.5,46.5,41.3,42.9
강릉시 - 재정자주도(세입과목개편전),Statistics,69.5,69.5,69.9,80.8,72.6,70.5,70.4,70.1,70.3,70.9,68.8,69.8,67.2,68.1,62.3,66.3,67.3,65.6,63.1,56.9,60.3,63.6,60.7,61.2
강릉시 - 재정자주도(세입과목개편후),Statistics,,,,,,,,,,,,,64.6,65.2,59.6,61.4,63.1,62.0,61.5,54.1,57.8,59.4,58.4,58.8
강북구 - 재정자주도(세입과목개편전),Statistics,31.8,30.0,27.9,81.0,78.6,77.6,71.0,70.4,66.6,64.7,62.2,56.3,52.7,49.4,50.8,53.8,52.3,49.6,51.0,50.3,51.2,52.4,48.2,45.7
강북구 - 재정자주도(세입과목개편후),Statistics,,,,,,,,,,,,,49.1,46.2,47.2,47.1,44.1,42.1,43.5,43.5,44.5,44.2,40.9,40.5
강서구 - 재정자주도(세입과목개편전),Statistics,45.6,41.4,43.8,76.7,73.8,71.8,61.7,61.3,59.4,59.0,57.8,51.8,48.3,45.7,46.3,47.8,47.5,46.7,47.4,45.8,45.9,45.0,43.6,43.1
강서구 - 재정자주도(세입과목개편후),Statistics,,,,,,,,,,,,,43.9,42.1,43.2,42.5,42.5,38.2,39.5,40.5,40.3,39.0,35.9,36.2
강원특별자치도 - 재정자주도(세입과목개편전),Statistics,83.1,81.7,82.6,75.9,75.3,75.8,75.8,75.4,71.7,73.3,74.1,74.1,72.8,69.1,68.8,73.0,76.2,75.9,76.1,71.4,74.5,76.8,73.7,73.9
강원특별자치도 - 재정자주도(세입과목개편후),Statistics,,,,,,,,,,,,,68.3,64.6,64.1,68.0,71.1,70.8,73.1,67.5,71.6,72.8,70.1,70.6
강진군 - 재정자주도(세입과목개편전),Statistics,58.5,65.9,67.9,65.3,58.4,58.4,59.3,56.7,56.5,60.0,57.7,57.1,54.6,54.7,55.2,58.9,61.3,61.5,63.5,64.0,60.8,64.6,60.9,60.8
강진군 - 재정자주도(세입과목개편후),Statistics,,,,,,,,,,,,,52.9,52.2,52.7,56.6,56.0,56.1,63.5,60.0,60.8,61.4,59.8,59.1
강화군 - 재정자주도(세입과목개편전),Statistics,64.8,60.9,53.1,56.7,56.4,52.4,55.1,52.5,52.2,51.4,49.7,51.6,54.9,58.4,57.1,58.3,57.9,61.7,58.4,56.3,58.5,58.7,55.6,56.8
강화군 - 재정자주도(세입과목개편후),Statistics,,,,,,,,,,,,,52.4,54.7,53.5,53.7,51.6,55.1,56.2,54.5,56.8,57.1,54.1,53.7
거제시 - 재정자주도(세입과목개편전),Statistics,73.4,72.2,71.2,68.9,72.4,71.4,73.0,71.8,70.9,68.6,67.8,68.3,64.1,65.8,64.7,65.1,64.8,61.7,65.3,62.1,64.2,64.9,61.7,61.0
거제시 - 재정자주도(세입과목개편후),Statistics,,,,,,,,,,,,,55.6,58.3,57.4,59.6,58.2,56.3,53.6,57.1,60.0,56.4,53.3,53.9
거창군 - 재정자주도(세입과목개편전),Statistics,75.5,72.5,73.9,72.9,69.9,64.3,65.5,66.2,59.9,61.8,61.6,62.7,63.4,65.9,67.2,67.3,66.2,69.1,69.1,66.3,68.6,68.9,68.6,68.7
거창군 - 재정자주도(세입과목개편후),Statistics,,,,,,,,,,,,,58.8,59.7,58.3,55.5,56.0,52.6,58.6,52.3,58.2,62.3,54.1,54.8
경기 여주군 - 재정자주도(세입과목개편전),Statistics,67.9,63.4,60.7,67.9,69.8,71.2,73.4,71.3,66.5,72.7,72.1,70.3,,,,,,,,,,,,
경기도 - 재정자주도(세입과목개편전),Statistics,90.8,90.8,90.4,86.1,85.7,85.1,85.2,84.4,81.5,81.8,81.7,81.4,78.0,75.9,76.9,78.3,78.8,77.3,75.5,73.7,75.4,74.3,70.8,70.3
경기도 - 재정자주도(세입과목개편후),Statistics,,,,,,,,,,,,,71.5,70.0,71.1,69.6,70.8,69.4,69.3,67.2,70.7,69.1,63.2,63.2
경남 마산시 - 재정자주도(세입과목개편전),Statistics,66.9,66.2,67.9,76.6,75.9,72.2,74.8,71.0,75.0,,,,,,,,,,,,,,,
경남 진해시 - 재정자주도(세입과목개편전),Statistics,73.2,66.0,72.5,75.8,78.1,78.9,82.7,72.7,71.1,,,,,,,,,,,,,,,
경남 창원시 - 재정자주도(세입과목개편전),Statistics,74.3,73.2,67.4,78.8,80.3,73.8,76.9,75.5,73.9,,,,,,,,,,,,,,,
경산시 - 재정자주도(세입과목개편전),Statistics,73.5,71.4,72.1,77.7,76.8,70.9,72.2,68.2,66.1,66.6,66.1,65.6,62.1,63.4,64.3,60.3,61.1,63.0,62.7,60.3,60.5,60.6,58.2,57.3
경산시 - 재정자주도(세입과목개편후),Statistics,,,,,,,,,,,,,58.3,59.3,59.0,54.6,54.6,56.1,57.9,55.4,57.1,57.5,51.5,52.6
경상남도 - 재정자주도(세입과목개편전),Statistics,79.5,80.2,80.7,76.1,75.0,74.8,74.5,75.0,73.3,74.2,74.5,73.4,72.8,72.0,72.3,72.6,73.4,71.5,71.4,68.3,69.8,72.2,71.3,70.7
경상남도 - 재정자주도(세입과목개편후),Statistics,,,,,,,,,,,,,66.5,66.1,65.5,66.3,66.4,64.4,65.7,62.9,65.1,67.1,65.7,65.8
경상북도 - 재정자주도(세입과목개편전),Statistics,82.5,81.8,81.5,77.5,76.2,75.9,75.1,74.6,73.0,73.6,73.1,73.2,72.5,71.1,70.7,70.5,72.3,71.9,73.9,69.0,73.5,75.0,71.5,72.3
경상북도 - 재정자주도(세입과목개편후),Statistics,,,,,,,,,,,,,66.1,65.4,63.5,64.1,65.2,64.9,68.9,64.1,69.1,70.7,66.2,65.6
경주시 - 재정자주도(세입과목개편전),Statistics,73.3,73.8,71.6,73.9,75.6,70.8,72.4,70.7,66.4,66.2,65.0,64.8,65.1,62.0,60.9,61.9,64.6,62.2,61.5,59.0,64.3,63.6,61.6,59.5
경주시 - 재정자주도(세입과목개편후),Statistics,,,,,,,,,,,,,59.8,56.3,56.1,56.7,59.4,56.0,57.1,54.5,62.4,60.1,57.8,54.8
계룡시 - 재정자주도(세입과목개편전),Statistics,,,72.0,84.1,79.9,79.0,76.6,74.8,76.9,78.3,77.5,75.7,74.2,72.8,77.5,77.2,76.3,71.2,73.5,71.0,71.1,72.8,71.6,69.8
계룡시 - 재정자주도(세입과목개편후),Statistics,,,,,,,,,,,,,66.9,65.7,68.0,73.4,67.2,63.8,72.2,71.0,70.1,70.3,67.1,58.3
계양구 - 재정자주도(세입과목개편전),Statistics,42.2,39.4,35.9,69.5,68.4,63.3,55.8,51.9,49.7,48.8,49.3,45.9,41.9,42.9,44.1,44.9,43.8,43.1,41.5,42.6,41.8,41.7,38.4,38.6
계양구 - 재정자주도(세입과목개편후),Statistics,,,,,,,,,,,,,39.9,39.4,40.4,41.6,39.0,35.8,37.2,38.8,38.2,36.8,33.8,33.7
고령군 - 재정자주도(세입과목개편전),Statistics,73.2,69.1,71.9,67.1,68.7,66.1,62.7,64.8,60.1,58.4,59.1,58.7,64.6,58.7,59.8,64.3,66.6,67.4,65.5,59.4,64.8,63.0,61.1,60.1
고령군 - 재정자주도(세입과목개편후),Statistics,,,,,,,,,,,,,59.8,54.4,54.0,56.4,58.3,59.7,58.6,53.7,55.9,54.3,52.7,53.4
고성군 - 재정자주도(세입과목개편전),Statistics,66.3,63.9,68.6,66.3,64.2,62.9,65.2,61.8,62.5,62.0,54.6,58.5,58.8,61.7,57.2,62.2,63.4,62.4,61.0,57.4,61.6,62.4,60.5,65.5
고성군 - 재정자주도(세입과목개편후),Statistics,,,,,,,,,,,,,55.9,56.0,52.7,56.5,57.5,57.5,59.0,54.6,59.9,60.9,59.4,62.9
고양시 - 재정자주도(세입과목개편전),Statistics,67.6,59.3,60.2,87.1,83.1,79.8,78.0,77.4,76.5,72.8,74.6,70.8,68.2,64.8,65.9,65.7,64.4,63.3,63.8,60.3,62.6,59.4,56.5,55.9
고양시 - 재정자주도(세입과목개편후),Statistics,,,,,,,,,,,,,62.1,60.5,61.2,58.0,57.6,56.4,59.3,56.5,56.2,54.5,52.7,51.1
고창군 - 재정자주도(세입과목개편전),Statistics,67.7,63.9,60.7,54.6,60.4,54.4,55.4,56.7,55.8,54.1,53.5,57.3,59.1,58.5,59.1,58.6,59.2,60.0,60.4,51.7,58.0,60.9,59.2,55.5
고창군 - 재정자주도(세입과목개편후),Statistics,,,,,,,,,,,,,53.5,53.0,52.5,51.9,52.4,53.6,55.2,47.6,53.9,57.1,53.5,51.8
고흥군 - 재정자주도(세입과목개편전),Statistics,57.8,59.3,61.6,64.0,61.9,59.4,59.3,59.8,56.7,57.2,60.2,59.9,58.2,58.0,58.4,59.4,59.9,61.9,61.8,56.3,62.3,62.5,58.6,57.2
고흥군 - 재정자주도(세입과목개편후),Statistics,,,,,,,,,,,,,53.0,51.8,51.9,52.7,53.2,55.7,57.1,50.6,58.0,58.5,54.7,52.0
곡성군 - 재정자주도(세입과목개편전),Statistics,71.0,74.8,70.8,68.7,60.5,64.7,63.3,62.0,59.0,61.5,62.8,62.7,62.7,61.0,61.4,64.4,66.8,68.6,70.2,63.1,66.5,69.1,66.1,66.8
곡성군 - 재정자주도(세입과목개편후),Statistics,,,,,,,,,,,,,60.4,57.9,56.5,58.1,57.3,57.8,61.6,56.2,60.5,63.7,61.9,61.8
공주시 - 재정자주도(세입과목개편전),Statistics,68.6,67.6,67.2,69.6,71.4,68.0,65.7,61.9,62.7,63.9,65.4,65.4,64.1,63.8,65.8,67.1,66.3,66.3,69.2,67.2,66.3,66.6,61.1,63.0
공주시 - 재정자주도(세입과목개편후),Statistics,,,,,,,,,,,,,60.4,59.6,60.7,62.9,65.6,61.6,62.9,61.5,61.1,61.8,57.8,58.4
과천시 - 재정자주도(세입과목개편전),Statistics,42.3,39.3,38.0,93.7,92.8,89.7,90.4,91.4,91.6,91.8,90.1,90.0,87.0,87.9,87.1,87.0,85.2,83.0,81.2,86.8,84.8,81.9,82.4,80.1
과천시 - 재정자주도(세입과목개편후),Statistics,,,,,,,,,,,,,84.6,83.3,79.3,72.4,76.4,71.2,69.4,44.8,59.1,74.1,61.0,59.1
관악구 - 재정자주도(세입과목개편전),Statistics,32.6,31.3,33.1,81.7,80.6,75.9,72.0,69.5,67.3,64.5,64.5,61.7,57.9,52.5,51.5,53.8,53.1,50.2,51.1,49.1,50.6,51.3,47.7,46.3
관악구 - 재정자주도(세입과목개편후),Statistics,,,,,,,,,,,,,52.2,48.8,47.4,48.6,46.0,43.6,45.5,45.6,46.4,45.1,40.6,40.6
광명시 - 재정자주도(세입과목개편전),Statistics,70.2,66.4,60.4,78.2,82.1,78.6,78.1,79.5,73.4,75.9,75.8,70.9,67.8,66.5,69.1,70.5,67.9,65.4,64.7,64.5,66.5,67.0,66.3,64.4
광명시 - 재정자주도(세입과목개편후),Statistics,,,,,,,,,,,,,57.6,58.1,60.6,63.3,58.8,57.9,59.3,58.4,60.7,60.9,56.6,57.5
광산구 - 재정자주도(세입과목개편전),Statistics,34.0,29.4,26.9,59.1,51.6,47.0,45.6,41.6,34.8,38.7,36.6,34.3,32.0,31.2,32.2,33.3,32.1,33.7,34.8,34.4,33.4,33.7,32.6,33.4
광산구 - 재정자주도(세입과목개편후),Statistics,,,,,,,,,,,,,30.3,29.7,30.7,31.1,29.9,31.3,32.7,31.6,31.1,31.5,29.7,29.7
광양시 - 재정자주도(세입과목개편전),Statistics,67.0,78.9,75.7,81.0,81.2,76.3,74.5,71.6,66.0,68.1,69.3,69.4,68.8,69.1,68.7,70.7,72.7,69.6,67.5,67.1,67.7,67.7,64.6,61.2
광양시 - 재정자주도(세입과목개편후),Statistics,,,,,,,,,,,,,65.0,64.6,64.4,66.4,60.8,62.6,58.6,57.3,57.0,58.6,57.3,53.9
광주광역시 - 재정자주도(세입과목개편전),Statistics,76.7,78.1,74.9,77.1,75.1,75.9,74.2,73.6,69.2,69.9,69.9,67.6,66.5,67.1,69.9,68.8,68.8,68.9,66.6,64.3,67.3,68.9,62.7,60.5
광주광역시 - 재정자주도(세입과목개편후),Statistics,,,,,,,,,,,,,62.5,62.0,65.0,64.4,63.6,62.8,62.4,60.7,62.4,65.1,60.7,58.3
광주시 - 재정자주도(세입과목개편전),Statistics,64.0,54.7,55.3,69.7,78.9,75.8,72.8,74.1,72.3,74.3,72.6,72.1,73.7,68.2,67.7,68.7,66.7,67.0,65.3,62.7,63.4,60.7,55.7,61.8
광주시 - 재정자주도(세입과목개편후),Statistics,,,,,,,,,,,,,72.1,64.7,65.6,66.9,61.9,59.3,64.1,61.6,57.2,57.9,52.5,51.9
