item,category,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
가평군 - 보건분야 예산액＜br＞(B),Statistics,7830.0,8292.0,5204.0,4078.0,4626.0,4736.0,5071.0,5010.0,6208.0,5639.0,7112.0,8818.0,8306.0,9478.0
가평군 - 사회복지분야 예산액＜br＞(A),Statistics,56135.0,54802.0,55598.0,64176.0,64458.0,78650.0,95401.0,95911.0,98559.0,107492.0,132914.0,138632.0,147643.0,163873.0
가평군 - 일반회계중 사회복지예산비중＜br＞{(A+B)÷C×100},Statistics,24.8,23.0,20.4,22.2,21.6,26.2,26.5,27.0,24.9,25.6,28.0,26.0,24.5,29.3
가평군 - 전체 예산액＜br＞(C),Statistics,258439.0,274069.0,297567.0,307360.0,319580.0,317911.0,378871.0,373862.0,420216.0,441627.0,500930.0,566323.0,635733.0,591578.0
강남구 - 보건분야 예산액＜br＞(B),Statistics,15196.0,14598.0,11228.0,12100.0,17269.0,16882.0,18836.0,19600.0,21943.0,20836.0,22148.0,30519.0,35738.0,49539.0
강남구 - 사회복지분야 예산액＜br＞(A),Statistics,155597.0,160335.0,169306.0,187998.0,223126.0,257838.0,281516.0,290953.0,299003.0,355093.0,389826.0,491295.0,480439.0,530005.0
강남구 - 일반회계중 사회복지예산비중＜br＞{(A+B)÷C×100},Statistics,26.6,30.1,35.1,36.8,42.9,45.2,47.3,45.5,43.4,45.7,43.9,38.0,38.2,42.0
강남구 - 전체 예산액＜br＞(C),Statistics,641054.0,580487.0,514739.0,543292.0,560746.0,607498.0,635452.0,682184.0,740088.0,822560.0,939174.0,1372238.0,1352314.0,1381110.0
강동구 - 보건분야 예산액＜br＞(B),Statistics,9521.0,7711.0,8247.0,11033.0,12868.0,13990.0,16962.0,17230.0,18960.0,20894.0,17251.0,21318.0,26603.0,39600.0
강동구 - 사회복지분야 예산액＜br＞(A),Statistics,111246.0,108757.0,125449.0,144898.0,191776.0,221717.0,245093.0,259438.0,290787.0,324341.0,385124.0,489553.0,504791.0,575084.0
강동구 - 일반회계중 사회복지예산비중＜br＞{(A+B)÷C×100},Statistics,35.4,37.8,42.8,45.9,52.4,55.7,55.9,51.7,52.6,53.2,50.0,48.9,51.3,54.8
강동구 - 전체 예산액＜br＞(C),Statistics,340768.0,308277.0,312312.0,339881.0,390491.0,423350.0,469043.0,535179.0,588808.0,648576.0,804295.0,1043970.0,1036255.0,1122005.0
강릉시 - 보건분야 예산액＜br＞(B),Statistics,7016.0,7463.0,7596.0,10982.0,10137.0,12341.0,14079.0,12923.0,15205.0,16422.0,17735.0,18765.0,23527.0,32187.0
강릉시 - 사회복지분야 예산액＜br＞(A),Statistics,124007.0,126693.0,131737.0,142164.0,163879.0,178668.0,193470.0,206088.0,224747.0,250434.0,318854.0,394004.0,445696.0,480364.0
강릉시 - 일반회계중 사회복지예산비중＜br＞{(A+B)÷C×100},Statistics,23.6,26.5,25.9,25.5,28.0,29.6,30.7,28.6,27.6,30.7,29.1,35.8,35.3,34.2
강릉시 - 전체 예산액＜br＞(C),Statistics,555837.0,505404.0,538022.0,601207.0,622040.0,644376.0,676382.0,766736.0,867897.0,869497.0,1158240.0,1153456.0,1331112.0,1500587.0
강북구 - 보건분야 예산액＜br＞(B),Statistics,11014.0,8696.0,8029.0,9820.0,10490.0,11328.0,14065.0,14111.0,15664.0,16858.0,18543.0,21449.0,22071.0,34353.0
강북구 - 사회복지분야 예산액＜br＞(A),Statistics,148566.0,134744.0,139767.0,153263.0,181529.0,208758.0,243077.0,255750.0,272315.0,307513.0,349698.0,441452.0,521504.0,495350.0
강북구 - 일반회계중 사회복지예산비중＜br＞{(A+B)÷C×100},Statistics,45.6,45.6,49.2,49.4,52.2,55.1,56.0,54.5,53.6,53.8,55.3,50.8,59.8,54.4
강북구 - 전체 예산액＜br＞(C),Statistics,349824.0,314400.0,300547.0,330246.0,368185.0,399531.0,458976.0,495284.0,537609.0,603059.0,666043.0,910423.0,909238.0,973657.0
강서구 - 보건분야 예산액＜br＞(B),Statistics,10195.0,9929.0,8848.0,11850.0,12707.0,13475.0,17862.0,18649.0,22371.0,22040.0,25079.0,27805.0,35599.0,51812.0
강서구 - 사회복지분야 예산액＜br＞(A),Statistics,204323.0,184781.0,205770.0,236480.0,280573.0,321023.0,371847.0,394991.0,431373.0,480569.0,571231.0,692827.0,812441.0,768123.0
강서구 - 일반회계중 사회복지예산비중＜br＞{(A+B)÷C×100},Statistics,48.0,48.2,53.2,53.4,58.2,61.6,63.4,61.3,58.0,59.4,59.6,53.1,64.8,60.7
강서구 - 전체 예산액＜br＞(C),Statistics,447053.0,403694.0,403335.0,464670.0,503489.0,543057.0,614258.0,675088.0,781776.0,845878.0,1000873.0,1356065.0,1308137.0,1350730.0
