item,category,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
가평군 - 사회복지시설수＜br＞(A),Statistics,6.0,10.0,14.0,20.0,23.0,16.0,19.0,18.0,19.0,19.0,18.0,20.0,26.0,25.0,26.0,27.0,23.0,24.0,23.0
가평군 - 인구십만명당 사회복지시설수＜br＞(A÷B×100000),Statistics,10.9,18.2,25.5,35.9,40.3,27.8,32.3,30.3,31.3,31.1,29.4,32.3,41.6,39.7,41.3,43.3,36.9,38.5,37.0
가평군 - 주민등록인구＜br＞(B),Statistics,54845.0,54861.0,54855.0,55698.0,57108.0,57564.0,58890.0,59358.0,60794.0,61017.0,61213.0,62008.0,62448.0,62973.0,62918.0,62415.0,62377.0,62264.0,62150.0
강남구 - 사회복지시설수＜br＞(A),Statistics,6.0,8.0,8.0,10.0,14.0,14.0,17.0,15.0,16.0,16.0,21.0,18.0,15.0,16.0,17.0,15.0,13.0,15.0,16.0
강남구 - 인구십만명당 사회복지시설수＜br＞(A÷B×100000),Statistics,1.1,1.5,1.4,1.8,2.5,2.5,3.0,2.7,2.8,2.8,3.6,3.1,2.6,2.9,3.1,2.8,2.4,2.8,3.0
강남구 - 주민등록인구＜br＞(B),Statistics,531517.0,540909.0,556964.0,560958.0,557832.0,562138.0,570095.0,565710.0,564197.0,563599.0,578114.0,576495.0,567115.0,556164.0,542364.0,545169.0,539231.0,533042.0,529102.0
강동구 - 사회복지시설수＜br＞(A),Statistics,7.0,7.0,7.0,7.0,13.0,22.0,31.0,33.0,37.0,45.0,38.0,40.0,40.0,36.0,36.0,36.0,34.0,33.0,32.0
강동구 - 인구십만명당 사회복지시설수＜br＞(A÷B×100000),Statistics,1.5,1.5,1.5,1.5,2.8,4.5,6.3,6.7,7.6,9.3,8.0,8.7,9.0,8.3,8.4,8.3,7.4,7.1,7.0
강동구 - 주민등록인구＜br＞(B),Statistics,471145.0,464059.0,461760.0,464546.0,469024.0,484745.0,491871.0,495138.0,487905.0,483379.0,476597.0,458658.0,444168.0,436223.0,427573.0,436067.0,459970.0,462664.0,460067.0
강릉시 - 사회복지시설수＜br＞(A),Statistics,10.0,12.0,13.0,16.0,19.0,23.0,31.0,37.0,40.0,59.0,67.0,80.0,87.0,93.0,96.0,96.0,99.0,98.0,98.0
강릉시 - 인구십만명당 사회복지시설수＜br＞(A÷B×100000),Statistics,4.4,5.3,5.9,7.3,8.7,10.6,14.2,17.0,18.4,27.2,31.0,37.3,40.7,43.5,45.1,45.0,46.4,46.0,46.4
강릉시 - 주민등록인구＜br＞(B),Statistics,227259.0,224391.0,222016.0,220484.0,218399.0,217464.0,218503.0,217571.0,217741.0,216806.0,215807.0,214560.0,213846.0,213952.0,212957.0,213442.0,213321.0,212965.0,211381.0
강북구 - 사회복지시설수＜br＞(A),Statistics,3.0,4.0,4.0,4.0,13.0,24.0,33.0,33.0,30.0,38.0,38.0,40.0,40.0,41.0,42.0,41.0,41.0,41.0,41.0
강북구 - 인구십만명당 사회복지시설수＜br＞(A÷B×100000),Statistics,0.8,1.1,1.1,1.2,3.8,7.1,9.5,9.6,8.7,11.2,11.3,12.1,12.2,12.6,13.2,13.1,13.3,13.7,14.0
강북구 - 주민등록인구＜br＞(B),Statistics,360525.0,353260.0,348990.0,345478.0,342274.0,340367.0,346520.0,345054.0,343157.0,338707.0,335025.0,330873.0,327195.0,324479.0,319164.0,313954.0,308055.0,299182.0,293660.0
강서구 - 사회복지시설수＜br＞(A),Statistics,6.0,6.0,6.0,8.0,24.0,31.0,43.0,41.0,40.0,43.0,44.0,44.0,42.0,46.0,44.0,46.0,46.0,46.0,52.0
강서구 - 인구십만명당 사회복지시설수＜br＞(A÷B×100000),Statistics,1.1,1.1,1.1,1.4,4.2,5.4,7.5,7.2,7.0,7.6,7.5,7.5,7.1,7.6,7.4,7.8,7.9,8.0,9.1
강서구 - 주민등록인구＜br＞(B),Statistics,541671.0,553660.0,554945.0,560424.0,576848.0,572836.0,574127.0,569072.0,567431.0,569070.0,585160.0,589074.0,595485.0,601691.0,596949.0,591796.0,580185.0,574315.0,569166.0
강원특별자치도 - 사회복지시설수＜br＞(A),Statistics,53.0,94.0,119.0,144.0,178.0,230.0,267.0,295.0,312.0,368.0,395.0,411.0,424.0,437.0,435.0,432.0,447.0,442.0,442.0
강원특별자치도 - 인구십만명당 사회복지시설수＜br＞(A÷B×100000),Statistics,3.5,6.2,7.9,9.6,11.8,15.2,17.5,19.2,20.3,23.9,25.6,26.5,27.3,28.2,28.2,28.0,29.0,28.7,28.8
강원특별자치도 - 주민등록인구＜br＞(B),Statistics,1521375.0,1513110.0,1505420.0,1503806.0,1508575.0,1512870.0,1529818.0,1536448.0,1538630.0,1542263.0,1544442.0,1549507.0,1550806.0,1550142.0,1543052.0,1541502.0,1542840.0,1538492.0,1536498.0
강진군 - 사회복지시설수＜br＞(A),Statistics,1.0,3.0,2.0,2.0,5.0,5.0,7.0,8.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,13.0
강진군 - 인구십만명당 사회복지시설수＜br＞(A÷B×100000),Statistics,2.3,7.0,4.8,4.8,12.1,12.1,16.8,19.2,22.4,22.5,20.1,20.6,21.2,21.7,22.1,22.7,23.1,26.7,39.2
강진군 - 주민등록인구＜br＞(B),Statistics,43550.0,42696.0,41938.0,41352.0,41153.0,41164.0,41624.0,41599.0,40241.0,40079.0,39861.0,38758.0,37753.0,36868.0,36144.0,35286.0,34597.0,33753.0,33177.0
강화군 - 사회복지시설수＜br＞(A),Statistics,3.0,6.0,9.0,11.0,22.0,29.0,40.0,39.0,41.0,40.0,44.0,47.0,46.0,47.0,50.0,51.0,53.0,52.0,52.0
강화군 - 인구십만명당 사회복지시설수＜br＞(A÷B×100000),Statistics,4.6,9.2,13.7,16.5,32.6,43.3,59.6,58.4,61.4,59.9,65.6,69.5,67.6,68.4,72.6,73.7,76.6,74.6,74.5
강화군 - 주민등록인구＜br＞(B),Statistics,65114.0,65389.0,65510.0,66466.0,67387.0,67049.0,67104.0,66779.0,66752.0,66735.0,67118.0,67667.0,68010.0,68754.0,68896.0,69178.0,69203.0,69693.0,69803.0
거제시 - 사회복지시설수＜br＞(A),Statistics,7.0,7.0,7.0,8.0,8.0,12.0,10.0,10.0,10.0,10.0,11.0,12.0,12.0,12.0,21.0,26.0,25.0,27.0,30.0
거제시 - 인구십만명당 사회복지시설수＜br＞(A÷B×100000),Statistics,3.7,3.6,3.5,3.8,3.7,5.3,4.4,4.3,4.2,4.1,4.4,4.7,4.7,4.7,8.4,10.5,10.2,11.2,12.7
거제시 - 주민등록인구＜br＞(B),Statistics,190141.0,195609.0,201412.0,208208.0,217211.0,225522.0,228355.0,232787.0,236944.0,242077.0,248287.0,255828.0,257183.0,254073.0,250516.0,248276.0,245754.0,241216.0,236662.0
거창군 - 사회복지시설수＜br＞(A),Statistics,,,2.0,1.0,4.0,5.0,10.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,11.0,12.0,12.0,11.0,11.0
거창군 - 인구십만명당 사회복지시설수＜br＞(A÷B×100000),Statistics,,,3.1,1.6,6.3,7.9,15.8,17.4,17.4,17.4,15.8,15.8,15.8,15.9,17.6,19.3,19.5,18.0,18.2
