item,category,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
가평군 - 주관적 건강수준인지율,Statistics,40.4,43.4,47.3,50.6,53.0,50.7,50.2,55.7,58.7,59.9,53.9,64.2,57.9,64.1,56.5,57.7
강남구 - 주관적 건강수준인지율,Statistics,58.8,64.3,55.8,58.8,50.5,50.5,48.7,54.3,56.3,42.8,48.0,61.1,58.3,60.2,57.9,52.9
강동구 - 주관적 건강수준인지율,Statistics,42.3,45.9,55.3,44.9,47.3,44.8,48.5,44.8,52.0,55.6,51.8,56.4,55.4,56.0,54.9,58.8
강릉시 - 주관적 건강수준인지율,Statistics,43.0,47.4,66.2,55.4,53.6,48.0,41.5,41.1,42.7,41.5,41.4,52.0,44.6,40.9,42.1,39.5
강북구 - 주관적 건강수준인지율,Statistics,50.7,46.1,45.4,40.9,37.1,41.0,48.0,43.0,38.6,40.4,42.1,59.6,48.1,56.7,54.5,51.8
강서구 - 주관적 건강수준인지율,Statistics,44.6,50.5,45.8,54.2,45.9,43.4,43.1,46.5,40.8,34.1,43.9,57.2,55.5,49.0,48.5,50.8
강원특별자치도 - 주관적 건강수준인지율,Statistics,44.4,46.9,50.7,46.8,50.1,45.8,45.3,43.7,45.4,45.2,43.8,54.3,48.0,48.0,46.9,44.4
강진군 - 주관적 건강수준인지율,Statistics,53.3,52.1,59.0,67.7,66.0,49.3,53.0,51.5,58.5,55.7,48.7,59.7,48.2,55.9,52.7,45.5
강화군 - 주관적 건강수준인지율,Statistics,48.7,56.7,49.7,47.9,45.8,38.9,36.9,42.1,42.5,34.2,33.3,50.2,44.1,54.8,46.2,43.8
거제시 - 주관적 건강수준인지율,Statistics,44.8,47.1,46.5,36.9,41.7,45.3,40.9,43.4,36.9,37.5,34.0,57.8,47.1,41.7,46.6,42.4
거창군 - 주관적 건강수준인지율,Statistics,68.5,52.4,45.2,38.4,50.0,43.3,49.4,47.6,43.4,43.6,43.2,56.2,45.0,41.8,46.6,46.7
경기도 - 주관적 건강수준인지율,Statistics,45.8,47.0,45.3,45.4,44.8,44.1,45.4,44.4,44.0,41.6,40.8,55.9,48.6,50.5,47.4,49.0
경산시 - 주관적 건강수준인지율,Statistics,38.8,43.3,41.2,41.2,45.6,37.7,38.3,39.3,44.0,45.4,43.0,55.0,48.1,54.9,52.8,50.3
경상남도 - 주관적 건강수준인지율,Statistics,48.1,44.5,41.9,42.0,42.4,40.1,40.2,41.6,41.3,38.1,39.4,54.0,45.6,46.3,45.4,47.3
경상북도 - 주관적 건강수준인지율,Statistics,44.9,43.8,41.5,41.9,43.8,39.9,40.6,40.1,42.4,38.8,37.8,52.2,47.4,46.1,45.9,46.5
경주시 - 주관적 건강수준인지율,Statistics,55.4,39.3,36.4,50.3,39.9,36.4,37.0,31.1,38.9,42.4,31.7,50.1,44.3,39.0,44.5,47.4
계룡시 - 주관적 건강수준인지율,Statistics,52.2,46.1,51.8,49.0,51.3,46.5,51.4,46.7,47.1,41.6,43.2,62.4,50.4,52.3,50.6,48.5
계양구 - 주관적 건강수준인지율,Statistics,43.8,40.3,41.9,41.4,42.0,38.3,40.9,42.4,44.8,42.8,36.7,52.8,47.9,51.3,49.0,49.2
고령군 - 주관적 건강수준인지율,Statistics,38.4,41.2,37.0,33.5,39.3,38.2,32.3,36.0,36.6,33.8,37.1,50.2,46.5,39.5,54.8,48.3
고성군 - 주관적 건강수준인지율,Statistics,45.9,48.2,60.5,50.5,49.6,50.7,49.6,52.2,49.6,37.3,40.1,54.4,50.2,54.4,59.8,58.4
고양시 - 주관적 건강수준인지율,Statistics,45.3,45.4,46.4,47.9,46.0,43.1,46.2,44.8,44.7,40.8,42.2,54.5,49.4,49.2,50.5,47.6
