item,category,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
강원특별자치도 - 지방자치단체공무원 현원,Statistics,15810.0,16120.0,16090.0,16199.0,16268.0,16280.0,16736.0,17189.0,17609.0,18599.0,19215.0,16047.0,16734.0,16867.0,17018.0
경기도 - 지방자치단체공무원 현원,Statistics,43053.0,43355.0,43597.0,44584.0,45866.0,46639.0,48273.0,49875.0,51709.0,54864.0,58293.0,51147.0,54018.0,55612.0,56624.0
경상남도 - 지방자치단체공무원 현원,Statistics,21641.0,22120.0,22012.0,22283.0,22228.0,22423.0,22566.0,23060.0,23641.0,24836.0,25690.0,22056.0,22621.0,23376.0,23547.0
경상북도 - 지방자치단체공무원 현원,Statistics,23378.0,23580.0,23810.0,24132.0,24618.0,24653.0,24981.0,25413.0,25983.0,26745.0,27829.0,24047.0,24417.0,24851.0,24646.0
광주광역시 - 지방자치단체공무원 현원,Statistics,6607.0,6684.0,6710.0,6806.0,7019.0,7031.0,7241.0,7314.0,7611.0,7956.0,8409.0,7377.0,7688.0,7832.0,7954.0
대구광역시 - 지방자치단체공무원 현원,Statistics,10860.0,10946.0,11142.0,11237.0,11468.0,11626.0,11880.0,12126.0,12610.0,12912.0,13321.0,10975.0,11218.0,11393.0,11954.0
대전광역시 - 지방자치단체공무원 현원,Statistics,6856.0,6859.0,6825.0,6892.0,7048.0,7139.0,7197.0,7322.0,7474.0,7704.0,7981.0,6704.0,6949.0,7172.0,7223.0
부산광역시 - 지방자치단체공무원 현원,Statistics,15937.0,16178.0,16332.0,16523.0,16770.0,17080.0,17385.0,17780.0,18280.0,19088.0,19294.0,16509.0,17007.0,17358.0,17607.0
서울특별시 - 지방자치단체공무원 현원,Statistics,47360.0,46599.0,46605.0,46981.0,47080.0,46573.0,47640.0,49317.0,50099.0,50599.0,52081.0,45826.0,46651.0,47452.0,48411.0
세종특별자치시 - 지방자치단체공무원 현원,Statistics,,,,965.0,1109.0,1269.0,1507.0,1514.0,1640.0,1906.0,2132.0,1767.0,1840.0,1873.0,1957.0
울산광역시 - 지방자치단체공무원 현원,Statistics,5177.0,5208.0,5263.0,5348.0,5378.0,5609.0,5816.0,5921.0,6065.0,6409.0,6684.0,5644.0,5846.0,5989.0,6124.0
인천광역시 - 지방자치단체공무원 현원,Statistics,13093.0,13176.0,13413.0,13534.0,12956.0,13301.0,13585.0,13721.0,13975.0,14515.0,15662.0,13478.0,13994.0,14485.0,14625.0
전국 - 지방자치단체공무원 현원,Statistics,278303.0,279636.0,281035.0,284355.0,287299.0,289914.0,296273.0,303401.0,310654.0,322862.0,337084.0,292182.0,301930.0,308879.0,313296.0
전라남도 - 지방자치단체공무원 현원,Statistics,19620.0,19555.0,19660.0,19674.0,19686.0,19864.0,20332.0,20604.0,20930.0,21698.0,22685.0,20247.0,20706.0,21343.0,21549.0
전북특별자치도 - 지방자치단체공무원 현원,Statistics,15437.0,15421.0,15613.0,15773.0,15814.0,15930.0,16190.0,16535.0,16644.0,17042.0,17811.0,15639.0,16244.0,16547.0,16729.0
제주특별자치도 - 지방자치단체공무원 현원,Statistics,4899.0,4931.0,4978.0,4985.0,5006.0,5110.0,5219.0,5367.0,5492.0,5862.0,6023.0,5157.0,5235.0,5229.0,5279.0
충청남도 - 지방자치단체공무원 현원,Statistics,16462.0,16712.0,16789.0,16145.0,16437.0,16642.0,16781.0,17081.0,17441.0,18180.0,19313.0,16522.0,17339.0,17780.0,18210.0
충청북도 - 지방자치단체공무원 현원,Statistics,12113.0,12192.0,12196.0,12294.0,12548.0,12745.0,12944.0,13262.0,13451.0,13947.0,14661.0,13040.0,13423.0,13720.0,13839.0
