item,category,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
가평군 - EQ-5D,Statistics,0.945,0.944,0.94,0.95,0.955,0.953,0.955,0.964,0.971,0.97,0.972
강남구 - EQ-5D,Statistics,0.973,0.965,0.949,0.965,0.952,0.963,0.953,0.961,0.965,0.964,0.963
강동구 - EQ-5D,Statistics,0.96,0.967,0.945,0.937,0.934,0.947,0.946,0.942,0.961,0.963,0.958
강릉시 - EQ-5D,Statistics,0.961,0.946,0.966,0.967,0.95,0.957,0.966,0.954,0.947,0.961,0.95
강북구 - EQ-5D,Statistics,0.963,0.958,0.942,0.944,0.94,0.933,0.938,0.95,0.943,0.951,0.939
강서구 - EQ-5D,Statistics,0.963,0.955,0.952,0.962,0.945,0.951,0.956,0.96,0.954,0.971,0.953
강원특별자치도 - EQ-5D,Statistics,0.951,0.951,0.955,0.958,0.954,0.952,0.955,0.955,0.958,0.958,0.953
강진군 - EQ-5D,Statistics,0.95,0.957,0.961,0.958,0.956,0.94,0.952,0.955,0.968,0.964,0.959
강화군 - EQ-5D,Statistics,0.958,0.958,0.957,0.943,0.944,0.923,0.943,0.946,0.954,0.943,0.949
거제시 - EQ-5D,Statistics,0.968,0.962,0.966,0.972,0.97,0.967,0.966,0.958,0.962,0.955,0.946
거창군 - EQ-5D,Statistics,0.958,0.949,0.95,0.947,0.917,0.936,0.957,0.964,0.96,0.966,0.959
경기도 - EQ-5D,Statistics,0.962,0.958,0.951,0.958,0.951,0.945,0.954,0.954,0.957,0.96,0.956
경산시 - EQ-5D,Statistics,0.954,0.948,0.953,0.955,0.954,0.958,0.957,0.973,0.968,0.966,0.959
경상남도 - EQ-5D,Statistics,0.96,0.957,0.953,0.957,0.957,0.95,0.958,0.956,0.963,0.962,0.958
경상북도 - EQ-5D,Statistics,0.957,0.957,0.955,0.963,0.957,0.951,0.954,0.957,0.96,0.959,0.958
경주시 - EQ-5D,Statistics,0.961,0.972,0.963,0.962,0.946,0.941,0.949,0.947,0.946,0.948,0.943
계룡시 - EQ-5D,Statistics,0.963,0.939,0.945,0.96,0.963,0.949,0.964,0.954,0.964,0.967,0.969
계양구 - EQ-5D,Statistics,0.96,0.964,0.95,0.954,0.948,0.941,0.941,0.946,0.953,0.948,0.951
고령군 - EQ-5D,Statistics,0.948,0.963,0.955,0.953,0.969,0.958,0.966,0.964,0.97,0.974,0.965
고성군 - EQ-5D,Statistics,0.952,0.945,0.958,0.965,0.962,0.965,0.956,0.963,0.966,0.965,0.965
고양시 - EQ-5D,Statistics,0.96,0.953,0.958,0.96,0.952,0.938,0.954,0.959,0.955,0.961,0.959
고창군 - EQ-5D,Statistics,0.945,0.954,0.947,0.937,0.941,0.939,0.947,0.936,0.927,0.959,0.954
고흥군 - EQ-5D,Statistics,0.97,0.95,0.964,0.964,0.961,0.965,0.986,0.975,0.975,0.975,0.964
곡성군 - EQ-5D,Statistics,0.949,0.954,0.945,0.952,0.939,0.939,0.941,0.947,0.952,0.949,0.951
공주시 - EQ-5D,Statistics,0.956,0.951,0.946,0.966,0.957,0.957,0.956,0.959,0.953,0.938,0.939
과천시 - EQ-5D,Statistics,0.959,0.972,0.965,0.963,0.96,0.948,0.955,0.959,0.963,0.966,0.971
