item,category,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
강원특별자치도 - 소방공무원 1인당 담당주민수＜br＞(A÷B),Statistics,892.0,809.0,703.0,697.0,683.0,673.0,672.0,628.0,599.0,533.0,478.0,418.0,385.0,354.0,344.0,342.0
강원특별자치도 - 소방공무원 수＜br＞(B),Statistics,1691.0,1870.0,2177.0,2203.0,2253.0,2290.0,2297.0,2469.0,2589.0,2907.0,3225.0,3687.0,4008.0,4348.0,4463.0,4463.0
강원특별자치도 - 주민등록인구＜br＞(A),Statistics,1508575.0,1512870.0,1529818.0,1536448.0,1538630.0,1542263.0,1544442.0,1549507.0,1550806.0,1550142.0,1543052.0,1541502.0,1542840.0,1538492.0,1536498.0,1527807.0
경기도 - 소방공무원 1인당 담당주민수＜br＞(A÷B),Statistics,2080.0,2069.0,2128.0,2004.0,1958.0,1981.0,1923.0,1784.0,1721.0,1548.0,1463.0,1367.0,1288.0,1227.0,1187.0,1186.0
경기도 - 소방공무원 수＜br＞(B),Statistics,5430.0,5538.0,5538.0,5957.0,6176.0,6176.0,6426.0,7018.0,7388.0,8317.0,8941.0,9684.0,10428.0,11053.0,11453.0,11495.0
경기도 - 주민등록인구＜br＞(A),Statistics,11292264.0,11460610.0,11786622.0,11937415.0,12093299.0,12234630.0,12357830.0,12522606.0,12716780.0,12873895.0,13077153.0,13239666.0,13427014.0,13565450.0,13589432.0,13630821.0
경상남도 - 소방공무원 1인당 담당주민수＜br＞(A÷B),Statistics,1463.0,1405.0,1190.0,1197.0,1194.0,1181.0,1187.0,1124.0,1065.0,956.0,867.0,770.0,696.0,633.0,596.0,591.0
경상남도 - 소방공무원 수＜br＞(B),Statistics,2204.0,2314.0,2764.0,2764.0,2780.0,2823.0,2823.0,2993.0,3167.0,3536.0,3890.0,4365.0,4798.0,5233.0,5501.0,5501.0
경상남도 - 주민등록인구＜br＞(A),Statistics,3225255.0,3250176.0,3290536.0,3308765.0,3319314.0,3333820.0,3350257.0,3364702.0,3373871.0,3380404.0,3373988.0,3362553.0,3340216.0,3314183.0,3280493.0,3251158.0
경상북도 - 소방공무원 1인당 담당주민수＜br＞(A÷B),Statistics,1177.0,1112.0,1047.0,983.0,920.0,890.0,883.0,853.0,810.0,736.0,638.0,575.0,518.0,483.0,468.0,465.0
경상북도 - 소방공무원 수＜br＞(B),Statistics,2272.0,2400.0,2570.0,2747.0,2934.0,3033.0,3059.0,3169.0,3332.0,3656.0,4193.0,4636.0,5095.0,5436.0,5554.0,5489.0
경상북도 - 주민등록인구＜br＞(A),Statistics,2673931.0,2669876.0,2689920.0,2699195.0,2698353.0,2699440.0,2700794.0,2702826.0,2700398.0,2691706.0,2676831.0,2665836.0,2639422.0,2626609.0,2600492.0,2554324.0
광주광역시 - 소방공무원 1인당 담당주민수＜br＞(A÷B),Statistics,1543.0,1411.0,1332.0,1340.0,1345.0,1321.0,1311.0,1263.0,1222.0,1125.0,1053.0,1009.0,948.0,919.0,884.0,877.0
광주광역시 - 소방공무원 수＜br＞(B),Statistics,922.0,1016.0,1092.0,1092.0,1092.0,1115.0,1126.0,1166.0,1202.0,1301.0,1386.0,1443.0,1529.0,1568.0,1618.0,1618.0
광주광역시 - 주민등록인구＜br＞(A),Statistics,1422702.0,1433640.0,1454636.0,1463464.0,1469216.0,1472910.0,1475884.0,1472199.0,1469214.0,1463770.0,1459336.0,1456468.0,1450062.0,1441611.0,1431050.0,1419237.0
대구광역시 - 소방공무원 1인당 담당주민수＜br＞(A÷B),Statistics,1549.0,1462.0,1337.0,1280.0,1279.0,1260.0,1256.0,1145.0,1143.0,1052.0,980.0,927.0,891.0,857.0,832.0,797.0
대구광역시 - 소방공무원 수＜br＞(B),Statistics,1609.0,1703.0,1878.0,1959.0,1959.0,1985.0,1985.0,2173.0,2173.0,2354.0,2513.0,2631.0,2713.0,2785.0,2842.0,2980.0
대구광역시 - 주민등록인구＜br＞(A),Statistics,2492724.0,2489781.0,2511676.0,2507271.0,2505644.0,2501588.0,2493264.0,2487829.0,2484557.0,2475231.0,2461769.0,2438031.0,2418346.0,2385412.0,2363691.0,2374960.0
대전광역시 - 소방공무원 1인당 담당주민수＜br＞(A÷B),Statistics,1409.0,1315.0,1332.0,1334.0,1339.0,1324.0,1315.0,1266.0,1219.0,1119.0,1028.0,965.0,934.0,891.0,887.0,885.0
대전광역시 - 소방공무원 수＜br＞(B),Statistics,1051.0,1129.0,1129.0,1136.0,1139.0,1158.0,1165.0,1200.0,1242.0,1342.0,1450.0,1529.0,1568.0,1630.0,1630.0,1630.0
대전광역시 - 주민등록인구＜br＞(A),Statistics,1480895.0,1484180.0,1503664.0,1515603.0,1524583.0,1532811.0,1531809.0,1518775.0,1514370.0,1502227.0,1489936.0,1474870.0,1463882.0,1452251.0,1446072.0,1442216.0
부산광역시 - 소방공무원 1인당 담당주민수＜br＞(A÷B),Statistics,1599.0,1513.0,1401.0,1395.0,1383.0,1360.0,1357.0,1264.0,1214.0,1125.0,1067.0,1004.0,959.0,923.0,885.0,879.0
부산광역시 - 소방공무원 수＜br＞(B),Statistics,2229.0,2341.0,2546.0,2546.0,2559.0,2594.0,2594.0,2780.0,2881.0,3084.0,3225.0,3401.0,3537.0,3631.0,3748.0,3748.0
부산광역시 - 주민등록인구＜br＞(A),Statistics,3564577.0,3543030.0,3567910.0,3550963.0,3538484.0,3527635.0,3519401.0,3513777.0,3498529.0,3470653.0,3441453.0,3413841.0,3391946.0,3350380.0,3317812.0,3293362.0
서울특별시 - 소방공무원 1인당 담당주민수＜br＞(A÷B),Statistics,1915.0,1814.0,1778.0,1694.0,1603.0,1560.0,1514.0,1470.0,1456.0,1418.0,1395.0,1379.0,1344.0,1287.0,1268.0,1263.0
서울특별시 - 소방공무원 수＜br＞(B),Statistics,5327.0,5627.0,5800.0,6051.0,6359.0,6501.0,6674.0,6820.0,6820.0,6951.0,7002.0,7055.0,7196.0,7389.0,7434.0,7434.0
서울특별시 - 주민등록인구＜br＞(A),Statistics,10200827.0,10208302.0,10312545.0,10249679.0,10195318.0,10143645.0,10103233.0,10022181.0,9930616.0,9857426.0,9765623.0,9729107.0,9668465.0,9509458.0,9428372.0,9386034.0
세종특별자치시 - 소방공무원 1인당 담당주민수＜br＞(A÷B),Statistics,,,,,870.0,671.0,858.0,879.0,832.0,824.0,793.0,744.0,702.0,676.0,656.0,661.0
세종특별자치시 - 소방공무원 수＜br＞(B),Statistics,,,,,130.0,182.0,182.0,240.0,292.0,340.0,396.0,458.0,507.0,550.0,585.0,585.0
세종특별자치시 - 주민등록인구＜br＞(A),Statistics,,,,,113117.0,122153.0,156125.0,210884.0,243048.0,280100.0,314126.0,340575.0,355831.0,371895.0,383591.0,386525.0
울산광역시 - 소방공무원 1인당 담당주민수＜br＞(A÷B),Statistics,1693.0,1697.0,1571.0,1461.0,1374.0,1385.0,1367.0,1311.0,1284.0,1243.0,1097.0,985.0,887.0,816.0,794.0,789.0
울산광역시 - 소방공무원 수＜br＞(B),Statistics,657.0,657.0,717.0,777.0,835.0,835.0,853.0,895.0,913.0,937.0,1053.0,1166.0,1281.0,1375.0,1399.0,1399.0
울산광역시 - 주민등록인구＜br＞(A),Statistics,1112407.0,1114866.0,1126298.0,1135494.0,1147256.0,1156480.0,1166377.0,1173534.0,1172304.0,1165132.0,1155623.0,1148019.0,1136017.0,1121592.0,1110663.0,1103661.0
인천광역시 - 소방공무원 1인당 담당주민수＜br＞(A÷B),Statistics,1400.0,1232.0,1241.0,1252.0,1266.0,1277.0,1278.0,1233.0,1198.0,1114.0,1037.0,987.0,926.0,896.0,871.0,880.0
인천광역시 - 소방공무원 수＜br＞(B),Statistics,1923.0,2200.0,2222.0,2237.0,2246.0,2255.0,2271.0,2372.0,2456.0,2646.0,2848.0,2995.0,3179.0,3291.0,3405.0,3405.0
인천광역시 - 주민등록인구＜br＞(A),Statistics,2692696.0,2710579.0,2758296.0,2801274.0,2843981.0,2879782.0,2902608.0,2925815.0,2943069.0,2948542.0,2954642.0,2957026.0,2942828.0,2948375.0,2967314.0,2997410.0
전국 - 소방공무원 1인당 담당주민수＜br＞(A÷B),Statistics,1564.0,1475.0,1385.0,1350.0,1320.0,1305.0,1286.0,1224.0,1186.0,1091.0,1013.0,926.0,859.0,806.0,780.0,777.0
전국 - 소방공무원 수＜br＞(B),Statistics,31685.0,33747.0,36466.0,37569.0,38587.0,39197.0,39923.0,42096.0,43583.0,47457.0,51149.0,55964.0,60315.0,64054.0,65935.0,66059.0
전국 - 주민등록인구＜br＞(A),Statistics,49540367.0,49773145.0,50515666.0,50734284.0,50948272.0,51141463.0,51327916.0,51529338.0,51696216.0,51778544.0,51826059.0,51849861.0,51829023.0,51638809.0,51439038.0,51325329.0
전라남도 - 소방공무원 1인당 담당주민수＜br＞(A÷B),Statistics,1228.0,1097.0,932.0,928.0,924.0,923.0,896.0,844.0,791.0,708.0,625.0,538.0,462.0,412.0,403.0,400.0
전라남도 - 소방공무원 수＜br＞(B),Statistics,1563.0,1744.0,2058.0,2062.0,2066.0,2066.0,2127.0,2263.0,2406.0,2680.0,3012.0,3472.0,4006.0,4450.0,4507.0,4516.0
전라남도 - 주민등록인구＜br＞(A),Statistics,1919000.0,1913004.0,1918485.0,1914339.0,1909618.0,1907172.0,1905780.0,1908996.0,1903914.0,1896424.0,1882970.0,1868745.0,1851549.0,1832803.0,1817697.0,1804217.0
