item,category,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
강원특별자치도 - 소방서 1개서당 담당주민수＜br＞(A÷B),Statistics,137143.0,137534.0,127485.0,118188.0,109902.0,110162.0,110317.0,96844.0,96925.0,96884.0,96441.0,85639.0,85713.0,85472.0,85361.0,84878.0
강원특별자치도 - 소방서 수＜br＞(B),Statistics,11.0,11.0,12.0,13.0,14.0,14.0,14.0,16.0,16.0,16.0,16.0,18.0,18.0,18.0,18.0,18.0
강원특별자치도 - 주민등록인구＜br＞(A),Statistics,1508575.0,1512870.0,1529818.0,1536448.0,1538630.0,1542263.0,1544442.0,1549507.0,1550806.0,1550142.0,1543052.0,1541502.0,1542840.0,1538492.0,1536498.0,1527807.0
경기도 - 소방서 1개서당 담당주민수＜br＞(A÷B),Statistics,322636.0,337077.0,346665.0,351100.0,355685.0,359842.0,363466.0,368312.0,374023.0,378644.0,384622.0,378276.0,383629.0,387584.0,388269.0,389452.0
경기도 - 소방서 수＜br＞(B),Statistics,35.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,35.0,35.0,35.0,35.0,35.0
경기도 - 주민등록인구＜br＞(A),Statistics,11292264.0,11460610.0,11786622.0,11937415.0,12093299.0,12234630.0,12357830.0,12522606.0,12716780.0,12873895.0,13077153.0,13239666.0,13427014.0,13565450.0,13589432.0,13630821.0
경상남도 - 소방서 1개서당 담당주민수＜br＞(A÷B),Statistics,201578.0,180565.0,164527.0,165438.0,165966.0,166691.0,167513.0,160224.0,160661.0,160972.0,160666.0,160122.0,159058.0,157818.0,149113.0,147780.0
경상남도 - 소방서 수＜br＞(B),Statistics,16.0,18.0,20.0,20.0,20.0,20.0,20.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,22.0,22.0
경상남도 - 주민등록인구＜br＞(A),Statistics,3225255.0,3250176.0,3290536.0,3308765.0,3319314.0,3333820.0,3350257.0,3364702.0,3373871.0,3380404.0,3373988.0,3362553.0,3340216.0,3314183.0,3280493.0,3251158.0
경상북도 - 소방서 1개서당 담당주민수＜br＞(A÷B),Statistics,178262.0,166867.0,168120.0,168700.0,168647.0,158791.0,158870.0,158990.0,158847.0,149539.0,140886.0,140307.0,138917.0,138243.0,123833.0,121634.0
경상북도 - 소방서 수＜br＞(B),Statistics,15.0,16.0,16.0,16.0,16.0,17.0,17.0,17.0,17.0,18.0,19.0,19.0,19.0,19.0,21.0,21.0
경상북도 - 주민등록인구＜br＞(A),Statistics,2673931.0,2669876.0,2689920.0,2699195.0,2698353.0,2699440.0,2700794.0,2702826.0,2700398.0,2691706.0,2676831.0,2665836.0,2639422.0,2626609.0,2600492.0,2554324.0
광주광역시 - 소방서 1개서당 담당주민수＜br＞(A÷B),Statistics,284540.0,286728.0,290927.0,292693.0,293843.0,294582.0,295177.0,294440.0,293843.0,292754.0,291867.0,291294.0,290012.0,288322.0,286210.0,283847.0
광주광역시 - 소방서 수＜br＞(B),Statistics,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
광주광역시 - 주민등록인구＜br＞(A),Statistics,1422702.0,1433640.0,1454636.0,1463464.0,1469216.0,1472910.0,1475884.0,1472199.0,1469214.0,1463770.0,1459336.0,1456468.0,1450062.0,1441611.0,1431050.0,1419237.0
