item,category,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
강원특별자치도 - 119안전센터 1개센터당 담당주민수＜br＞(A÷B),Statistics,26466.0,26542.0,25929.0,24781.0,24817.0,23727.0,23401.0,23477.0,22475.0,22466.0,21733.0,21410.0,21135.0,20513.0,20487.0,20371.0
강원특별자치도 - 119안전센터 수＜br＞(B),Statistics,57.0,57.0,59.0,62.0,62.0,65.0,66.0,66.0,69.0,69.0,71.0,72.0,73.0,75.0,75.0,75.0
강원특별자치도 - 주민등록인구＜br＞(A),Statistics,1508575.0,1512870.0,1529818.0,1536448.0,1538630.0,1542263.0,1544442.0,1549507.0,1550806.0,1550142.0,1543052.0,1541502.0,1542840.0,1538492.0,1536498.0,1527807.0
경기도 - 119안전센터 1개센터당 담당주민수＜br＞(A÷B),Statistics,66818.0,66631.0,67739.0,74145.0,75114.0,75991.0,75815.0,76826.0,76607.0,75286.0,72249.0,72745.0,72188.0,71775.0,68289.0,66492.0
경기도 - 119안전센터 수＜br＞(B),Statistics,169.0,172.0,174.0,161.0,161.0,161.0,163.0,163.0,166.0,171.0,181.0,182.0,186.0,189.0,199.0,205.0
경기도 - 주민등록인구＜br＞(A),Statistics,11292264.0,11460610.0,11786622.0,11937415.0,12093299.0,12234630.0,12357830.0,12522606.0,12716780.0,12873895.0,13077153.0,13239666.0,13427014.0,13565450.0,13589432.0,13630821.0
경상남도 - 119안전센터 1개센터당 담당주민수＜br＞(A÷B),Statistics,41886.0,40627.0,41132.0,41360.0,40979.0,39688.0,39884.0,39124.0,38780.0,37560.0,35893.0,34312.0,33740.0,32492.0,31849.0,31261.0
경상남도 - 119안전센터 수＜br＞(B),Statistics,77.0,80.0,80.0,80.0,81.0,84.0,84.0,86.0,87.0,90.0,94.0,98.0,99.0,102.0,103.0,104.0
경상남도 - 주민등록인구＜br＞(A),Statistics,3225255.0,3250176.0,3290536.0,3308765.0,3319314.0,3333820.0,3350257.0,3364702.0,3373871.0,3380404.0,3373988.0,3362553.0,3340216.0,3314183.0,3280493.0,3251158.0
경상북도 - 119안전센터 1개센터당 담당주민수＜br＞(A÷B),Statistics,33847.0,33796.0,34050.0,34167.0,34156.0,32136.0,31405.0,30714.0,29675.0,28635.0,27596.0,27202.0,26661.0,26266.0,26005.0,25290.0
경상북도 - 119안전센터 수＜br＞(B),Statistics,79.0,79.0,79.0,79.0,79.0,84.0,86.0,88.0,91.0,94.0,97.0,98.0,99.0,100.0,100.0,101.0
경상북도 - 주민등록인구＜br＞(A),Statistics,2673931.0,2669876.0,2689920.0,2699195.0,2698353.0,2699440.0,2700794.0,2702826.0,2700398.0,2691706.0,2676831.0,2665836.0,2639422.0,2626609.0,2600492.0,2554324.0
광주광역시 - 119안전센터 1개센터당 담당주민수＜br＞(A÷B),Statistics,67748.0,65165.0,66120.0,66521.0,66783.0,64040.0,64169.0,64009.0,63879.0,60990.0,60806.0,60686.0,60419.0,60067.0,53002.0,52564.0
광주광역시 - 119안전센터 수＜br＞(B),Statistics,21.0,22.0,22.0,22.0,22.0,23.0,23.0,23.0,23.0,24.0,24.0,24.0,24.0,24.0,27.0,27.0
광주광역시 - 주민등록인구＜br＞(A),Statistics,1422702.0,1433640.0,1454636.0,1463464.0,1469216.0,1472910.0,1475884.0,1472199.0,1469214.0,1463770.0,1459336.0,1456468.0,1450062.0,1441611.0,1431050.0,1419237.0
대구광역시 - 119안전센터 1개센터당 담당주민수＜br＞(A÷B),Statistics,55394.0,55328.0,55815.0,55717.0,55681.0,54382.0,54201.0,52933.0,51762.0,51567.0,51287.0,50792.0,50382.0,48682.0,48239.0,46568.0
대구광역시 - 119안전센터 수＜br＞(B),Statistics,45.0,45.0,45.0,45.0,45.0,46.0,46.0,47.0,48.0,48.0,48.0,48.0,48.0,49.0,49.0,51.0
대구광역시 - 주민등록인구＜br＞(A),Statistics,2492724.0,2489781.0,2511676.0,2507271.0,2505644.0,2501588.0,2493264.0,2487829.0,2484557.0,2475231.0,2461769.0,2438031.0,2418346.0,2385412.0,2363691.0,2374960.0
대전광역시 - 119안전센터 1개센터당 담당주민수＜br＞(A÷B),Statistics,59236.0,59367.0,60147.0,60624.0,60983.0,58954.0,58916.0,58414.0,58245.0,57778.0,57305.0,56726.0,56303.0,55856.0,53558.0,53415.0
대전광역시 - 119안전센터 수＜br＞(B),Statistics,25.0,25.0,25.0,25.0,25.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,27.0,27.0
대전광역시 - 주민등록인구＜br＞(A),Statistics,1480895.0,1484180.0,1503664.0,1515603.0,1524583.0,1532811.0,1531809.0,1518775.0,1514370.0,1502227.0,1489936.0,1474870.0,1463882.0,1452251.0,1446072.0,1442216.0
부산광역시 - 119안전센터 1개센터당 담당주민수＜br＞(A÷B),Statistics,67256.0,66850.0,67319.0,66999.0,66764.0,65327.0,65174.0,65070.0,64788.0,59839.0,59335.0,58859.0,57491.0,56786.0,55297.0,54889.0
부산광역시 - 119안전센터 수＜br＞(B),Statistics,53.0,53.0,53.0,53.0,53.0,54.0,54.0,54.0,54.0,58.0,58.0,58.0,59.0,59.0,60.0,60.0
부산광역시 - 주민등록인구＜br＞(A),Statistics,3564577.0,3543030.0,3567910.0,3550963.0,3538484.0,3527635.0,3519401.0,3513777.0,3498529.0,3470653.0,3441453.0,3413841.0,3391946.0,3350380.0,3317812.0,3293362.0
서울특별시 - 119안전센터 1개센터당 담당주민수＜br＞(A÷B),Statistics,89481.0,89547.0,90461.0,89909.0,88655.0,88206.0,87854.0,86398.0,85609.0,84978.0,83467.0,82450.0,81248.0,79911.0,79230.0,78874.0
서울특별시 - 119안전센터 수＜br＞(B),Statistics,114.0,114.0,114.0,114.0,115.0,115.0,115.0,116.0,116.0,116.0,117.0,118.0,119.0,119.0,119.0,119.0
서울특별시 - 주민등록인구＜br＞(A),Statistics,10200827.0,10208302.0,10312545.0,10249679.0,10195318.0,10143645.0,10103233.0,10022181.0,9930616.0,9857426.0,9765623.0,9729107.0,9668465.0,9509458.0,9428372.0,9386034.0
세종특별자치시 - 119안전센터 1개센터당 담당주민수＜br＞(A÷B),Statistics,,,,,28279.0,24431.0,31225.0,35147.0,30381.0,35013.0,39266.0,37842.0,39537.0,41322.0,42621.0,42947.0
세종특별자치시 - 119안전센터 수＜br＞(B),Statistics,,,,,4.0,5.0,5.0,6.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0
세종특별자치시 - 주민등록인구＜br＞(A),Statistics,,,,,113117.0,122153.0,156125.0,210884.0,243048.0,280100.0,314126.0,340575.0,355831.0,371895.0,383591.0,386525.0
울산광역시 - 119안전센터 1개센터당 담당주민수＜br＞(A÷B),Statistics,55620.0,55743.0,56315.0,56775.0,57363.0,57824.0,55542.0,55883.0,50970.0,48547.0,46225.0,45921.0,45441.0,43138.0,42718.0,42449.0
울산광역시 - 119안전센터 수＜br＞(B),Statistics,20.0,20.0,20.0,20.0,20.0,20.0,21.0,21.0,23.0,24.0,25.0,25.0,25.0,26.0,26.0,26.0
울산광역시 - 주민등록인구＜br＞(A),Statistics,1112407.0,1114866.0,1126298.0,1135494.0,1147256.0,1156480.0,1166377.0,1173534.0,1172304.0,1165132.0,1155623.0,1148019.0,1136017.0,1121592.0,1110663.0,1103661.0
인천광역시 - 119안전센터 1개센터당 담당주민수＜br＞(A÷B),Statistics,61198.0,58926.0,58687.0,60897.0,60510.0,62604.0,63100.0,62251.0,61314.0,60174.0,56820.0,56866.0,54497.0,53607.0,53951.0,53525.0
인천광역시 - 119안전센터 수＜br＞(B),Statistics,44.0,46.0,47.0,46.0,47.0,46.0,46.0,47.0,48.0,49.0,52.0,52.0,54.0,55.0,55.0,56.0
인천광역시 - 주민등록인구＜br＞(A),Statistics,2692696.0,2710579.0,2758296.0,2801274.0,2843981.0,2879782.0,2902608.0,2925815.0,2943069.0,2948542.0,2954642.0,2957026.0,2942828.0,2948375.0,2967314.0,2997410.0
전국 - 119안전센터 1개센터당 담당주민수＜br＞(A÷B),Statistics,54142.0,53693.0,54143.0,54671.0,54374.0,53664.0,53134.0,52527.0,51593.0,50319.0,49124.0,48594.0,47769.0,46944.0,46010.0,45380.0
전국 - 119안전센터 수＜br＞(B),Statistics,915.0,927.0,933.0,928.0,937.0,953.0,966.0,981.0,1002.0,1029.0,1055.0,1067.0,1085.0,1100.0,1118.0,1131.0
전국 - 주민등록인구＜br＞(A),Statistics,49540367.0,49773145.0,50515666.0,50734284.0,50948272.0,51141463.0,51327916.0,51529338.0,51696216.0,51778544.0,51826059.0,51849861.0,51829023.0,51638809.0,51439038.0,51325329.0
전라남도 - 119안전센터 1개센터당 담당주민수＜br＞(A÷B),Statistics,39163.0,39041.0,39153.0,36120.0,36031.0,35984.0,34651.0,34089.0,32826.0,31607.0,31383.0,30141.0,28930.0,27770.0,26731.0,26533.0
전라남도 - 119안전센터 수＜br＞(B),Statistics,49.0,49.0,49.0,53.0,53.0,53.0,55.0,56.0,58.0,60.0,60.0,62.0,64.0,66.0,68.0,68.0
전라남도 - 주민등록인구＜br＞(A),Statistics,1919000.0,1913004.0,1918485.0,1914339.0,1909618.0,1907172.0,1905780.0,1908996.0,1903914.0,1896424.0,1882970.0,1868745.0,1851549.0,1832803.0,1817697.0,1804217.0
전북특별자치도 - 119안전센터 1개센터당 담당주민수＜br＞(A÷B),Statistics,38662.0,38636.0,38937.0,38246.0,38231.0,38224.0,38195.0,37394.0,36565.0,36365.0,36016.0,35665.0,34040.0,33090.0,32771.0,31905.0
전북특별자치도 - 119안전센터 수＜br＞(B),Statistics,48.0,48.0,48.0,49.0,49.0,49.0,49.0,50.0,51.0,51.0,51.0,51.0,53.0,54.0,54.0,55.0
전북특별자치도 - 주민등록인구＜br＞(A),Statistics,1855772.0,1854508.0,1868963.0,1874031.0,1873341.0,1872965.0,1871560.0,1869711.0,1864791.0,1854607.0,1836832.0,1818917.0,1804104.0,1786855.0,1769607.0,1754757.0
제주특별자치도 - 119안전센터 1개센터당 담당주민수＜br＞(A÷B),Statistics,26696.0,26793.0,27203.0,27436.0,27796.0,28276.0,27607.0,28382.0,29164.0,28569.0,29008.0,27958.0,28110.0,28198.0,28257.0,28136.0
제주특별자치도 - 119안전센터 수＜br＞(B),Statistics,21.0,21.0,21.0,21.0,21.0,21.0,22.0,22.0,22.0,23.0,23.0,24.0,24.0,24.0,24.0,24.0
제주특별자치도 - 주민등록인구＜br＞(A),Statistics,560618.0,562663.0,571255.0,576156.0,583713.0,593806.0,607346.0,624395.0,641597.0,657083.0,667191.0,670989.0,674635.0,676759.0,678159.0,675252.0
충청남도 - 119안전센터 1개센터당 담당주민수＜br＞(A÷B),Statistics,34802.0,33960.0,34025.0,33892.0,32722.0,32502.0,31247.0,29263.0,28722.0,27138.0,27260.0,27227.0,26513.0,26491.0,26538.0,26626.0
충청남도 - 119안전센터 수＜br＞(B),Statistics,58.0,60.0,61.0,62.0,62.0,63.0,66.0,71.0,73.0,78.0,78.0,78.0,80.0,80.0,80.0,80.0
충청남도 - 주민등록인구＜br＞(A),Statistics,2018537.0,2037582.0,2075514.0,2101284.0,2028777.0,2047631.0,2062273.0,2077649.0,2096727.0,2116770.0,2126282.0,2123709.0,2121029.0,2119257.0,2123037.0,2130119.0
충청북도 - 119안전센터 1개센터당 담당주민수＜br＞(A÷B),Statistics,43417.0,42430.0,43042.0,43414.0,41201.0,41388.0,40485.0,40614.0,40811.0,39861.0,38077.0,38095.0,37229.0,37149.0,37094.0,36215.0
충청북도 - 119안전센터 수＜br＞(B),Statistics,35.0,36.0,36.0,36.0,38.0,38.0,39.0,39.0,39.0,40.0,42.0,42.0,43.0,43.0,43.0,44.0
충청북도 - 주민등록인구＜br＞(A),Statistics,1519587.0,1527478.0,1549528.0,1562903.0,1565628.0,1572732.0,1578933.0,1583952.0,1591625.0,1594432.0,1599252.0,1600007.0,1600837.0,1597427.0,1595058.0,1593469.0
