item,category,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
강원특별자치도 - 구급대원 수＜br＞(C),Statistics,445.0,440.0,564.0,556.0,549.0,552.0,564.0,582.0,630.0,745.0,800.0,914.0,948.0,1014.0,1038.0,1073.0
강원특별자치도 - 구조·구급대원 1인당 담당주민수＜br＞{A÷(B+C)},Statistics,2670.0,2573.0,2090.0,2119.0,2108.0,2003.0,1983.0,1847.0,1706.0,1437.0,1343.0,1210.0,1185.0,1053.0,1057.0,1047.0
강원특별자치도 - 구조대원 수＜br＞(B),Statistics,120.0,148.0,168.0,169.0,181.0,218.0,215.0,257.0,279.0,334.0,349.0,360.0,354.0,447.0,416.0,386.0
강원특별자치도 - 주민등록인구＜br＞(A),Statistics,1508575.0,1512870.0,1529818.0,1536448.0,1538630.0,1542263.0,1544442.0,1549507.0,1550806.0,1550142.0,1543052.0,1541502.0,1542840.0,1538492.0,1536498.0,1527807.0
경기도 - 구급대원 수＜br＞(C),Statistics,971.0,911.0,985.0,1039.0,1148.0,1179.0,1227.0,1244.0,1336.0,1499.0,1582.0,1867.0,1912.0,1896.0,2226.0,2348.0
경기도 - 구조·구급대원 1인당 담당주민수＜br＞{A÷(B+C)},Statistics,8201.0,8715.0,8407.0,7953.0,7465.0,7188.0,6794.0,6776.0,6400.0,5982.0,5701.0,5170.0,5100.0,4958.0,4495.0,4229.0
경기도 - 구조대원 수＜br＞(B),Statistics,406.0,404.0,417.0,462.0,472.0,523.0,592.0,604.0,651.0,653.0,712.0,694.0,721.0,840.0,797.0,875.0
경기도 - 주민등록인구＜br＞(A),Statistics,11292264.0,11460610.0,11786622.0,11937415.0,12093299.0,12234630.0,12357830.0,12522606.0,12716780.0,12873895.0,13077153.0,13239666.0,13427014.0,13565450.0,13589432.0,13630821.0
경상남도 - 구급대원 수＜br＞(C),Statistics,547.0,549.0,780.0,792.0,755.0,769.0,835.0,785.0,858.0,909.0,1040.0,1104.0,1152.0,1194.0,1213.0,1233.0
경상남도 - 구조·구급대원 1인당 담당주민수＜br＞{A÷(B+C)},Statistics,4072.0,4677.0,3337.0,3299.0,3600.0,3311.0,3209.0,3375.0,3026.0,2775.0,2537.0,2386.0,2240.0,2095.0,1993.0,1914.0
경상남도 - 구조대원 수＜br＞(B),Statistics,245.0,146.0,206.0,211.0,167.0,238.0,209.0,212.0,257.0,309.0,290.0,305.0,339.0,388.0,433.0,466.0
경상남도 - 주민등록인구＜br＞(A),Statistics,3225255.0,3250176.0,3290536.0,3308765.0,3319314.0,3333820.0,3350257.0,3364702.0,3373871.0,3380404.0,3373988.0,3362553.0,3340216.0,3314183.0,3280493.0,3251158.0
경상북도 - 구급대원 수＜br＞(C),Statistics,512.0,593.0,691.0,707.0,730.0,713.0,715.0,778.0,830.0,876.0,1007.0,1122.0,1180.0,1279.0,1293.0,1246.0
