item,category,2015,2016,2017,2018,2019,2020,2021,2022,2023
강원특별자치도 - 소방안전교육 이수율＜br＞(A÷B×100),Statistics,18.8,22.0,18.4,18.5,17.6,4.5,9.7,11.9,15.3
강원특별자치도 - 소방안전교육을 받은 주민 수＜br＞(A),Statistics,290596.0,341483.0,285261.0,284945.0,270803.0,68845.0,149685.0,183253.0,234414.0
강원특별자치도 - 주민등록인구＜br＞(B),Statistics,1549507.0,1550806.0,1550142.0,1543052.0,1541502.0,1542840.0,1538492.0,1536498.0,1527807.0
경기도 - 소방안전교육 이수율＜br＞(A÷B×100),Statistics,26.3,29.3,28.4,29.4,23.0,8.0,12.4,15.6,22.7
경기도 - 소방안전교육을 받은 주민 수＜br＞(A),Statistics,3289938.0,3725934.0,3661500.0,3841821.0,3046892.0,1069510.0,1675825.0,2114503.0,3094076.0
경기도 - 주민등록인구＜br＞(B),Statistics,12522606.0,12716780.0,12873895.0,13077153.0,13239666.0,13427014.0,13565450.0,13589432.0,13630821.0
경상남도 - 소방안전교육 이수율＜br＞(A÷B×100),Statistics,17.6,15.3,17.1,16.4,20.8,3.3,9.1,13.2,21.6
경상남도 - 소방안전교육을 받은 주민 수＜br＞(A),Statistics,592674.0,517215.0,579603.0,552473.0,700563.0,110561.0,300149.0,431742.0,702282.0
경상남도 - 주민등록인구＜br＞(B),Statistics,3364702.0,3373871.0,3380404.0,3373988.0,3362553.0,3340216.0,3314183.0,3280493.0,3251158.0
경상북도 - 소방안전교육 이수율＜br＞(A÷B×100),Statistics,16.4,21.4,15.3,13.1,15.2,3.6,5.5,9.6,20.2
경상북도 - 소방안전교육을 받은 주민 수＜br＞(A),Statistics,443562.0,579170.0,411359.0,351786.0,404213.0,96281.0,145159.0,248608.0,514753.0
경상북도 - 주민등록인구＜br＞(B),Statistics,2702826.0,2700398.0,2691706.0,2676831.0,2665836.0,2639422.0,2626609.0,2600492.0,2554324.0
광주광역시 - 소방안전교육 이수율＜br＞(A÷B×100),Statistics,7.2,8.0,8.7,9.0,9.9,1.2,6.6,13.3,18.3
광주광역시 - 소방안전교육을 받은 주민 수＜br＞(A),Statistics,106150.0,118077.0,127075.0,131064.0,143553.0,17509.0,95483.0,190850.0,259876.0
광주광역시 - 주민등록인구＜br＞(B),Statistics,1472199.0,1469214.0,1463770.0,1459336.0,1456468.0,1450062.0,1441611.0,1431050.0,1419237.0
대구광역시 - 소방안전교육 이수율＜br＞(A÷B×100),Statistics,15.0,18.0,20.9,18.0,18.2,3.7,10.5,9.4,19.5
대구광역시 - 소방안전교육을 받은 주민 수＜br＞(A),Statistics,373768.0,447057.0,518229.0,444130.0,444063.0,89611.0,250139.0,223247.0,464271.0
대구광역시 - 주민등록인구＜br＞(B),Statistics,2487829.0,2484557.0,2475231.0,2461769.0,2438031.0,2418346.0,2385412.0,2363691.0,2374960.0
대전광역시 - 소방안전교육 이수율＜br＞(A÷B×100),Statistics,12.1,14.8,24.9,24.2,25.6,2.5,5.0,7.9,22.4
대전광역시 - 소방안전교육을 받은 주민 수＜br＞(A),Statistics,184501.0,223727.0,374298.0,360889.0,377824.0,36445.0,72384.0,114519.0,322789.0
대전광역시 - 주민등록인구＜br＞(B),Statistics,1518775.0,1514370.0,1502227.0,1489936.0,1474870.0,1463882.0,1452251.0,1446072.0,1442216.0
부산광역시 - 소방안전교육 이수율＜br＞(A÷B×100),Statistics,35.2,30.5,39.6,26.6,20.6,2.0,4.6,10.0,16.7
부산광역시 - 소방안전교육을 받은 주민 수＜br＞(A),Statistics,1236879.0,1065888.0,1373423.0,914341.0,702015.0,69064.0,154467.0,333009.0,550466.0
부산광역시 - 주민등록인구＜br＞(B),Statistics,3513777.0,3498529.0,3470653.0,3441453.0,3413841.0,3391946.0,3350380.0,3317812.0,3293362.0
서울특별시 - 소방안전교육 이수율＜br＞(A÷B×100),Statistics,8.8,5.4,11.9,12.4,10.3,1.3,6.6,6.7,5.6
서울특별시 - 소방안전교육을 받은 주민 수＜br＞(A),Statistics,877906.0,531602.0,1168490.0,1211335.0,1006701.0,129949.0,624775.0,632382.0,527254.0
서울특별시 - 주민등록인구＜br＞(B),Statistics,10022181.0,9930616.0,9857426.0,9765623.0,9729107.0,9668465.0,9509458.0,9428372.0,9386034.0
세종특별자치시 - 소방안전교육 이수율＜br＞(A÷B×100),Statistics,12.3,12.9,17.0,17.1,12.8,2.3,5.2,10.1,11.0
세종특별자치시 - 소방안전교육을 받은 주민 수＜br＞(A),Statistics,25980.0,31421.0,47587.0,53595.0,43591.0,8011.0,19251.0,38748.0,42651.0
세종특별자치시 - 주민등록인구＜br＞(B),Statistics,210884.0,243048.0,280100.0,314126.0,340575.0,355831.0,371895.0,383591.0,386525.0
울산광역시 - 소방안전교육 이수율＜br＞(A÷B×100),Statistics,9.8,9.2,6.5,11.1,10.8,5.0,8.2,17.6,27.0
울산광역시 - 소방안전교육을 받은 주민 수＜br＞(A),Statistics,114925.0,107991.0,75322.0,128200.0,124182.0,56399.0,92135.0,195314.0,297992.0
울산광역시 - 주민등록인구＜br＞(B),Statistics,1173534.0,1172304.0,1165132.0,1155623.0,1148019.0,1136017.0,1121592.0,1110663.0,1103661.0
인천광역시 - 소방안전교육 이수율＜br＞(A÷B×100),Statistics,11.1,11.9,11.2,13.9,32.5,5.1,19.7,24.3,23.3
인천광역시 - 소방안전교육을 받은 주민 수＜br＞(A),Statistics,325231.0,349934.0,329876.0,409320.0,962492.0,150492.0,581189.0,722084.0,698508.0
인천광역시 - 주민등록인구＜br＞(B),Statistics,2925815.0,2943069.0,2948542.0,2954642.0,2957026.0,2942828.0,2948375.0,2967314.0,2997410.0
전국 - 소방안전교육 이수율＜br＞(A÷B×100),Statistics,18.1,18.8,20.6,19.3,18.7,4.3,9.5,12.7,18.0
전국 - 소방안전교육을 받은 주민 수＜br＞(A),Statistics,9308865.0,9736007.0,10664342.0,10009603.0,9720580.0,2224900.0,4920289.0,6510842.0,9234640.0
전국 - 주민등록인구＜br＞(B),Statistics,51529338.0,51696216.0,51778544.0,51826059.0,51849861.0,51829023.0,51638809.0,51439038.0,51325329.0
전라남도 - 소방안전교육 이수율＜br＞(A÷B×100),Statistics,17.0,16.8,23.4,13.7,11.9,2.7,8.3,10.5,15.6
전라남도 - 소방안전교육을 받은 주민 수＜br＞(A),Statistics,323663.0,319714.0,442876.0,257660.0,221787.0,49915.0,152916.0,191139.0,281817.0
전라남도 - 주민등록인구＜br＞(B),Statistics,1908996.0,1903914.0,1896424.0,1882970.0,1868745.0,1851549.0,1832803.0,1817697.0,1804217.0
전북특별자치도 - 소방안전교육 이수율＜br＞(A÷B×100),Statistics,10.1,10.0,18.4,8.4,10.6,6.6,12.6,16.5,15.8
전북특별자치도 - 소방안전교육을 받은 주민 수＜br＞(A),Statistics,188327.0,185960.0,341307.0,153682.0,191905.0,118538.0,224935.0,291771.0,276515.0
전북특별자치도 - 주민등록인구＜br＞(B),Statistics,1869711.0,1864791.0,1854607.0,1836832.0,1818917.0,1804104.0,1786855.0,1769607.0,1754757.0
제주특별자치도 - 소방안전교육 이수율＜br＞(A÷B×100),Statistics,9.5,12.0,5.5,6.0,24.4,7.3,16.7,28.3,34.5
제주특별자치도 - 소방안전교육을 받은 주민 수＜br＞(A),Statistics,59515.0,77104.0,36044.0,40091.0,163533.0,49123.0,113055.0,191631.0,232941.0
제주특별자치도 - 주민등록인구＜br＞(B),Statistics,624395.0,641597.0,657083.0,667191.0,670989.0,674635.0,676759.0,678159.0,675252.0
충청남도 - 소방안전교육 이수율＜br＞(A÷B×100),Statistics,22.1,31.3,22.7,22.3,24.1,2.4,8.4,11.5,18.6
충청남도 - 소방안전교육을 받은 주민 수＜br＞(A),Statistics,458789.0,656361.0,479503.0,474394.0,511798.0,50037.0,178790.0,245022.0,395426.0
충청남도 - 주민등록인구＜br＞(B),Statistics,2077649.0,2096727.0,2116770.0,2126282.0,2123709.0,2121029.0,2119257.0,2123037.0,2130119.0
충청북도 - 소방안전교육 이수율＜br＞(A÷B×100),Statistics,26.3,28.7,25.9,25.0,25.3,3.4,5.6,10.2,21.2
충청북도 - 소방안전교육을 받은 주민 수＜br＞(A),Statistics,416461.0,457369.0,412589.0,399877.0,404665.0,54610.0,89952.0,163020.0,338609.0
충청북도 - 주민등록인구＜br＞(B),Statistics,1583952.0,1591625.0,1594432.0,1599252.0,1600007.0,1600837.0,1597427.0,1595058.0,1593469.0
