item,category,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
가평군 - 교원1인당 학생수＜br＞(A÷B),Statistics,14.5,14.07,14.01,13.11,12.47,12.35,11.94,11.9,11.32,10.94,10.56,10.13,9.79,9.66,9.34,9.05,8.64
가평군 - 교원수＜br＞(B),Statistics,571.0,577.0,572.0,588.0,604.0,602.0,605.0,585.0,591.0,592.0,589.0,590.0,586.0,576.0,587.0,593.0,601.0
가평군 - 재적학생수＜br＞(A),Statistics,8282.0,8119.0,8015.0,7707.0,7534.0,7434.0,7221.0,6964.0,6692.0,6479.0,6218.0,5974.0,5737.0,5563.0,5482.0,5365.0,5191.0
강남구 - 교원1인당 학생수＜br＞(A÷B),Statistics,18.78,18.29,18.14,17.37,16.37,15.69,15.19,14.96,14.6,14.21,13.58,13.3,13.33,13.33,13.01,12.84,13.09
강남구 - 교원수＜br＞(B),Statistics,4318.0,4346.0,4333.0,4406.0,4467.0,4509.0,4588.0,4667.0,4706.0,4725.0,4760.0,4703.0,4698.0,4709.0,4797.0,4826.0,4913.0
강남구 - 재적학생수＜br＞(A),Statistics,81096.0,79505.0,78614.0,76515.0,73107.0,70728.0,69694.0,69810.0,68730.0,67120.0,64634.0,62555.0,62604.0,62775.0,62423.0,61957.0,64307.0
강동구 - 교원1인당 학생수＜br＞(A÷B),Statistics,19.47,19.19,18.34,17.46,16.5,15.49,15.02,14.37,13.9,13.38,13.22,12.79,12.81,12.91,12.68,12.57,12.82
강동구 - 교원수＜br＞(B),Statistics,3483.0,3433.0,3529.0,3609.0,3659.0,3745.0,3697.0,3696.0,3595.0,3602.0,3492.0,3439.0,3640.0,3708.0,3743.0,3762.0,3693.0
강동구 - 재적학생수＜br＞(A),Statistics,67831.0,65892.0,64737.0,63007.0,60366.0,57999.0,55521.0,53129.0,49970.0,48211.0,46179.0,43971.0,46611.0,47876.0,47471.0,47270.0,47333.0
강릉시 - 교원1인당 학생수＜br＞(A÷B),Statistics,22.42,22.1,21.9,21.68,21.73,21.27,20.35,19.9,19.54,18.26,18.02,17.52,17.08,16.55,16.13,15.16,15.06
강릉시 - 교원수＜br＞(B),Statistics,2911.0,2818.0,2817.0,2833.0,2839.0,2869.0,2943.0,2875.0,2839.0,2916.0,2875.0,2855.0,2836.0,2794.0,2761.0,2765.0,2674.0
강릉시 - 재적학생수＜br＞(A),Statistics,65259.0,62268.0,61695.0,61413.0,61694.0,61023.0,59896.0,57211.0,55480.0,53234.0,51796.0,50011.0,48437.0,46243.0,44525.0,41930.0,40274.0
강북구 - 교원1인당 학생수＜br＞(A÷B),Statistics,20.32,19.11,18.36,17.39,16.32,15.96,15.25,14.76,14.05,13.76,13.34,13.1,12.78,12.46,12.05,13.2,12.96
강북구 - 교원수＜br＞(B),Statistics,1915.0,1965.0,1963.0,2009.0,2051.0,2021.0,2016.0,1967.0,1954.0,1897.0,1864.0,1794.0,1771.0,1757.0,1745.0,1796.0,1766.0
강북구 - 재적학생수＜br＞(A),Statistics,38920.0,37557.0,36046.0,34933.0,33479.0,32253.0,30735.0,29028.0,27456.0,26109.0,24866.0,23510.0,22642.0,21896.0,21022.0,23707.0,22896.0
강서구 - 교원1인당 학생수＜br＞(A÷B),Statistics,19.43,18.99,18.14,17.35,16.51,15.57,15.02,14.64,14.19,13.82,13.6,13.23,12.86,12.71,12.28,11.68,11.54
강서구 - 교원수＜br＞(B),Statistics,4515.0,4565.0,4570.0,4579.0,4626.0,4672.0,4641.0,4725.0,4712.0,4714.0,4676.0,4635.0,4579.0,4453.0,4461.0,4596.0,4523.0
강서구 - 재적학생수＜br＞(A),Statistics,87747.0,86693.0,82879.0,79462.0,76395.0,72753.0,69708.0,69183.0,66870.0,65150.0,63585.0,61303.0,58869.0,56577.0,54789.0,53693.0,52202.0
강원특별자치도 - 교원1인당 학생수＜br＞(A÷B),Statistics,19.0,18.5,18.46,18.16,17.75,17.26,16.75,16.23,15.84,15.3,14.85,14.39,13.87,13.46,13.14,12.71,12.5
강원특별자치도 - 교원수＜br＞(B),Statistics,19385.0,19573.0,19508.0,19682.0,19947.0,20225.0,20472.0,20610.0,20515.0,20531.0,20415.0,20424.0,20315.0,20175.0,20067.0,20177.0,19961.0
강원특별자치도 - 재적학생수＜br＞(A),Statistics,368339.0,362105.0,360080.0,357331.0,353985.0,349050.0,342859.0,334436.0,325044.0,314163.0,303234.0,293979.0,281853.0,271648.0,263694.0,256350.0,249465.0
강진군 - 교원1인당 학생수＜br＞(A÷B),Statistics,16.68,15.99,15.65,14.04,9.79,8.91,8.31,7.53,7.11,7.08,6.97,6.26,6.05,5.83,5.65,5.53,5.29
강진군 - 교원수＜br＞(B),Statistics,551.0,544.0,513.0,527.0,444.0,457.0,460.0,484.0,477.0,457.0,448.0,476.0,478.0,487.0,491.0,481.0,484.0
강진군 - 재적학생수＜br＞(A),Statistics,9193.0,8698.0,8028.0,7401.0,4346.0,4074.0,3823.0,3644.0,3392.0,3236.0,3123.0,2979.0,2892.0,2839.0,2775.0,2658.0,2562.0
강화군 - 교원1인당 학생수＜br＞(A÷B),Statistics,12.44,16.52,16.33,12.0,11.5,11.05,10.68,10.71,10.08,9.13,9.44,8.68,8.67,8.19,7.87,7.57,7.46
강화군 - 교원수＜br＞(B),Statistics,996.0,834.0,854.0,698.0,709.0,719.0,729.0,714.0,729.0,714.0,727.0,742.0,737.0,762.0,779.0,787.0,774.0
강화군 - 재적학생수＜br＞(A),Statistics,12393.0,13776.0,13949.0,8374.0,8152.0,7946.0,7787.0,7649.0,7350.0,6516.0,6866.0,6443.0,6391.0,6243.0,6133.0,5954.0,5774.0
거제시 - 교원1인당 학생수＜br＞(A÷B),Statistics,20.01,19.78,19.68,18.02,17.24,16.4,15.91,15.66,15.35,15.15,14.66,14.42,14.12,13.84,13.52,13.08,12.88
거제시 - 교원수＜br＞(B),Statistics,2075.0,2152.0,2182.0,2366.0,2456.0,2600.0,2658.0,2727.0,2777.0,2769.0,2825.0,2828.0,2845.0,2897.0,2943.0,2968.0,2941.0
거제시 - 재적학생수＜br＞(A),Statistics,41515.0,42559.0,42942.0,42641.0,42336.0,42647.0,42277.0,42700.0,42632.0,41963.0,41427.0,40782.0,40166.0,40081.0,39775.0,38819.0,37889.0
거창군 - 교원1인당 학생수＜br＞(A÷B),Statistics,15.35,15.22,14.71,14.41,14.32,14.54,14.13,14.13,13.96,13.82,13.56,12.88,12.28,11.99,11.68,11.16,11.1
거창군 - 교원수＜br＞(B),Statistics,789.0,783.0,806.0,819.0,820.0,805.0,815.0,795.0,789.0,779.0,775.0,785.0,794.0,785.0,787.0,795.0,781.0
거창군 - 재적학생수＜br＞(A),Statistics,12108.0,11914.0,11859.0,11803.0,11740.0,11701.0,11517.0,11233.0,11011.0,10768.0,10512.0,10110.0,9747.0,9415.0,9189.0,8876.0,8673.0
경기 여주군 - 교원1인당 학생수＜br＞(A÷B),Statistics,20.84,20.05,19.53,18.82,18.93,18.67,,,,,,,,,,,
경기 여주군 - 교원수＜br＞(B),Statistics,1260.0,1290.0,1308.0,1350.0,1331.0,1324.0,,,,,,,,,,,
경기 여주군 - 재적학생수＜br＞(A),Statistics,26264.0,25861.0,25547.0,25408.0,25202.0,24714.0,,,,,,,,,,,
경기도 - 교원1인당 학생수＜br＞(A÷B),Statistics,23.27,22.35,21.56,20.46,19.57,19.05,18.24,17.9,17.47,16.96,16.57,16.15,15.81,15.47,14.98,14.87,14.41
경기도 - 교원수＜br＞(B),Statistics,106653.0,110211.0,112984.0,117799.0,120944.0,122819.0,125552.0,125673.0,126340.0,127978.0,129011.0,130119.0,131435.0,133597.0,136418.0,138848.0,141568.0
경기도 - 재적학생수＜br＞(A),Statistics,2481771.0,2463425.0,2436114.0,2410394.0,2366347.0,2339871.0,2289501.0,2250146.0,2206654.0,2170261.0,2137485.0,2101116.0,2077809.0,2066127.0,2044200.0,2064705.0,2039707.0
경남 마산시 - 교원1인당 학생수＜br＞(A÷B),Statistics,24.81,24.25,23.63,,,,,,,,,,,,,,
경남 마산시 - 교원수＜br＞(B),Statistics,4179.0,4148.0,4131.0,,,,,,,,,,,,,,
경남 마산시 - 재적학생수＜br＞(A),Statistics,103693.0,100572.0,97619.0,,,,,,,,,,,,,,
경남 진해시 - 교원1인당 학생수＜br＞(A÷B),Statistics,19.77,19.3,18.87,,,,,,,,,,,,,,
경남 진해시 - 교원수＜br＞(B),Statistics,1356.0,1402.0,1435.0,,,,,,,,,,,,,,
경남 진해시 - 재적학생수＜br＞(A),Statistics,26812.0,27055.0,27084.0,,,,,,,,,,,,,,
경남 창원시 - 교원1인당 학생수＜br＞(A÷B),Statistics,23.17,22.48,21.45,,,,,,,,,,,,,,
경남 창원시 - 교원수＜br＞(B),Statistics,5481.0,5459.0,5412.0,,,,,,,,,,,,,,
경남 창원시 - 재적학생수＜br＞(A),Statistics,126996.0,122698.0,116062.0,,,,,,,,,,,,,,
경산시 - 교원1인당 학생수＜br＞(A÷B),Statistics,37.24,36.23,34.68,32.94,31.74,30.18,28.98,27.43,26.27,25.55,25.28,24.67,24.56,23.35,22.7,23.92,24.01
경산시 - 교원수＜br＞(B),Statistics,4059.0,4187.0,4422.0,4692.0,4818.0,5005.0,5142.0,5305.0,5372.0,5349.0,5251.0,5242.0,5201.0,5327.0,5334.0,4844.0,4760.0
경산시 - 재적학생수＜br＞(A),Statistics,151173.0,151714.0,153340.0,154573.0,152930.0,151037.0,148992.0,145527.0,141132.0,136673.0,132729.0,129339.0,127761.0,124401.0,121105.0,115860.0,114298.0
경상남도 - 교원1인당 학생수＜br＞(A÷B),Statistics,20.41,19.92,19.41,18.41,17.53,16.87,16.43,15.98,15.46,15.03,14.62,14.24,13.71,13.46,13.02,12.75,12.52
경상남도 - 교원수＜br＞(B),Statistics,34158.0,34206.0,34355.0,35489.0,36359.0,36892.0,36966.0,37101.0,37347.0,37434.0,37684.0,37777.0,38350.0,38432.0,38726.0,38721.0,38343.0
경상남도 - 재적학생수＜br＞(A),Statistics,697028.0,681309.0,666737.0,653331.0,637458.0,622382.0,607196.0,592980.0,577258.0,562456.0,551035.0,538036.0,525810.0,517395.0,504287.0,493589.0,480177.0
경상북도 - 교원1인당 학생수＜br＞(A÷B),Statistics,21.25,20.69,20.18,19.34,18.99,18.21,17.55,16.97,16.54,16.05,15.52,15.05,14.7,14.2,13.74,13.63,13.44
경상북도 - 교원수＜br＞(B),Statistics,30544.0,30795.0,31000.0,31904.0,31795.0,32039.0,32451.0,32720.0,32551.0,32526.0,32574.0,32580.0,32660.0,32976.0,33259.0,32603.0,32244.0
경상북도 - 재적학생수＜br＞(A),Statistics,649045.0,637150.0,625537.0,616904.0,603633.0,583441.0,569568.0,555203.0,538478.0,521912.0,505510.0,490243.0,480219.0,468355.0,457107.0,444324.0,433481.0
경주시 - 교원1인당 학생수＜br＞(A÷B),Statistics,21.77,21.26,20.97,19.91,19.24,18.24,17.51,16.95,16.44,15.9,15.5,14.93,14.49,14.15,13.71,13.22,13.03
경주시 - 교원수＜br＞(B),Statistics,3279.0,3231.0,3130.0,3192.0,3172.0,3204.0,3179.0,3153.0,3106.0,3080.0,3032.0,3002.0,3009.0,2978.0,3004.0,3025.0,2959.0
경주시 - 재적학생수＜br＞(A),Statistics,71377.0,68683.0,65622.0,63557.0,61042.0,58449.0,55680.0,53452.0,51057.0,48984.0,46988.0,44805.0,43600.0,42125.0,41174.0,40002.0,38555.0
계룡시 - 교원1인당 학생수＜br＞(A÷B),Statistics,19.31,19.19,18.69,17.55,16.64,16.06,15.52,14.76,14.93,14.76,14.27,13.53,13.28,13.02,12.42,12.32,12.33
계룡시 - 교원수＜br＞(B),Statistics,463.0,476.0,486.0,500.0,503.0,491.0,490.0,491.0,502.0,509.0,520.0,531.0,520.0,524.0,537.0,539.0,543.0
계룡시 - 재적학생수＜br＞(A),Statistics,8941.0,9136.0,9083.0,8774.0,8370.0,7884.0,7603.0,7249.0,7497.0,7514.0,7421.0,7182.0,6907.0,6821.0,6672.0,6643.0,6693.0
계양구 - 교원1인당 학생수＜br＞(A÷B),Statistics,21.63,20.27,19.59,18.2,17.27,16.36,15.87,15.73,15.4,14.95,14.34,13.98,13.67,13.73,13.33,13.12,12.7
계양구 - 교원수＜br＞(B),Statistics,3287.0,3355.0,3316.0,3392.0,3342.0,3308.0,3231.0,3146.0,3052.0,2983.0,2916.0,2826.0,2750.0,2653.0,2593.0,2483.0,2416.0
계양구 - 재적학생수＜br＞(A),Statistics,71085.0,68013.0,64949.0,61732.0,57729.0,54127.0,51276.0,49483.0,47004.0,44595.0,41810.0,39517.0,37583.0,36418.0,34555.0,32585.0,30688.0
고령군 - 교원1인당 학생수＜br＞(A÷B),Statistics,10.65,10.45,10.65,10.07,10.11,9.76,9.22,8.97,8.67,8.05,8.07,7.54,7.27,7.1,6.75,6.51,6.22
고령군 - 교원수＜br＞(B),Statistics,362.0,350.0,327.0,333.0,323.0,317.0,322.0,318.0,319.0,317.0,303.0,306.0,303.0,301.0,302.0,295.0,289.0
고령군 - 재적학생수＜br＞(A),Statistics,3855.0,3658.0,3483.0,3354.0,3264.0,3093.0,2968.0,2853.0,2766.0,2553.0,2445.0,2306.0,2204.0,2138.0,2040.0,1920.0,1798.0
