item,category,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
강릉시 - 교육대＜br＞(C),Statistics,,,,,,,,,,,,,,,,,,,,,2.0
강릉시 - 대학교 수＜br＞(A+B+C+D),Statistics,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
강릉시 - 일반대＜br＞(A),Statistics,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
강릉시 - 전문대＜br＞(B),Statistics,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
강서구 - 교육대＜br＞(C),Statistics,,,,,,,,,,,,,,,,,,,,,1.0
강서구 - 대학교 수＜br＞(A+B+C+D),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
강서구 - 일반대＜br＞(A),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
강원특별자치도 - 교육대＜br＞(C),Statistics,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0
강원특별자치도 - 대학교 수＜br＞(A+B+C+D),Statistics,20.0,20.0,19.0,18.0,18.0,18.0,18.0,19.0,19.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,17.0,17.0,17.0,17.0,16.0
강원특별자치도 - 산업대＜br＞(D),Statistics,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0
강원특별자치도 - 일반대＜br＞(A),Statistics,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0
강원특별자치도 - 전문대＜br＞(B),Statistics,10.0,10.0,10.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,
강진군 - 대학교 수＜br＞(A+B+C+D),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
강진군 - 전문대＜br＞(B),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
강화군 - 교육대＜br＞(C),Statistics,,,,,,,,,,,,,,,,,,,,,1.0
강화군 - 대학교 수＜br＞(A+B+C+D),Statistics,,,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
강화군 - 일반대＜br＞(A),Statistics,,,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
거제시 - 대학교 수＜br＞(A+B+C+D),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
거제시 - 일반대＜br＞(A),Statistics,,,,,,,,,,,,,,,,,,,,,1.0
거제시 - 전문대＜br＞(B),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
거창군 - 대학교 수＜br＞(A+B+C+D),Statistics,,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
거창군 - 일반대＜br＞(A),Statistics,,,,,,,,,,,,,,,,,,,,,2.0
거창군 - 전문대＜br＞(B),Statistics,,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
경기 여주군 - 대학교 수＜br＞(A+B+C+D),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
경기 여주군 - 전문대＜br＞(B),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
경기도 - 교육대＜br＞(C),Statistics,,,,,,,,,,,,,,,,,,,,,30.0
경기도 - 대학교 수＜br＞(A+B+C+D),Statistics,63.0,64.0,63.0,61.0,62.0,62.0,62.0,63.0,62.0,62.0,61.0,60.0,60.0,60.0,61.0,61.0,61.0,61.0,61.0,60.0,60.0
경기도 - 산업대＜br＞(D),Statistics,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,
경기도 - 일반대＜br＞(A),Statistics,25.0,26.0,26.0,26.0,27.0,27.0,27.0,27.0,29.0,29.0,29.0,29.0,29.0,29.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
경기도 - 전문대＜br＞(B),Statistics,36.0,36.0,35.0,33.0,33.0,33.0,33.0,34.0,33.0,33.0,32.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,30.0,
경남 마산시 - 대학교 수＜br＞(A+B+C+D),Statistics,,,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,
경남 마산시 - 일반대＜br＞(A),Statistics,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
경남 마산시 - 전문대＜br＞(B),Statistics,,,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,
경남 창원시 - 대학교 수＜br＞(A+B+C+D),Statistics,,,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,
