item,category,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
가평군 - 원아수,Statistics,586.0,554.0,543.0,571.0,576.0,558.0,555.0,569.0,528.0,540.0,468.0,443.0,434.0,478.0,478.0,425.0,374.0,322.0,280.0,265.0,239.0,243.0,220.0,202.0
강남구 - 원아수,Statistics,4407.0,4102.0,3644.0,3459.0,3396.0,3169.0,2872.0,2738.0,2798.0,2735.0,2909.0,3152.0,3800.0,4042.0,4213.0,4318.0,4156.0,4026.0,3641.0,3260.0,2938.0,2780.0,2849.0,3101.0
강동구 - 원아수,Statistics,4511.0,4473.0,4234.0,4095.0,3794.0,3671.0,3496.0,3702.0,3769.0,4042.0,4135.0,4287.0,4859.0,4807.0,4698.0,4476.0,4506.0,4309.0,3746.0,4237.0,4205.0,3932.0,3749.0,3704.0
강릉시 - 원아수,Statistics,2372.0,2302.0,2206.0,2077.0,1890.0,1854.0,1662.0,1576.0,1471.0,1395.0,1367.0,1477.0,1610.0,1515.0,1887.0,1964.0,1932.0,1854.0,1786.0,1708.0,1517.0,1468.0,1479.0,1432.0
강북구 - 원아수,Statistics,1986.0,2025.0,1897.0,2239.0,2168.0,2337.0,2242.0,2111.0,2005.0,1888.0,1935.0,2076.0,2172.0,2182.0,2103.0,2105.0,1887.0,1692.0,1376.0,1244.0,1199.0,1193.0,1227.0,1195.0
강서구 - 원아수,Statistics,4422.0,4384.0,4264.0,4350.0,4783.0,4980.0,4913.0,5250.0,5186.0,4855.0,4819.0,5358.0,5462.0,5131.0,5643.0,5858.0,6084.0,6023.0,5683.0,5375.0,4786.0,4380.0,4054.0,3884.0
강원특별자치도 - 원아수,Statistics,16465.0,16657.0,16276.0,15921.0,15595.0,15275.0,14904.0,14422.0,14343.0,14137.0,14226.0,15158.0,16007.0,15947.0,17387.0,18149.0,17438.0,16561.0,15388.0,14679.0,13684.0,13168.0,12681.0,12440.0
강진군 - 원아수,Statistics,333.0,290.0,301.0,310.0,268.0,232.0,204.0,145.0,153.0,170.0,181.0,159.0,160.0,166.0,173.0,195.0,162.0,128.0,114.0,117.0,112.0,119.0,113.0,123.0
강화군 - 원아수,Statistics,630.0,595.0,625.0,655.0,674.0,707.0,678.0,650.0,663.0,648.0,686.0,642.0,624.0,607.0,628.0,617.0,592.0,543.0,460.0,475.0,436.0,397.0,347.0,335.0
거제시 - 원아수,Statistics,2258.0,2160.0,2313.0,2387.0,2394.0,2636.0,2727.0,3067.0,3445.0,3604.0,3795.0,4183.0,4891.0,4879.0,5320.0,5524.0,5364.0,5134.0,4955.0,4769.0,4682.0,4390.0,3895.0,3476.0
