item,category,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
가평군 - 외국인수,Statistics,407.0,509.0,685.0,764.0,876.0,976.0,1026.0,998.0,994.0,1020.0,1077.0,1077.0,1069.0,1043.0,1018.0,1047.0,1003.0,1004.0,1085.0,1186.0
강남구 - 외국인수,Statistics,7816.0,6866.0,7694.0,8218.0,7792.0,7361.0,6975.0,7301.0,5800.0,5553.0,5332.0,5265.0,5025.0,4888.0,5089.0,5040.0,4824.0,4758.0,5001.0,5409.0
강동구 - 외국인수,Statistics,2266.0,2605.0,3443.0,4475.0,4949.0,4910.0,5068.0,5378.0,4823.0,4590.0,4735.0,4663.0,4303.0,4136.0,4347.0,4323.0,4028.0,3808.0,3970.0,4151.0
강릉시 - 외국인수,Statistics,1066.0,1204.0,1483.0,1616.0,1698.0,1603.0,1618.0,1581.0,1533.0,1563.0,1657.0,1770.0,1875.0,1904.0,2282.0,2469.0,2282.0,2357.0,2630.0,3379.0
강북구 - 외국인수,Statistics,1750.0,2074.0,2634.0,3224.0,3480.0,3545.0,3487.0,3688.0,3336.0,3214.0,3385.0,3553.0,3509.0,3523.0,3751.0,3741.0,3514.0,3381.0,4042.0,4864.0
강서구 - 외국인수,Statistics,3091.0,3713.0,4900.0,6071.0,6697.0,6360.0,6379.0,6777.0,6363.0,6166.0,6493.0,6617.0,6619.0,6564.0,6662.0,6477.0,5716.0,5453.0,5472.0,5768.0
강원특별자치도 - 외국인수,Statistics,7265.0,7989.0,10252.0,11994.0,12892.0,12672.0,13737.0,13332.0,12901.0,13409.0,14443.0,15108.0,15833.0,16949.0,18261.0,19069.0,17332.0,17384.0,20472.0,23484.0
강진군 - 외국인수,Statistics,141.0,132.0,171.0,223.0,236.0,264.0,286.0,300.0,313.0,350.0,395.0,410.0,408.0,439.0,454.0,456.0,445.0,421.0,504.0,570.0
강화군 - 외국인수,Statistics,271.0,236.0,329.0,431.0,484.0,548.0,564.0,560.0,606.0,623.0,657.0,746.0,775.0,789.0,830.0,859.0,822.0,763.0,868.0,1029.0
거제시 - 외국인수,Statistics,3293.0,3874.0,4409.0,5430.0,7644.0,8067.0,8080.0,8924.0,9028.0,11272.0,13724.0,15051.0,14178.0,9089.0,7473.0,8302.0,6641.0,5404.0,5861.0,11773.0
거창군 - 외국인수,Statistics,154.0,170.0,259.0,311.0,369.0,405.0,430.0,442.0,433.0,470.0,485.0,467.0,511.0,527.0,503.0,547.0,503.0,512.0,744.0,806.0
경기 여주군 - 외국인수,Statistics,1030.0,1019.0,1248.0,1680.0,2077.0,2189.0,2441.0,2519.0,2379.0,,,,,,,,,,,
경기도 - 외국인수,Statistics,165922.0,155942.0,200798.0,234030.0,256827.0,266808.0,285262.0,302447.0,288251.0,314715.0,352166.0,369665.0,373923.0,381628.0,408526.0,414318.0,380144.0,360412.0,382865.0,425629.0
경남 마산시 - 외국인수,Statistics,1732.0,2101.0,2944.0,3446.0,3693.0,3469.0,,,,,,,,,,,,,,
경남 진해시 - 외국인수,Statistics,1380.0,1632.0,2046.0,2144.0,2725.0,2504.0,,,,,,,,,,,,,,
경남 창원시 - 외국인수,Statistics,4119.0,3979.0,5654.0,6190.0,6283.0,6257.0,,,,,,,,,,,,,,
경산시 - 외국인수,Statistics,3778.0,3911.0,5127.0,5863.0,6440.0,6350.0,6477.0,6668.0,6460.0,6783.0,7223.0,7682.0,8449.0,9194.0,10977.0,11713.0,10389.0,10476.0,11992.0,15265.0
경상남도 - 외국인수,Statistics,24920.0,26679.0,35953.0,42389.0,51707.0,53222.0,57718.0,65960.0,64371.0,69126.0,77778.0,82316.0,81021.0,75136.0,74304.0,76123.0,67239.0,63148.0,70390.0,89312.0
경상북도 - 외국인수,Statistics,22696.0,23409.0,29721.0,33721.0,35731.0,35350.0,36895.0,39984.0,40067.0,43499.0,47805.0,49765.0,51351.0,53364.0,56969.0,58119.0,52469.0,51100.0,57055.0,67025.0
경주시 - 외국인수,Statistics,2222.0,2677.0,3766.0,4671.0,4952.0,4865.0,5471.0,6381.0,6572.0,7210.0,8395.0,9197.0,9476.0,10188.0,11296.0,11794.0,10202.0,9604.0,9947.0,11045.0
계룡시 - 외국인수,Statistics,96.0,81.0,113.0,145.0,168.0,181.0,181.0,173.0,153.0,150.0,161.0,190.0,204.0,207.0,203.0,217.0,209.0,191.0,193.0,228.0
계양구 - 외국인수,Statistics,1882.0,1997.0,2573.0,3195.0,3414.0,3257.0,3216.0,3123.0,2924.0,2953.0,3111.0,3116.0,3060.0,3108.0,3223.0,3346.0,3154.0,3106.0,3256.0,3556.0
고령군 - 외국인수,Statistics,867.0,872.0,1134.0,1140.0,1155.0,1144.0,1214.0,1424.0,1446.0,1578.0,1820.0,1845.0,1812.0,1757.0,1704.0,1749.0,1530.0,1375.0,1569.0,1902.0
고성군 - 외국인수,Statistics,171.0,203.0,356.0,411.0,562.0,530.0,503.0,428.0,392.0,345.0,491.0,440.0,635.0,842.0,974.0,1132.0,1112.0,1183.0,1373.0,1812.0
고양시 - 외국인수,Statistics,7965.0,6525.0,9159.0,10804.0,11919.0,12217.0,12182.0,12426.0,11304.0,11371.0,11859.0,12293.0,12286.0,12253.0,12664.0,12508.0,11522.0,10986.0,11618.0,12700.0
고창군 - 외국인수,Statistics,246.0,323.0,397.0,453.0,510.0,566.0,546.0,558.0,608.0,753.0,823.0,851.0,911.0,934.0,976.0,963.0,895.0,814.0,1102.0,1517.0
고흥군 - 외국인수,Statistics,160.0,193.0,293.0,363.0,427.0,446.0,451.0,513.0,592.0,628.0,751.0,790.0,813.0,895.0,980.0,1059.0,1001.0,949.0,1383.0,1689.0
곡성군 - 외국인수,Statistics,154.0,186.0,247.0,357.0,424.0,398.0,404.0,382.0,421.0,382.0,352.0,374.0,395.0,435.0,494.0,489.0,475.0,413.0,482.0,508.0
공주시 - 외국인수,Statistics,860.0,1106.0,1532.0,1961.0,2248.0,2370.0,2330.0,2277.0,1859.0,1867.0,1763.0,1796.0,1918.0,1996.0,2106.0,2155.0,1991.0,1949.0,2153.0,2420.0
과천시 - 외국인수,Statistics,308.0,250.0,394.0,312.0,326.0,333.0,316.0,331.0,310.0,297.0,292.0,274.0,235.0,211.0,183.0,173.0,166.0,183.0,192.0,219.0
관악구 - 외국인수,Statistics,5532.0,7215.0,10778.0,15195.0,17317.0,17442.0,18302.0,19960.0,17491.0,17100.0,18774.0,19368.0,18756.0,17632.0,18083.0,17240.0,14743.0,13750.0,14474.0,15927.0
광명시 - 외국인수,Statistics,1634.0,1888.0,2573.0,3335.0,3816.0,3897.0,4232.0,4724.0,4444.0,4607.0,5279.0,5739.0,5919.0,5843.0,6273.0,5942.0,4469.0,3578.0,3215.0,2927.0
광산구 - 외국인수,Statistics,2707.0,2840.0,3729.0,4294.0,5162.0,5576.0,6606.0,6871.0,7054.0,7738.0,8793.0,9790.0,10907.0,12154.0,12954.0,13461.0,11978.0,11791.0,13142.0,14541.0
광양시 - 외국인수,Statistics,541.0,632.0,783.0,870.0,1011.0,1167.0,1167.0,1442.0,1387.0,1374.0,1573.0,1530.0,1597.0,1546.0,1598.0,1687.0,1563.0,1495.0,1761.0,2104.0
광주광역시 - 외국인수,Statistics,5743.0,6361.0,8155.0,10016.0,11923.0,12188.0,13360.0,14106.0,14492.0,15557.0,17064.0,18455.0,19920.0,21279.0,22815.0,23825.0,21323.0,20934.0,22967.0,25348.0
광주시 - 외국인수,Statistics,6980.0,6207.0,7864.0,8725.0,9256.0,9374.0,9598.0,9592.0,9106.0,9684.0,10843.0,11477.0,12114.0,12424.0,13037.0,12986.0,11900.0,10936.0,11302.0,12893.0
광진구 - 외국인수,Statistics,4144.0,4867.0,7098.0,9795.0,11772.0,12515.0,13312.0,14743.0,12956.0,12512.0,14021.0,14811.0,14889.0,14595.0,15504.0,15622.0,13427.0,12631.0,13836.0,15626.0
괴산군 - 외국인수,Statistics,300.0,321.0,382.0,435.0,500.0,498.0,575.0,599.0,603.0,616.0,652.0,690.0,775.0,800.0,899.0,986.0,957.0,825.0,914.0,1214.0
구례군 - 외국인수,Statistics,109.0,110.0,154.0,179.0,179.0,180.0,190.0,193.0,205.0,200.0,221.0,228.0,228.0,245.0,233.0,221.0,206.0,188.0,205.0,210.0
구로구 - 외국인수,Statistics,7897.0,10714.0,16954.0,24553.0,27901.0,27646.0,28931.0,31440.0,26958.0,27204.0,31300.0,32512.0,32049.0,30817.0,33989.0,32707.0,28080.0,24409.0,23103.0,23246.0
구리시 - 외국인수,Statistics,908.0,984.0,1207.0,1438.0,1564.0,1539.0,1481.0,1460.0,1404.0,1349.0,1382.0,1434.0,1390.0,1417.0,1424.0,1490.0,1402.0,1403.0,1509.0,1541.0
구미시 - 외국인수,Statistics,4407.0,3946.0,4903.0,4987.0,4990.0,4803.0,4872.0,5298.0,5343.0,5960.0,6212.0,5877.0,5601.0,5449.0,5190.0,4977.0,4659.0,4580.0,4990.0,5860.0
군산시 - 외국인수,Statistics,1373.0,1630.0,2205.0,2651.0,3301.0,3407.0,3565.0,4294.0,4421.0,4651.0,5222.0,5533.0,5490.0,5266.0,5700.0,6101.0,5792.0,5822.0,6803.0,8443.0
군위군 - 외국인수,Statistics,332.0,275.0,304.0,395.0,403.0,411.0,418.0,431.0,434.0,509.0,561.0,576.0,616.0,565.0,546.0,538.0,492.0,425.0,456.0,527.0
군포시 - 외국인수,Statistics,2919.0,2711.0,3480.0,4185.0,4844.0,5070.0,5430.0,5594.0,5360.0,5656.0,6579.0,6997.0,6772.0,6783.0,6960.0,7010.0,6248.0,5565.0,5532.0,5780.0
금산군 - 외국인수,Statistics,572.0,636.0,817.0,893.0,940.0,989.0,1023.0,1006.0,1089.0,1230.0,1340.0,1538.0,1727.0,1913.0,2248.0,2339.0,2148.0,1945.0,2407.0,2901.0
금정구 - 외국인수,Statistics,300.0,1449.0,1569.0,1910.0,2206.0,2233.0,2243.0,2370.0,2374.0,2489.0,2994.0,3439.0,3963.0,4120.0,4433.0,4473.0,3541.0,3661.0,4162.0,4362.0
금천구 - 외국인수,Statistics,6414.0,7034.0,10746.0,15215.0,17924.0,18281.0,19349.0,20818.0,17446.0,17234.0,19567.0,19883.0,19268.0,18337.0,20104.0,19010.0,16102.0,14080.0,13176.0,13624.0
기장군 - 외국인수,Statistics,766.0,737.0,875.0,873.0,977.0,996.0,1205.0,1400.0,1498.0,1553.0,1867.0,2071.0,2095.0,1998.0,2035.0,1963.0,1832.0,1801.0,2002.0,2435.0
김제시 - 외국인수,Statistics,705.0,726.0,1014.0,1125.0,1205.0,1170.0,1211.0,1512.0,1653.0,1636.0,1761.0,1897.0,1965.0,1952.0,1998.0,2029.0,1876.0,1742.0,2173.0,2685.0
김천시 - 외국인수,Statistics,1060.0,1056.0,1240.0,1480.0,1815.0,1878.0,1701.0,1735.0,1548.0,1599.0,1702.0,1855.0,1998.0,2160.0,2376.0,2391.0,2209.0,2359.0,2788.0,3114.0
김포시 - 외국인수,Statistics,8497.0,7672.0,9734.0,10934.0,11362.0,11761.0,12330.0,12174.0,11687.0,13238.0,15590.0,16783.0,17835.0,18340.0,19849.0,20335.0,18796.0,17759.0,19840.0,22628.0
김해시 - 외국인수,Statistics,5644.0,5779.0,8197.0,10129.0,12453.0,12643.0,13968.0,16115.0,15470.0,16132.0,17732.0,18522.0,18432.0,18626.0,18688.0,19013.0,16904.0,16046.0,17911.0,21425.0
나주시 - 외국인수,Statistics,746.0,790.0,1058.0,1231.0,1362.0,1361.0,1422.0,1663.0,1608.0,1708.0,2002.0,2068.0,2384.0,2564.0,2801.0,2781.0,2638.0,2641.0,3097.0,3921.0
남구 - 외국인수,Statistics,1114.0,1301.0,1625.0,2232.0,2652.0,3080.0,3446.0,3655.0,3498.0,3425.0,3148.0,3382.0,3845.0,5007.0,5718.0,5931.0,5023.0,4955.0,5538.0,6302.0
남동구 - 외국인수,Statistics,10157.0,9286.0,10906.0,11645.0,11754.0,11471.0,12171.0,12236.0,10839.0,11760.0,12597.0,12504.0,12056.0,12181.0,12530.0,12427.0,11584.0,10928.0,11292.0,12186.0
남양주시 - 외국인수,Statistics,4713.0,4444.0,5116.0,5594.0,5736.0,5488.0,5615.0,5467.0,5325.0,5438.0,5936.0,6179.0,6542.0,6799.0,7137.0,7477.0,7141.0,7058.0,7763.0,8515.0
남원시 - 외국인수,Statistics,360.0,425.0,621.0,651.0,767.0,821.0,788.0,818.0,797.0,805.0,866.0,944.0,952.0,976.0,1012.0,1022.0,953.0,888.0,962.0,1180.0
남해군 - 외국인수,Statistics,199.0,223.0,352.0,397.0,460.0,523.0,561.0,632.0,676.0,733.0,764.0,846.0,865.0,834.0,829.0,861.0,780.0,749.0,883.0,1017.0
노원구 - 외국인수,Statistics,2371.0,2852.0,3583.0,4439.0,4827.0,4545.0,4195.0,4132.0,3640.0,3548.0,3504.0,3638.0,3631.0,3672.0,4408.0,4398.0,3995.0,3990.0,4280.0,4712.0
논산시 - 외국인수,Statistics,931.0,993.0,1348.0,1879.0,2317.0,2500.0,2804.0,3177.0,3268.0,3121.0,3293.0,3503.0,3809.0,3952.0,4068.0,4139.0,3865.0,3701.0,4526.0,5403.0
단양군 - 외국인수,Statistics,202.0,234.0,277.0,285.0,291.0,284.0,270.0,266.0,229.0,219.0,229.0,237.0,243.0,234.0,221.0,214.0,183.0,178.0,205.0,276.0
달서구 - 외국인수,Statistics,5212.0,4992.0,6008.0,6866.0,7062.0,6927.0,7470.0,7895.0,7773.0,8255.0,8707.0,8819.0,8619.0,8464.0,9009.0,10465.0,9850.0,9703.0,10398.0,11394.0
달성군 - 외국인수,Statistics,2303.0,2010.0,2379.0,2411.0,2360.0,2342.0,2724.0,3288.0,3302.0,3727.0,4444.0,4925.0,5317.0,5515.0,5802.0,6040.0,5341.0,5022.0,5626.0,6673.0
담양군 - 외국인수,Statistics,468.0,480.0,533.0,581.0,602.0,600.0,640.0,664.0,749.0,857.0,1014.0,1015.0,1071.0,1049.0,1035.0,998.0,919.0,868.0,1062.0,1247.0
당진시 - 외국인수,Statistics,,,,,,,,,3901.0,4306.0,5048.0,5137.0,5240.0,5377.0,5774.0,5982.0,5450.0,5112.0,5826.0,7322.0
대구광역시 - 외국인수,Statistics,15026.0,14530.0,17104.0,19409.0,19877.0,19406.0,20401.0,22014.0,21922.0,23302.0,25203.0,26141.0,26493.0,26442.0,28033.0,30191.0,27798.0,27230.0,29568.0,33305.0
대덕구 - 외국인수,Statistics,1261.0,1372.0,1682.0,1873.0,2007.0,1967.0,2049.0,2028.0,1920.0,2031.0,2093.0,2256.0,2346.0,2303.0,2275.0,2388.0,2122.0,2039.0,2405.0,2718.0
대전광역시 - 외국인수,Statistics,7279.0,7897.0,9803.0,12177.0,14056.0,14485.0,14876.0,15047.0,14571.0,14798.0,15658.0,16416.0,17035.0,17431.0,18184.0,19109.0,16895.0,17292.0,20594.0,23384.0
도봉구 - 외국인수,Statistics,1672.0,1919.0,2221.0,2584.0,2762.0,2665.0,2436.0,2376.0,2184.0,2027.0,2003.0,1999.0,2052.0,2068.0,2236.0,2269.0,2104.0,2007.0,2295.0,2546.0
동구 - 외국인수,Statistics,848.0,879.0,954.0,1089.0,1219.0,1287.0,1345.0,1425.0,1378.0,1439.0,1452.0,1413.0,1515.0,1502.0,1714.0,1794.0,1673.0,1563.0,1615.0,1792.0
동대문구 - 외국인수,Statistics,4492.0,5170.0,6852.0,9404.0,11413.0,12131.0,12557.0,13048.0,12425.0,12172.0,12632.0,13671.0,15243.0,15364.0,16286.0,16829.0,14177.0,14606.0,16957.0,18724.0
동두천시 - 외국인수,Statistics,1903.0,1978.0,2007.0,2135.0,2372.0,2568.0,2658.0,2561.0,2491.0,2673.0,2933.0,3076.0,3126.0,3195.0,3340.0,3477.0,3334.0,3268.0,3554.0,3788.0
동래구 - 외국인수,Statistics,599.0,633.0,741.0,888.0,930.0,881.0,857.0,907.0,1038.0,907.0,852.0,879.0,920.0,945.0,937.0,967.0,931.0,873.0,915.0,1023.0
동작구 - 외국인수,Statistics,3254.0,4187.0,6396.0,8872.0,10068.0,10053.0,11105.0,12256.0,10777.0,10672.0,11791.0,12133.0,12250.0,12276.0,13182.0,12949.0,10352.0,8881.0,9836.0,10945.0
동해시 - 외국인수,Statistics,321.0,317.0,438.0,547.0,589.0,579.0,561.0,562.0,543.0,571.0,641.0,663.0,661.0,806.0,865.0,931.0,899.0,728.0,835.0,972.0
마포구 - 외국인수,Statistics,4654.0,4991.0,6466.0,7742.0,8122.0,8300.0,8599.0,9137.0,8932.0,9242.0,10391.0,10708.0,10995.0,10868.0,11282.0,11890.0,9968.0,9781.0,10947.0,11465.0
목포시 - 외국인수,Statistics,663.0,884.0,1076.0,1489.0,1969.0,2025.0,2020.0,2123.0,2142.0,2235.0,2635.0,2831.0,2816.0,2868.0,3096.0,3314.0,3134.0,3053.0,3508.0,4191.0
무안군 - 외국인수,Statistics,397.0,470.0,591.0,808.0,1227.0,1413.0,1453.0,1558.0,1467.0,1401.0,1411.0,1517.0,1672.0,1686.0,1600.0,1628.0,1498.0,1583.0,1956.0,2083.0
무주군 - 외국인수,Statistics,89.0,116.0,162.0,191.0,196.0,168.0,186.0,187.0,189.0,200.0,226.0,250.0,259.0,250.0,238.0,233.0,216.0,192.0,292.0,327.0
문경시 - 외국인수,Statistics,268.0,299.0,320.0,443.0,487.0,497.0,542.0,577.0,571.0,581.0,609.0,603.0,655.0,632.0,673.0,682.0,661.0,621.0,688.0,881.0
미추홀구 - 외국인수,Statistics,,,,,,,,,,,,,,,8929.0,9632.0,8903.0,9087.0,10408.0,11595.0
밀양시 - 외국인수,Statistics,737.0,684.0,822.0,978.0,1052.0,942.0,993.0,1187.0,1212.0,1407.0,1782.0,2089.0,2329.0,2497.0,2627.0,2870.0,2588.0,2470.0,3014.0,4223.0
보령시 - 외국인수,Statistics,540.0,583.0,935.0,1146.0,1297.0,1387.0,1519.0,1839.0,1879.0,2070.0,2381.0,2525.0,2628.0,2803.0,2891.0,3048.0,2859.0,2858.0,3232.0,4251.0
보성군 - 외국인수,Statistics,111.0,146.0,159.0,225.0,372.0,447.0,464.0,328.0,332.0,351.0,402.0,432.0,493.0,490.0,492.0,488.0,439.0,411.0,473.0,799.0
