item,category,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
가평군 - 등록외국인＜br＞(A),Statistics,407.0,509.0,685.0,764.0,876.0,976.0,1026.0,998.0,994.0,1020.0,1077.0,1077.0,1069.0,1043.0,1018.0,1047.0,1003.0,1004.0,1085.0,1186.0
가평군 - 인구 천명당 외국인수＜br＞(A÷B×1000),Statistics,7.42,9.28,12.49,13.72,15.34,16.96,17.42,16.81,16.35,16.72,17.59,17.37,17.12,16.56,16.18,16.77,16.08,16.12,17.46,19.04
가평군 - 주민등록인구＜br＞(B),Statistics,54845.0,54861.0,54855.0,55698.0,57108.0,57564.0,58890.0,59358.0,60794.0,61017.0,61213.0,62008.0,62448.0,62973.0,62918.0,62415.0,62377.0,62264.0,62150.0,62302.0
강남구 - 등록외국인＜br＞(A),Statistics,7816.0,6866.0,7694.0,8218.0,7792.0,7361.0,6975.0,7301.0,5800.0,5553.0,5332.0,5265.0,5025.0,4888.0,5089.0,5040.0,4824.0,4758.0,5001.0,5409.0
강남구 - 인구 천명당 외국인수＜br＞(A÷B×1000),Statistics,14.71,12.69,13.81,14.65,13.97,13.09,12.23,12.91,10.28,9.85,9.22,9.13,8.86,8.79,9.38,9.24,8.95,8.93,9.45,9.93
강남구 - 주민등록인구＜br＞(B),Statistics,531517.0,540909.0,556964.0,560958.0,557832.0,562138.0,570095.0,565710.0,564197.0,563599.0,578114.0,576495.0,567115.0,556164.0,542364.0,545169.0,539231.0,533042.0,529102.0,544873.0
강동구 - 등록외국인＜br＞(A),Statistics,2266.0,2605.0,3443.0,4475.0,4949.0,4910.0,5068.0,5378.0,4823.0,4590.0,4735.0,4663.0,4303.0,4136.0,4347.0,4323.0,4028.0,3808.0,3970.0,4151.0
강동구 - 인구 천명당 외국인수＜br＞(A÷B×1000),Statistics,4.81,5.61,7.46,9.63,10.55,10.13,10.3,10.86,9.89,9.5,9.94,10.17,9.69,9.48,10.17,9.91,8.76,8.23,8.63,9.04
강동구 - 주민등록인구＜br＞(B),Statistics,471145.0,464059.0,461760.0,464546.0,469024.0,484745.0,491871.0,495138.0,487905.0,483379.0,476597.0,458658.0,444168.0,436223.0,427573.0,436067.0,459970.0,462664.0,460067.0,459167.0
강릉시 - 등록외국인＜br＞(A),Statistics,1066.0,1204.0,1483.0,1616.0,1698.0,1603.0,1618.0,1581.0,1533.0,1563.0,1657.0,1770.0,1875.0,1904.0,2282.0,2469.0,2282.0,2357.0,2630.0,3379.0
강릉시 - 인구 천명당 외국인수＜br＞(A÷B×1000),Statistics,4.69,5.37,6.68,7.33,7.77,7.37,7.4,7.27,7.04,7.21,7.68,8.25,8.77,8.9,10.72,11.57,10.7,11.07,12.44,16.13
강릉시 - 주민등록인구＜br＞(B),Statistics,227259.0,224391.0,222016.0,220484.0,218399.0,217464.0,218503.0,217571.0,217741.0,216806.0,215807.0,214560.0,213846.0,213952.0,212957.0,213442.0,213321.0,212965.0,211381.0,209439.0
강북구 - 등록외국인＜br＞(A),Statistics,1750.0,2074.0,2634.0,3224.0,3480.0,3545.0,3487.0,3688.0,3336.0,3214.0,3385.0,3553.0,3509.0,3523.0,3751.0,3741.0,3514.0,3381.0,4042.0,4864.0
강북구 - 인구 천명당 외국인수＜br＞(A÷B×1000),Statistics,4.85,5.87,7.55,9.33,10.17,10.42,10.06,10.69,9.72,9.49,10.1,10.74,10.72,10.86,11.75,11.92,11.41,11.3,13.76,16.88
강북구 - 주민등록인구＜br＞(B),Statistics,360525.0,353260.0,348990.0,345478.0,342274.0,340367.0,346520.0,345054.0,343157.0,338707.0,335025.0,330873.0,327195.0,324479.0,319164.0,313954.0,308055.0,299182.0,293660.0,288113.0
강서구 - 등록외국인＜br＞(A),Statistics,3091.0,3713.0,4900.0,6071.0,6697.0,6360.0,6379.0,6777.0,6363.0,6166.0,6493.0,6617.0,6619.0,6564.0,6662.0,6477.0,5716.0,5453.0,5472.0,5768.0
강서구 - 인구 천명당 외국인수＜br＞(A÷B×1000),Statistics,5.71,6.71,8.83,10.83,11.61,11.1,11.11,11.91,11.21,10.84,11.1,11.23,11.12,10.91,11.16,10.94,9.85,9.49,9.61,10.24
강서구 - 주민등록인구＜br＞(B),Statistics,541671.0,553660.0,554945.0,560424.0,576848.0,572836.0,574127.0,569072.0,567431.0,569070.0,585160.0,589074.0,595485.0,601691.0,596949.0,591796.0,580185.0,574315.0,569166.0,563058.0
