item,category,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
강원특별자치도 - 도시지역인구＜br＞(B),Statistics,1204768.0,1240987.0,1250338.0,1238520.0,1255214.0,1253768.0,1268121.0,1256712.0,1262010.0,1256813.0,1258048.0,1276651.0,1276023.0,1274319.0,1273158.0
강원특별자치도 - 인구천명당 도시공원조성면적＜br＞(A÷B×1000),Statistics,6.4,5.9,6.2,6.4,6.5,7.0,7.8,8.4,8.8,10.0,10.7,13.3,15.4,15.8,16.1
강원특별자치도 - 총도시공원면적＜br＞(A),Statistics,7672.199,7332.064,7786.353,7897.616,8159.246,8833.484,9866.504,10600.134,11075.881,12578.999,13471.443,16962.939,19704.449,20165.474,20482.923
경기도 - 도시지역인구＜br＞(B),Statistics,10495316.0,10827503.0,10990306.0,11119389.0,11381947.0,11508728.0,11687832.0,11855896.0,11976132.0,12143441.0,12221217.0,12380374.0,12489790.0,12499793.0,12523221.0
경기도 - 인구천명당 도시공원조성면적＜br＞(A÷B×1000),Statistics,7.8,8.3,8.8,8.8,8.2,7.2,8.4,9.1,9.2,9.6,9.6,10.0,10.4,11.2,11.2
경기도 - 총도시공원면적＜br＞(A),Statistics,81561.838,90345.133,96263.308,97983.085,93523.164,83346.955,98107.614,107884.421,110061.32,116198.19,117183.924,123564.312,129444.679,139624.799,140706.391
경상남도 - 도시지역인구＜br＞(B),Statistics,2771511.0,2780310.0,2799687.0,2809177.0,2825666.0,2829119.0,2853794.0,2883962.0,2893244.0,2894899.0,2902685.0,2891466.0,2867756.0,2858005.0,2843389.0
경상남도 - 인구천명당 도시공원조성면적＜br＞(A÷B×1000),Statistics,7.9,8.6,9.6,10.3,10.4,10.6,9.8,10.8,11.4,12.4,12.6,14.5,15.7,15.8,16.0
경상남도 - 총도시공원면적＜br＞(A),Statistics,21906.45,23798.554,26951.786,28797.831,29476.679,30126.086,27949.552,31081.433,33048.464,35857.184,36454.823,41822.672,44958.551,45178.246,45602.476
경상북도 - 도시지역인구＜br＞(B),Statistics,2053957.0,2059652.0,2104633.0,2072129.0,2081294.0,2072868.0,2091548.0,2102922.0,2103299.0,2095784.0,2094138.0,2059868.0,2053158.0,2051295.0,2042020.0
경상북도 - 인구천명당 도시공원조성면적＜br＞(A÷B×1000),Statistics,6.7,7.7,7.7,8.5,9.3,9.3,9.3,9.6,10.3,11.4,11.5,15.7,16.0,16.4,16.6
경상북도 - 총도시공원면적＜br＞(A),Statistics,13786.971,15778.182,16155.33,17629.037,19397.567,19379.427,19366.467,20215.218,21690.647,23798.049,24031.75,32237.677,32868.357,33555.835,33807.256
광주광역시 - 도시지역인구＜br＞(B),Statistics,1433177.0,1452936.0,1461764.0,1469216.0,1472910.0,1474205.0,1470520.0,1469214.0,1463770.0,1459336.0,1456468.0,1450062.0,1441611.0,1431050.0,1419237.0
광주광역시 - 인구천명당 도시공원조성면적＜br＞(A÷B×1000),Statistics,5.7,5.2,5.2,5.9,6.0,6.1,6.2,6.2,6.1,7.4,6.9,12.2,12.2,12.4,13.3
광주광역시 - 총도시공원면적＜br＞(A),Statistics,8112.956,7561.312,7600.031,8673.879,8844.213,9014.088,9061.935,9081.777,8963.38,10782.365,9991.485,17697.931,17612.139,17732.721,18839.872
대구광역시 - 도시지역인구＜br＞(B),Statistics,2489310.0,2511493.0,2506785.0,2505107.0,2501055.0,2492760.0,2487735.0,2482847.0,2469995.0,2456722.0,2433088.0,2413450.0,2380498.0,2359056.0,2352173.0
대구광역시 - 인구천명당 도시공원조성면적＜br＞(A÷B×1000),Statistics,5.5,5.6,4.4,4.4,4.5,4.5,4.6,4.9,4.9,5.0,5.1,7.5,7.6,7.2,9.6
대구광역시 - 총도시공원면적＜br＞(A),Statistics,13811.276,13957.407,11035.954,11115.652,11185.886,11266.23,11463.778,12139.061,11989.555,12211.935,12368.008,18011.826,18100.94,16990.972,22525.336
대전광역시 - 도시지역인구＜br＞(B),Statistics,1459232.0,1500520.0,1509905.0,1518971.0,1532654.0,1531653.0,1514356.0,1509956.0,1497816.0,1484652.0,1474870.0,1463882.0,1452251.0,1446072.0,1442216.0
대전광역시 - 인구천명당 도시공원조성면적＜br＞(A÷B×1000),Statistics,6.8,7.1,7.8,8.1,10.3,10.2,8.5,8.6,10.3,12.2,10.9,12.0,12.0,12.4,13.0
대전광역시 - 총도시공원면적＜br＞(A),Statistics,9958.081,10656.954,11821.5,12274.01,15732.409,15619.121,12892.939,12943.3,15373.363,18065.887,16051.434,17502.188,17474.751,17968.1,18771.955
부산광역시 - 도시지역인구＜br＞(B),Statistics,3543030.0,3567910.0,3550963.0,3538484.0,3527635.0,3519401.0,3513777.0,3498529.0,3470653.0,3441453.0,3413841.0,3391946.0,3350380.0,3317812.0,3293362.0
부산광역시 - 인구천명당 도시공원조성면적＜br＞(A÷B×1000),Statistics,4.6,4.7,5.0,4.9,4.9,5.7,5.5,5.7,6.6,6.9,12.2,11.6,13.5,17.3,17.5
부산광역시 - 총도시공원면적＜br＞(A),Statistics,16156.157,16621.34,17854.741,17301.643,17322.612,20045.275,19196.065,19971.84,23079.357,23683.673,41489.11,39506.156,45260.715,57526.233,57598.971
