item,category,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
가평군 - 도시지역면적,Statistics,83834000.0,83893000.0,83893000.0,81889445.0,81889445.0,81889445.0,81889445.0,81889445.0,81889445.0,81889445.0,81889445.0,81889445.0,81889445.0,81889445.0,81889445.0,81889445.0,81889445.0,81889445.0
강남구 - 도시지역면적,Statistics,39550000.0,39550000.0,39550000.0,39550000.0,39550000.0,39550000.0,39550000.0,39550000.0,39550000.0,39550000.0,39550000.0,39497268.0,39497268.0,39497268.0,39497268.0,39497268.0,39497452.0,39497452.0
강동구 - 도시지역면적,Statistics,24580000.0,24579999.0,24580000.0,24580000.0,24580000.0,24580000.0,24580000.0,24580000.0,24580000.0,24556203.0,24556203.0,24556203.0,24556203.0,24556203.0,24556203.0,24556203.0,24556203.0,24556203.0
강릉시 - 도시지역면적,Statistics,76850700.0,76920948.0,76931330.0,76931330.0,84047505.0,84047505.0,84047505.0,84047505.0,84047505.0,84204778.0,84762822.0,84783347.0,84783347.0,84783347.0,84958649.0,84958649.0,84958649.0,78392991.0
강북구 - 도시지역면적,Statistics,23580000.0,23580000.0,23580000.0,23580000.0,23580000.0,23580000.0,23580000.0,23580000.0,23580000.0,23635959.0,23635959.0,23636019.0,23636019.0,23636019.0,23636019.0,23636019.0,23636019.0,23636019.0
강서구 - 도시지역면적,Statistics,41400000.0,41400000.0,41400000.0,41400000.0,41400000.0,41400000.0,41400000.0,41400000.0,41400000.0,41400000.0,41400000.0,41462497.0,41462415.0,41463274.0,41463274.0,41463273.0,41463273.0,41463248.0
강원특별자치도 - 도시지역면적,Statistics,981362881.0,993137222.0,992883080.0,994892241.0,1009506443.0,1012011361.0,1016937071.0,1022102313.0,1022114847.0,1022563285.0,1027198470.0,1027228237.0,1028778399.0,1028522877.0,1029687366.0,1030004376.0,1030008274.0,1004738631.0
강진군 - 도시지역면적,Statistics,26382000.0,26382000.0,27865730.0,27865730.0,27865730.0,27041759.0,27041759.0,27041759.0,27041759.0,27041759.0,27041759.0,27041759.0,27041759.0,27041759.0,27041759.0,27041759.0,27041759.0,27456039.0
강화군 - 도시지역면적,Statistics,16845800.0,16845800.0,16845800.0,16845800.0,16845800.0,16845800.0,17442884.0,17161142.0,17163475.0,17306615.0,17306615.0,17306615.0,17306615.0,17306615.0,17306615.0,17306615.0,17306303.0,17511613.0
거제시 - 도시지역면적,Statistics,94573391.0,94573000.0,96962377.0,98172373.0,98431308.0,98145201.0,98095202.0,101452549.0,98454173.0,97244221.0,97244221.0,97244221.0,98609973.0,98620051.0,97944801.0,97944801.0,97944801.0,97944801.0
거창군 - 도시지역면적,Statistics,31158000.0,31158000.0,31158735.0,31158735.0,31158735.0,31904168.0,31911143.0,31911143.0,31906464.0,31906464.0,31906464.0,31906464.0,31906464.0,31906464.0,31906464.0,31906464.0,31906464.0,32210186.0
경기도 - 도시지역면적,Statistics,3115751678.0,3188859434.0,3236168746.0,3239452978.0,3264237533.0,3330278692.0,3331056000.0,3339583747.0,3348294610.0,3357453240.0,3367486105.0,3371075153.0,3376013136.0,3377274307.0,3378712218.0,3385441488.0,3386898994.0,3370827754.0
경산시 - 도시지역면적,Statistics,103931000.0,103931000.0,103931000.0,108690036.0,108686341.0,110915169.0,110915169.0,114831835.0,114831835.0,114831835.0,114831835.0,114831835.0,114831835.0,123741231.0,123741231.0,123728319.0,123728319.0,123728319.0
경상남도 - 도시지역면적,Statistics,1848318893.0,1852938472.0,1956889974.0,1963756963.0,1877455242.0,1879998259.0,1887860832.0,1893863908.0,1892833064.0,1896271107.0,1889759767.0,1892605781.0,2007719820.0,2008568781.0,2004845346.0,2007710621.0,2007539323.0,2009783733.0
경상북도 - 도시지역면적,Statistics,1769000750.0,1770667200.0,1773005400.0,1768211310.0,1831356118.0,1834757408.0,1842786082.0,1847438673.0,1849864949.0,1850243160.0,1855416781.0,1856748798.0,1866786485.0,1879985260.0,1879972483.0,1879078335.0,1877732907.0,1870996639.0
경주시 - 도시지역면적,Statistics,405764002.0,405764002.0,405764002.0,405764002.0,458094112.0,458094112.0,458549162.0,458797176.0,458797176.0,458797176.0,460253134.0,460490505.0,464832544.0,464678805.0,464678805.0,464824021.0,463852114.0,463852114.0
계룡시 - 도시지역면적,Statistics,53614000.0,53590699.0,49221981.0,49221918.0,49221918.0,49221918.0,49221981.0,49221981.0,49221981.0,49221981.0,49221873.0,49221873.0,49221048.0,49225821.0,49225821.0,49225821.0,49225821.0,49231150.0
계양구 - 도시지역면적,Statistics,45574078.0,45574078.0,45574078.0,45553141.0,45549927.0,45549927.0,45549927.0,45549960.0,45549996.0,45550111.0,45570111.0,45549909.0,45549827.0,45549828.0,45549424.0,45549863.0,45548544.0,45548927.0
고령군 - 도시지역면적,Statistics,30513144.0,30513144.0,30514266.0,30514266.0,30514468.0,30514468.0,30514468.0,31325447.0,31325447.0,32224961.0,32224831.0,32220928.0,32492599.0,32473748.0,32473748.0,32473748.0,32473748.0,32473748.0
고성군 - 도시지역면적,Statistics,7720300.0,7720300.0,7720023.0,7720023.0,7982698.0,7982698.0,12380128.0,12380128.0,12380128.0,12380128.0,12421767.0,12421767.0,12421767.0,12421767.0,12421767.0,12421767.0,12421947.0,11979402.0
고양시 - 도시지역면적,Statistics,193796175.0,194766470.0,191808518.0,191808518.0,192042932.0,192042440.0,192032728.0,191068487.0,191068487.0,191850650.0,191850023.0,191850023.0,193400919.0,194127720.0,194977956.0,195008686.0,195009556.0,195000580.0
