item,category,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
가평군 - 생활계폐기물 재활용률＜br＞(A÷B×100),Statistics,28.4,26.3,27.6,27.5,26.0,49.6,46.6,38.9,24.6,31.9,31.9,45.3,62.5,70.5,71.2,69.0,83.2,77.1,50.2,53.6,38.3,79.9,86.0
가평군 - 생활계폐기물 총발생량＜br＞(B),Statistics,41.2,40.3,43.4,44.4,46.1,65.1,64.1,56.0,50.1,59.5,59.5,60.5,74.6,68.7,132.1,76.5,75.7,74.6,95.5,112.9,102.6,110.1,92.8
가평군 - 총재활용량＜br＞(A),Statistics,11.7,10.6,12.0,12.2,12.0,32.3,29.9,21.8,12.3,19.0,19.0,27.4,46.6,48.4,94.0,52.8,63.0,57.5,47.9,60.5,39.3,88.0,79.8
강남구 - 생활계폐기물 재활용률＜br＞(A÷B×100),Statistics,63.9,65.9,63.6,64.8,65.9,65.0,63.3,61.7,61.8,63.8,64.9,69.0,67.0,68.8,66.0,67.1,67.0,65.8,58.9,65.5,65.2,62.0,61.8
강남구 - 생활계폐기물 총발생량＜br＞(B),Statistics,799.0,861.3,874.9,835.0,823.6,800.4,837.9,942.9,978.7,990.5,1017.3,984.9,745.2,808.2,713.2,707.2,708.3,677.1,591.2,694.9,679.5,721.4,716.2
강남구 - 총재활용량＜br＞(A),Statistics,510.7,567.9,556.8,541.4,542.7,520.4,530.8,581.5,605.1,632.2,660.5,679.8,499.5,556.2,470.5,474.7,474.8,445.5,348.2,455.5,442.8,447.2,442.3
강동구 - 생활계폐기물 재활용률＜br＞(A÷B×100),Statistics,59.6,55.7,52.0,56.7,64.3,62.6,62.4,70.7,67.7,52.8,53.7,56.9,53.5,69.9,73.9,78.2,74.6,72.5,67.4,67.5,66.7,71.4,71.4
강동구 - 생활계폐기물 총발생량＜br＞(B),Statistics,505.9,537.9,429.2,450.9,437.6,418.7,386.2,496.2,426.4,258.5,262.7,258.6,246.4,392.6,412.4,500.2,375.0,370.1,419.9,368.0,401.7,345.9,336.4
강동구 - 총재활용량＜br＞(A),Statistics,301.4,299.8,223.3,255.8,281.3,261.9,241.0,350.9,288.8,136.4,141.2,147.1,131.9,274.3,304.6,391.4,279.8,268.5,283.1,248.3,268.0,246.9,240.2
강릉시 - 생활계폐기물 재활용률＜br＞(A÷B×100),Statistics,31.7,33.0,34.6,35.4,35.0,39.3,49.0,46.9,51.0,65.3,65.1,64.6,65.0,64.2,62.3,58.6,49.8,51.7,52.2,45.9,45.9,43.8,59.4
강릉시 - 생활계폐기물 총발생량＜br＞(B),Statistics,305.0,304.0,299.7,250.8,295.1,338.7,361.7,307.3,311.1,336.1,350.5,369.3,371.1,370.0,355.8,384.0,358.3,386.7,294.4,280.1,257.0,230.3,292.7
강릉시 - 총재활용량＜br＞(A),Statistics,96.8,100.2,103.6,88.7,103.4,133.2,177.4,144.1,158.8,219.5,228.3,238.6,241.2,237.7,221.8,224.9,178.6,200.0,153.8,128.5,117.9,100.9,173.9
강북구 - 생활계폐기물 재활용률＜br＞(A÷B×100),Statistics,55.4,53.8,49.5,53.2,66.8,67.3,66.6,70.8,70.7,62.3,64.9,67.8,67.1,64.8,66.3,67.3,68.3,67.4,69.8,60.1,67.6,68.4,69.9
강북구 - 생활계폐기물 총발생량＜br＞(B),Statistics,428.5,432.3,387.8,374.9,354.0,350.4,346.0,327.3,315.7,233.4,242.9,242.5,232.6,232.0,230.2,230.0,224.9,230.6,251.2,243.1,258.6,245.6,243.5
강북구 - 총재활용량＜br＞(A),Statistics,237.5,232.7,191.8,199.5,236.6,235.9,230.5,231.8,223.3,145.4,157.6,164.4,156.1,150.3,152.7,154.8,153.7,155.4,175.3,146.0,174.8,167.9,170.2
강서구 - 생활계폐기물 재활용률＜br＞(A÷B×100),Statistics,50.6,52.8,60.2,58.7,66.6,63.7,63.1,72.7,78.8,67.0,73.5,71.7,65.6,69.9,70.6,68.4,71.0,70.1,74.4,69.4,28.3,46.8,45.2
강서구 - 생활계폐기물 총발생량＜br＞(B),Statistics,567.5,560.3,594.0,510.4,507.6,444.5,537.8,520.5,570.9,671.4,429.8,399.1,370.2,436.8,434.2,425.3,463.7,480.0,599.4,526.8,2059.7,1604.8,1343.3
강서구 - 총재활용량＜br＞(A),Statistics,287.3,295.7,357.6,299.5,338.3,283.3,339.2,378.3,449.7,450.0,316.1,286.1,242.7,305.4,306.7,290.8,329.4,336.4,446.2,365.7,583.2,751.4,607.7
강원특별자치도 - 생활계폐기물 재활용률＜br＞(A÷B×100),Statistics,33.9,29.9,31.6,32.0,41.2,41.7,50.2,50.2,57.5,57.8,53.6,52.2,50.3,51.5,50.1,53.5,55.3,55.9,50.2,51.4,51.5,54.5,55.1
강원특별자치도 - 생활계폐기물 총발생량＜br＞(B),Statistics,1738.2,2138.7,1993.9,1846.9,1898.8,2095.0,2274.3,2281.3,2429.7,2379.5,2208.5,2175.3,2100.6,2104.1,2031.6,2179.1,2333.5,2372.3,2250.9,2254.5,2274.6,2172.2,2230.1
강원특별자치도 - 총재활용량＜br＞(A),Statistics,590.0,638.6,630.7,590.8,781.6,872.9,1141.8,1146.3,1397.4,1375.2,1183.5,1135.1,1057.1,1082.8,1018.3,1166.8,1289.3,1326.5,1130.1,1159.7,1170.6,1182.9,1227.9
강진군 - 생활계폐기물 재활용률＜br＞(A÷B×100),Statistics,51.9,56.6,58.2,57.3,57.7,29.3,40.8,56.5,61.2,59.2,60.3,63.7,52.1,48.9,47.9,57.5,58.1,50.8,48.0,46.5,77.7,49.0,40.3
강진군 - 생활계폐기물 총발생량＜br＞(B),Statistics,44.9,42.9,42.1,41.7,41.6,23.9,17.9,25.5,28.9,26.5,24.2,26.2,28.8,28.0,28.8,36.7,36.3,29.5,29.4,31.6,35.8,33.7,32.5
강진군 - 총재활용량＜br＞(A),Statistics,23.3,24.3,24.5,23.9,24.0,7.0,7.3,14.4,17.7,15.7,14.6,16.7,15.0,13.7,13.8,21.1,21.1,15.0,14.1,14.7,27.8,16.5,13.1
강화군 - 생활계폐기물 재활용률＜br＞(A÷B×100),Statistics,53.4,60.2,62.9,63.2,75.9,46.6,47.2,69.7,62.2,65.4,65.5,72.0,54.3,42.5,46.5,50.9,45.8,72.7,67.7,41.8,41.3,58.2,41.3
강화군 - 생활계폐기물 총발생량＜br＞(B),Statistics,31.3,39.7,40.7,38.6,49.8,42.7,46.6,55.7,52.4,66.1,61.5,79.4,45.7,29.9,45.8,50.5,49.1,96.2,130.2,86.5,79.6,51.4,100.8
강화군 - 총재활용량＜br＞(A),Statistics,16.7,23.9,25.6,24.4,37.8,19.9,22.0,38.8,32.6,43.2,40.3,57.2,24.8,12.7,21.3,25.7,22.5,69.9,88.1,36.2,32.9,29.9,41.6
거제시 - 생활계폐기물 재활용률＜br＞(A÷B×100),Statistics,50.3,36.0,42.5,52.3,53.6,45.8,59.5,57.6,52.3,53.7,51.0,54.4,51.6,52.1,55.1,65.7,66.6,59.0,49.9,37.1,30.2,18.4,21.7
거제시 - 생활계폐기물 총발생량＜br＞(B),Statistics,150.3,193.1,234.3,249.7,284.9,276.2,321.6,299.0,306.6,286.9,280.2,235.5,195.2,250.2,264.8,350.4,369.1,352.7,355.0,378.9,268.4,261.0,259.5
거제시 - 총재활용량＜br＞(A),Statistics,75.6,69.6,99.5,130.5,152.7,126.4,191.3,172.3,160.4,154.2,142.8,128.1,100.8,130.3,146.0,230.3,246.0,208.2,177.2,140.5,81.0,48.0,56.4
거창군 - 생활계폐기물 재활용률＜br＞(A÷B×100),Statistics,41.7,37.7,40.0,41.3,42.8,39.9,32.4,30.6,27.7,29.1,28.2,51.3,50.6,43.7,46.0,54.5,56.6,52.1,55.3,51.9,38.6,36.3,94.2
거창군 - 생활계폐기물 총발생량＜br＞(B),Statistics,44.6,49.6,45.7,47.5,46.3,46.9,53.7,51.6,50.1,50.5,56.4,79.4,79.5,69.5,78.9,83.3,76.3,70.3,97.3,100.6,79.5,83.2,81.7
거창군 - 총재활용량＜br＞(A),Statistics,18.6,18.7,18.3,19.6,19.8,18.7,17.4,15.8,13.9,14.7,15.9,40.7,40.2,30.4,36.3,45.4,43.2,36.6,53.8,52.2,30.7,30.2,77.0
경기 여주군 - 생활계폐기물 재활용률＜br＞(A÷B×100),Statistics,59.4,55.9,57.0,61.6,61.6,65.2,64.9,75.9,75.7,85.6,89.1,79.6,,,,,,,,,,,
경기 여주군 - 생활계폐기물 총발생량＜br＞(B),Statistics,84.0,92.3,85.2,78.1,78.6,69.8,78.4,109.7,116.8,219.5,322.7,132.1,,,,,,,,,,,
경기 여주군 - 총재활용량＜br＞(A),Statistics,49.9,51.6,48.6,48.1,48.4,45.5,50.9,83.3,88.4,188.0,287.4,105.1,,,,,,,,,,,
경기도 - 생활계폐기물 재활용률＜br＞(A÷B×100),Statistics,44.2,47.3,48.6,52.5,57.9,58.0,57.9,61.7,62.0,61.9,60.3,61.3,58.3,57.5,58.9,59.1,61.0,60.7,59.3,58.8,61.3,63.8,60.7
경기도 - 생활계폐기물 총발생량＜br＞(B),Statistics,8742.9,9069.0,9354.5,9167.1,9286.7,9166.3,9790.0,10195.6,10213.6,10362.4,10798.2,10428.2,9919.2,10452.1,11467.1,12069.5,11605.3,12406.1,13196.9,15212.8,14992.6,15647.6,15325.3
경기도 - 총재활용량＜br＞(A),Statistics,3867.8,4294.1,4549.4,4812.3,5374.7,5317.6,5670.8,6289.4,6334.8,6411.6,6507.8,6389.5,5780.5,6012.8,6752.5,7133.1,7075.6,7530.7,7827.5,8949.2,9194.4,9981.3,9307.2
경남 마산시 - 생활계폐기물 재활용률＜br＞(A÷B×100),Statistics,28.9,32.2,31.6,34.4,48.4,51.1,51.0,55.5,54.1,,,,,,,,,,,,,,
경남 마산시 - 생활계폐기물 총발생량＜br＞(B),Statistics,439.0,442.0,445.0,439.0,446.0,500.7,487.4,432.6,421.9,,,,,,,,,,,,,,
경남 마산시 - 총재활용량＜br＞(A),Statistics,127.0,142.5,140.4,151.1,215.8,255.7,248.4,240.1,228.2,,,,,,,,,,,,,,
경남 진해시 - 생활계폐기물 재활용률＜br＞(A÷B×100),Statistics,44.2,50.3,43.4,50.5,53.4,52.5,54.1,62.9,61.8,,,,,,,,,,,,,,
경남 진해시 - 생활계폐기물 총발생량＜br＞(B),Statistics,128.4,129.3,130.0,133.8,135.8,151.9,180.9,178.8,183.5,,,,,,,,,,,,,,
