item,category,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
가평군 - 생활계폐기물발생량＜br＞(A),Statistics,41.2,40.3,43.4,44.4,46.1,65.1,64.1,56.0,50.1,59.5,59.5,60.5,74.6,68.7,132.1,76.5,75.7,74.6,95.5,112.9,102.6,110.1,92.8
가평군 - 주민1인당 생활계폐기물배출량＜br＞(A÷B)*1000,Statistics,0.7,0.7,0.8,0.8,0.8,1.2,1.2,1.0,0.9,1.0,1.0,1.0,1.2,1.1,2.1,1.2,1.2,1.2,1.5,1.8,1.6,1.8,1.5
가평군 - 주민등록인구＜br＞(B),Statistics,56045.0,55506.0,55060.0,54845.0,54861.0,54855.0,55698.0,57108.0,57564.0,58890.0,59358.0,60794.0,61017.0,61213.0,62008.0,62448.0,62973.0,62918.0,62415.0,62377.0,62264.0,62150.0,62302.0
강남구 - 생활계폐기물발생량＜br＞(A),Statistics,799.0,861.3,874.9,835.0,823.6,800.4,837.9,942.9,978.7,990.5,1017.3,984.9,745.2,808.2,713.2,707.2,708.3,677.1,591.2,694.9,679.5,721.4,716.2
강남구 - 주민1인당 생활계폐기물배출량＜br＞(A÷B)*1000,Statistics,1.5,1.6,1.7,1.6,1.5,1.4,1.5,1.7,1.7,1.7,1.8,1.7,1.3,1.4,1.2,1.2,1.3,1.2,1.1,1.3,1.3,1.4,1.3
강남구 - 주민등록인구＜br＞(B),Statistics,540640.0,535138.0,528977.0,531517.0,540909.0,556964.0,560958.0,557832.0,562138.0,570095.0,565710.0,564197.0,563599.0,578114.0,576495.0,567115.0,556164.0,542364.0,545169.0,539231.0,533042.0,529102.0,544873.0
강동구 - 생활계폐기물발생량＜br＞(A),Statistics,505.9,537.9,429.2,450.9,437.6,418.7,386.2,496.2,426.4,258.5,262.7,258.6,246.4,392.6,412.4,500.2,375.0,370.1,419.9,368.0,401.7,345.9,336.4
강동구 - 주민1인당 생활계폐기물배출량＜br＞(A÷B)*1000,Statistics,1.0,1.1,0.9,1.0,0.9,0.9,0.8,1.1,0.9,0.5,0.5,0.5,0.5,0.8,0.9,1.1,0.9,0.9,1.0,0.8,0.9,0.8,0.7
강동구 - 주민등록인구＜br＞(B),Statistics,489241.0,481470.0,477230.0,471145.0,464059.0,461760.0,464546.0,469024.0,484745.0,491871.0,495138.0,487905.0,483379.0,476597.0,458658.0,444168.0,436223.0,427573.0,436067.0,459970.0,462664.0,460067.0,459167.0
강릉시 - 생활계폐기물발생량＜br＞(A),Statistics,305.0,304.0,299.7,250.8,295.1,338.7,361.7,307.3,311.1,336.1,350.5,369.3,371.1,370.0,355.8,384.0,358.3,386.7,294.4,280.1,257.0,230.3,292.7
강릉시 - 주민1인당 생활계폐기물배출량＜br＞(A÷B)*1000,Statistics,1.3,1.3,1.3,1.1,1.3,1.5,1.6,1.4,1.4,1.5,1.6,1.7,1.7,1.7,1.7,1.8,1.7,1.8,1.4,1.3,1.2,1.1,1.4
강릉시 - 주민등록인구＜br＞(B),Statistics,231943.0,229869.0,229073.0,227259.0,224391.0,222016.0,220484.0,218399.0,217464.0,218503.0,217571.0,217741.0,216806.0,215807.0,214560.0,213846.0,213952.0,212957.0,213442.0,213321.0,212965.0,211381.0,209439.0
강북구 - 생활계폐기물발생량＜br＞(A),Statistics,428.5,432.3,387.8,374.9,354.0,350.4,346.0,327.3,315.7,233.4,242.9,242.5,232.6,232.0,230.2,230.0,224.9,230.6,251.2,243.1,258.6,245.6,243.5
강북구 - 주민1인당 생활계폐기물배출량＜br＞(A÷B)*1000,Statistics,1.2,1.2,1.1,1.0,1.0,1.0,1.0,1.0,0.9,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.9,0.8,0.8
강북구 - 주민등록인구＜br＞(B),Statistics,351404.0,361896.0,360663.0,360525.0,353260.0,348990.0,345478.0,342274.0,340367.0,346520.0,345054.0,343157.0,338707.0,335025.0,330873.0,327195.0,324479.0,319164.0,313954.0,308055.0,299182.0,293660.0,288113.0
강서구 - 생활계폐기물발생량＜br＞(A),Statistics,567.5,560.3,594.0,510.4,507.6,444.5,537.8,520.5,570.9,671.4,429.8,399.1,370.2,436.8,434.2,425.3,463.7,480.0,599.4,526.8,2059.7,1604.8,1343.3
강서구 - 주민1인당 생활계폐기물배출량＜br＞(A÷B)*1000,Statistics,1.1,1.1,1.1,0.9,0.9,0.8,1.0,0.9,1.0,1.2,0.8,0.7,0.7,0.7,0.7,0.7,0.8,0.8,1.0,0.9,3.6,2.8,2.4
강서구 - 주민등록인구＜br＞(B),Statistics,521489.0,528321.0,537003.0,541671.0,553660.0,554945.0,560424.0,576848.0,572836.0,574127.0,569072.0,567431.0,569070.0,585160.0,589074.0,595485.0,601691.0,596949.0,591796.0,580185.0,574315.0,569166.0,563058.0
강원특별자치도 - 생활계폐기물발생량＜br＞(A),Statistics,1738.2,2138.7,1993.9,1846.9,1898.8,2095.0,2274.3,2281.3,2429.7,2379.5,2208.5,2175.3,2100.6,2104.1,2031.6,2179.1,2333.5,2372.3,2250.9,2254.5,2274.6,2172.2,2230.1
강원특별자치도 - 주민1인당 생활계폐기물배출량＜br＞(A÷B)*1000,Statistics,1.1,1.4,1.3,1.2,1.3,1.4,1.5,1.5,1.6,1.6,1.4,1.4,1.4,1.4,1.3,1.4,1.5,1.5,1.5,1.5,1.5,1.4,1.5
강원특별자치도 - 주민등록인구＜br＞(B),Statistics,1552407.0,1538720.0,1527034.0,1521375.0,1513110.0,1505420.0,1503806.0,1508575.0,1512870.0,1529818.0,1536448.0,1538630.0,1542263.0,1544442.0,1549507.0,1550806.0,1550142.0,1543052.0,1541502.0,1542840.0,1538492.0,1536498.0,1527807.0
강진군 - 생활계폐기물발생량＜br＞(A),Statistics,44.9,42.9,42.1,41.7,41.6,23.9,17.9,25.5,28.9,26.5,24.2,26.2,28.8,28.0,28.8,36.7,36.3,29.5,29.4,31.6,35.8,33.7,32.5
강진군 - 주민1인당 생활계폐기물배출량＜br＞(A÷B)*1000,Statistics,0.9,0.9,0.9,1.0,1.0,0.6,0.4,0.6,0.7,0.6,0.6,0.7,0.7,0.7,0.7,1.0,1.0,0.8,0.8,0.9,1.1,1.0,1.0
강진군 - 주민등록인구＜br＞(B),Statistics,50846.0,46381.0,44743.0,43550.0,42696.0,41938.0,41352.0,41153.0,41164.0,41624.0,41599.0,40241.0,40079.0,39861.0,38758.0,37753.0,36868.0,36144.0,35286.0,34597.0,33753.0,33177.0,32722.0
강화군 - 생활계폐기물발생량＜br＞(A),Statistics,31.3,39.7,40.7,38.6,49.8,42.7,46.6,55.7,52.4,66.1,61.5,79.4,45.7,29.9,45.8,50.5,49.1,96.2,130.2,86.5,79.6,51.4,100.8
