item,category,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
강원특별자치도 - 인구천명당 지방자치단체공무원 현원＜br＞(A÷B×1000),Statistics,10.5,10.5,10.5,10.5,10.5,10.5,10.8,11.1,11.4,12.1,12.5,10.4,10.9,11.0,11.1,11.3
강원특별자치도 - 주민등록인구＜br＞(B),Statistics,1512870.0,1529818.0,1536448.0,1538630.0,1542263.0,1544442.0,1549507.0,1550806.0,1550142.0,1543052.0,1541502.0,1542840.0,1538492.0,1536498.0,1527807.0,1517766.0
강원특별자치도 - 지방자치단체 공무원현원＜br＞(A),Statistics,15810.0,16120.0,16090.0,16199.0,16268.0,16280.0,16736.0,17189.0,17609.0,18599.0,19215.0,16047.0,16734.0,16867.0,17018.0,17156.0
경기도 - 인구천명당 지방자치단체공무원 현원＜br＞(A÷B×1000),Statistics,3.8,3.7,3.7,3.7,3.7,3.8,3.9,3.9,4.0,4.2,4.4,3.8,4.0,4.1,4.2,4.2
경기도 - 주민등록인구＜br＞(B),Statistics,11460610.0,11786622.0,11937415.0,12093299.0,12234630.0,12357830.0,12522606.0,12716780.0,12873895.0,13077153.0,13239666.0,13427014.0,13565450.0,13589432.0,13630821.0,13694685.0
경기도 - 지방자치단체 공무원현원＜br＞(A),Statistics,43053.0,43355.0,43597.0,44584.0,45866.0,46639.0,48273.0,49875.0,51709.0,54864.0,58293.0,51147.0,54018.0,55612.0,56624.0,56948.0
경상남도 - 인구천명당 지방자치단체공무원 현원＜br＞(A÷B×1000),Statistics,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.8,7.0,7.4,7.6,6.6,6.8,7.1,7.2,7.3
경상남도 - 주민등록인구＜br＞(B),Statistics,3250176.0,3290536.0,3308765.0,3319314.0,3333820.0,3350257.0,3364702.0,3373871.0,3380404.0,3373988.0,3362553.0,3340216.0,3314183.0,3280493.0,3251158.0,3228380.0
경상남도 - 지방자치단체 공무원현원＜br＞(A),Statistics,21641.0,22120.0,22012.0,22283.0,22228.0,22423.0,22566.0,23060.0,23641.0,24836.0,25690.0,22056.0,22621.0,23376.0,23547.0,23530.0
경상북도 - 인구천명당 지방자치단체공무원 현원＜br＞(A÷B×1000),Statistics,8.8,8.8,8.8,8.9,9.1,9.1,9.2,9.4,9.7,10.0,10.4,9.1,9.3,9.6,9.6,9.7
경상북도 - 주민등록인구＜br＞(B),Statistics,2669876.0,2689920.0,2699195.0,2698353.0,2699440.0,2700794.0,2702826.0,2700398.0,2691706.0,2676831.0,2665836.0,2639422.0,2626609.0,2600492.0,2554324.0,2531384.0
경상북도 - 지방자치단체 공무원현원＜br＞(A),Statistics,23378.0,23580.0,23810.0,24132.0,24618.0,24653.0,24981.0,25413.0,25983.0,26745.0,27829.0,24047.0,24417.0,24851.0,24646.0,24579.0
광주광역시 - 인구천명당 지방자치단체공무원 현원＜br＞(A÷B×1000),Statistics,4.6,4.6,4.6,4.6,4.8,4.8,4.9,5.0,5.2,5.5,5.8,5.1,5.3,5.5,5.6,5.6
광주광역시 - 주민등록인구＜br＞(B),Statistics,1433640.0,1454636.0,1463464.0,1469216.0,1472910.0,1475884.0,1472199.0,1469214.0,1463770.0,1459336.0,1456468.0,1450062.0,1441611.0,1431050.0,1419237.0,1408422.0
광주광역시 - 지방자치단체 공무원현원＜br＞(A),Statistics,6607.0,6684.0,6710.0,6806.0,7019.0,7031.0,7241.0,7314.0,7611.0,7956.0,8409.0,7377.0,7688.0,7832.0,7954.0,7919.0
대구광역시 - 인구천명당 지방자치단체공무원 현원＜br＞(A÷B×1000),Statistics,4.4,4.4,4.4,4.5,4.6,4.7,4.8,4.9,5.1,5.2,5.5,4.5,4.7,4.8,5.0,5.1
대구광역시 - 주민등록인구＜br＞(B),Statistics,2489781.0,2511676.0,2507271.0,2505644.0,2501588.0,2493264.0,2487829.0,2484557.0,2475231.0,2461769.0,2438031.0,2418346.0,2385412.0,2363691.0,2374960.0,2363629.0
대구광역시 - 지방자치단체 공무원현원＜br＞(A),Statistics,10860.0,10946.0,11142.0,11237.0,11468.0,11626.0,11880.0,12126.0,12610.0,12912.0,13321.0,10975.0,11218.0,11393.0,11954.0,12001.0
