item,category,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
강원특별자치도 - 인구십만명당 체육시설수＜br＞(A÷B×100000),Statistics,103.2,103.8,102.8,110.5,121.0,125.7,129.7,130.1,126.9,127.8,126.0,127.8,130.3,132.4,129.9,115.5,115.9,122.3,122.5,133.8
강원특별자치도 - 주민등록인구＜br＞(B),Statistics,1521375.0,1513110.0,1505420.0,1503806.0,1508575.0,1512870.0,1529818.0,1536448.0,1538630.0,1542263.0,1544442.0,1549507.0,1550806.0,1550142.0,1543052.0,1541502.0,1542840.0,1538492.0,1536498.0,1527807.0
강원특별자치도 - 체육시설수＜br＞(A),Statistics,1570.0,1570.0,1548.0,1661.0,1825.0,1901.0,1984.0,1999.0,1952.0,1971.0,1946.0,1980.0,2021.0,2052.0,2005.0,1780.0,1788.0,1881.0,1882.0,2044.0
경기도 - 인구십만명당 체육시설수＜br＞(A÷B×100000),Statistics,88.6,90.8,90.4,95.0,106.9,112.1,111.7,113.9,114.6,113.9,114.0,110.8,112.1,115.1,107.4,94.0,98.8,106.0,114.9,124.0
경기도 - 주민등록인구＜br＞(B),Statistics,10462920.0,10697215.0,10906033.0,11106211.0,11292264.0,11460610.0,11786622.0,11937415.0,12093299.0,12234630.0,12357830.0,12522606.0,12716780.0,12873895.0,13077153.0,13239666.0,13427014.0,13565450.0,13589432.0,13630821.0
경기도 - 체육시설수＜br＞(A),Statistics,9265.0,9715.0,9857.0,10551.0,12072.0,12842.0,13167.0,13591.0,13857.0,13937.0,14084.0,13869.0,14251.0,14823.0,14048.0,12446.0,13267.0,14376.0,15620.0,16909.0
경상남도 - 인구십만명당 체육시설수＜br＞(A÷B×100000),Statistics,81.5,81.8,82.2,87.8,98.5,106.1,105.3,109.7,105.1,99.8,99.1,95.0,101.3,105.0,99.1,96.4,97.1,110.7,111.7,119.4
경상남도 - 주민등록인구＜br＞(B),Statistics,3143814.0,3160431.0,3172857.0,3196953.0,3225255.0,3250176.0,3290536.0,3308765.0,3319314.0,3333820.0,3350257.0,3364702.0,3373871.0,3380404.0,3373988.0,3362553.0,3340216.0,3314183.0,3280493.0,3251158.0
경상남도 - 체육시설수＜br＞(A),Statistics,2562.0,2585.0,2609.0,2808.0,3178.0,3450.0,3466.0,3631.0,3487.0,3326.0,3319.0,3195.0,3417.0,3551.0,3344.0,3242.0,3243.0,3669.0,3663.0,3883.0
경상북도 - 인구십만명당 체육시설수＜br＞(A÷B×100000),Statistics,88.5,90.9,91.7,99.4,106.0,113.0,115.9,115.3,109.9,111.6,113.0,114.9,119.7,116.7,123.3,110.8,108.3,105.8,118.8,124.3
경상북도 - 주민등록인구＜br＞(B),Statistics,2695917.0,2688491.0,2688577.0,2681364.0,2673931.0,2669876.0,2689920.0,2699195.0,2698353.0,2699440.0,2700794.0,2702826.0,2700398.0,2691706.0,2676831.0,2665836.0,2639422.0,2626609.0,2600492.0,2554324.0
경상북도 - 체육시설수＜br＞(A),Statistics,2385.0,2443.0,2466.0,2664.0,2835.0,3016.0,3118.0,3112.0,2966.0,3012.0,3051.0,3105.0,3232.0,3142.0,3301.0,2955.0,2858.0,2778.0,3090.0,3175.0
광주광역시 - 인구십만명당 체육시설수＜br＞(A÷B×100000),Statistics,78.1,81.1,83.3,94.6,109.5,112.4,117.1,122.3,112.4,110.2,128.0,108.6,112.4,119.2,112.4,112.5,120.5,127.4,135.1,141.7
광주광역시 - 주민등록인구＜br＞(B),Statistics,1401172.0,1401745.0,1407798.0,1413444.0,1422702.0,1433640.0,1454636.0,1463464.0,1469216.0,1472910.0,1475884.0,1472199.0,1469214.0,1463770.0,1459336.0,1456468.0,1450062.0,1441611.0,1431050.0,1419237.0
