item,category,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
강원특별자치도 - 범죄발생건수＜br＞(A),Statistics,61157.0,58027.0,62470.0,60197.0,59247.0,57289.0,55061.0,59087.0,58533.0,53722.0,56928.0,58814.0,53171.0,45233.0,46096.0,44571.0,39593.0,41715.0,43173.0
강원특별자치도 - 인구 천명당 범죄발생건수＜br＞(A÷B×1000),Statistics,40.4,38.5,41.5,39.9,39.2,37.4,35.8,38.4,38.0,34.8,36.7,37.9,34.3,29.3,29.9,28.9,25.7,27.1,28.3
강원특별자치도 - 주민등록인구＜br＞(B),Statistics,1513110.0,1505420.0,1503806.0,1508575.0,1512870.0,1529818.0,1536448.0,1538630.0,1542263.0,1544442.0,1549507.0,1550806.0,1550142.0,1543052.0,1541502.0,1542840.0,1538492.0,1536498.0,1527807.0
경기도 - 범죄발생건수＜br＞(A),Statistics,342107.0,342659.0,374596.0,484617.0,444851.0,358597.0,369543.0,385811.0,401963.0,404390.0,430790.0,476348.0,417066.0,388938.0,394276.0,394226.0,357243.0,364534.0,378157.0
경기도 - 인구 천명당 범죄발생건수＜br＞(A÷B×1000),Statistics,32.0,31.4,33.7,42.9,38.8,30.4,31.0,31.9,32.9,32.7,34.4,37.5,32.4,29.7,29.8,29.4,26.3,26.8,27.7
경기도 - 주민등록인구＜br＞(B),Statistics,10697215.0,10906033.0,11106211.0,11292264.0,11460610.0,11786622.0,11937415.0,12093299.0,12234630.0,12357830.0,12522606.0,12716780.0,12873895.0,13077153.0,13239666.0,13427014.0,13565450.0,13589432.0,13630821.0
경상남도 - 범죄발생건수＜br＞(A),Statistics,106207.0,103932.0,124521.0,135012.0,131763.0,128394.0,120418.0,112208.0,116609.0,112253.0,118843.0,114410.0,100775.0,90267.0,96212.0,97998.0,87879.0,88852.0,90536.0
경상남도 - 인구 천명당 범죄발생건수＜br＞(A÷B×1000),Statistics,33.6,32.8,38.9,41.9,40.5,39.0,36.4,33.8,35.0,33.5,35.3,33.9,29.8,26.8,28.6,29.3,26.5,27.1,27.8
경상남도 - 주민등록인구＜br＞(B),Statistics,3160431.0,3172857.0,3196953.0,3225255.0,3250176.0,3290536.0,3308765.0,3319314.0,3333820.0,3350257.0,3364702.0,3373871.0,3380404.0,3373988.0,3362553.0,3340216.0,3314183.0,3280493.0,3251158.0
경상북도 - 범죄발생건수＜br＞(A),Statistics,91934.0,90543.0,97891.0,105865.0,104420.0,99078.0,90480.0,93072.0,98162.0,88938.0,91876.0,88059.0,80061.0,74356.0,77449.0,73762.0,65553.0,66928.0,67953.0
경상북도 - 인구 천명당 범죄발생건수＜br＞(A÷B×1000),Statistics,34.2,33.7,36.5,39.6,39.1,36.8,33.5,34.5,36.4,32.9,34.0,32.6,29.7,27.8,29.1,27.9,25.0,25.7,26.6
경상북도 - 주민등록인구＜br＞(B),Statistics,2688491.0,2688577.0,2681364.0,2673931.0,2669876.0,2689920.0,2699195.0,2698353.0,2699440.0,2700794.0,2702826.0,2700398.0,2691706.0,2676831.0,2665836.0,2639422.0,2626609.0,2600492.0,2554324.0
광주광역시 - 범죄발생건수＜br＞(A),Statistics,62736.0,56956.0,59819.0,61806.0,61679.0,62021.0,63672.0,67272.0,67969.0,64822.0,61234.0,54271.0,48213.0,43569.0,44274.0,43517.0,39392.0,38900.0,42058.0
광주광역시 - 인구 천명당 범죄발생건수＜br＞(A÷B×1000),Statistics,44.8,40.5,42.3,43.4,43.0,42.6,43.5,45.8,46.1,43.9,41.6,36.9,32.9,29.9,30.4,30.0,27.3,27.2,29.6
광주광역시 - 주민등록인구＜br＞(B),Statistics,1401745.0,1407798.0,1413444.0,1422702.0,1433640.0,1454636.0,1463464.0,1469216.0,1472910.0,1475884.0,1472199.0,1469214.0,1463770.0,1459336.0,1456468.0,1450062.0,1441611.0,1431050.0,1419237.0
대구광역시 - 범죄발생건수＜br＞(A),Statistics,92734.0,89687.0,94628.0,106569.0,97648.0,96351.0,96265.0,97921.0,96186.0,95753.0,98897.0,86150.0,75016.0,72341.0,75797.0,72373.0,67915.0,66786.0,66674.0
대구광역시 - 인구 천명당 범죄발생건수＜br＞(A÷B×1000),Statistics,36.9,35.9,38.0,42.8,39.2,38.4,38.4,39.1,38.4,38.4,39.8,34.7,30.3,29.4,31.1,29.9,28.5,28.3,28.1
대구광역시 - 주민등록인구＜br＞(B),Statistics,2511306.0,2496115.0,2493261.0,2492724.0,2489781.0,2511676.0,2507271.0,2505644.0,2501588.0,2493264.0,2487829.0,2484557.0,2475231.0,2461769.0,2438031.0,2418346.0,2385412.0,2363691.0,2374960.0
대전광역시 - 범죄발생건수＜br＞(A),Statistics,51156.0,46147.0,51177.0,53124.0,54484.0,49057.0,47473.0,45163.0,48484.0,47565.0,49593.0,49038.0,46988.0,45527.0,45167.0,44623.0,39982.0,43736.0,43327.0
대전광역시 - 인구 천명당 범죄발생건수＜br＞(A÷B×1000),Statistics,35.2,31.5,34.7,35.9,36.7,32.6,31.3,29.6,31.6,31.1,32.7,32.4,31.3,30.6,30.6,30.5,27.5,30.2,30.0
대전광역시 - 주민등록인구＜br＞(B),Statistics,1454638.0,1466158.0,1475659.0,1480895.0,1484180.0,1503664.0,1515603.0,1524583.0,1532811.0,1531809.0,1518775.0,1514370.0,1502227.0,1489936.0,1474870.0,1463882.0,1452251.0,1446072.0,1442216.0
부산광역시 - 범죄발생건수＜br＞(A),Statistics,110287.0,120873.0,135769.0,164221.0,170193.0,127220.0,126411.0,131480.0,133629.0,133755.0,140700.0,129211.0,116449.0,110628.0,113138.0,113652.0,100439.0,105057.0,106433.0
부산광역시 - 인구 천명당 범죄발생건수＜br＞(A÷B×1000),Statistics,30.3,33.5,37.8,46.1,48.0,35.7,35.6,37.2,37.9,38.0,40.0,36.9,33.6,32.1,33.1,33.5,30.0,31.7,32.3
부산광역시 - 주민등록인구＜br＞(B),Statistics,3638293.0,3611992.0,3587439.0,3564577.0,3543030.0,3567910.0,3550963.0,3538484.0,3527635.0,3519401.0,3513777.0,3498529.0,3470653.0,3441453.0,3413841.0,3391946.0,3350380.0,3317812.0,3293362.0
서울특별시 - 범죄발생건수＜br＞(A),Statistics,350505.0,346733.0,355754.0,392590.0,405428.0,348180.0,358620.0,358534.0,368583.0,355991.0,356575.0,343104.0,320193.0,308997.0,309269.0,296178.0,257969.0,279507.0,277213.0
서울특별시 - 인구 천명당 범죄발생건수＜br＞(A÷B×1000),Statistics,34.5,34.1,34.9,38.5,39.7,33.8,35.0,35.2,36.3,35.2,35.6,34.6,32.5,31.6,31.8,30.6,27.1,29.6,29.5
서울특별시 - 주민등록인구＜br＞(B),Statistics,10167344.0,10181166.0,10192710.0,10200827.0,10208302.0,10312545.0,10249679.0,10195318.0,10143645.0,10103233.0,10022181.0,9930616.0,9857426.0,9765623.0,9729107.0,9668465.0,9509458.0,9428372.0,9386034.0
세종특별자치시 - 범죄발생건수＜br＞(A),Statistics,,,,,,,,,,,,,,,6111.0,6276.0,5937.0,6575.0,7603.0
세종특별자치시 - 인구 천명당 범죄발생건수＜br＞(A÷B×1000),Statistics,,,,,,,,,,,,,,,17.9,17.6,16.0,17.1,19.7
세종특별자치시 - 주민등록인구＜br＞(B),Statistics,,,,,,,,,,,,,,,340575.0,355831.0,371895.0,383591.0,386525.0
울산광역시 - 범죄발생건수＜br＞(A),Statistics,36530.0,38372.0,44071.0,44590.0,45807.0,41314.0,36848.0,37362.0,40848.0,41167.0,44569.0,39799.0,34912.0,32764.0,32780.0,31381.0,29085.0,27286.0,29859.0
울산광역시 - 인구 천명당 범죄발생건수＜br＞(A÷B×1000),Statistics,33.6,35.1,40.1,40.1,41.1,36.7,32.5,32.6,35.3,35.3,38.0,33.9,30.0,28.4,28.6,27.6,25.9,24.6,27.1
울산광역시 - 주민등록인구＜br＞(B),Statistics,1087648.0,1092494.0,1099995.0,1112407.0,1114866.0,1126298.0,1135494.0,1147256.0,1156480.0,1166377.0,1173534.0,1172304.0,1165132.0,1155623.0,1148019.0,1136017.0,1121592.0,1110663.0,1103661.0
인천광역시 - 범죄발생건수＜br＞(A),Statistics,99682.0,103491.0,99260.0,106547.0,103727.0,85078.0,82870.0,89911.0,95270.0,94210.0,99915.0,100387.0,91385.0,86391.0,90608.0,88143.0,76584.0,82397.0,87831.0
인천광역시 - 인구 천명당 범죄발생건수＜br＞(A÷B×1000),Statistics,38.3,39.4,37.3,39.6,38.3,30.8,29.6,31.6,33.1,32.5,34.1,34.1,31.0,29.2,30.6,30.0,26.0,27.8,29.3
인천광역시 - 주민등록인구＜br＞(B),Statistics,2600495.0,2624391.0,2664576.0,2692696.0,2710579.0,2758296.0,2801274.0,2843981.0,2879782.0,2902608.0,2925815.0,2943069.0,2948542.0,2954642.0,2957026.0,2942828.0,2948375.0,2967314.0,2997410.0
