item,category,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
강원특별자치도 - 소년 천명당 소년범죄검거건수＜br＞(A÷B×1000),Statistics,20.3,18.0,17.3,20.7,16.2,14.5,15.2,15.9,15.6,14.3,13.6,14.1,13.0,14.5,16.0
강원특별자치도 - 소년범죄검거건수＜br＞(A),Statistics,3649.0,3226.0,3038.0,3534.0,2663.0,2291.0,2290.0,2279.0,2147.0,1881.0,1692.0,1704.0,1543.0,1711.0,1850.0
강원특별자치도 - 소년인구＜br＞(B),Statistics,179842.0,179170.0,175596.0,170399.0,164413.0,157751.0,150490.0,143022.0,137465.0,131280.0,124566.0,120966.0,119008.0,118097.0,115540.0
경기도 - 소년 천명당 소년범죄검거건수＜br＞(A÷B×1000),Statistics,19.2,14.2,12.9,17.2,14.9,14.1,15.4,15.2,15.0,14.1,14.7,14.6,11.8,13.0,14.2
경기도 - 소년범죄검거건수＜br＞(A),Statistics,28901.0,21547.0,19175.0,24838.0,20980.0,19224.0,20213.0,19317.0,18692.0,17203.0,17425.0,17238.0,13962.0,15478.0,16949.0
경기도 - 소년인구＜br＞(B),Statistics,1505268.0,1514013.0,1486178.0,1446918.0,1406163.0,1359356.0,1309972.0,1269859.0,1246619.0,1224002.0,1186693.0,1178122.0,1185736.0,1192502.0,1189978.0
경상남도 - 소년 천명당 소년범죄검거건수＜br＞(A÷B×1000),Statistics,15.8,13.0,12.3,13.0,11.7,10.6,12.6,11.9,11.5,9.8,11.4,12.9,11.6,13.1,13.6
경상남도 - 소년범죄검거건수＜br＞(A),Statistics,6547.0,5362.0,4960.0,5036.0,4357.0,3767.0,4282.0,3843.0,3630.0,2986.0,3333.0,3718.0,3338.0,3774.0,3900.0
경상남도 - 소년인구＜br＞(B),Statistics,413901.0,411155.0,401850.0,386993.0,372089.0,356355.0,338553.0,323427.0,314673.0,304690.0,292333.0,287654.0,287529.0,288284.0,286248.0
경상북도 - 소년 천명당 소년범죄검거건수＜br＞(A÷B×1000),Statistics,14.6,11.9,12.0,15.2,13.8,12.5,13.3,13.6,13.2,12.2,13.4,14.0,12.3,12.4,13.6
경상북도 - 소년범죄검거건수＜br＞(A),Statistics,4445.0,3569.0,3498.0,4264.0,3715.0,3203.0,3239.0,3149.0,2954.0,2620.0,2731.0,2798.0,2437.0,2452.0,2674.0
경상북도 - 소년인구＜br＞(B),Statistics,303647.0,300534.0,292390.0,280986.0,269249.0,256463.0,243517.0,231489.0,223515.0,214713.0,204499.0,199214.0,198690.0,198122.0,196123.0
광주광역시 - 소년 천명당 소년범죄검거건수＜br＞(A÷B×1000),Statistics,21.4,19.3,17.7,24.2,18.8,15.9,16.6,16.5,17.6,16.2,17.7,19.1,14.0,16.5,21.4
광주광역시 - 소년범죄검거건수＜br＞(A),Statistics,4514.0,4071.0,3656.0,4821.0,3617.0,2920.0,2888.0,2712.0,2777.0,2438.0,2528.0,2636.0,1903.0,2222.0,2838.0
