item,category,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
강원특별자치도 - 전력판매량,Statistics,2429026.0,2543706.0,2795600.0,3024738.0,3054322.0,3195860.0,3441686.0,3613050.0,3976253.0,4203975.0,4526254.0,5051168.0,5507607.0,6065953.0,6619719.0,7118029.0,7558856.0,8069296.0,7427165.0,8213597.0,9145542.0,10227934.0,11105285.0,11899814.0,12051844.0,12379005.0,12993255.0,13567824.0,13895753.0,13992115.0,14848027.0,15876041.0,15904382.141,15794740.568,15778144.0,16206618.0,16498768.0,16552836.0,16845836.0,16368275.0,16120067.0,16808006.0,17325520.0,17114657.0
경기도 - 전력판매량,Statistics,5649543.0,6210420.0,6777839.0,5251406.0,6236550.0,7061470.0,8260554.0,9991838.0,11896657.0,13561579.0,15756857.0,17386302.0,19212289.0,21542019.0,25233617.0,28696044.0,31898222.0,35250296.0,33612776.0,38031741.0,43885163.0,48583252.0,53908880.0,57939772.0,62758836.0,68750378.0,73309874.0,78107276.0,81848570.0,83743497.0,93074875.0,96844503.0,100291952.459,102227067.384,102180707.0,105048003.0,109403901.0,114847859.0,122695954.0,123022307.0,124688964.0,133445948.0,140531012.0,140312047.0
경상남도 - 전력판매량,Statistics,4634078.0,5106745.0,5227192.0,5811537.0,6564469.0,7096336.0,7709200.0,8861076.0,10635067.0,11688667.0,13489898.0,15535031.0,17128261.0,19046497.0,21821001.0,24280916.0,26346814.0,28769139.0,27769065.0,30976108.0,17038616.0,18566863.0,20144321.0,21302733.0,22553302.0,24093883.0,25380993.0,26788262.0,28074968.0,28393041.0,31549222.0,33071206.0,33014947.413,33530618.952,33435157.0,33876325.0,34497477.0,34647864.0,35158610.0,34472017.0,34069974.0,35734059.0,36190920.0,36351796.0
경상북도 - 전력판매량,Statistics,4955391.0,5510444.0,5774649.0,3740059.0,4093951.0,4536391.0,5127166.0,6019043.0,6836226.0,7766706.0,9019102.0,10051838.0,11009681.0,12414603.0,14460318.0,16912878.0,17819373.0,20361453.0,20701378.0,22537413.0,24805745.0,25925964.0,28289834.0,29582443.0,31446013.0,33161128.0,34010487.0,36249730.0,37164797.0,37983313.0,41589052.0,44167300.0,44799524.859,45444246.688,46016364.0,44956836.0,44647503.0,45455611.0,45958814.0,44314767.0,41001627.0,44258297.0,44601033.0,43897600.0
광주광역시 - 전력판매량,Statistics,,,,,,,,772101.0,1061408.0,1334659.0,1562328.0,1670014.0,1895916.0,2100756.0,2456594.0,2782927.0,3103707.0,3447579.0,3371966.0,3766361.0,4279226.0,4639098.0,5090957.0,5337212.0,5761794.0,6205053.0,6441161.0,6803616.0,7044868.0,7169715.0,7860057.0,8047388.0,8130493.269,8274074.487,8197277.0,8333873.0,8558369.0,8683649.0,8773811.0,8603297.0,8531108.0,8973447.0,9116871.0,9083242.0
대구광역시 - 전력판매량,Statistics,,,,2386400.0,2550045.0,2616406.0,2730215.0,3270714.0,3528899.0,3773640.0,4243166.0,4503228.0,4926991.0,5378003.0,6220840.0,6549781.0,8326697.0,8629456.0,8279242.0,9215520.0,10189993.0,10544475.0,11219611.0,11471668.0,11903722.0,12363357.0,12622007.0,12925891.0,13265254.0,13133729.0,14479996.0,14821948.0,14954957.987,15080051.882,14858787.0,14947708.0,15268114.0,15386372.0,15675749.0,15265585.0,14758568.0,15443949.0,16039260.0,16288850.0
대전광역시 - 전력판매량,Statistics,,,,,,,,,,1413477.0,1847100.0,2023889.0,2230216.0,2444999.0,2939864.0,3320893.0,3792028.0,4169271.0,4139120.0,4713997.0,5289144.0,5771636.0,6210506.0,6502820.0,6896446.0,7252938.0,7505662.0,7823147.0,8087633.0,8224741.0,8867405.0,9059776.0,9160107.085,9225139.981,9102524.0,9182737.0,9379633.0,9423804.0,9648827.0,9415699.0,9405221.0,9748621.0,10016877.0,9922139.0
부산광역시 - 전력판매량,Statistics,3320943.0,3323730.0,3535896.0,3990744.0,4336842.0,4519559.0,4936278.0,5519338.0,6115017.0,6531786.0,7341267.0,7685775.0,8066136.0,8451284.0,9323262.0,9894007.0,10885412.0,11450156.0,10948496.0,11296855.0,12409397.0,13423022.0,14270036.0,14764341.0,15479222.0,16588954.0,17218934.0,17905735.0,18709380.0,18689437.0,20263682.0,20561979.0,20664842.324,20364705.164,19980898.0,20002307.0,20467093.0,21007358.0,21216605.0,20802410.0,20503969.0,21067833.0,21493648.0,21555665.0
서울특별시 - 전력판매량,Statistics,5979667.0,6492486.0,6962896.0,7859263.0,8646945.0,9280092.0,10205815.0,11364344.0,13073675.0,14369760.0,16027052.0,17060163.0,18370162.0,19870468.0,22253268.0,23565808.0,25686049.0,27314634.0,26161720.0,28447269.0,31395005.0,33321290.0,34882647.0,36163797.0,38213581.0,40523741.0,41824268.0,42972816.0,44096350.0,44984457.0,47295093.0,46902989.0,47234102.28,46555105.214,45018863.0,45381484.0,46493234.0,46298158.0,47810210.0,47167206.0,45787926.0,47295807.0,48788677.0,49218956.0
세종특별자치시 - 전력판매량,Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578610.118,2345526.777,2437031.0,2641139.0,2801869.0,2918758.0,3087693.0,3226179.0,3393223.0,4295363.0,3182079.0,3935500.0
울산광역시 - 전력판매량,Statistics,,,,,,,,,,,,,,,,,,,,,17236182.0,17424318.0,18825229.0,19629362.0,20576404.0,20851718.0,21556369.0,22739544.0,24132175.0,24682548.0,26515702.0,28198242.0,29362724.22,29992968.865,30115123.0,30286140.0,32095217.0,31609850.0,33748169.0,34138999.0,33157834.0,33593123.0,32919181.0,31826127.0
인천광역시 - 전력판매량,Statistics,,,,2787713.0,3066661.0,3242433.0,3745058.0,4100383.0,4680412.0,5090566.0,5794948.0,6295568.0,7210104.0,8354173.0,9182284.0,9995190.0,11188533.0,12118884.0,11569386.0,12921985.0,14195026.0,14963884.0,16099983.0,16921206.0,17648598.0,18165058.0,18694596.0,19446553.0,19915366.0,20032122.0,21827577.0,22241136.0,22651946.253,22673441.488,22578048.0,23211766.0,23875857.0,24515313.0,24921926.0,24280690.0,23638583.0,24901194.0,25506864.0,25875669.0
