item,category,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
가평군 - 제조업종사자수,Statistics,,,,,,,,,,,1745.0,1881.0,1798.0
강남구 - 제조업종사자수,Statistics,,,,,,,,,,,14910.0,14296.0,16875.0
강동구 - 제조업종사자수,Statistics,,,,,,,,,,,6508.0,5191.0,4855.0
강릉시 - 제조업종사자수,Statistics,,,,,,,,,,,7427.0,6961.0,7284.0
강북구 - 제조업종사자수,Statistics,,,,,,,,,,,6621.0,5903.0,5864.0
강서구 - 제조업종사자수,Statistics,,,,,,,,,,,7027.0,7311.0,7317.0
강원특별자치도 - 제조업종사자수,Statistics,42304.0,43521.0,43437.0,45074.0,47578.0,48126.0,50254.0,53741.0,56047.0,57365.0,58955.0,59477.0,61976.0
강진군 - 제조업종사자수,Statistics,,,,,,,,,,,1380.0,1409.0,1494.0
강화군 - 제조업종사자수,Statistics,,,,,,,,,,,2868.0,2967.0,2957.0
거제시 - 제조업종사자수,Statistics,,,,,,,,,,,50680.0,41616.0,43953.0
거창군 - 제조업종사자수,Statistics,,,,,,,,,,,2813.0,2726.0,2642.0
경기도 - 제조업종사자수,Statistics,959246.0,956529.0,966580.0,1030877.0,1113407.0,1131679.0,1155000.0,1214757.0,1260761.0,1276105.0,1300516.0,1317605.0,1321095.0
경산시 - 제조업종사자수,Statistics,,,,,,,,,,,36461.0,36374.0,37679.0
경상남도 - 제조업종사자수,Statistics,371731.0,376041.0,375359.0,391133.0,406746.0,420800.0,423086.0,437317.0,444673.0,433488.0,423853.0,409762.0,412713.0
경상북도 - 제조업종사자수,Statistics,250834.0,254744.0,252824.0,276068.0,289646.0,299161.0,314893.0,325117.0,328305.0,328962.0,324059.0,320706.0,319306.0
경주시 - 제조업종사자수,Statistics,,,,,,,,,,,42796.0,42573.0,42254.0
계룡시 - 제조업종사자수,Statistics,,,,,,,,,,,910.0,960.0,882.0
계양구 - 제조업종사자수,Statistics,,,,,,,,,,,11301.0,10425.0,10808.0
고령군 - 제조업종사자수,Statistics,,,,,,,,,,,10633.0,10769.0,10413.0
고성군 - 제조업종사자수,Statistics,,,,,,,,,,,1181.0,1273.0,1283.0
고양시 - 제조업종사자수,Statistics,,,,,,,,,,,32476.0,32669.0,32526.0
고창군 - 제조업종사자수,Statistics,,,,,,,,,,,2228.0,2361.0,2404.0
고흥군 - 제조업종사자수,Statistics,,,,,,,,,,,2839.0,3311.0,3171.0
곡성군 - 제조업종사자수,Statistics,,,,,,,,,,,3040.0,2972.0,3169.0
공주시 - 제조업종사자수,Statistics,,,,,,,,,,,8780.0,9030.0,9559.0
과천시 - 제조업종사자수,Statistics,,,,,,,,,,,385.0,328.0,307.0
관악구 - 제조업종사자수,Statistics,,,,,,,,,,,5480.0,4975.0,4492.0
광명시 - 제조업종사자수,Statistics,,,,,,,,,,,14550.0,15337.0,14817.0
광산구 - 제조업종사자수,Statistics,,,,,,,,,,,49918.0,50259.0,50763.0
광양시 - 제조업종사자수,Statistics,,,,,,,,,,,18619.0,18830.0,19935.0
광주광역시 - 제조업종사자수,Statistics,69372.0,68568.0,71382.0,74498.0,76372.0,79992.0,78913.0,82331.0,82540.0,85157.0,86364.0,86109.0,85858.0
광주시 - 제조업종사자수,Statistics,,,,,,,,,,,49127.0,48720.0,48374.0
광진구 - 제조업종사자수,Statistics,,,,,,,,,,,7616.0,7198.0,6935.0
괴산군 - 제조업종사자수,Statistics,,,,,,,,,,,3788.0,3750.0,3940.0
구례군 - 제조업종사자수,Statistics,,,,,,,,,,,729.0,736.0,816.0
구로구 - 제조업종사자수,Statistics,,,,,,,,,,,19002.0,17612.0,18469.0
구리시 - 제조업종사자수,Statistics,,,,,,,,,,,4207.0,4063.0,4092.0
구미시 - 제조업종사자수,Statistics,,,,,,,,,,,95569.0,89744.0,86214.0
군산시 - 제조업종사자수,Statistics,,,,,,,,,,,26559.0,22960.0,22438.0
군위군 - 제조업종사자수,Statistics,,,,,,,,,,,2186.0,2108.0,2084.0
군포시 - 제조업종사자수,Statistics,,,,,,,,,,,28186.0,28265.0,27919.0
금산군 - 제조업종사자수,Statistics,,,,,,,,,,,10240.0,10569.0,11672.0
금정구 - 제조업종사자수,Statistics,,,,,,,,,,,10506.0,9850.0,9562.0
금천구 - 제조업종사자수,Statistics,,,,,,,,,,,40151.0,40430.0,40538.0
기장군 - 제조업종사자수,Statistics,,,,,,,,,,,17096.0,16547.0,16873.0
김제시 - 제조업종사자수,Statistics,,,,,,,,,,,9924.0,10347.0,10850.0
김천시 - 제조업종사자수,Statistics,,,,,,,,,,,12968.0,13450.0,14040.0
김포시 - 제조업종사자수,Statistics,,,,,,,,,,,71059.0,73772.0,75606.0
