item,category,2021,2022,2023
가평군 - 제조업종사자수,Statistics,1920.0,2050.0,1964.0
강남구 - 제조업종사자수,Statistics,19410.0,18501.0,17447.0
강동구 - 제조업종사자수,Statistics,4899.0,4865.0,4221.0
강릉시 - 제조업종사자수,Statistics,7465.0,7185.0,7208.0
강북구 - 제조업종사자수,Statistics,5979.0,5770.0,5300.0
강서구 - 제조업종사자수,Statistics,8338.0,8262.0,7996.0
강원특별자치도 - 제조업종사자수,Statistics,64204.0,64520.0,63456.0
강진군 - 제조업종사자수,Statistics,1298.0,1435.0,1333.0
강화군 - 제조업종사자수,Statistics,3654.0,3541.0,3580.0
거제시 - 제조업종사자수,Statistics,36074.0,36799.0,39810.0
거창군 - 제조업종사자수,Statistics,2765.0,2737.0,2618.0
경기도 - 제조업종사자수,Statistics,1373285.0,1387627.0,1357108.0
경산시 - 제조업종사자수,Statistics,35055.0,36067.0,35058.0
경상남도 - 제조업종사자수,Statistics,406186.0,412666.0,413205.0
경상북도 - 제조업종사자수,Statistics,315862.0,325945.0,320444.0
경주시 - 제조업종사자수,Statistics,40032.0,42378.0,43835.0
계룡시 - 제조업종사자수,Statistics,1049.0,1020.0,1115.0
계양구 - 제조업종사자수,Statistics,12750.0,12894.0,11863.0
고령군 - 제조업종사자수,Statistics,9845.0,10357.0,9891.0
고성군 - 제조업종사자수,Statistics,1170.0,1235.0,1249.0
고양시 - 제조업종사자수,Statistics,32641.0,33161.0,31191.0
고창군 - 제조업종사자수,Statistics,2180.0,2289.0,2308.0
고흥군 - 제조업종사자수,Statistics,3119.0,3370.0,3233.0
곡성군 - 제조업종사자수,Statistics,3196.0,3363.0,3149.0
공주시 - 제조업종사자수,Statistics,10361.0,9844.0,9431.0
과천시 - 제조업종사자수,Statistics,441.0,461.0,668.0
관악구 - 제조업종사자수,Statistics,4949.0,4556.0,4094.0
광명시 - 제조업종사자수,Statistics,15635.0,16411.0,15970.0
광산구 - 제조업종사자수,Statistics,52743.0,53142.0,49238.0
광양시 - 제조업종사자수,Statistics,20867.0,22549.0,24878.0
광주광역시 - 제조업종사자수,Statistics,87325.0,88914.0,82335.0
광주시 - 제조업종사자수,Statistics,47527.0,47415.0,45423.0
광진구 - 제조업종사자수,Statistics,6514.0,6563.0,6035.0
괴산군 - 제조업종사자수,Statistics,4388.0,3985.0,4242.0
구례군 - 제조업종사자수,Statistics,820.0,784.0,885.0
구로구 - 제조업종사자수,Statistics,17762.0,16876.0,16283.0
구리시 - 제조업종사자수,Statistics,3780.0,3640.0,3262.0
구미시 - 제조업종사자수,Statistics,87097.0,89441.0,87599.0
군산시 - 제조업종사자수,Statistics,24232.0,25902.0,25982.0
군위군 - 제조업종사자수,Statistics,1978.0,1984.0,1888.0
군포시 - 제조업종사자수,Statistics,29566.0,30060.0,28901.0
금산군 - 제조업종사자수,Statistics,11704.0,10740.0,10541.0
금정구 - 제조업종사자수,Statistics,9085.0,9293.0,9105.0
금천구 - 제조업종사자수,Statistics,39114.0,38624.0,37004.0
기장군 - 제조업종사자수,Statistics,18054.0,18095.0,18615.0
김제시 - 제조업종사자수,Statistics,11616.0,11713.0,11635.0
