item,category,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
가평군 - 운수업기업체수,Statistics,,,,,,,,,,,222.0,239.0,265.0
강남구 - 운수업기업체수,Statistics,,,,,,,,,,,3092.0,3105.0,3193.0
강동구 - 운수업기업체수,Statistics,,,,,,,,,,,5597.0,5629.0,5417.0
강릉시 - 운수업기업체수,Statistics,,,,,,,,,,,1622.0,1568.0,1662.0
강북구 - 운수업기업체수,Statistics,,,,,,,,,,,3192.0,3218.0,3108.0
강서구 - 운수업기업체수,Statistics,,,,,,,,,,,7095.0,7317.0,7280.0
강원특별자치도 - 운수업기업체수,Statistics,9590.0,9870.0,9748.0,9420.0,9992.0,9663.0,10179.0,10404.0,9988.0,10186.0,10610.0,10695.0,10996.0
강진군 - 운수업기업체수,Statistics,,,,,,,,,,,199.0,200.0,286.0
강화군 - 운수업기업체수,Statistics,,,,,,,,,,,347.0,359.0,428.0
거제시 - 운수업기업체수,Statistics,,,,,,,,,,,872.0,980.0,999.0
거창군 - 운수업기업체수,Statistics,,,,,,,,,,,266.0,300.0,280.0
경기도 - 운수업기업체수,Statistics,66041.0,67482.0,68403.0,69752.0,74408.0,76548.0,80280.0,81965.0,82317.0,84762.0,85870.0,90679.0,94190.0
경산시 - 운수업기업체수,Statistics,,,,,,,,,,,1528.0,1761.0,1751.0
경상남도 - 운수업기업체수,Statistics,17523.0,17704.0,17665.0,17612.0,15823.0,18654.0,19281.0,20431.0,20293.0,20703.0,20856.0,22229.0,22275.0
경상북도 - 운수업기업체수,Statistics,15480.0,15494.0,15761.0,15592.0,16396.0,16380.0,16667.0,17126.0,17456.0,17323.0,18102.0,19092.0,19435.0
경주시 - 운수업기업체수,Statistics,,,,,,,,,,,1699.0,1874.0,2007.0
계룡시 - 운수업기업체수,Statistics,,,,,,,,,,,132.0,149.0,170.0
계양구 - 운수업기업체수,Statistics,,,,,,,,,,,2380.0,2782.0,2888.0
고령군 - 운수업기업체수,Statistics,,,,,,,,,,,176.0,196.0,225.0
고성군 - 운수업기업체수,Statistics,,,,,,,,,,,125.0,123.0,134.0
고양시 - 운수업기업체수,Statistics,,,,,,,,,,,6451.0,7244.0,7011.0
고창군 - 운수업기업체수,Statistics,,,,,,,,,,,354.0,356.0,375.0
고흥군 - 운수업기업체수,Statistics,,,,,,,,,,,326.0,339.0,351.0
곡성군 - 운수업기업체수,Statistics,,,,,,,,,,,123.0,121.0,153.0
공주시 - 운수업기업체수,Statistics,,,,,,,,,,,627.0,651.0,703.0
과천시 - 운수업기업체수,Statistics,,,,,,,,,,,290.0,307.0,292.0
관악구 - 운수업기업체수,Statistics,,,,,,,,,,,4089.0,4218.0,3414.0
광명시 - 운수업기업체수,Statistics,,,,,,,,,,,2320.0,2325.0,2336.0
광산구 - 운수업기업체수,Statistics,,,,,,,,,,,2456.0,2452.0,3538.0
광양시 - 운수업기업체수,Statistics,,,,,,,,,,,809.0,881.0,946.0
광주광역시 - 운수업기업체수,Statistics,9583.0,9336.0,9614.0,9440.0,9347.0,9556.0,10109.0,9718.0,10476.0,10513.0,10056.0,9774.0,11308.0
광주시 - 운수업기업체수,Statistics,,,,,,,,,,,3177.0,3354.0,3508.0
광진구 - 운수업기업체수,Statistics,,,,,,,,,,,2518.0,2519.0,2495.0
괴산군 - 운수업기업체수,Statistics,,,,,,,,,,,202.0,204.0,219.0
구례군 - 운수업기업체수,Statistics,,,,,,,,,,,104.0,114.0,113.0
구로구 - 운수업기업체수,Statistics,,,,,,,,,,,4768.0,4891.0,4907.0
구리시 - 운수업기업체수,Statistics,,,,,,,,,,,1636.0,1661.0,1838.0
구미시 - 운수업기업체수,Statistics,,,,,,,,,,,3587.0,3791.0,3910.0
군산시 - 운수업기업체수,Statistics,,,,,,,,,,,1899.0,1913.0,1868.0
군위군 - 운수업기업체수,Statistics,,,,,,,,,,,127.0,128.0,145.0
군포시 - 운수업기업체수,Statistics,,,,,,,,,,,1686.0,1876.0,2089.0
금산군 - 운수업기업체수,Statistics,,,,,,,,,,,407.0,395.0,402.0
금정구 - 운수업기업체수,Statistics,,,,,,,,,,,1647.0,1660.0,1630.0
금천구 - 운수업기업체수,Statistics,,,,,,,,,,,2824.0,2818.0,2903.0
기장군 - 운수업기업체수,Statistics,,,,,,,,,,,772.0,832.0,868.0
김제시 - 운수업기업체수,Statistics,,,,,,,,,,,709.0,760.0,845.0
김천시 - 운수업기업체수,Statistics,,,,,,,,,,,952.0,992.0,938.0
김포시 - 운수업기업체수,Statistics,,,,,,,,,,,2292.0,2397.0,2651.0
김해시 - 운수업기업체수,Statistics,,,,,,,,,,,3494.0,3956.0,3950.0
나주시 - 운수업기업체수,Statistics,,,,,,,,,,,567.0,619.0,738.0
남구 - 운수업기업체수,Statistics,,,,,,,,,,,2116.0,2087.0,1999.0
남동구 - 운수업기업체수,Statistics,,,,,,,,,,,4933.0,5039.0,5248.0
남양주시 - 운수업기업체수,Statistics,,,,,,,,,,,4140.0,4083.0,3381.0
남원시 - 운수업기업체수,Statistics,,,,,,,,,,,594.0,561.0,715.0
남해군 - 운수업기업체수,Statistics,,,,,,,,,,,250.0,246.0,238.0
노원구 - 운수업기업체수,Statistics,,,,,,,,,,,6550.0,6598.0,6564.0
논산시 - 운수업기업체수,Statistics,,,,,,,,,,,1001.0,1083.0,1509.0
단양군 - 운수업기업체수,Statistics,,,,,,,,,,,188.0,187.0,188.0
달서구 - 운수업기업체수,Statistics,,,,,,,,,,,5546.0,5422.0,5328.0
달성군 - 운수업기업체수,Statistics,,,,,,,,,,,2124.0,2263.0,2355.0
담양군 - 운수업기업체수,Statistics,,,,,,,,,,,270.0,289.0,324.0
당진시 - 운수업기업체수,Statistics,,,,,,,,,,,1089.0,1141.0,1148.0
대구광역시 - 운수업기업체수,Statistics,18329.0,17900.0,17390.0,19474.0,20724.0,19349.0,19930.0,20181.0,19737.0,19704.0,21171.0,21094.0,21059.0
대덕구 - 운수업기업체수,Statistics,,,,,,,,,,,2040.0,2041.0,2002.0
대전광역시 - 운수업기업체수,Statistics,9516.0,10474.0,10551.0,10160.0,10808.0,11450.0,10672.0,11286.0,11790.0,11609.0,11905.0,12730.0,12996.0
도봉구 - 운수업기업체수,Statistics,,,,,,,,,,,4502.0,5099.0,5002.0
동구 - 운수업기업체수,Statistics,,,,,,,,,,,1156.0,1143.0,1125.0
