item,category,2021,2022,2023
가평군 - 운수업기업체수,Statistics,319.0,366.0,379.0
강남구 - 운수업기업체수,Statistics,3708.0,4344.0,4198.0
강동구 - 운수업기업체수,Statistics,5442.0,6418.0,6174.0
강릉시 - 운수업기업체수,Statistics,2412.0,2409.0,2584.0
강북구 - 운수업기업체수,Statistics,3102.0,3316.0,3497.0
강서구 - 운수업기업체수,Statistics,9188.0,9712.0,9547.0
강원특별자치도 - 운수업기업체수,Statistics,14773.0,15328.0,16249.0
강진군 - 운수업기업체수,Statistics,836.0,857.0,823.0
강화군 - 운수업기업체수,Statistics,950.0,1017.0,986.0
거제시 - 운수업기업체수,Statistics,1155.0,1186.0,1243.0
거창군 - 운수업기업체수,Statistics,435.0,426.0,464.0
경기도 - 운수업기업체수,Statistics,155809.0,168257.0,178600.0
경산시 - 운수업기업체수,Statistics,3385.0,3310.0,3556.0
경상남도 - 운수업기업체수,Statistics,35988.0,36520.0,38517.0
경상북도 - 운수업기업체수,Statistics,32491.0,32852.0,33831.0
경주시 - 운수업기업체수,Statistics,2739.0,2896.0,2979.0
계룡시 - 운수업기업체수,Statistics,291.0,311.0,338.0
계양구 - 운수업기업체수,Statistics,4212.0,4481.0,4444.0
고령군 - 운수업기업체수,Statistics,472.0,462.0,482.0
고성군 - 운수업기업체수,Statistics,183.0,171.0,186.0
고양시 - 운수업기업체수,Statistics,9959.0,10786.0,11386.0
고창군 - 운수업기업체수,Statistics,453.0,463.0,460.0
고흥군 - 운수업기업체수,Statistics,424.0,455.0,355.0
곡성군 - 운수업기업체수,Statistics,502.0,511.0,495.0
공주시 - 운수업기업체수,Statistics,972.0,1008.0,1082.0
과천시 - 운수업기업체수,Statistics,476.0,574.0,596.0
관악구 - 운수업기업체수,Statistics,4490.0,4667.0,4699.0
광명시 - 운수업기업체수,Statistics,3245.0,3369.0,3414.0
광산구 - 운수업기업체수,Statistics,8458.0,8805.0,8953.0
광양시 - 운수업기업체수,Statistics,2681.0,2625.0,2575.0
광주광역시 - 운수업기업체수,Statistics,18986.0,19354.0,20126.0
광주시 - 운수업기업체수,Statistics,6075.0,6280.0,6666.0
광진구 - 운수업기업체수,Statistics,2778.0,2997.0,3140.0
괴산군 - 운수업기업체수,Statistics,340.0,348.0,379.0
구례군 - 운수업기업체수,Statistics,203.0,189.0,202.0
구로구 - 운수업기업체수,Statistics,5498.0,6146.0,5848.0
구리시 - 운수업기업체수,Statistics,2260.0,2452.0,2728.0
구미시 - 운수업기업체수,Statistics,4902.0,5074.0,5164.0
군산시 - 운수업기업체수,Statistics,3849.0,3695.0,4154.0
군위군 - 운수업기업체수,Statistics,244.0,240.0,214.0
군포시 - 운수업기업체수,Statistics,3619.0,4073.0,4014.0
금산군 - 운수업기업체수,Statistics,799.0,765.0,836.0
금정구 - 운수업기업체수,Statistics,4333.0,4441.0,4128.0
금천구 - 운수업기업체수,Statistics,3218.0,3543.0,3533.0
기장군 - 운수업기업체수,Statistics,1565.0,1659.0,1772.0
김제시 - 운수업기업체수,Statistics,957.0,1023.0,1093.0
김천시 - 운수업기업체수,Statistics,1496.0,1570.0,1610.0
김포시 - 운수업기업체수,Statistics,5194.0,5567.0,6019.0
김해시 - 운수업기업체수,Statistics,5766.0,6217.0,6600.0
나주시 - 운수업기업체수,Statistics,1865.0,1915.0,1860.0
남구 - 운수업기업체수,Statistics,4198.0,4132.0,4039.0
남동구 - 운수업기업체수,Statistics,5725.0,6239.0,6471.0
남양주시 - 운수업기업체수,Statistics,5293.0,5989.0,8149.0
남원시 - 운수업기업체수,Statistics,752.0,750.0,816.0
남해군 - 운수업기업체수,Statistics,292.0,320.0,326.0
노원구 - 운수업기업체수,Statistics,6415.0,6791.0,6776.0
논산시 - 운수업기업체수,Statistics,1350.0,1673.0,1695.0
단양군 - 운수업기업체수,Statistics,391.0,403.0,435.0
달서구 - 운수업기업체수,Statistics,8429.0,8614.0,8946.0
달성군 - 운수업기업체수,Statistics,3383.0,3562.0,4049.0
담양군 - 운수업기업체수,Statistics,1057.0,1051.0,1049.0
당진시 - 운수업기업체수,Statistics,2410.0,2618.0,2793.0
대구광역시 - 운수업기업체수,Statistics,31075.0,31605.0,34118.0
대덕구 - 운수업기업체수,Statistics,4170.0,4190.0,4055.0
대전광역시 - 운수업기업체수,Statistics,17999.0,18358.0,18298.0
도봉구 - 운수업기업체수,Statistics,5058.0,5278.0,5491.0
동구 - 운수업기업체수,Statistics,3085.0,3064.0,2776.0
동대문구 - 운수업기업체수,Statistics,3956.0,4203.0,4252.0
동두천시 - 운수업기업체수,Statistics,963.0,1006.0,1123.0
동래구 - 운수업기업체수,Statistics,2807.0,2716.0,3043.0
동작구 - 운수업기업체수,Statistics,2250.0,2260.0,2345.0
동해시 - 운수업기업체수,Statistics,951.0,967.0,961.0
마포구 - 운수업기업체수,Statistics,3963.0,4099.0,4128.0
목포시 - 운수업기업체수,Statistics,3715.0,3784.0,3782.0
무안군 - 운수업기업체수,Statistics,980.0,968.0,1062.0
무주군 - 운수업기업체수,Statistics,317.0,318.0,306.0
문경시 - 운수업기업체수,Statistics,554.0,539.0,559.0
미추홀구 - 운수업기업체수,Statistics,5325.0,5883.0,6208.0
밀양시 - 운수업기업체수,Statistics,2238.0,2387.0,2451.0
보령시 - 운수업기업체수,Statistics,1156.0,1254.0,1234.0
보성군 - 운수업기업체수,Statistics,455.0,448.0,487.0
보은군 - 운수업기업체수,Statistics,544.0,541.0,529.0
봉화군 - 운수업기업체수,Statistics,136.0,126.0,140.0
부산광역시 - 운수업기업체수,Statistics,49764.0,49937.0,51527.0
부산진구 - 운수업기업체수,Statistics,3828.0,3746.0,4508.0
부안군 - 운수업기업체수,Statistics,499.0,486.0,499.0
부여군 - 운수업기업체수,Statistics,605.0,632.0,633.0
부천시 - 운수업기업체수,Statistics,8473.0,9696.0,10572.0
부평구 - 운수업기업체수,Statistics,4563.0,5027.0,4845.0
북구 - 운수업기업체수,Statistics,2970.0,2999.0,3361.0
사상구 - 운수업기업체수,Statistics,3690.0,3738.0,3804.0
사천시 - 운수업기업체수,Statistics,984.0,1006.0,1062.0
사하구 - 운수업기업체수,Statistics,3768.0,3786.0,3979.0
산청군 - 운수업기업체수,Statistics,505.0,510.0,548.0
삼척시 - 운수업기업체수,Statistics,444.0,453.0,459.0
상주시 - 운수업기업체수,Statistics,1176.0,1278.0,1311.0
서구 - 운수업기업체수,Statistics,1461.0,1449.0,1500.0
서귀포시 - 운수업기업체수,Statistics,1481.0,1480.0,1532.0
서대문구 - 운수업기업체수,Statistics,3414.0,3775.0,3721.0
서산시 - 운수업기업체수,Statistics,1995.0,1601.0,1923.0
서울특별시 - 운수업기업체수,Statistics,110339.0,118073.0,117785.0
서천군 - 운수업기업체수,Statistics,572.0,597.0,605.0
서초구 - 운수업기업체수,Statistics,4352.0,4347.0,4435.0
성남시 - 운수업기업체수,Statistics,8384.0,8702.0,9087.0
성동구 - 운수업기업체수,Statistics,2994.0,3114.0,3165.0
성북구 - 운수업기업체수,Statistics,3691.0,3921.0,3920.0
성주군 - 운수업기업체수,Statistics,912.0,918.0,966.0
세종특별자치시 - 운수업기업체수,Statistics,2230.0,2476.0,2568.0
속초시 - 운수업기업체수,Statistics,858.0,883.0,912.0
송파구 - 운수업기업체수,Statistics,7834.0,8881.0,8800.0
수성구 - 운수업기업체수,Statistics,3077.0,2796.0,3552.0
수영구 - 운수업기업체수,Statistics,1840.0,1817.0,1967.0
수원시 - 운수업기업체수,Statistics,10979.0,10918.0,11573.0
순창군 - 운수업기업체수,Statistics,142.0,137.0,164.0
순천시 - 운수업기업체수,Statistics,2469.0,2535.0,2669.0
시흥시 - 운수업기업체수,Statistics,7351.0,7881.0,8377.0
신안군 - 운수업기업체수,Statistics,467.0,456.0,424.0
아산시 - 운수업기업체수,Statistics,3450.0,3679.0,3691.0
안동시 - 운수업기업체수,Statistics,1917.0,1884.0,2023.0
안산시 - 운수업기업체수,Statistics,8865.0,9489.0,9867.0
안성시 - 운수업기업체수,Statistics,4346.0,4263.0,4287.0
안양시 - 운수업기업체수,Statistics,6189.0,7607.0,7767.0
양구군 - 운수업기업체수,Statistics,104.0,105.0,106.0
양산시 - 운수업기업체수,Statistics,6724.0,6873.0,7544.0
양양군 - 운수업기업체수,Statistics,186.0,187.0,191.0
양주시 - 운수업기업체수,Statistics,2446.0,2752.0,3256.0
양천구 - 운수업기업체수,Statistics,6507.0,6526.0,6563.0
양평군 - 운수업기업체수,Statistics,946.0,831.0,936.0
여수시 - 운수업기업체수,Statistics,4308.0,4337.0,4290.0
여주시 - 운수업기업체수,Statistics,5664.0,6244.0,6303.0
연수구 - 운수업기업체수,Statistics,3288.0,3261.0,3282.0
연제구 - 운수업기업체수,Statistics,3383.0,3484.0,3583.0
연천군 - 운수업기업체수,Statistics,3945.0,4128.0,2230.0
영광군 - 운수업기업체수,Statistics,544.0,570.0,607.0
영덕군 - 운수업기업체수,Statistics,208.0,208.0,206.0
영도구 - 운수업기업체수,Statistics,1432.0,1347.0,1424.0
영동군 - 운수업기업체수,Statistics,297.0,316.0,322.0
영등포구 - 운수업기업체수,Statistics,5793.0,6442.0,6282.0
영암군 - 운수업기업체수,Statistics,712.0,699.0,702.0
영양군 - 운수업기업체수,Statistics,81.0,78.0,75.0
영월군 - 운수업기업체수,Statistics,269.0,284.0,298.0
영주시 - 운수업기업체수,Statistics,1138.0,1095.0,1206.0
영천시 - 운수업기업체수,Statistics,1989.0,1910.0,1947.0
예산군 - 운수업기업체수,Statistics,836.0,877.0,922.0
예천군 - 운수업기업체수,Statistics,325.0,333.0,340.0
오산시 - 운수업기업체수,Statistics,2448.0,2505.0,3335.0
옥천군 - 운수업기업체수,Statistics,731.0,775.0,824.0
옹진군 - 운수업기업체수,Statistics,108.0,150.0,137.0
완도군 - 운수업기업체수,Statistics,391.0,433.0,424.0
완주군 - 운수업기업체수,Statistics,2021.0,2135.0,2199.0
용산구 - 운수업기업체수,Statistics,1739.0,1754.0,1701.0
용인시 - 운수업기업체수,Statistics,10918.0,12456.0,12941.0
울릉군 - 운수업기업체수,Statistics,79.0,86.0,101.0
울산광역시 - 운수업기업체수,Statistics,12621.0,11888.0,12828.0
울주군 - 운수업기업체수,Statistics,3676.0,3427.0,3644.0
울진군 - 운수업기업체수,Statistics,239.0,247.0,248.0
원주시 - 운수업기업체수,Statistics,3532.0,3822.0,4316.0
유성구 - 운수업기업체수,Statistics,2863.0,2595.0,2636.0
