item,category,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
가평군 - 운수업종사자수,Statistics,,,,,,,,,,,696.0,746.0,738.0
강남구 - 운수업종사자수,Statistics,,,,,,,,,,,11093.0,11236.0,11337.0
강동구 - 운수업종사자수,Statistics,,,,,,,,,,,9738.0,10140.0,9366.0
강릉시 - 운수업종사자수,Statistics,,,,,,,,,,,4528.0,4473.0,4610.0
강북구 - 운수업종사자수,Statistics,,,,,,,,,,,6822.0,6625.0,6305.0
강서구 - 운수업종사자수,Statistics,,,,,,,,,,,53820.0,52138.0,50974.0
강원특별자치도 - 운수업종사자수,Statistics,23254.0,24986.0,26265.0,24965.0,25066.0,24985.0,25515.0,25925.0,26153.0,26653.0,26928.0,26974.0,28574.0
강진군 - 운수업종사자수,Statistics,,,,,,,,,,,404.0,362.0,454.0
강화군 - 운수업종사자수,Statistics,,,,,,,,,,,590.0,747.0,835.0
거제시 - 운수업종사자수,Statistics,,,,,,,,,,,2835.0,2858.0,2791.0
거창군 - 운수업종사자수,Statistics,,,,,,,,,,,799.0,804.0,793.0
경기도 - 운수업종사자수,Statistics,167635.0,178417.0,186850.0,191326.0,197922.0,203674.0,212140.0,221695.0,227059.0,235783.0,237171.0,250124.0,263440.0
경산시 - 운수업종사자수,Statistics,,,,,,,,,,,4415.0,4713.0,4954.0
경상남도 - 운수업종사자수,Statistics,43967.0,47067.0,51390.0,50160.0,48650.0,51991.0,52279.0,56882.0,57130.0,58439.0,58738.0,60756.0,61741.0
경상북도 - 운수업종사자수,Statistics,35106.0,37499.0,37859.0,39545.0,39420.0,40028.0,40539.0,41578.0,43995.0,44811.0,46931.0,47436.0,49004.0
경주시 - 운수업종사자수,Statistics,,,,,,,,,,,4257.0,4578.0,4692.0
계룡시 - 운수업종사자수,Statistics,,,,,,,,,,,570.0,606.0,615.0
계양구 - 운수업종사자수,Statistics,,,,,,,,,,,5444.0,5724.0,5562.0
고령군 - 운수업종사자수,Statistics,,,,,,,,,,,379.0,381.0,496.0
고성군 - 운수업종사자수,Statistics,,,,,,,,,,,252.0,242.0,253.0
고양시 - 운수업종사자수,Statistics,,,,,,,,,,,17992.0,19324.0,19277.0
고창군 - 운수업종사자수,Statistics,,,,,,,,,,,689.0,656.0,643.0
고흥군 - 운수업종사자수,Statistics,,,,,,,,,,,689.0,725.0,764.0
곡성군 - 운수업종사자수,Statistics,,,,,,,,,,,410.0,405.0,631.0
공주시 - 운수업종사자수,Statistics,,,,,,,,,,,1982.0,1987.0,2367.0
과천시 - 운수업종사자수,Statistics,,,,,,,,,,,926.0,946.0,861.0
관악구 - 운수업종사자수,Statistics,,,,,,,,,,,6609.0,6515.0,5480.0
광명시 - 운수업종사자수,Statistics,,,,,,,,,,,5689.0,5579.0,5410.0
광산구 - 운수업종사자수,Statistics,,,,,,,,,,,9191.0,9765.0,10703.0
광양시 - 운수업종사자수,Statistics,,,,,,,,,,,6981.0,7224.0,7967.0
광주광역시 - 운수업종사자수,Statistics,25407.0,25269.0,26484.0,27259.0,27424.0,28199.0,27991.0,26514.0,28009.0,28119.0,28701.0,29917.0,30315.0
광주시 - 운수업종사자수,Statistics,,,,,,,,,,,9848.0,10543.0,10234.0
광진구 - 운수업종사자수,Statistics,,,,,,,,,,,6133.0,5828.0,5240.0
괴산군 - 운수업종사자수,Statistics,,,,,,,,,,,418.0,540.0,606.0
구례군 - 운수업종사자수,Statistics,,,,,,,,,,,358.0,437.0,473.0
구로구 - 운수업종사자수,Statistics,,,,,,,,,,,9552.0,9160.0,9242.0
구리시 - 운수업종사자수,Statistics,,,,,,,,,,,3791.0,4041.0,4106.0
구미시 - 운수업종사자수,Statistics,,,,,,,,,,,7242.0,7299.0,7025.0
군산시 - 운수업종사자수,Statistics,,,,,,,,,,,5689.0,5577.0,5499.0
군위군 - 운수업종사자수,Statistics,,,,,,,,,,,275.0,272.0,339.0
군포시 - 운수업종사자수,Statistics,,,,,,,,,,,9298.0,9972.0,10388.0
금산군 - 운수업종사자수,Statistics,,,,,,,,,,,793.0,714.0,941.0
금정구 - 운수업종사자수,Statistics,,,,,,,,,,,8339.0,8178.0,7555.0
금천구 - 운수업종사자수,Statistics,,,,,,,,,,,9589.0,9064.0,8999.0
기장군 - 운수업종사자수,Statistics,,,,,,,,,,,3079.0,3238.0,3548.0
김제시 - 운수업종사자수,Statistics,,,,,,,,,,,1518.0,1484.0,1455.0
김천시 - 운수업종사자수,Statistics,,,,,,,,,,,3569.0,3750.0,3615.0
김포시 - 운수업종사자수,Statistics,,,,,,,,,,,6678.0,6810.0,7961.0
김해시 - 운수업종사자수,Statistics,,,,,,,,,,,8733.0,8940.0,9498.0
나주시 - 운수업종사자수,Statistics,,,,,,,,,,,1195.0,1361.0,1639.0
남구 - 운수업종사자수,Statistics,,,,,,,,,,,10479.0,10199.0,9987.0
남동구 - 운수업종사자수,Statistics,,,,,,,,,,,7943.0,8033.0,8370.0
남양주시 - 운수업종사자수,Statistics,,,,,,,,,,,8400.0,8792.0,8622.0
남원시 - 운수업종사자수,Statistics,,,,,,,,,,,1084.0,1033.0,1210.0
남해군 - 운수업종사자수,Statistics,,,,,,,,,,,554.0,513.0,509.0
노원구 - 운수업종사자수,Statistics,,,,,,,,,,,12677.0,12573.0,11955.0
논산시 - 운수업종사자수,Statistics,,,,,,,,,,,2033.0,2046.0,2539.0
단양군 - 운수업종사자수,Statistics,,,,,,,,,,,749.0,808.0,838.0
달서구 - 운수업종사자수,Statistics,,,,,,,,,,,12781.0,12259.0,12712.0
달성군 - 운수업종사자수,Statistics,,,,,,,,,,,5216.0,5639.0,5283.0
담양군 - 운수업종사자수,Statistics,,,,,,,,,,,1018.0,1019.0,960.0
당진시 - 운수업종사자수,Statistics,,,,,,,,,,,3672.0,3887.0,3878.0
대구광역시 - 운수업종사자수,Statistics,39096.0,40711.0,40698.0,44689.0,45147.0,44447.0,44416.0,45321.0,45911.0,46648.0,48080.0,47711.0,47975.0
대덕구 - 운수업종사자수,Statistics,,,,,,,,,,,6925.0,6603.0,6957.0
대전광역시 - 운수업종사자수,Statistics,23373.0,25529.0,26215.0,30215.0,27817.0,28015.0,27209.0,28345.0,30650.0,31009.0,29999.0,35058.0,30414.0
도봉구 - 운수업종사자수,Statistics,,,,,,,,,,,9543.0,10030.0,9064.0
동구 - 운수업종사자수,Statistics,,,,,,,,,,,9020.0,10174.0,10877.0
동대문구 - 운수업종사자수,Statistics,,,,,,,,,,,6889.0,6562.0,6520.0
동두천시 - 운수업종사자수,Statistics,,,,,,,,,,,1302.0,1352.0,1417.0
동래구 - 운수업종사자수,Statistics,,,,,,,,,,,3831.0,3495.0,3475.0
동작구 - 운수업종사자수,Statistics,,,,,,,,,,,3290.0,3124.0,3644.0
동해시 - 운수업종사자수,Statistics,,,,,,,,,,,2678.0,2415.0,2578.0
마포구 - 운수업종사자수,Statistics,,,,,,,,,,,11967.0,12398.0,10892.0
목포시 - 운수업종사자수,Statistics,,,,,,,,,,,5842.0,5546.0,5841.0
무안군 - 운수업종사자수,Statistics,,,,,,,,,,,806.0,844.0,784.0
무주군 - 운수업종사자수,Statistics,,,,,,,,,,,313.0,266.0,384.0
문경시 - 운수업종사자수,Statistics,,,,,,,,,,,869.0,895.0,996.0
미추홀구 - 운수업종사자수,Statistics,,,,,,,,,,,,9642.0,9173.0
밀양시 - 운수업종사자수,Statistics,,,,,,,,,,,1633.0,1866.0,2018.0
보령시 - 운수업종사자수,Statistics,,,,,,,,,,,1293.0,1362.0,1612.0
보성군 - 운수업종사자수,Statistics,,,,,,,,,,,516.0,494.0,653.0
보은군 - 운수업종사자수,Statistics,,,,,,,,,,,415.0,444.0,528.0
봉화군 - 운수업종사자수,Statistics,,,,,,,,,,,389.0,361.0,361.0
부산광역시 - 운수업종사자수,Statistics,104345.0,104079.0,105529.0,104590.0,104515.0,107464.0,105504.0,108139.0,109724.0,109787.0,110616.0,110705.0,110016.0
부산진구 - 운수업종사자수,Statistics,,,,,,,,,,,7120.0,7137.0,6813.0
부안군 - 운수업종사자수,Statistics,,,,,,,,,,,724.0,704.0,705.0
부여군 - 운수업종사자수,Statistics,,,,,,,,,,,916.0,862.0,997.0
부천시 - 운수업종사자수,Statistics,,,,,,,,,,,11039.0,11041.0,11358.0
부평구 - 운수업종사자수,Statistics,,,,,,,,,,,6905.0,7747.0,7636.0
북구 - 운수업종사자수,Statistics,,,,,,,,,,,3550.0,3513.0,3397.0
사상구 - 운수업종사자수,Statistics,,,,,,,,,,,6609.0,6286.0,6710.0
사천시 - 운수업종사자수,Statistics,,,,,,,,,,,1843.0,1899.0,1923.0
사하구 - 운수업종사자수,Statistics,,,,,,,,,,,9817.0,9468.0,9370.0
산청군 - 운수업종사자수,Statistics,,,,,,,,,,,380.0,384.0,430.0
삼척시 - 운수업종사자수,Statistics,,,,,,,,,,,833.0,881.0,935.0
상주시 - 운수업종사자수,Statistics,,,,,,,,,,,1470.0,1387.0,1545.0
서구 - 운수업종사자수,Statistics,,,,,,,,,,,3330.0,3277.0,3124.0
서귀포시 - 운수업종사자수,Statistics,,,,,,,,,,,2592.0,2531.0,2467.0
서대문구 - 운수업종사자수,Statistics,,,,,,,,,,,6195.0,5835.0,5480.0
서산시 - 운수업종사자수,Statistics,,,,,,,,,,,3442.0,3610.0,3487.0
서울특별시 - 운수업종사자수,Statistics,233067.0,249053.0,262744.0,265248.0,264363.0,258770.0,255994.0,259483.0,279879.0,276717.0,274793.0,272618.0,264181.0
서천군 - 운수업종사자수,Statistics,,,,,,,,,,,984.0,912.0,1028.0
