item,category,2021,2022,2023
가평군 - 운수업종사자수,Statistics,842.0,853.0,872.0
강남구 - 운수업종사자수,Statistics,12036.0,12559.0,12042.0
강동구 - 운수업종사자수,Statistics,9175.0,10442.0,10001.0
강릉시 - 운수업종사자수,Statistics,5220.0,4899.0,4947.0
강북구 - 운수업종사자수,Statistics,6203.0,6639.0,6741.0
강서구 - 운수업종사자수,Statistics,50603.0,52117.0,52291.0
강원특별자치도 - 운수업종사자수,Statistics,30678.0,31620.0,32009.0
강진군 - 운수업종사자수,Statistics,970.0,959.0,958.0
강화군 - 운수업종사자수,Statistics,1266.0,1328.0,1474.0
거제시 - 운수업종사자수,Statistics,3027.0,3085.0,3348.0
거창군 - 운수업종사자수,Statistics,821.0,832.0,802.0
경기도 - 운수업종사자수,Statistics,325661.0,340362.0,358514.0
경산시 - 운수업종사자수,Statistics,6177.0,6106.0,6768.0
경상남도 - 운수업종사자수,Statistics,80884.0,79646.0,85204.0
경상북도 - 운수업종사자수,Statistics,61730.0,59884.0,62288.0
경주시 - 운수업종사자수,Statistics,5318.0,5216.0,5342.0
계룡시 - 운수업종사자수,Statistics,1017.0,898.0,888.0
계양구 - 운수업종사자수,Statistics,6589.0,6988.0,6944.0
고령군 - 운수업종사자수,Statistics,790.0,758.0,772.0
고성군 - 운수업종사자수,Statistics,292.0,263.0,278.0
고양시 - 운수업종사자수,Statistics,25530.0,25580.0,27714.0
고창군 - 운수업종사자수,Statistics,717.0,661.0,635.0
고흥군 - 운수업종사자수,Statistics,805.0,806.0,688.0
곡성군 - 운수업종사자수,Statistics,962.0,1022.0,980.0
공주시 - 운수업종사자수,Statistics,2273.0,2351.0,2355.0
과천시 - 운수업종사자수,Statistics,960.0,1020.0,1071.0
관악구 - 운수업종사자수,Statistics,6446.0,6438.0,6563.0
광명시 - 운수업종사자수,Statistics,6227.0,6326.0,6995.0
광산구 - 운수업종사자수,Statistics,15102.0,15254.0,15976.0
광양시 - 운수업종사자수,Statistics,9961.0,10149.0,10034.0
광주광역시 - 운수업종사자수,Statistics,37571.0,36816.0,38656.0
광주시 - 운수업종사자수,Statistics,12846.0,13148.0,13832.0
광진구 - 운수업종사자수,Statistics,5261.0,5525.0,5846.0
괴산군 - 운수업종사자수,Statistics,705.0,702.0,664.0
구례군 - 운수업종사자수,Statistics,537.0,552.0,462.0
구로구 - 운수업종사자수,Statistics,10873.0,11796.0,9451.0
구리시 - 운수업종사자수,Statistics,4700.0,4452.0,4722.0
구미시 - 운수업종사자수,Statistics,7720.0,7896.0,8209.0
군산시 - 운수업종사자수,Statistics,8259.0,7638.0,7676.0
군위군 - 운수업종사자수,Statistics,421.0,328.0,372.0
군포시 - 운수업종사자수,Statistics,11481.0,11559.0,10503.0
금산군 - 운수업종사자수,Statistics,1568.0,1247.0,1276.0
금정구 - 운수업종사자수,Statistics,11006.0,11220.0,10375.0
금천구 - 운수업종사자수,Statistics,8286.0,8905.0,8397.0
기장군 - 운수업종사자수,Statistics,4091.0,4236.0,4651.0
김제시 - 운수업종사자수,Statistics,1722.0,1806.0,1775.0
김천시 - 운수업종사자수,Statistics,4147.0,4237.0,4351.0
김포시 - 운수업종사자수,Statistics,10386.0,12450.0,13395.0
김해시 - 운수업종사자수,Statistics,11767.0,12139.0,11883.0
나주시 - 운수업종사자수,Statistics,2800.0,2765.0,2724.0
남구 - 운수업종사자수,Statistics,11594.0,11273.0,10292.0
남동구 - 운수업종사자수,Statistics,9089.0,9673.0,10117.0
남양주시 - 운수업종사자수,Statistics,10551.0,11495.0,13961.0
남원시 - 운수업종사자수,Statistics,1285.0,1266.0,1328.0
남해군 - 운수업종사자수,Statistics,495.0,556.0,574.0
노원구 - 운수업종사자수,Statistics,11619.0,11793.0,12100.0
논산시 - 운수업종사자수,Statistics,2299.0,2652.0,2642.0
단양군 - 운수업종사자수,Statistics,990.0,1020.0,998.0
달서구 - 운수업종사자수,Statistics,15419.0,15837.0,16391.0
달성군 - 운수업종사자수,Statistics,6792.0,6803.0,7921.0
담양군 - 운수업종사자수,Statistics,1718.0,1602.0,1598.0
당진시 - 운수업종사자수,Statistics,5334.0,5495.0,5577.0
대구광역시 - 운수업종사자수,Statistics,56222.0,56927.0,59657.0
대덕구 - 운수업종사자수,Statistics,9230.0,9288.0,8937.0
대전광역시 - 운수업종사자수,Statistics,34615.0,34980.0,34627.0
도봉구 - 운수업종사자수,Statistics,8752.0,8971.0,9321.0
동구 - 운수업종사자수,Statistics,12382.0,13243.0,12173.0
동대문구 - 운수업종사자수,Statistics,6435.0,6643.0,6585.0
동두천시 - 운수업종사자수,Statistics,1707.0,1787.0,1948.0
동래구 - 운수업종사자수,Statistics,4039.0,3769.0,4117.0
동작구 - 운수업종사자수,Statistics,3343.0,3507.0,3506.0
동해시 - 운수업종사자수,Statistics,2773.0,2735.0,2624.0
마포구 - 운수업종사자수,Statistics,11930.0,11588.0,11122.0
목포시 - 운수업종사자수,Statistics,7076.0,6579.0,6720.0
무안군 - 운수업종사자수,Statistics,1513.0,1514.0,1610.0
무주군 - 운수업종사자수,Statistics,521.0,511.0,498.0
문경시 - 운수업종사자수,Statistics,944.0,880.0,897.0
미추홀구 - 운수업종사자수,Statistics,10036.0,10021.0,10642.0
밀양시 - 운수업종사자수,Statistics,5101.0,3739.0,3677.0
보령시 - 운수업종사자수,Statistics,2031.0,2190.0,2125.0
보성군 - 운수업종사자수,Statistics,858.0,791.0,813.0
보은군 - 운수업종사자수,Statistics,812.0,803.0,805.0
봉화군 - 운수업종사자수,Statistics,335.0,318.0,324.0
부산광역시 - 운수업종사자수,Statistics,131749.0,133110.0,132691.0
부산진구 - 운수업종사자수,Statistics,8588.0,8803.0,9545.0
부안군 - 운수업종사자수,Statistics,953.0,937.0,921.0
부여군 - 운수업종사자수,Statistics,1041.0,1034.0,1009.0
부천시 - 운수업종사자수,Statistics,14086.0,15129.0,17011.0
부평구 - 운수업종사자수,Statistics,8162.0,8576.0,8190.0
북구 - 운수업종사자수,Statistics,4152.0,4144.0,4536.0
사상구 - 운수업종사자수,Statistics,7701.0,7765.0,7512.0
사천시 - 운수업종사자수,Statistics,2347.0,2609.0,2688.0
사하구 - 운수업종사자수,Statistics,9659.0,9345.0,9191.0
산청군 - 운수업종사자수,Statistics,845.0,842.0,865.0
삼척시 - 운수업종사자수,Statistics,914.0,939.0,941.0
상주시 - 운수업종사자수,Statistics,1908.0,1986.0,1989.0
서구 - 운수업종사자수,Statistics,3839.0,3905.0,4134.0
서귀포시 - 운수업종사자수,Statistics,2824.0,2641.0,2504.0
서대문구 - 운수업종사자수,Statistics,5616.0,5877.0,6630.0
서산시 - 운수업종사자수,Statistics,5095.0,4346.0,4514.0
서울특별시 - 운수업종사자수,Statistics,274477.0,280575.0,285491.0
서천군 - 운수업종사자수,Statistics,1057.0,1059.0,1018.0
서초구 - 운수업종사자수,Statistics,12744.0,12646.0,12615.0
성남시 - 운수업종사자수,Statistics,17292.0,17121.0,18796.0
성동구 - 운수업종사자수,Statistics,9462.0,8638.0,9424.0
성북구 - 운수업종사자수,Statistics,6135.0,6367.0,6339.0
성주군 - 운수업종사자수,Statistics,1492.0,1454.0,1482.0
세종특별자치시 - 운수업종사자수,Statistics,5462.0,5879.0,5953.0
속초시 - 운수업종사자수,Statistics,1665.0,1678.0,1802.0
송파구 - 운수업종사자수,Statistics,17149.0,18840.0,18015.0
수성구 - 운수업종사자수,Statistics,4860.0,4718.0,5265.0
수영구 - 운수업종사자수,Statistics,3790.0,3829.0,3869.0
수원시 - 운수업종사자수,Statistics,21209.0,21799.0,21404.0
순창군 - 운수업종사자수,Statistics,296.0,285.0,311.0
순천시 - 운수업종사자수,Statistics,5682.0,5753.0,5608.0
시흥시 - 운수업종사자수,Statistics,11752.0,12689.0,13153.0
신안군 - 운수업종사자수,Statistics,794.0,843.0,774.0
아산시 - 운수업종사자수,Statistics,6703.0,7016.0,7339.0
안동시 - 운수업종사자수,Statistics,3581.0,3188.0,3413.0
안산시 - 운수업종사자수,Statistics,15358.0,15291.0,16518.0
안성시 - 운수업종사자수,Statistics,7395.0,8131.0,9704.0
안양시 - 운수업종사자수,Statistics,11660.0,12937.0,14045.0
양구군 - 운수업종사자수,Statistics,199.0,207.0,209.0
양산시 - 운수업종사자수,Statistics,15632.0,15504.0,16636.0
양양군 - 운수업종사자수,Statistics,759.0,829.0,545.0
양주시 - 운수업종사자수,Statistics,5571.0,5523.0,6106.0
양천구 - 운수업종사자수,Statistics,13193.0,11762.0,11844.0
양평군 - 운수업종사자수,Statistics,1726.0,1572.0,1649.0
여수시 - 운수업종사자수,Statistics,10961.0,11053.0,11125.0
여주시 - 운수업종사자수,Statistics,8618.0,9764.0,10124.0
연수구 - 운수업종사자수,Statistics,6840.0,7195.0,6604.0
연제구 - 운수업종사자수,Statistics,4991.0,5181.0,5428.0
연천군 - 운수업종사자수,Statistics,4376.0,4571.0,2573.0
영광군 - 운수업종사자수,Statistics,765.0,776.0,832.0
영덕군 - 운수업종사자수,Statistics,340.0,322.0,295.0
영도구 - 운수업종사자수,Statistics,3849.0,3543.0,3733.0
영동군 - 운수업종사자수,Statistics,687.0,702.0,703.0
영등포구 - 운수업종사자수,Statistics,12445.0,14095.0,16488.0
영암군 - 운수업종사자수,Statistics,1374.0,1312.0,1278.0
영양군 - 운수업종사자수,Statistics,150.0,133.0,119.0
영월군 - 운수업종사자수,Statistics,548.0,536.0,584.0
영주시 - 운수업종사자수,Statistics,2653.0,2569.0,2651.0
영천시 - 운수업종사자수,Statistics,2602.0,2555.0,2494.0
예산군 - 운수업종사자수,Statistics,1431.0,1518.0,1593.0
예천군 - 운수업종사자수,Statistics,562.0,558.0,549.0
오산시 - 운수업종사자수,Statistics,4148.0,4688.0,5815.0
옥천군 - 운수업종사자수,Statistics,1417.0,1497.0,1669.0
옹진군 - 운수업종사자수,Statistics,223.0,294.0,259.0
완도군 - 운수업종사자수,Statistics,883.0,861.0,889.0
완주군 - 운수업종사자수,Statistics,3826.0,3934.0,4006.0
용산구 - 운수업종사자수,Statistics,4533.0,4513.0,3980.0
용인시 - 운수업종사자수,Statistics,26811.0,27488.0,27957.0
울릉군 - 운수업종사자수,Statistics,214.0,257.0,366.0
울산광역시 - 운수업종사자수,Statistics,30470.0,29714.0,30847.0
울주군 - 운수업종사자수,Statistics,8480.0,8270.0,8795.0
울진군 - 운수업종사자수,Statistics,415.0,427.0,424.0
원주시 - 운수업종사자수,Statistics,6729.0,7257.0,7963.0
유성구 - 운수업종사자수,Statistics,5256.0,4853.0,5019.0
은평구 - 운수업종사자수,Statistics,8489.0,8546.0,8380.0
음성군 - 운수업종사자수,Statistics,3150.0,3146.0,3312.0
의령군 - 운수업종사자수,Statistics,583.0,535.0,625.0
의성군 - 운수업종사자수,Statistics,1014.0,876.0,977.0
의왕시 - 운수업종사자수,Statistics,4947.0,4970.0,4849.0
의정부시 - 운수업종사자수,Statistics,6911.0,8188.0,8175.0
이천시 - 운수업종사자수,Statistics,13645.0,14569.0,15004.0
익산시 - 운수업종사자수,Statistics,7503.0,7537.0,7750.0
인제군 - 운수업종사자수,Statistics,238.0,258.0,279.0
인천광역시 - 운수업종사자수,Statistics,95243.0,97207.0,100101.0
