item,category,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
가평군 - 도소매업사업체수,Statistics,,,,,,,,,,,1123.0,1177.0,1173.0
강남구 - 도소매업사업체수,Statistics,,,,,,,,,,,17274.0,16697.0,16401.0
강동구 - 도소매업사업체수,Statistics,,,,,,,,,,,6897.0,6764.0,6425.0
강릉시 - 도소매업사업체수,Statistics,,,,,,,,,,,4852.0,4804.0,4850.0
강북구 - 도소매업사업체수,Statistics,,,,,,,,,,,3857.0,3768.0,3823.0
강서구 - 도소매업사업체수,Statistics,,,,,,,,,,,8713.0,9079.0,9209.0
강원특별자치도 - 도소매업사업체수,Statistics,28904.0,28804.0,28710.0,28992.0,29482.0,30597.0,31453.0,32348.0,32959.0,32930.0,33095.0,33339.0,33705.0
강진군 - 도소매업사업체수,Statistics,,,,,,,,,,,1001.0,1009.0,994.0
강화군 - 도소매업사업체수,Statistics,,,,,,,,,,,1280.0,1277.0,1326.0
거제시 - 도소매업사업체수,Statistics,,,,,,,,,,,3444.0,3432.0,3445.0
거창군 - 도소매업사업체수,Statistics,,,,,,,,,,,1228.0,1222.0,1240.0
경기도 - 도소매업사업체수,Statistics,147006.0,148916.0,150475.0,157468.0,166126.0,174971.0,180550.0,191429.0,198080.0,201592.0,204601.0,209233.0,212226.0
경산시 - 도소매업사업체수,Statistics,,,,,,,,,,,4549.0,4621.0,4753.0
경상남도 - 도소매업사업체수,Statistics,53725.0,54009.0,54235.0,54610.0,55928.0,58322.0,60091.0,62170.0,64065.0,64408.0,65162.0,65898.0,66322.0
경상북도 - 도소매업사업체수,Statistics,46789.0,46392.0,46115.0,46758.0,48128.0,49568.0,50862.0,52817.0,54865.0,54806.0,55060.0,55670.0,56514.0
경주시 - 도소매업사업체수,Statistics,,,,,,,,,,,5440.0,5498.0,5671.0
계룡시 - 도소매업사업체수,Statistics,,,,,,,,,,,545.0,540.0,553.0
계양구 - 도소매업사업체수,Statistics,,,,,,,,,,,4059.0,4036.0,4018.0
고령군 - 도소매업사업체수,Statistics,,,,,,,,,,,818.0,842.0,864.0
고성군 - 도소매업사업체수,Statistics,,,,,,,,,,,620.0,616.0,622.0
고양시 - 도소매업사업체수,Statistics,,,,,,,,,,,18032.0,18468.0,18411.0
고창군 - 도소매업사업체수,Statistics,,,,,,,,,,,1480.0,1503.0,1529.0
고흥군 - 도소매업사업체수,Statistics,,,,,,,,,,,1618.0,1600.0,1606.0
곡성군 - 도소매업사업체수,Statistics,,,,,,,,,,,530.0,530.0,531.0
공주시 - 도소매업사업체수,Statistics,,,,,,,,,,,2182.0,2213.0,2269.0
과천시 - 도소매업사업체수,Statistics,,,,,,,,,,,1314.0,1295.0,1338.0
관악구 - 도소매업사업체수,Statistics,,,,,,,,,,,5164.0,4991.0,5047.0
광명시 - 도소매업사업체수,Statistics,,,,,,,,,,,5040.0,4918.0,4706.0
광산구 - 도소매업사업체수,Statistics,,,,,,,,,,,7007.0,7251.0,7398.0
광양시 - 도소매업사업체수,Statistics,,,,,,,,,,,3030.0,3037.0,3042.0
광주광역시 - 도소매업사업체수,Statistics,26618.0,26598.0,26821.0,27151.0,27848.0,28932.0,29687.0,30620.0,31179.0,31542.0,31636.0,31616.0,31799.0
광주시 - 도소매업사업체수,Statistics,,,,,,,,,,,5934.0,6083.0,6266.0
광진구 - 도소매업사업체수,Statistics,,,,,,,,,,,6103.0,5889.0,5758.0
괴산군 - 도소매업사업체수,Statistics,,,,,,,,,,,537.0,538.0,556.0
구례군 - 도소매업사업체수,Statistics,,,,,,,,,,,585.0,597.0,619.0
구로구 - 도소매업사업체수,Statistics,,,,,,,,,,,12201.0,12100.0,11694.0
구리시 - 도소매업사업체수,Statistics,,,,,,,,,,,4146.0,4250.0,4152.0
구미시 - 도소매업사업체수,Statistics,,,,,,,,,,,7775.0,7857.0,7881.0
군산시 - 도소매업사업체수,Statistics,,,,,,,,,,,6003.0,5995.0,5994.0
군위군 - 도소매업사업체수,Statistics,,,,,,,,,,,385.0,398.0,413.0
군포시 - 도소매업사업체수,Statistics,,,,,,,,,,,3375.0,3389.0,3367.0
금산군 - 도소매업사업체수,Statistics,,,,,,,,,,,1834.0,1865.0,1874.0
