item,category,2021,2022,2023
가평군 - 도소매업사업체수,Statistics,1699.0,1738.0,1779.0
강남구 - 도소매업사업체수,Statistics,26299.0,24648.0,24536.0
강동구 - 도소매업사업체수,Statistics,11576.0,12112.0,12603.0
강릉시 - 도소매업사업체수,Statistics,6415.0,6249.0,6407.0
강북구 - 도소매업사업체수,Statistics,6807.0,6545.0,6843.0
강서구 - 도소매업사업체수,Statistics,15831.0,15554.0,15972.0
강원특별자치도 - 도소매업사업체수,Statistics,44218.0,44195.0,45006.0
강진군 - 도소매업사업체수,Statistics,1103.0,1046.0,1070.0
강화군 - 도소매업사업체수,Statistics,2015.0,2004.0,2050.0
거제시 - 도소매업사업체수,Statistics,4577.0,4488.0,4454.0
거창군 - 도소매업사업체수,Statistics,1651.0,1570.0,1602.0
경기도 - 도소매업사업체수,Statistics,376406.0,377002.0,406623.0
경산시 - 도소매업사업체수,Statistics,6972.0,7109.0,7241.0
경상남도 - 도소매업사업체수,Statistics,90075.0,89910.0,90637.0
경상북도 - 도소매업사업체수,Statistics,73428.0,72987.0,73945.0
경주시 - 도소매업사업체수,Statistics,7015.0,7029.0,7219.0
계룡시 - 도소매업사업체수,Statistics,803.0,804.0,877.0
계양구 - 도소매업사업체수,Statistics,7018.0,6926.0,7535.0
고령군 - 도소매업사업체수,Statistics,1084.0,1138.0,1164.0
고성군 - 도소매업사업체수,Statistics,807.0,795.0,832.0
고양시 - 도소매업사업체수,Statistics,33473.0,32919.0,35636.0
고창군 - 도소매업사업체수,Statistics,1668.0,1688.0,1726.0
고흥군 - 도소매업사업체수,Statistics,1940.0,1954.0,1920.0
곡성군 - 도소매업사업체수,Statistics,683.0,689.0,673.0
공주시 - 도소매업사업체수,Statistics,3120.0,3036.0,3107.0
과천시 - 도소매업사업체수,Statistics,2154.0,2098.0,2151.0
관악구 - 도소매업사업체수,Statistics,8953.0,8274.0,9128.0
광명시 - 도소매업사업체수,Statistics,7629.0,7424.0,7768.0
광산구 - 도소매업사업체수,Statistics,10748.0,10946.0,11067.0
광양시 - 도소매업사업체수,Statistics,4122.0,4189.0,4239.0
광주광역시 - 도소매업사업체수,Statistics,43193.0,42436.0,43318.0
광주시 - 도소매업사업체수,Statistics,11964.0,12426.0,13162.0
광진구 - 도소매업사업체수,Statistics,9273.0,8761.0,9016.0
괴산군 - 도소매업사업체수,Statistics,900.0,866.0,899.0
구례군 - 도소매업사업체수,Statistics,829.0,809.0,818.0
구로구 - 도소매업사업체수,Statistics,17126.0,16900.0,16984.0
구리시 - 도소매업사업체수,Statistics,6501.0,6076.0,6386.0
구미시 - 도소매업사업체수,Statistics,9905.0,9813.0,10030.0
군산시 - 도소매업사업체수,Statistics,8171.0,7680.0,7838.0
군위군 - 도소매업사업체수,Statistics,555.0,555.0,553.0
군포시 - 도소매업사업체수,Statistics,5936.0,6194.0,6553.0
금산군 - 도소매업사업체수,Statistics,2564.0,2498.0,2406.0
금정구 - 도소매업사업체수,Statistics,6489.0,6256.0,6366.0
금천구 - 도소매업사업체수,Statistics,13385.0,13076.0,13306.0
기장군 - 도소매업사업체수,Statistics,4965.0,5043.0,5237.0
김제시 - 도소매업사업체수,Statistics,2537.0,2387.0,2461.0
김천시 - 도소매업사업체수,Statistics,3475.0,3507.0,3700.0
김포시 - 도소매업사업체수,Statistics,16175.0,16117.0,17862.0
