item,category,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
가평군 - 도소매업종사자수,Statistics,,,,,,,,,,,2806.0,3014.0,2970.0
강남구 - 도소매업종사자수,Statistics,,,,,,,,,,,133772.0,136778.0,143936.0
강동구 - 도소매업종사자수,Statistics,,,,,,,,,,,24610.0,23937.0,23661.0
강릉시 - 도소매업종사자수,Statistics,,,,,,,,,,,13324.0,12946.0,13697.0
강북구 - 도소매업종사자수,Statistics,,,,,,,,,,,10768.0,10625.0,10726.0
강서구 - 도소매업종사자수,Statistics,,,,,,,,,,,34665.0,37641.0,37437.0
강원특별자치도 - 도소매업종사자수,Statistics,71219.0,71108.0,72291.0,72475.0,73071.0,76264.0,79826.0,81715.0,83659.0,82052.0,83052.0,84822.0,88824.0
강진군 - 도소매업종사자수,Statistics,,,,,,,,,,,2019.0,2036.0,2141.0
강화군 - 도소매업종사자수,Statistics,,,,,,,,,,,2460.0,2583.0,2730.0
거제시 - 도소매업종사자수,Statistics,,,,,,,,,,,8678.0,8518.0,8635.0
거창군 - 도소매업종사자수,Statistics,,,,,,,,,,,2792.0,2753.0,2909.0
경기도 - 도소매업종사자수,Statistics,468649.0,476205.0,494016.0,508473.0,537214.0,566129.0,598720.0,637416.0,663891.0,686330.0,701193.0,735964.0,742267.0
경산시 - 도소매업종사자수,Statistics,,,,,,,,,,,11977.0,12320.0,12842.0
경상남도 - 도소매업종사자수,Statistics,135751.0,137269.0,140789.0,140676.0,144724.0,150429.0,155033.0,160745.0,168036.0,167773.0,169269.0,170972.0,176361.0
경상북도 - 도소매업종사자수,Statistics,107609.0,109002.0,110098.0,111331.0,114329.0,116687.0,120290.0,124751.0,130272.0,129592.0,130807.0,132384.0,138239.0
경주시 - 도소매업종사자수,Statistics,,,,,,,,,,,12711.0,12730.0,13183.0
계룡시 - 도소매업종사자수,Statistics,,,,,,,,,,,1408.0,1430.0,1456.0
계양구 - 도소매업종사자수,Statistics,,,,,,,,,,,12954.0,12955.0,12943.0
고령군 - 도소매업종사자수,Statistics,,,,,,,,,,,1963.0,2027.0,2212.0
고성군 - 도소매업종사자수,Statistics,,,,,,,,,,,1169.0,1266.0,1309.0
고양시 - 도소매업종사자수,Statistics,,,,,,,,,,,63659.0,65854.0,64562.0
고창군 - 도소매업종사자수,Statistics,,,,,,,,,,,2908.0,2877.0,3295.0
고흥군 - 도소매업종사자수,Statistics,,,,,,,,,,,3145.0,3326.0,3394.0
곡성군 - 도소매업종사자수,Statistics,,,,,,,,,,,1003.0,999.0,1093.0
공주시 - 도소매업종사자수,Statistics,,,,,,,,,,,5690.0,5985.0,6182.0
과천시 - 도소매업종사자수,Statistics,,,,,,,,,,,5069.0,4309.0,4388.0
관악구 - 도소매업종사자수,Statistics,,,,,,,,,,,16347.0,15166.0,15299.0
광명시 - 도소매업종사자수,Statistics,,,,,,,,,,,17675.0,17751.0,16587.0
광산구 - 도소매업종사자수,Statistics,,,,,,,,,,,20916.0,21946.0,22488.0
광양시 - 도소매업종사자수,Statistics,,,,,,,,,,,7796.0,8132.0,8348.0
광주광역시 - 도소매업종사자수,Statistics,79829.0,76780.0,78936.0,77686.0,79104.0,82656.0,84520.0,87631.0,89616.0,91616.0,92544.0,93051.0,94194.0
광주시 - 도소매업종사자수,Statistics,,,,,,,,,,,22932.0,24040.0,25100.0
광진구 - 도소매업종사자수,Statistics,,,,,,,,,,,19488.0,19023.0,19389.0
괴산군 - 도소매업종사자수,Statistics,,,,,,,,,,,1469.0,1491.0,1417.0
구례군 - 도소매업종사자수,Statistics,,,,,,,,,,,1162.0,1220.0,1299.0
구로구 - 도소매업종사자수,Statistics,,,,,,,,,,,40111.0,40438.0,39383.0
구리시 - 도소매업종사자수,Statistics,,,,,,,,,,,13927.0,14422.0,13974.0
구미시 - 도소매업종사자수,Statistics,,,,,,,,,,,19169.0,19096.0,19809.0
군산시 - 도소매업종사자수,Statistics,,,,,,,,,,,13558.0,14192.0,14477.0
군위군 - 도소매업종사자수,Statistics,,,,,,,,,,,899.0,936.0,966.0
군포시 - 도소매업종사자수,Statistics,,,,,,,,,,,12545.0,12759.0,12628.0
금산군 - 도소매업종사자수,Statistics,,,,,,,,,,,3463.0,3561.0,3651.0
금정구 - 도소매업종사자수,Statistics,,,,,,,,,,,13799.0,13822.0,13667.0
금천구 - 도소매업종사자수,Statistics,,,,,,,,,,,41969.0,40952.0,41416.0
기장군 - 도소매업종사자수,Statistics,,,,,,,,,,,8711.0,8987.0,9707.0
김제시 - 도소매업종사자수,Statistics,,,,,,,,,,,4952.0,5107.0,5363.0
김천시 - 도소매업종사자수,Statistics,,,,,,,,,,,6058.0,6192.0,6631.0
김포시 - 도소매업종사자수,Statistics,,,,,,,,,,,19962.0,22700.0,23858.0
김해시 - 도소매업종사자수,Statistics,,,,,,,,,,,29451.0,29858.0,30887.0
나주시 - 도소매업종사자수,Statistics,,,,,,,,,,,5027.0,5650.0,6015.0
남구 - 도소매업종사자수,Statistics,,,,,,,,,,,10298.0,10936.0,11285.0
남동구 - 도소매업종사자수,Statistics,,,,,,,,,,,26817.0,27199.0,26603.0
남양주시 - 도소매업종사자수,Statistics,,,,,,,,,,,31834.0,32898.0,34867.0
남원시 - 도소매업종사자수,Statistics,,,,,,,,,,,4414.0,4608.0,4804.0
남해군 - 도소매업종사자수,Statistics,,,,,,,,,,,2080.0,2127.0,2251.0
노원구 - 도소매업종사자수,Statistics,,,,,,,,,,,15534.0,15757.0,15458.0
논산시 - 도소매업종사자수,Statistics,,,,,,,,,,,6896.0,6958.0,7344.0
단양군 - 도소매업종사자수,Statistics,,,,,,,,,,,1320.0,1319.0,1374.0
달서구 - 도소매업종사자수,Statistics,,,,,,,,,,,26880.0,26520.0,26888.0
달성군 - 도소매업종사자수,Statistics,,,,,,,,,,,8518.0,9156.0,9514.0
