item,category,2021,2022,2023
가평군 - 도소매업종사자수,Statistics,3516.0,3510.0,3502.0
강남구 - 도소매업종사자수,Statistics,157568.0,145535.0,142125.0
강동구 - 도소매업종사자수,Statistics,28849.0,28263.0,28431.0
강릉시 - 도소매업종사자수,Statistics,14199.0,14107.0,14043.0
강북구 - 도소매업종사자수,Statistics,12912.0,12155.0,12110.0
강서구 - 도소매업종사자수,Statistics,46136.0,45116.0,43264.0
강원특별자치도 - 도소매업종사자수,Statistics,92079.0,91945.0,90754.0
강진군 - 도소매업종사자수,Statistics,1850.0,1788.0,1786.0
강화군 - 도소매업종사자수,Statistics,3487.0,3312.0,3227.0
거제시 - 도소매업종사자수,Statistics,8970.0,8899.0,8412.0
거창군 - 도소매업종사자수,Statistics,3152.0,2927.0,2884.0
경기도 - 도소매업종사자수,Statistics,909374.0,892035.0,915589.0
경산시 - 도소매업종사자수,Statistics,14650.0,14835.0,15008.0
경상남도 - 도소매업종사자수,Statistics,185680.0,183450.0,179320.0
경상북도 - 도소매업종사자수,Statistics,145410.0,144474.0,142835.0
경주시 - 도소매업종사자수,Statistics,13563.0,13257.0,13536.0
계룡시 - 도소매업종사자수,Statistics,1632.0,1588.0,1684.0
계양구 - 도소매업종사자수,Statistics,15753.0,14795.0,15183.0
고령군 - 도소매업종사자수,Statistics,2253.0,2436.0,2430.0
고성군 - 도소매업종사자수,Statistics,1457.0,1450.0,1407.0
고양시 - 도소매업종사자수,Statistics,78644.0,75028.0,76989.0
고창군 - 도소매업종사자수,Statistics,2995.0,3047.0,2994.0
고흥군 - 도소매업종사자수,Statistics,3424.0,3441.0,3338.0
곡성군 - 도소매업종사자수,Statistics,1121.0,1159.0,1076.0
공주시 - 도소매업종사자수,Statistics,6569.0,6408.0,6340.0
과천시 - 도소매업종사자수,Statistics,5431.0,5158.0,5832.0
관악구 - 도소매업종사자수,Statistics,17796.0,16467.0,17322.0
광명시 - 도소매업종사자수,Statistics,19979.0,19144.0,19813.0
광산구 - 도소매업종사자수,Statistics,25428.0,24326.0,24516.0
광양시 - 도소매업종사자수,Statistics,8857.0,8860.0,8887.0
광주광역시 - 도소매업종사자수,Statistics,96138.0,92610.0,91836.0
광주시 - 도소매업종사자수,Statistics,31067.0,30551.0,31926.0
광진구 - 도소매업종사자수,Statistics,21953.0,20711.0,20463.0
괴산군 - 도소매업종사자수,Statistics,1956.0,1883.0,1856.0
구례군 - 도소매업종사자수,Statistics,1427.0,1358.0,1389.0
구로구 - 도소매업종사자수,Statistics,44216.0,43403.0,41683.0
구리시 - 도소매업종사자수,Statistics,15237.0,14160.0,14562.0
구미시 - 도소매업종사자수,Statistics,19676.0,19097.0,18992.0
군산시 - 도소매업종사자수,Statistics,15145.0,14498.0,13761.0
군위군 - 도소매업종사자수,Statistics,1068.0,1067.0,1009.0
군포시 - 도소매업종사자수,Statistics,14517.0,14611.0,14581.0
금산군 - 도소매업종사자수,Statistics,4216.0,3930.0,3719.0
금정구 - 도소매업종사자수,Statistics,14828.0,14101.0,13989.0
금천구 - 도소매업종사자수,Statistics,42706.0,41778.0,41011.0
기장군 - 도소매업종사자수,Statistics,11683.0,12062.0,12610.0
김제시 - 도소매업종사자수,Statistics,5353.0,5098.0,5121.0
김천시 - 도소매업종사자수,Statistics,7066.0,7611.0,8038.0
김포시 - 도소매업종사자수,Statistics,35180.0,34698.0,35992.0
김해시 - 도소매업종사자수,Statistics,34315.0,34444.0,34075.0
나주시 - 도소매업종사자수,Statistics,6718.0,6657.0,6780.0
남구 - 도소매업종사자수,Statistics,12072.0,11860.0,11322.0
남동구 - 도소매업종사자수,Statistics,31108.0,30358.0,29882.0
남양주시 - 도소매업종사자수,Statistics,48999.0,46579.0,46322.0
남원시 - 도소매업종사자수,Statistics,4527.0,4396.0,4385.0
남해군 - 도소매업종사자수,Statistics,2160.0,2252.0,2289.0
노원구 - 도소매업종사자수,Statistics,19515.0,18873.0,18735.0
논산시 - 도소매업종사자수,Statistics,7368.0,7407.0,7405.0
단양군 - 도소매업종사자수,Statistics,1337.0,1285.0,1292.0
달서구 - 도소매업종사자수,Statistics,28167.0,27487.0,27406.0
달성군 - 도소매업종사자수,Statistics,11360.0,11946.0,11277.0
담양군 - 도소매업종사자수,Statistics,2805.0,2713.0,2904.0
당진시 - 도소매업종사자수,Statistics,8864.0,8942.0,8685.0
대구광역시 - 도소매업종사자수,Statistics,159185.0,155393.0,155834.0
대덕구 - 도소매업종사자수,Statistics,17090.0,16901.0,15968.0
대전광역시 - 도소매업종사자수,Statistics,100570.0,98226.0,97798.0
도봉구 - 도소매업종사자수,Statistics,12589.0,11973.0,11912.0
동구 - 도소매업종사자수,Statistics,11516.0,11553.0,11165.0
동대문구 - 도소매업종사자수,Statistics,33547.0,31849.0,31068.0
동두천시 - 도소매업종사자수,Statistics,4232.0,4127.0,4156.0
동래구 - 도소매업종사자수,Statistics,15828.0,15325.0,15636.0
동작구 - 도소매업종사자수,Statistics,15553.0,14969.0,14557.0
동해시 - 도소매업종사자수,Statistics,5626.0,5565.0,5350.0
마포구 - 도소매업종사자수,Statistics,41204.0,39517.0,41786.0
목포시 - 도소매업종사자수,Statistics,14164.0,13449.0,13203.0
무안군 - 도소매업종사자수,Statistics,4516.0,4495.0,4587.0
무주군 - 도소매업종사자수,Statistics,1245.0,1144.0,1168.0
문경시 - 도소매업종사자수,Statistics,3879.0,3729.0,3529.0
미추홀구 - 도소매업종사자수,Statistics,19923.0,19097.0,19411.0
밀양시 - 도소매업종사자수,Statistics,6027.0,5909.0,5782.0
보령시 - 도소매업종사자수,Statistics,5825.0,5899.0,5630.0
보성군 - 도소매업종사자수,Statistics,2165.0,2112.0,2152.0
보은군 - 도소매업종사자수,Statistics,1399.0,1392.0,1418.0
봉화군 - 도소매업종사자수,Statistics,1211.0,1136.0,1086.0
부산광역시 - 도소매업종사자수,Statistics,247220.0,241934.0,240302.0
부산진구 - 도소매업종사자수,Statistics,27380.0,26454.0,26763.0
부안군 - 도소매업종사자수,Statistics,3175.0,3082.0,2994.0
부여군 - 도소매업종사자수,Statistics,3435.0,3370.0,3322.0
부천시 - 도소매업종사자수,Statistics,49907.0,47875.0,47294.0
부평구 - 도소매업종사자수,Statistics,26459.0,27346.0,27842.0
북구 - 도소매업종사자수,Statistics,10789.0,10065.0,10021.0
사상구 - 도소매업종사자수,Statistics,27620.0,27060.0,26498.0
사천시 - 도소매업종사자수,Statistics,7195.0,6953.0,6640.0
사하구 - 도소매업종사자수,Statistics,15389.0,14981.0,14640.0
산청군 - 도소매업종사자수,Statistics,1882.0,1745.0,1665.0
삼척시 - 도소매업종사자수,Statistics,3445.0,3537.0,3522.0
상주시 - 도소매업종사자수,Statistics,4931.0,5058.0,4792.0
서구 - 도소매업종사자수,Statistics,8844.0,8446.0,8135.0
서귀포시 - 도소매업종사자수,Statistics,13059.0,13226.0,13210.0
서대문구 - 도소매업종사자수,Statistics,16293.0,14722.0,14936.0
서산시 - 도소매업종사자수,Statistics,9506.0,9310.0,9206.0
서울특별시 - 도소매업종사자수,Statistics,1009123.0,962626.0,950356.0
서천군 - 도소매업종사자수,Statistics,2883.0,2912.0,2806.0
서초구 - 도소매업종사자수,Statistics,72744.0,68424.0,66929.0
성남시 - 도소매업종사자수,Statistics,78650.0,76315.0,78025.0
성동구 - 도소매업종사자수,Statistics,41485.0,40745.0,38081.0
성북구 - 도소매업종사자수,Statistics,18873.0,18220.0,18694.0
성주군 - 도소매업종사자수,Statistics,2444.0,2505.0,2514.0
세종특별자치시 - 도소매업종사자수,Statistics,13772.0,14599.0,14619.0
속초시 - 도소매업종사자수,Statistics,5982.0,5551.0,5610.0
송파구 - 도소매업종사자수,Statistics,82988.0,79672.0,80662.0
수성구 - 도소매업종사자수,Statistics,18606.0,17822.0,17888.0
수영구 - 도소매업종사자수,Statistics,10476.0,10210.0,10160.0
수원시 - 도소매업종사자수,Statistics,67121.0,66606.0,69952.0
순창군 - 도소매업종사자수,Statistics,1071.0,1055.0,999.0
순천시 - 도소매업종사자수,Statistics,16735.0,16360.0,16217.0
시흥시 - 도소매업종사자수,Statistics,37880.0,37701.0,37262.0
신안군 - 도소매업종사자수,Statistics,1739.0,1633.0,1643.0
아산시 - 도소매업종사자수,Statistics,16659.0,17592.0,17562.0
안동시 - 도소매업종사자수,Statistics,9402.0,9425.0,9556.0
안산시 - 도소매업종사자수,Statistics,40191.0,39540.0,40611.0
안성시 - 도소매업종사자수,Statistics,13541.0,13744.0,14001.0
안양시 - 도소매업종사자수,Statistics,44881.0,43726.0,43797.0
양구군 - 도소매업종사자수,Statistics,965.0,958.0,991.0
양산시 - 도소매업종사자수,Statistics,18750.0,18978.0,18827.0
양양군 - 도소매업종사자수,Statistics,1703.0,1749.0,1863.0
양주시 - 도소매업종사자수,Statistics,16034.0,16065.0,16764.0
양천구 - 도소매업종사자수,Statistics,20765.0,20472.0,20127.0
양평군 - 도소매업종사자수,Statistics,5814.0,5628.0,6257.0
여수시 - 도소매업종사자수,Statistics,17045.0,17336.0,17078.0
여주시 - 도소매업종사자수,Statistics,7400.0,7554.0,7859.0
연수구 - 도소매업종사자수,Statistics,23105.0,23559.0,23805.0
연제구 - 도소매업종사자수,Statistics,12681.0,12397.0,12481.0
연천군 - 도소매업종사자수,Statistics,1960.0,1960.0,1889.0
영광군 - 도소매업종사자수,Statistics,3011.0,2872.0,2724.0
영덕군 - 도소매업종사자수,Statistics,2237.0,2149.0,2095.0
영도구 - 도소매업종사자수,Statistics,5779.0,5827.0,5908.0
영동군 - 도소매업종사자수,Statistics,2286.0,2050.0,2056.0
영등포구 - 도소매업종사자수,Statistics,59798.0,56420.0,55663.0
영암군 - 도소매업종사자수,Statistics,3237.0,3052.0,2895.0
영양군 - 도소매업종사자수,Statistics,528.0,558.0,510.0
영월군 - 도소매업종사자수,Statistics,2117.0,2043.0,1926.0
영주시 - 도소매업종사자수,Statistics,7113.0,7073.0,7095.0
영천시 - 도소매업종사자수,Statistics,5821.0,5786.0,5628.0
예산군 - 도소매업종사자수,Statistics,4374.0,4370.0,4344.0
예천군 - 도소매업종사자수,Statistics,2373.0,2188.0,2142.0
오산시 - 도소매업종사자수,Statistics,10627.0,10626.0,10588.0
옥천군 - 도소매업종사자수,Statistics,2770.0,2852.0,2835.0
옹진군 - 도소매업종사자수,Statistics,680.0,672.0,643.0
완도군 - 도소매업종사자수,Statistics,3436.0,3467.0,3260.0
완주군 - 도소매업종사자수,Statistics,5144.0,4852.0,4813.0
용산구 - 도소매업종사자수,Statistics,37238.0,35126.0,33881.0
용인시 - 도소매업종사자수,Statistics,64805.0,63001.0,69910.0
울릉군 - 도소매업종사자수,Statistics,580.0,625.0,743.0
울산광역시 - 도소매업종사자수,Statistics,56293.0,55657.0,54654.0
울주군 - 도소매업종사자수,Statistics,10058.0,9875.0,9797.0
울진군 - 도소매업종사자수,Statistics,2534.0,2608.0,2491.0
원주시 - 도소매업종사자수,Statistics,22653.0,23044.0,22949.0
유성구 - 도소매업종사자수,Statistics,25457.0,25019.0,25041.0
은평구 - 도소매업종사자수,Statistics,18887.0,18049.0,17731.0
음성군 - 도소매업종사자수,Statistics,6949.0,6987.0,6852.0
의령군 - 도소매업종사자수,Statistics,890.0,812.0,784.0
의성군 - 도소매업종사자수,Statistics,2403.0,2301.0,2345.0
