item,category,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
가평군 - 서비스업사업체수,Statistics,,,,,,,,,,,5272.0,5557.0,5638.0
강남구 - 서비스업사업체수,Statistics,,,,,,,,,,,61740.0,60783.0,60480.0
강동구 - 서비스업사업체수,Statistics,,,,,,,,,,,20651.0,20622.0,20402.0
강릉시 - 서비스업사업체수,Statistics,,,,,,,,,,,15641.0,16007.0,16388.0
강북구 - 서비스업사업체수,Statistics,,,,,,,,,,,12854.0,12898.0,13063.0
강서구 - 서비스업사업체수,Statistics,,,,,,,,,,,25590.0,27174.0,28076.0
강원특별자치도 - 서비스업사업체수,Statistics,89435.0,89658.0,90076.0,90985.0,92861.0,96224.0,98768.0,101144.0,101513.0,102569.0,105147.0,107649.0,109849.0
강진군 - 서비스업사업체수,Statistics,,,,,,,,,,,2163.0,2202.0,2234.0
강화군 - 서비스업사업체수,Statistics,,,,,,,,,,,4104.0,4285.0,4463.0
거제시 - 서비스업사업체수,Statistics,,,,,,,,,,,12796.0,13136.0,13267.0
거창군 - 서비스업사업체수,Statistics,,,,,,,,,,,3515.0,3534.0,3652.0
경기도 - 서비스업사업체수,Statistics,441753.0,451002.0,457589.0,476123.0,498138.0,517335.0,530128.0,552945.0,561775.0,578553.0,596826.0,617774.0,637987.0
경산시 - 서비스업사업체수,Statistics,,,,,,,,,,,13320.0,13873.0,14317.0
경상남도 - 서비스업사업체수,Statistics,155607.0,157538.0,159850.0,162264.0,167636.0,173118.0,177383.0,182601.0,184881.0,188247.0,193255.0,198358.0,201479.0
경상북도 - 서비스업사업체수,Statistics,132386.0,132316.0,132353.0,134304.0,138420.0,142337.0,145557.0,150074.0,152755.0,154022.0,156254.0,160101.0,163249.0
경주시 - 서비스업사업체수,Statistics,,,,,,,,,,,16949.0,17531.0,18080.0
계룡시 - 서비스업사업체수,Statistics,,,,,,,,,,,1761.0,1784.0,1845.0
계양구 - 서비스업사업체수,Statistics,,,,,,,,,,,12633.0,12664.0,12720.0
고령군 - 서비스업사업체수,Statistics,,,,,,,,,,,1910.0,1939.0,1992.0
고성군 - 서비스업사업체수,Statistics,,,,,,,,,,,2136.0,2211.0,2263.0
고양시 - 서비스업사업체수,Statistics,,,,,,,,,,,49397.0,50901.0,51529.0
고창군 - 서비스업사업체수,Statistics,,,,,,,,,,,3389.0,3430.0,3514.0
고흥군 - 서비스업사업체수,Statistics,,,,,,,,,,,3507.0,3527.0,3551.0
곡성군 - 서비스업사업체수,Statistics,,,,,,,,,,,1365.0,1417.0,1450.0
공주시 - 서비스업사업체수,Statistics,,,,,,,,,,,6416.0,6582.0,6764.0
과천시 - 서비스업사업체수,Statistics,,,,,,,,,,,2906.0,2949.0,2995.0
관악구 - 서비스업사업체수,Statistics,,,,,,,,,,,19087.0,18805.0,19063.0
광명시 - 서비스업사업체수,Statistics,,,,,,,,,,,13552.0,13491.0,13203.0
광산구 - 서비스업사업체수,Statistics,,,,,,,,,,,20066.0,20947.0,21830.0
광양시 - 서비스업사업체수,Statistics,,,,,,,,,,,8920.0,9037.0,9272.0
광주광역시 - 서비스업사업체수,Statistics,72235.0,72904.0,74022.0,75072.0,77003.0,79663.0,81397.0,83307.0,84320.0,85896.0,88068.0,89126.0,91323.0
광주시 - 서비스업사업체수,Statistics,,,,,,,,,,,15071.0,15646.0,16335.0
광진구 - 서비스업사업체수,Statistics,,,,,,,,,,,18597.0,18580.0,18588.0
괴산군 - 서비스업사업체수,Statistics,,,,,,,,,,,1854.0,1914.0,1984.0
구례군 - 서비스업사업체수,Statistics,,,,,,,,,,,1664.0,1718.0,1761.0
구로구 - 서비스업사업체수,Statistics,,,,,,,,,,,27506.0,27569.0,27715.0
구리시 - 서비스업사업체수,Statistics,,,,,,,,,,,10635.0,11029.0,11104.0
구미시 - 서비스업사업체수,Statistics,,,,,,,,,,,23777.0,24262.0,24535.0
군산시 - 서비스업사업체수,Statistics,,,,,,,,,,,16185.0,16298.0,16411.0
군위군 - 서비스업사업체수,Statistics,,,,,,,,,,,1083.0,1112.0,1157.0
군포시 - 서비스업사업체수,Statistics,,,,,,,,,,,11249.0,11423.0,11489.0
금산군 - 서비스업사업체수,Statistics,,,,,,,,,,,3643.0,3723.0,3809.0
금정구 - 서비스업사업체수,Statistics,,,,,,,,,,,13224.0,13336.0,13347.0
금천구 - 서비스업사업체수,Statistics,,,,,,,,,,,21203.0,21931.0,23130.0
기장군 - 서비스업사업체수,Statistics,,,,,,,,,,,7940.0,8241.0,8531.0
김제시 - 서비스업사업체수,Statistics,,,,,,,,,,,4475.0,4515.0,4584.0
김천시 - 서비스업사업체수,Statistics,,,,,,,,,,,7258.0,7427.0,7638.0
김포시 - 서비스업사업체수,Statistics,,,,,,,,,,,16120.0,17963.0,20067.0
김해시 - 서비스업사업체수,Statistics,,,,,,,,,,,28858.0,29638.0,30536.0
나주시 - 서비스업사업체수,Statistics,,,,,,,,,,,5650.0,6087.0,6423.0
남구 - 서비스업사업체수,Statistics,,,,,,,,,,,11762.0,12254.0,12367.0
남동구 - 서비스업사업체수,Statistics,,,,,,,,,,,24597.0,25360.0,25567.0
남양주시 - 서비스업사업체수,Statistics,,,,,,,,,,,24636.0,25656.0,27445.0
남원시 - 서비스업사업체수,Statistics,,,,,,,,,,,5047.0,5075.0,5143.0
남해군 - 서비스업사업체수,Statistics,,,,,,,,,,,3464.0,3545.0,3599.0
노원구 - 서비스업사업체수,Statistics,,,,,,,,,,,17451.0,17490.0,17586.0
논산시 - 서비스업사업체수,Statistics,,,,,,,,,,,7245.0,7464.0,7643.0
단양군 - 서비스업사업체수,Statistics,,,,,,,,,,,2106.0,2194.0,2253.0
달서구 - 서비스업사업체수,Statistics,,,,,,,,,,,28686.0,28754.0,28836.0
달성군 - 서비스업사업체수,Statistics,,,,,,,,,,,9749.0,10330.0,10803.0
담양군 - 서비스업사업체수,Statistics,,,,,,,,,,,2345.0,2535.0,2653.0
당진시 - 서비스업사업체수,Statistics,,,,,,,,,,,8954.0,9105.0,9472.0
대구광역시 - 서비스업사업체수,Statistics,127587.0,127031.0,127467.0,128769.0,131793.0,135705.0,137445.0,139267.0,139610.0,143627.0,146205.0,147899.0,148761.0
대덕구 - 서비스업사업체수,Statistics,,,,,,,,,,,11805.0,11740.0,11771.0
대전광역시 - 서비스업사업체수,Statistics,67969.0,68310.0,68713.0,71088.0,74617.0,77344.0,78768.0,81442.0,82597.0,83484.0,85069.0,86068.0,87565.0
도봉구 - 서비스업사업체수,Statistics,,,,,,,,,,,11510.0,11522.0,11475.0
동구 - 서비스업사업체수,Statistics,,,,,,,,,,,10082.0,10064.0,10084.0
동대문구 - 서비스업사업체수,Statistics,,,,,,,,,,,23412.0,23135.0,22871.0
동두천시 - 서비스업사업체수,Statistics,,,,,,,,,,,4655.0,4760.0,4812.0
동래구 - 서비스업사업체수,Statistics,,,,,,,,,,,15450.0,15590.0,15161.0
동작구 - 서비스업사업체수,Statistics,,,,,,,,,,,15687.0,15646.0,15447.0
동해시 - 서비스업사업체수,Statistics,,,,,,,,,,,6051.0,6125.0,6162.0
마포구 - 서비스업사업체수,Statistics,,,,,,,,,,,29371.0,30283.0,30574.0
목포시 - 서비스업사업체수,Statistics,,,,,,,,,,,16666.0,16630.0,16691.0
무안군 - 서비스업사업체수,Statistics,,,,,,,,,,,3855.0,4055.0,4284.0
