item,category,2021,2022,2023
가평군 - 서비스업사업체수,Statistics,6975.0,7204.0,7410.0
강남구 - 서비스업사업체수,Statistics,94001.0,91078.0,88748.0
강동구 - 서비스업사업체수,Statistics,30405.0,31019.0,31756.0
강릉시 - 서비스업사업체수,Statistics,20279.0,20341.0,20834.0
강북구 - 서비스업사업체수,Statistics,18673.0,18241.0,18494.0
강서구 - 서비스업사업체수,Statistics,42794.0,43102.0,43668.0
강원특별자치도 - 서비스업사업체수,Statistics,134304.0,135108.0,138200.0
강진군 - 서비스업사업체수,Statistics,2592.0,2509.0,2589.0
강화군 - 서비스업사업체수,Statistics,6006.0,5990.0,6142.0
거제시 - 서비스업사업체수,Statistics,16802.0,16648.0,16559.0
거창군 - 서비스업사업체수,Statistics,4435.0,4364.0,4437.0
경기도 - 서비스업사업체수,Statistics,976068.0,992117.0,1039125.0
경산시 - 서비스업사업체수,Statistics,18908.0,19167.0,19239.0
경상남도 - 서비스업사업체수,Statistics,252235.0,253110.0,253638.0
경상북도 - 서비스업사업체수,Statistics,198199.0,198347.0,200111.0
경주시 - 서비스업사업체수,Statistics,21376.0,21432.0,22019.0
계룡시 - 서비스업사업체수,Statistics,2395.0,2462.0,2618.0
계양구 - 서비스업사업체수,Statistics,18078.0,17935.0,18446.0
고령군 - 서비스업사업체수,Statistics,2419.0,2519.0,2535.0
고성군 - 서비스업사업체수,Statistics,2759.0,2813.0,2911.0
고양시 - 서비스업사업체수,Statistics,80870.0,80738.0,85314.0
고창군 - 서비스업사업체수,Statistics,3809.0,3903.0,4069.0
고흥군 - 서비스업사업체수,Statistics,4245.0,4313.0,4319.0
곡성군 - 서비스업사업체수,Statistics,1791.0,1783.0,1802.0
공주시 - 서비스업사업체수,Statistics,8627.0,8554.0,8698.0
과천시 - 서비스업사업체수,Statistics,4933.0,5013.0,5453.0
관악구 - 서비스업사업체수,Statistics,27939.0,26913.0,28001.0
광명시 - 서비스업사업체수,Statistics,18734.0,18422.0,18802.0
광산구 - 서비스업사업체수,Statistics,28854.0,29321.0,29589.0
광양시 - 서비스업사업체수,Statistics,11413.0,11647.0,11748.0
광주광역시 - 서비스업사업체수,Statistics,116078.0,115276.0,117216.0
광주시 - 서비스업사업체수,Statistics,27134.0,28341.0,29751.0
광진구 - 서비스업사업체수,Statistics,26057.0,25547.0,25691.0
괴산군 - 서비스업사업체수,Statistics,2549.0,2488.0,2559.0
구례군 - 서비스업사업체수,Statistics,2161.0,2179.0,2262.0
구로구 - 서비스업사업체수,Statistics,38413.0,38170.0,37870.0
구리시 - 서비스업사업체수,Statistics,15292.0,15301.0,15822.0
구미시 - 서비스업사업체수,Statistics,29172.0,29322.0,29679.0
군산시 - 서비스업사업체수,Statistics,20786.0,20071.0,20621.0
군위군 - 서비스업사업체수,Statistics,1459.0,1486.0,1470.0
군포시 - 서비스업사업체수,Statistics,16775.0,17574.0,17814.0
금산군 - 서비스업사업체수,Statistics,4867.0,4792.0,4744.0
금정구 - 서비스업사업체수,Statistics,17465.0,17234.0,17249.0
금천구 - 서비스업사업체수,Statistics,34262.0,34449.0,34453.0
기장군 - 서비스업사업체수,Statistics,12826.0,13191.0,13584.0
김제시 - 서비스업사업체수,Statistics,5544.0,5432.0,5570.0
김천시 - 서비스업사업체수,Statistics,9542.0,9673.0,9982.0
김포시 - 서비스업사업체수,Statistics,38511.0,39687.0,41884.0
김해시 - 서비스업사업체수,Statistics,41110.0,41743.0,41406.0
나주시 - 서비스업사업체수,Statistics,8574.0,8578.0,8989.0
남구 - 서비스업사업체수,Statistics,16559.0,16426.0,16440.0
남동구 - 서비스업사업체수,Statistics,36151.0,36354.0,36607.0
남양주시 - 서비스업사업체수,Statistics,46633.0,47423.0,49401.0
남원시 - 서비스업사업체수,Statistics,6064.0,5721.0,5988.0
남해군 - 서비스업사업체수,Statistics,3963.0,4079.0,4117.0
노원구 - 서비스업사업체수,Statistics,26763.0,26533.0,27159.0
논산시 - 서비스업사업체수,Statistics,9363.0,9269.0,9505.0
단양군 - 서비스업사업체수,Statistics,2538.0,2506.0,2576.0
달서구 - 서비스업사업체수,Statistics,36539.0,36457.0,36449.0
달성군 - 서비스업사업체수,Statistics,14898.0,14800.0,15376.0
담양군 - 서비스업사업체수,Statistics,3460.0,3521.0,3629.0
당진시 - 서비스업사업체수,Statistics,12455.0,12744.0,13015.0
대구광역시 - 서비스업사업체수,Statistics,187320.0,186237.0,190142.0
대덕구 - 서비스업사업체수,Statistics,14753.0,14621.0,14808.0
대전광역시 - 서비스업사업체수,Statistics,114394.0,114235.0,117532.0
도봉구 - 서비스업사업체수,Statistics,16721.0,16384.0,16718.0
동구 - 서비스업사업체수,Statistics,11685.0,11543.0,11544.0
동대문구 - 서비스업사업체수,Statistics,30347.0,29742.0,30244.0
동두천시 - 서비스업사업체수,Statistics,6373.0,6366.0,6485.0
동래구 - 서비스업사업체수,Statistics,20056.0,20178.0,20379.0
동작구 - 서비스업사업체수,Statistics,22060.0,21363.0,21751.0
동해시 - 서비스업사업체수,Statistics,7424.0,7438.0,7526.0
마포구 - 서비스업사업체수,Statistics,45896.0,44573.0,45085.0
목포시 - 서비스업사업체수,Statistics,19465.0,18958.0,19008.0
무안군 - 서비스업사업체수,Statistics,5753.0,5805.0,5992.0
무주군 - 서비스업사업체수,Statistics,2058.0,2014.0,2028.0
문경시 - 서비스업사업체수,Statistics,5462.0,5344.0,5427.0
미추홀구 - 서비스업사업체수,Statistics,26697.0,26425.0,26879.0
밀양시 - 서비스업사업체수,Statistics,7889.0,7965.0,8089.0
보령시 - 서비스업사업체수,Statistics,8459.0,8520.0,8621.0
