item,category,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
강원특별자치도 - 서비스업종사자수,Statistics,284549.0,292606.0,303167.0,308602.0,317905.0,333593.0,355238.0,364488.0,368284.0,337650.0,350670.0,365795.0,384868.0
경기도 - 서비스업종사자수,Statistics,1770631.0,1838884.0,1918824.0,2011443.0,2106594.0,2210904.0,2357699.0,2463583.0,2560814.0,2414044.0,2518809.0,2663023.0,2747556.0
경상남도 - 서비스업종사자수,Statistics,504581.0,519459.0,541321.0,556024.0,574316.0,600406.0,624377.0,647184.0,670881.0,623462.0,634267.0,656145.0,681153.0
경상북도 - 서비스업종사자수,Statistics,413470.0,419182.0,430977.0,447105.0,460522.0,474082.0,494760.0,508289.0,523540.0,474810.0,485670.0,503821.0,529036.0
광주광역시 - 서비스업종사자수,Statistics,273761.0,278508.0,290862.0,294676.0,300291.0,316870.0,327918.0,336701.0,347480.0,332216.0,342112.0,352204.0,364864.0
대구광역시 - 서비스업종사자수,Statistics,437619.0,442612.0,457995.0,461398.0,479447.0,498734.0,514135.0,522549.0,536259.0,512288.0,523355.0,551065.0,549232.0
대전광역시 - 서비스업종사자수,Statistics,272572.0,282470.0,290742.0,301855.0,315740.0,329554.0,345977.0,359806.0,373014.0,341240.0,349338.0,353847.0,366278.0
부산광역시 - 서비스업종사자수,Statistics,680964.0,687946.0,705003.0,712512.0,732433.0,761247.0,787947.0,806753.0,821513.0,785733.0,801670.0,818471.0,842161.0
서울특별시 - 서비스업종사자수,Statistics,2750955.0,2828590.0,2899611.0,3035027.0,3062491.0,3150200.0,3240620.0,3390832.0,3613409.0,3309432.0,3332052.0,3438207.0,3464411.0
세종특별자치시 - 서비스업종사자수,Statistics,,,,,,17946.0,20518.0,27329.0,36275.0,33147.0,41357.0,49097.0,54095.0
울산광역시 - 서비스업종사자수,Statistics,183229.0,184659.0,191480.0,201367.0,208755.0,211917.0,224538.0,234565.0,240960.0,224078.0,223409.0,230334.0,233611.0
인천광역시 - 서비스업종사자수,Statistics,390066.0,396979.0,413573.0,428668.0,444264.0,462997.0,485291.0,506638.0,530589.0,498282.0,521875.0,546015.0,568556.0
전국 - 서비스업종사자수,Statistics,9219027.0,9449746.0,9779536.0,10135238.0,10430187.0,10849483.0,11330119.0,11785671.0,12311080.0,11429633.0,11714064.0,12188778.0,12537747.0
전라남도 - 서비스업종사자수,Statistics,287097.0,291750.0,301766.0,305540.0,316928.0,329714.0,344464.0,358488.0,371045.0,339579.0,351492.0,367657.0,389087.0
전북특별자치도 - 서비스업종사자수,Statistics,293392.0,298442.0,314930.0,321711.0,334379.0,349283.0,364057.0,376545.0,389933.0,350592.0,357929.0,371158.0,387857.0
제주특별자치도 - 서비스업종사자수,Statistics,119157.0,120965.0,132373.0,134341.0,137877.0,145609.0,157858.0,165116.0,174674.0,166666.0,171975.0,182746.0,191116.0
충청남도 - 서비스업종사자수,Statistics,309489.0,314468.0,326046.0,345327.0,357799.0,360653.0,378549.0,397832.0,421703.0,382907.0,396018.0,414315.0,441873.0
충청북도 - 서비스업종사자수,Statistics,247495.0,252226.0,260866.0,269642.0,280446.0,295774.0,306173.0,318973.0,330707.0,303507.0,312066.0,324878.0,341993.0
