item,category,2021,2022,2023
강원특별자치도 - 서비스업종사자수,Statistics,398750.0,407336.0,416636.0
경기도 - 서비스업종사자수,Statistics,3174907.0,3257393.0,3354228.0
경상남도 - 서비스업종사자수,Statistics,711784.0,725983.0,733872.0
경상북도 - 서비스업종사자수,Statistics,557289.0,565939.0,575473.0
광주광역시 - 서비스업종사자수,Statistics,380031.0,380986.0,390060.0
대구광역시 - 서비스업종사자수,Statistics,567354.0,576962.0,591763.0
대전광역시 - 서비스업종사자수,Statistics,391973.0,397844.0,408102.0
부산광역시 - 서비스업종사자수,Statistics,878505.0,894276.0,905169.0
서울특별시 - 서비스업종사자수,Statistics,3963064.0,3971162.0,4041519.0
세종특별자치시 - 서비스업종사자수,Statistics,70728.0,75488.0,77688.0
울산광역시 - 서비스업종사자수,Statistics,236679.0,239404.0,242946.0
인천광역시 - 서비스업종사자수,Statistics,643949.0,665422.0,680300.0
전국 - 서비스업종사자수,Statistics,13825671.0,14035698.0,14327715.0
전라남도 - 서비스업종사자수,Statistics,408134.0,410370.0,421568.0
전북특별자치도 - 서비스업종사자수,Statistics,397588.0,400782.0,403101.0
제주특별자치도 - 서비스업종사자수,Statistics,205817.0,205802.0,210835.0
충청남도 - 서비스업종사자수,Statistics,472222.0,483821.0,491027.0
충청북도 - 서비스업종사자수,Statistics,366897.0,376728.0,383428.0
