item,category,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
강원 - 예금은행예금액,Statistics,2720.2,2457.7,2762.6,2972.1,4075.4,5053.1,5891.6,6446.7,7813.7,7789.7,8218.8,8069.4,8226.7,9299.0,10273.9,10669.1,11456.5,12589.6,13326.4,14006.2,15126.0,17707.9,22479.9,24018.4,24787.2,25716.1,25776.8,28587.8,31108.8,34089.7,34145.0
경기 - 예금은행예금액,Statistics,17738.6,17018.0,21363.0,24642.4,31062.9,40267.4,51496.7,61093.1,70457.2,75896.5,75857.6,80100.4,83362.3,86133.8,95997.7,106624.9,118747.7,128770.2,136866.6,144862.8,154819.7,170823.0,183489.4,194912.3,206126.0,221677.1,249874.3,268966.4,280964.4,292177.7,296119.2
경남 - 예금은행예금액,Statistics,8519.3,7909.0,9406.7,7570.0,8943.2,11312.7,13925.0,16176.2,19106.2,21573.7,21211.2,21092.1,22005.7,23940.5,27035.2,27644.4,29898.1,32337.5,34136.1,35196.1,38283.6,41545.9,41438.5,42348.7,44050.1,47289.8,51335.4,53788.8,56872.6,61400.7,61599.7
경북 - 예금은행예금액,Statistics,4675.1,4232.9,4980.1,5426.0,6840.9,7940.6,9956.1,11260.5,12949.8,13582.6,13980.5,14479.6,14949.5,15603.8,17432.0,17694.4,19502.3,21285.3,22751.9,23883.6,26156.7,27814.0,29686.3,30297.8,31749.6,34426.0,36326.2,37838.7,44704.9,46814.8,46082.3
광주 - 예금은행예금액,Statistics,3362.2,3259.3,3916.8,4031.8,6003.9,7612.2,9080.7,10436.5,11698.6,11682.9,11228.5,10468.3,10135.1,10136.8,11237.9,12625.0,13720.8,15582.1,16125.2,17733.7,19225.8,21275.0,23216.2,23643.2,23590.5,25118.4,27757.2,30168.2,30105.8,30806.6,31125.5
대구 - 예금은행예금액,Statistics,7821.2,7561.3,8719.9,8972.7,11446.9,14463.1,17907.1,19204.7,21794.1,22872.9,22257.4,23203.8,22335.3,22143.2,24481.3,26309.6,30278.2,33492.0,34919.1,37618.2,43730.3,46591.8,46792.6,48323.6,48996.8,52216.2,57437.2,59611.2,60919.1,64656.4,67028.6
대전 - 예금은행예금액,Statistics,3388.3,3178.0,3660.4,3962.9,6249.2,7771.1,9824.2,11818.7,13026.6,14722.2,14044.3,14523.2,14876.2,14992.2,16877.3,17902.5,20807.8,22770.4,23025.2,23638.8,25514.0,28198.4,28937.6,30908.1,31653.6,35693.6,39151.0,43318.8,48352.6,48872.8,50902.7
부산 - 예금은행예금액,Statistics,11883.6,11251.3,13324.3,14485.0,18764.8,23205.8,28035.0,30701.6,34087.7,35951.4,33998.2,34023.4,33414.4,35298.4,37583.1,41900.1,49026.7,54256.5,57127.8,59518.3,68793.2,72294.6,78234.0,81588.1,79774.1,88888.4,99799.5,95051.9,95552.7,101984.3,112248.9
서울 - 예금은행예금액,Statistics,76028.6,69971.8,82758.7,96245.4,122011.8,171571.0,205978.6,241135.5,252590.8,276608.9,271350.9,271310.4,287263.4,303671.6,348093.9,424710.5,483595.0,510325.4,530230.7,532240.6,548408.4,586088.4,615291.3,657538.9,717318.2,778474.6,882684.9,1009347.3,1013244.3,1031604.8,1121076.5
세종 - 예금은행예금액,Statistics,,,,,,,,,,,,,,,,,,831.2,985.9,1487.8,1860.7,2700.8,6139.5,8704.9,11682.0,12012.6,14274.8,15123.7,16588.2,15541.8,15613.7
