item,category,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
강원특별자치도 - 예금은행대출금액,Statistics,2895.4,2832.5,3309.3,3796.2,3774.8,4675.1,5283.8,6049.3,7465.6,8170.7,8391.7,8943.7,9840.3,10253.4,10526.8,10622.1,11012.7,11473.1,12164.2,13296.9,14139.9,15480.2,16294.2,17590.8,19323.9,20975.9,22958.4,24048.0,24625.8,25309.6,26193.8
경기도 - 예금은행대출금액,Statistics,16003.3,16043.4,20025.1,23838.5,23712.8,33786.3,42367.9,57992.8,81035.3,96969.6,106007.3,119650.3,145508.6,168234.9,188751.0,206390.7,217152.6,229921.6,236999.6,249246.5,269534.9,285931.1,306674.9,327200.8,352417.1,378756.8,421887.4,453587.6,465022.5,482472.7,510795.3
경상남도 - 예금은행대출금액,Statistics,9694.0,9691.5,11506.5,10113.5,9980.0,12320.0,13779.2,16076.3,20079.4,22895.7,24684.1,26919.3,30945.6,34898.8,39090.9,39859.8,42070.3,46293.7,52406.7,57248.5,63095.8,69243.4,72687.9,74637.6,76923.9,78247.5,84706.1,89843.5,92074.7,93834.5,96986.3
경상북도 - 예금은행대출금액,Statistics,5497.1,5371.9,6361.4,6981.8,6921.8,8228.3,9583.5,11168.2,12992.6,14066.6,14086.8,14867.4,16564.5,18428.6,20201.3,21071.3,22206.8,23823.6,25837.7,28768.0,32333.8,35595.6,37355.0,39321.1,40918.9,42875.9,47360.1,48615.6,50253.4,51934.9,54087.2
광주광역시 - 예금은행대출금액,Statistics,3907.1,3900.6,4536.7,4881.6,4893.1,6555.7,6891.8,8344.2,10568.0,12118.8,12802.1,13891.6,15726.9,18247.8,19178.5,18662.3,18099.7,19677.9,20918.3,22992.5,25265.8,28656.3,30413.9,31329.0,33729.2,37340.5,42675.0,46459.0,47552.3,50396.2,52591.0
대구광역시 - 예금은행대출금액,Statistics,9229.3,9350.7,10895.1,11820.3,11156.3,13060.9,14021.2,16457.4,21219.0,23562.0,24670.3,27683.0,30859.2,33896.9,35366.6,36990.7,37749.2,40274.6,42841.4,46785.8,53448.7,62258.0,67380.5,71319.1,74879.0,80730.9,90088.9,98241.8,102088.2,105772.2,109390.9
대전광역시 - 예금은행대출금액,Statistics,3539.0,3596.2,4120.9,4766.5,4279.4,5580.5,5749.2,7770.5,10293.9,12296.1,13417.4,14619.5,15885.9,16625.3,17392.6,17839.8,18786.3,20694.3,21994.1,23887.9,25809.0,27914.0,29661.9,31315.5,33388.0,35465.3,39571.6,42080.8,41985.4,43725.9,48012.0
부산광역시 - 예금은행대출금액,Statistics,11540.5,11575.3,13190.5,14291.5,12970.4,15803.1,18765.9,24213.2,32030.9,36212.4,38054.5,40743.2,45370.5,51558.5,55925.7,57123.2,60318.3,66686.9,72105.9,77705.8,85291.0,92289.7,99694.0,107240.2,113384.6,120447.9,133250.0,143457.6,148810.6,154010.4,160170.1
서울특별시 - 예금은행대출금액,Statistics,68415.0,68873.1,80612.4,95990.5,92601.7,117988.7,149444.4,178440.4,212030.9,240059.6,246186.8,263846.4,289995.1,350225.9,409684.5,414043.1,426698.5,456700.0,452413.6,467924.8,498399.4,528503.7,546857.6,575107.4,610962.2,647422.8,734497.3,804988.8,875369.8,935208.5,989722.3
세종특별자치시 - 예금은행대출금액,Statistics,,,,,,,,,,,,,,,,,,1384.4,1610.3,2591.3,3644.4,5420.1,6881.5,7617.1,8368.7,8830.0,9917.3,10626.6,10735.2,11118.5,11396.8
울산광역시 - 예금은행대출금액,Statistics,,,2431.7,2473.3,2328.8,3096.1,3626.2,4584.1,6086.2,6894.0,7435.1,8191.1,10532.9,12470.3,14253.2,14676.2,15163.9,16433.5,18131.4,19673.3,22154.4,24073.8,25514.8,26915.8,27786.8,28616.6,30579.1,31940.6,32262.0,33352.0,35793.1
인천광역시 - 예금은행대출금액,Statistics,6076.4,6199.0,7147.9,8331.1,7664.5,9670.2,12802.3,16605.1,22385.8,25702.9,26937.6,28698.0,34221.3,40119.5,44599.7,48874.8,52943.4,57636.4,59779.9,62546.4,66541.0,69363.6,73805.3,80387.0,85980.6,92290.3,102638.9,109267.9,113648.2,118658.5,125451.6
전국 - 예금은행대출금액,Statistics,152477.7,153102.4,180044.0,207986.6,201055.6,256737.6,312409.3,383082.6,477877.3,543893.6,568933.9,617446.1,700256.6,815649.1,921674.4,955782.2,993802.1,1066592.2,1099778.9,1162583.6,1258300.9,1353670.7,1429377.3,1512963.2,1607666.5,1708763.3,1911098.6,2062119.2,2168698.3,2275754.9,2398711.0
전라남도 - 예금은행대출금액,Statistics,3928.8,3909.2,4569.4,5172.1,5391.2,6903.3,8103.6,9127.5,10401.1,10154.5,9874.7,10017.5,10404.9,11010.0,11786.4,12188.6,12461.1,13345.8,15008.3,16018.9,17124.7,19085.4,20121.6,21151.3,22350.0,23844.7,26967.3,28341.8,31261.4,31761.1,31608.8
전북특별자치도 - 예금은행대출금액,Statistics,4431.5,4470.2,5196.3,5847.2,5754.4,6905.2,7583.9,8884.2,10304.9,11155.9,11362.3,11986.7,13188.3,14696.5,15565.7,16064.2,16913.4,18642.7,20514.9,22644.2,24639.2,26269.3,27354.0,28337.1,29083.8,30692.6,33270.4,34129.9,34438.7,35281.1,37216.1
제주도 - 예금은행대출금액,Statistics,1216.6,1224.4,1449.2,1730.3,1835.1,2375.8,2734.2,3254.7,3972.1,4492.9,4548.3,4696.1,5045.8,5440.8,5725.1,5823.8,5809.3,6026.6,6554.0,7379.1,8408.6,10403.6,12757.0,14845.0,16748.5,18406.6,20312.9,21193.7,21472.8,21970.6,22874.7
