item,category,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
강원특별자치도 - 어음부도율,Statistics,0.94,1.13,0.33,0.32,0.31,0.18,0.21,0.16,0.17,0.16,0.13,0.16,0.18,0.07,0.13,0.2,0.29,0.15,0.13,0.02,0.05,0.02,0.09,0.01,0.04,0.0,0.01,0.02,1.11
경기도 - 어음부도율,Statistics,0.74,1.68,0.41,0.61,0.33,0.27,0.41,0.4,0.23,0.31,0.28,0.26,0.35,0.32,0.12,0.3,0.23,0.16,0.67,0.46,0.11,0.67,0.17,0.2,1.5,0.1,0.17,0.37,0.16
경상남도 - 어음부도율,Statistics,0.62,2.71,0.31,1.47,0.81,0.25,0.23,0.37,0.56,0.33,0.51,0.48,0.77,0.59,0.55,0.24,0.41,0.27,0.16,0.09,0.52,0.23,0.1,0.05,0.04,0.2,0.32,0.17,0.52
경상북도 - 어음부도율,Statistics,0.58,1.64,0.35,0.24,0.28,0.21,0.22,0.23,0.25,0.13,0.33,0.19,0.46,0.27,0.18,0.47,0.37,0.12,0.43,0.12,0.1,0.14,0.35,0.25,0.03,0.02,0.01,0.05,0.01
광주광역시 - 어음부도율,Statistics,0.46,1.07,0.22,0.28,0.39,0.37,0.22,0.53,0.47,0.44,0.31,0.86,0.54,0.35,0.46,1.16,1.09,0.15,0.18,0.56,0.75,0.12,0.47,2.91,0.86,0.52,0.16,0.86,0.03
대구광역시 - 어음부도율,Statistics,0.6,0.61,0.57,0.34,0.68,0.63,0.42,0.36,0.66,0.39,0.36,0.36,0.82,0.14,0.36,0.76,0.12,0.28,0.17,0.08,0.18,0.35,0.14,0.05,0.09,0.01,0.05,0.03,0.04
대전광역시 - 어음부도율,Statistics,0.6,1.64,0.78,0.26,0.84,0.25,0.28,0.18,0.25,0.26,0.21,0.31,0.36,0.11,0.21,0.23,0.31,0.08,0.1,0.13,0.5,0.12,0.16,0.04,0.0,0.02,0.01,0.11,0.03
부산광역시 - 어음부도율,Statistics,0.53,2.17,0.39,0.46,0.55,0.33,0.48,0.51,0.59,0.34,0.47,0.36,0.85,0.33,0.21,0.28,1.46,0.21,1.11,0.27,0.21,0.21,0.22,0.08,0.06,0.05,0.04,0.05,0.08
서울(전자결제조정후) - 어음부도율,Statistics,0.16,0.42,0.1,0.37,0.32,0.05,0.03,0.04,0.03,0.01,0.01,0.02,0.03,0.03,0.01,0.01,0.02,0.02,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,,
서울특별시 - 어음부도율,Statistics,0.19,0.58,0.13,0.53,0.55,0.09,0.05,0.1,0.11,0.04,0.06,0.09,0.13,0.12,0.06,0.07,0.1,0.17,0.14,0.05,0.05,0.11,0.04,0.05,0.15,0.02,0.05,0.05,0.04
울산광역시 - 어음부도율,Statistics,0.66,1.17,0.5,0.11,0.55,0.16,0.11,0.16,0.3,0.12,0.23,0.13,1.02,0.11,0.12,0.05,0.1,0.07,0.12,0.0,0.18,0.03,1.08,0.02,0.73,0.58,0.01,0.02,0.03
인천광역시 - 어음부도율,Statistics,0.96,2.38,0.91,0.48,1.23,0.25,0.27,0.38,0.42,0.24,0.12,0.38,0.44,2.04,0.23,0.61,0.56,0.22,0.26,0.54,0.19,0.12,0.54,0.48,0.41,0.06,0.01,0.78,0.23
전국 - 어음부도율,Statistics,0.26,0.72,0.16,0.52,0.55,0.11,0.08,0.13,0.15,0.08,0.1,0.12,0.17,0.15,0.07,0.1,0.14,0.17,0.19,0.09,0.09,0.15,0.07,0.08,0.19,0.02,0.06,0.07,0.06
전국(전자결제조정후) - 어음부도율,Statistics,0.21,0.53,0.12,0.36,0.32,0.06,0.04,0.05,0.04,0.02,0.02,0.03,0.04,0.03,0.01,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,,
전라남도 - 어음부도율,Statistics,0.6,1.1,0.32,0.4,0.52,0.25,0.36,0.29,0.47,0.26,0.14,0.65,0.34,0.16,0.07,0.16,0.17,0.03,0.05,0.09,0.06,0.01,0.01,0.01,0.01,0.0,0.03,0.03,0.0
전북특별자치도 - 어음부도율,Statistics,0.74,1.6,0.4,0.19,0.84,0.3,0.33,0.33,0.48,0.26,0.65,0.77,0.52,0.92,0.48,0.22,0.17,0.19,0.24,0.79,0.74,0.73,0.29,0.58,0.12,0.03,0.01,0.29,1.43
제주특별자치도 - 어음부도율,Statistics,0.77,0.84,0.18,0.18,0.39,0.16,0.2,0.13,0.33,0.13,0.53,0.41,0.4,0.06,0.05,0.32,0.29,0.02,0.14,0.15,0.1,0.07,0.0,0.01,0.02,0.0,0.01,0.15,0.01
충청남도 - 어음부도율,Statistics,0.86,1.46,0.33,0.22,0.61,0.42,0.23,0.25,0.22,0.14,0.13,0.32,0.44,0.09,0.2,0.18,0.91,0.02,0.11,0.11,0.31,0.11,0.24,0.12,0.47,0.0,0.21,0.61,0.39
충청북도 - 어음부도율,Statistics,0.61,1.84,0.22,0.27,0.26,0.23,0.17,0.34,0.32,0.21,0.26,0.28,0.59,0.39,0.83,1.3,0.14,0.28,0.11,0.05,0.23,0.17,0.06,0.06,0.14,0.22,0.36,0.43,0.04
