item,category,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
강원특별자치도 - 계,Statistics,,,,,,,,,,,,,530270.76,96786.94,82167.4
경기도 - 계,Statistics,1399449.0,941011.0,1258567.0,992281.0,1927572.0,1690009.0,2910749.0,2581239.0,2454512.0,2077428.0,2996279.0,2713980.0,1705760.08,1872902.41,764286.28
경상남도 - 계,Statistics,314992.0,524022.0,569901.0,462723.0,680025.0,541128.0,585018.0,845759.0,520135.0,314808.0,612410.0,301970.0,152215.78,249287.49,125748.18
경상북도 - 계,Statistics,,,,,,,,,,,,,,137875.12,53627.18
광주광역시 - 계,Statistics,55456.0,348412.0,241710.0,77784.0,117452.0,487905.0,226440.0,68385.0,144485.0,201523.0,159243.0,114095.0,24609.52,570866.0,11182.67
대구광역시 - 계,Statistics,120647.0,114831.0,596014.0,357430.0,434677.0,232858.0,155987.0,186579.0,817831.0,173447.0,131813.0,476237.0,84887.12,147908.27,48040.35
대전광역시 - 계,Statistics,176647.0,94786.0,79169.0,69043.0,185721.0,67393.0,98717.0,151189.0,66806.0,78967.0,164637.0,181585.0,245133.7,59264.02,116742.05
부산광역시 - 계,Statistics,347958.0,229611.0,208137.0,467608.0,266745.0,257372.0,451405.0,214284.0,303889.0,145719.0,217269.0,395161.0,470676.72,181850.62,310348.12
서울특별시 - 계,Statistics,348935.0,758858.0,1147293.0,414511.0,940556.0,571984.0,955055.0,834308.0,648282.0,511965.0,570447.0,519927.0,368504.8,536711.43,622563.05
세종특별자치시 - 계,Statistics,,37487.0,185785.0,63068.0,30877.0,46843.0,162727.0,222303.0,113685.0,49175.0,324794.0,22436.0,7585.69,9173.3,30006.74
울산광역시 - 계,Statistics,132515.0,119547.0,73947.0,58694.0,104616.0,277795.0,62024.0,126940.0,60014.0,56579.0,80704.0,74858.0,81250.97,58060.16,117589.93
인천광역시 - 계,Statistics,157550.0,121356.0,236788.0,135819.0,151195.0,258573.0,330343.0,413068.0,337330.0,564887.0,370287.0,530398.0,267280.71,834653.79,124898.91
전라남도 - 계,Statistics,395257.0,358286.0,234962.0,289875.0,438222.0,211992.0,292671.0,323876.0,355206.0,703266.0,396392.0,335353.0,148285.04,417604.91,109915.28
전북특별자치도 - 계,Statistics,248508.0,289314.0,227292.0,370901.0,182471.0,196274.0,254879.0,287725.0,327812.0,258107.0,250656.0,185521.0,111326.8,,
제주특별자치도 - 계,Statistics,491473.0,737344.965,355318.0,643183.0,554406.0,385174.0,370294.0,394509.0,400257.0,305056.0,274433.0,588171.0,213123.07,217505.15,807293.72
총계 - 계,Statistics,4815609.0,5595892.965,6332345.0,5214188.0,7573378.0,6938027.0,7980861.0,8213988.0,8015848.0,6257591.0,7640798.0,7309396.0,4749279.57,6522542.91,4054620.94
충청남도 - 계,Statistics,257018.0,507442.0,405866.0,259653.0,483294.0,1031516.0,371283.0,726186.0,631977.0,351329.0,392219.0,404666.0,426386.46,389559.25,491943.61
충청북도 - 계,Statistics,147028.0,170618.0,152755.0,275094.0,336432.0,167155.0,282278.0,321103.0,211897.0,231132.0,462292.0,246411.0,117119.72,498222.45,169696.58
