item,category,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
강원특별자치도 - 주택건설실적,Statistics,12856.0,13241.0,26171.0,15602.0,33659.0,26741.0,18475.0,14640.0,15483.0,9047.0,11367.0,11190.0,20850.0,20748.0,23691.0,20955.0,10677.0,13235.0,12312.0,9312.0,12989.0,12156.0,12964.0,12977.0,18868.0,29489.0,29497.0,26297.0,19366.0,12438.0,15999.0,18512.0,19464.0,13631.0
경기도 - 주택건설실적,Statistics,142961.0,144151.0,182031.0,146458.0,127811.0,139894.0,139253.0,110633.0,166741.0,123578.0,133259.0,161473.0,152142.0,125157.0,128516.0,116488.0,198138.0,115531.0,159549.0,143551.0,148191.0,151035.0,96082.0,163057.0,276948.0,244237.0,185582.0,174971.0,165424.0,165375.0,186324.0,129408.0,135692.0,160983.0
경상남도 - 주택건설실적,Statistics,74768.0,47763.0,45264.0,46642.0,58338.0,53751.0,53931.0,22525.0,18977.0,29923.0,33658.0,40252.0,36929.0,33940.0,42685.0,44515.0,31503.0,24375.0,17119.0,18234.0,39339.0,44760.0,34683.0,49424.0,45325.0,61124.0,38952.0,25691.0,17887.0,23206.0,25761.0,27120.0,17675.0,21971.0
경상북도 - 주택건설실적,Statistics,37686.0,29132.0,36552.0,45265.0,31401.0,32967.0,40879.0,16667.0,18098.0,22996.0,22318.0,24386.0,21572.0,20108.0,20393.0,27043.0,24285.0,15881.0,13316.0,13684.0,16936.0,25713.0,23878.0,41438.0,53046.0,36551.0,25105.0,25428.0,11727.0,12230.0,28371.0,38660.0,22959.0,18890.0
광주광역시 - 주택건설실적,Statistics,15556.0,21370.0,17402.0,29176.0,32390.0,16920.0,28311.0,7113.0,6777.0,7935.0,9582.0,20835.0,28033.0,12124.0,16850.0,23291.0,13088.0,3945.0,5024.0,4487.0,16059.0,19584.0,8454.0,11056.0,14673.0,22796.0,20326.0,14999.0,19174.0,10512.0,5319.0,9688.0,11775.0,5443.0
대구광역시 - 주택건설실적,Statistics,31130.0,29683.0,34040.0,48015.0,36998.0,29490.0,37878.0,3132.0,9353.0,21033.0,34919.0,27464.0,34405.0,25370.0,41600.0,27625.0,18174.0,22880.0,6645.0,4724.0,12462.0,13012.0,18078.0,19079.0,27118.0,23169.0,31378.0,35444.0,27725.0,28063.0,24678.0,28135.0,14359.0,3227.0
대전광역시 - 주택건설실적,Statistics,29226.0,26957.0,28451.0,16359.0,14712.0,11793.0,9145.0,10418.0,6800.0,9604.0,5833.0,16642.0,21220.0,15455.0,13724.0,9718.0,11180.0,14556.0,1849.0,4034.0,19736.0,6708.0,5180.0,5073.0,7987.0,13509.0,9953.0,6520.0,17523.0,16951.0,13603.0,21927.0,11421.0,28325.0
부산광역시 - 주택건설실적,Statistics,46566.0,45095.0,57004.0,41607.0,32190.0,42600.0,35468.0,21125.0,17319.0,21603.0,38580.0,66400.0,43418.0,20509.0,25458.0,48741.0,41254.0,13594.0,6506.0,18331.0,37256.0,42333.0,29922.0,17210.0,33535.0,36664.0,47159.0,34352.0,17237.0,19145.0,23395.0,39858.0,28493.0,29196.0
서울특별시 - 주택건설실적,Statistics,103497.0,106441.0,111656.0,86220.0,103617.0,104801.0,70446.0,28994.0,61460.0,96936.0,116590.0,159767.0,115755.0,58122.0,51797.0,39694.0,62842.0,48417.0,36090.0,69190.0,88060.0,86123.0,77621.0,65249.0,101235.0,74739.0,113131.0,65751.0,62272.0,58181.0,83260.0,42724.0,38633.0,45975.0
세종특별자치시 - 주택건설실적,Statistics,,,,,,,,,,,,,,,,,,,,,,17588.0,17844.0,12447.0,15235.0,12627.0,9332.0,2062.0,5297.0,3551.0,3274.0,4014.0,1091.0,9023.0
울산광역시 - 주택건설실적,Statistics,0.0,0.0,0.0,0.0,0.0,0.0,8154.0,4154.0,6787.0,8670.0,10364.0,13550.0,12481.0,12381.0,10479.0,13393.0,24507.0,5897.0,6728.0,4904.0,13146.0,9751.0,5344.0,12502.0,12459.0,16325.0,12747.0,12759.0,5919.0,7314.0,10990.0,14752.0,14469.0,4122.0
인천광역시 - 주택건설실적,Statistics,28227.0,32391.0,38734.0,38728.0,36683.0,27232.0,19671.0,9042.0,9253.0,20471.0,54547.0,55008.0,29392.0,22440.0,17588.0,15876.0,41571.0,33632.0,59519.0,37477.0,35905.0,32132.0,18907.0,13583.0,30590.0,22186.0,22689.0,39375.0,44530.0,28745.0,21764.0,18701.0,29226.0,20399.0
전국 - 주택건설실적,Statistics,613083.0,575492.0,695319.0,622854.0,619057.0,592132.0,596435.0,306031.0,404715.0,433488.0,529854.0,666541.0,585382.0,463800.0,463641.0,469503.0,555792.0,371285.0,381787.0,386542.0,549594.0,586884.0,440116.0,515251.0,765328.0,726048.0,653441.0,554136.0,487975.0,457514.0,545412.0,521791.0,428744.0,428244.0
전라남도 - 주택건설실적,Statistics,21991.0,23594.0,23514.0,25933.0,16271.0,21781.0,20479.0,12575.0,15172.0,15347.0,12603.0,15215.0,10940.0,18763.0,8369.0,13759.0,15255.0,10849.0,8984.0,17599.0,15576.0,22222.0,20061.0,17628.0,15631.0,20983.0,20439.0,16070.0,19406.0,17444.0,30701.0,22761.0,19523.0,5790.0
전북특별자치도 - 주택건설실적,Statistics,21642.0,19505.0,27566.0,25092.0,27598.0,21861.0,26194.0,7816.0,14052.0,11535.0,12571.0,14183.0,16820.0,15583.0,21752.0,16332.0,11842.0,12063.0,11634.0,12299.0,16117.0,24288.0,13179.0,13768.0,22552.0,28737.0,17224.0,13019.0,10352.0,13153.0,19106.0,23244.0,14689.0,7244.0
제주특별자치도 - 주택건설실적,Statistics,6662.0,4908.0,5033.0,4175.0,6066.0,4097.0,4216.0,4663.0,7576.0,7098.0,6764.0,10949.0,8812.0,3431.0,3161.0,3799.0,2176.0,4759.0,2115.0,4881.0,13018.0,10256.0,6309.0,8805.0,18690.0,21596.0,14163.0,7372.0,5722.0,5017.0,6601.0,10212.0,8902.0,3264.0
충청남도 - 주택건설실적,Statistics,19976.0,17105.0,33698.0,31935.0,36139.0,40983.0,53302.0,15402.0,18438.0,15294.0,13735.0,20748.0,21671.0,32857.0,21326.0,30079.0,29317.0,21657.0,22860.0,15331.0,46794.0,44450.0,32343.0,35564.0,40311.0,31800.0,25301.0,26131.0,26951.0,24460.0,29436.0,42716.0,27232.0,29677.0
충청북도 - 주택건설실적,Statistics,20339.0,14156.0,28203.0,21647.0,25184.0,17221.0,30633.0,17132.0,12429.0,12418.0,13164.0,8479.0,10942.0,26812.0,16252.0,18195.0,19983.0,10014.0,11537.0,8504.0,18010.0,24773.0,19267.0,16391.0,31125.0,29516.0,30463.0,27895.0,11463.0,11729.0,16830.0,29359.0,13141.0,21084.0
