item,category,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
강원특별자치도 - 건축허가면적 증감률,Statistics,88.2,-43.9,328.4,-41.6,-41.7,-42.0,72.7,-18.5,-41.2,20.0,137.0,127.8,-68.7,264.9,-43.4,-36.8,-20.8,46.8,15.7,-41.4,-34.0
경기도 - 건축허가면적 증감률,Statistics,69.4,-22.6,-35.8,64.0,-63.8,70.3,31.6,14.6,-8.6,-22.5,69.8,21.1,12.2,-16.0,-22.3,2.7,19.6,37.0,-38.3,-14.9,24.0
경상남도 - 건축허가면적 증감률,Statistics,46.6,38.7,7.7,15.3,-46.7,-17.1,31.5,41.7,61.4,-49.8,21.9,27.1,-33.3,-40.6,-17.8,-7.4,61.0,62.4,-28.9,99.4,-75.0
경상북도 - 건축허가면적 증감률,Statistics,18.1,17.5,-21.0,-3.1,-19.7,47.6,-4.6,0.9,9.7,25.5,-20.3,35.1,-23.8,40.2,-18.9,-17.7,-30.9,341.5,-42.3,-47.3,-53.4
광주광역시 - 건축허가면적 증감률,Statistics,404.7,-15.3,-1.5,-74.3,124.5,0.8,8.6,-23.7,107.7,-63.4,21.8,76.3,94.6,-65.2,61.2,-53.4,-19.0,62.5,51.1,-2.3,-69.1
대구광역시 - 건축허가면적 증감률,Statistics,70.1,-2.3,-5.3,-26.9,-71.1,138.2,77.8,-0.2,-15.0,28.9,29.8,-1.4,31.6,-42.1,-6.5,-5.3,-20.5,344.6,-54.9,-75.7,-26.7
대전광역시 - 건축허가면적 증감률,Statistics,38.4,64.7,-57.4,8.4,-17.7,36.6,18.5,110.4,-68.6,8.1,7.1,22.5,96.8,-48.2,400.7,-55.9,-35.1,-21.2,78.3,292.8,-70.7
부산광역시 - 건축허가면적 증감률,Statistics,-24.8,100.8,-45.8,-48.8,-52.7,75.5,56.3,13.0,-11.5,-27.9,154.8,34.3,-6.8,7.3,-54.0,-51.2,149.5,66.4,90.9,43.0,-93.7
서울특별시 - 건축허가면적 증감률,Statistics,-35.9,31.2,-38.6,66.9,-64.3,104.8,331.9,-70.1,53.2,-14.2,-46.4,93.9,23.5,-21.2,34.6,-44.0,-14.4,10.4,33.0,-3.1,3.2
세종특별자치시 - 건축허가면적 증감률,Statistics,,,,,,,,,-14.4,-28.2,-38.8,18.4,383.2,-74.1,278.4,-54.7,-68.8,624.3,-85.5,-15.9,-87.9
울산광역시 - 건축허가면적 증감률,Statistics,64.0,67.0,-21.7,120.8,-77.9,148.2,36.8,13.1,-58.0,25.4,238.1,30.7,-86.5,263.9,-60.5,297.9,-22.6,-54.8,110.2,-69.3,10.7
인천광역시 - 건축허가면적 증감률,Statistics,-4.5,7.9,-24.5,80.6,-67.4,125.7,21.8,69.0,-60.5,-48.9,103.2,19.6,16.1,151.8,-59.0,-0.5,108.2,-60.2,177.7,-49.9,-17.2
전국 - 건축허가면적 증감률,Statistics,24.6,2.6,-13.8,17.0,-48.3,33.3,59.5,-7.7,-4.8,-16.4,36.8,26.8,2.0,3.5,-18.4,-17.3,10.4,43.1,-7.4,-13.8,-34.4
전라남도 - 건축허가면적 증감률,Statistics,41.5,-2.2,-25.3,25.0,-33.6,89.5,1.2,36.9,-49.2,75.6,-18.4,-4.7,-2.1,98.6,-34.8,60.7,-55.7,46.7,-48.5,62.6,4.9
전북특별자치도 - 건축허가면적 증감률,Statistics,161.8,-11.9,3.4,16.0,-25.5,10.1,20.8,49.8,-59.1,68.6,30.9,14.9,-25.8,64.1,-41.6,13.4,38.3,-23.3,120.2,-65.0,-54.4
제주특별자치도 - 건축허가면적 증감률,Statistics,-31.3,45.9,70.1,7.4,-72.3,19.0,89.4,61.0,-17.3,47.2,4.1,52.4,-10.9,-25.6,-24.4,-4.4,-54.7,126.3,-36.2,47.4,-56.6
충청남도 - 건축허가면적 증감률,Statistics,-52.3,58.5,21.7,1.0,33.7,-39.0,3.7,34.7,-17.3,-26.6,149.0,-24.3,-24.3,79.5,24.2,-70.3,91.6,24.6,128.9,-68.3,-11.0
충청북도 - 건축허가면적 증감률,Statistics,-13.8,-33.6,112.2,6.6,-42.8,5.3,-1.5,-36.4,36.8,-23.7,75.7,11.1,153.5,8.2,-67.9,21.6,51.5,59.0,-74.1,-34.4,20.6
