item,category,2003,2004,2005,2006,2007,2008
가평군 - 요양기관수,Statistics,81.0,80.0,84.0,86.0,86.0,91.0
강남구 - 요양기관수,Statistics,1757.0,1757.0,1842.0,1992.0,2184.0,2313.0
강동구 - 요양기관수,Statistics,720.0,718.0,772.0,815.0,838.0,860.0
강릉시 - 요양기관수,Statistics,285.0,287.0,288.0,285.0,284.0,295.0
강북구 - 요양기관수,Statistics,556.0,555.0,554.0,573.0,579.0,591.0
강서구 - 요양기관수,Statistics,704.0,704.0,739.0,768.0,789.0,808.0
강원특별자치도 - 요양기관수,Statistics,1977.0,1978.0,2043.0,2094.0,2109.0,2134.0
강진군 - 요양기관수,Statistics,66.0,65.0,67.0,65.0,67.0,68.0
강화군 - 요양기관수,Statistics,86.0,86.0,87.0,84.0,88.0,91.0
거제시 - 요양기관수,Statistics,186.0,188.0,200.0,216.0,228.0,241.0
거창군 - 요양기관수,Statistics,105.0,105.0,107.0,108.0,112.0,112.0
경기도 - 요양기관수,Statistics,12560.0,12570.0,13327.0,14024.0,14663.0,15005.0
경산시 - 요양기관수,Statistics,293.0,289.0,294.0,313.0,333.0,345.0
경상남도 - 요양기관수,Statistics,3828.0,3854.0,3988.0,4125.0,4231.0,4331.0
경상북도 - 요양기관수,Statistics,3456.0,3463.0,3566.0,3693.0,3785.0,3872.0
경주시 - 요양기관수,Statistics,340.0,339.0,347.0,351.0,344.0,359.0
계룡시 - 요양기관수,Statistics,37.0,38.0,44.0,43.0,46.0,47.0
계양구 - 요양기관수,Statistics,358.0,363.0,389.0,394.0,399.0,405.0
고령군 - 요양기관수,Statistics,48.0,48.0,48.0,52.0,52.0,54.0
고성군 - 요양기관수,Statistics,40.0,41.0,41.0,40.0,41.0,40.0
고양시덕양구 - 요양기관수,Statistics,430.0,431.0,444.0,457.0,459.0,461.0
고양시일산구 - 요양기관수,Statistics,608.0,607.0,653.0,,,
고양시일산동구 - 요양기관수,Statistics,,,253.0,271.0,333.0,368.0
고양시일산서구 - 요양기관수,Statistics,,,428.0,436.0,455.0,455.0
고창군 - 요양기관수,Statistics,97.0,97.0,100.0,102.0,106.0,105.0
고흥군 - 요양기관수,Statistics,126.0,125.0,130.0,135.0,137.0,142.0
곡성군 - 요양기관수,Statistics,64.0,64.0,62.0,64.0,66.0,66.0
공주시 - 요양기관수,Statistics,183.0,184.0,193.0,199.0,204.0,214.0
과천시 - 요양기관수,Statistics,80.0,80.0,80.0,77.0,72.0,73.0
관악구 - 요양기관수,Statistics,770.0,767.0,789.0,807.0,830.0,828.0
광명시 - 요양기관수,Statistics,389.0,390.0,402.0,421.0,423.0,430.0
광산구 - 요양기관수,Statistics,359.0,360.0,378.0,409.0,422.0,427.0
광양시 - 요양기관수,Statistics,136.0,136.0,139.0,154.0,152.0,156.0
광주광역시 - 요양기관수,Statistics,2017.0,2025.0,2082.0,2142.0,2197.0,2253.0
광주시 - 요양기관수,Statistics,205.0,206.0,232.0,239.0,240.0,250.0
광진구 - 요양기관수,Statistics,571.0,571.0,587.0,608.0,629.0,651.0
괴산군 - 요양기관수,Statistics,61.0,62.0,59.0,65.0,66.0,65.0
구례군 - 요양기관수,Statistics,50.0,50.0,50.0,50.0,52.0,53.0
구로구 - 요양기관수,Statistics,533.0,532.0,563.0,587.0,611.0,642.0
구리시 - 요양기관수,Statistics,279.0,278.0,273.0,287.0,293.0,302.0
구미시 - 요양기관수,Statistics,426.0,427.0,459.0,488.0,520.0,529.0
군산시 - 요양기관수,Statistics,372.0,376.0,391.0,391.0,403.0,415.0
군위군 - 요양기관수,Statistics,38.0,38.0,38.0,38.0,40.0,41.0
군포시 - 요양기관수,Statistics,311.0,311.0,337.0,355.0,353.0,354.0
금산군 - 요양기관수,Statistics,96.0,94.0,99.0,103.0,105.0,108.0
금정구 - 요양기관수,Statistics,399.0,395.0,392.0,406.0,420.0,419.0
금천구 - 요양기관수,Statistics,367.0,367.0,374.0,376.0,377.0,400.0
기장군 - 요양기관수,Statistics,82.0,81.0,88.0,99.0,105.0,108.0
김제시 - 요양기관수,Statistics,147.0,147.0,156.0,164.0,169.0,169.0
김천시 - 요양기관수,Statistics,176.0,178.0,189.0,193.0,200.0,198.0
김포시 - 요양기관수,Statistics,241.0,242.0,248.0,254.0,262.0,262.0
김해시 - 요양기관수,Statistics,462.0,468.0,498.0,522.0,556.0,568.0
나주시 - 요양기관수,Statistics,153.0,150.0,157.0,165.0,163.0,161.0
남구 - 요양기관수,Statistics,363.0,367.0,376.0,386.0,406.0,412.0
